# DONNEES MENSUELLES HOMOGENEISEES de IN : Cumul mensuel des durées d'insolation (en heures et 1/10) 
# NUM_POSTE= 21473001
# NOM_USUEL= DIJON-LONGVIC
# LATITUDE (°) = 47.268
# LONGITUDE(°)= 5.088
# ALTITUDE (m) = 219
# NUM_SERIE= MIN021473001
# Amplitude minimale détectable de la série = 0.04
# Période homogénéisée : 193101 201412
# Date(s) de rupture(s) d'homogénéité : 193605 193912 194912 195912
#     Periode homogénéisée  193101 201412  : Q_HOM=1
YYYYMM;VALEUR;Q_HOM
193101;77.3;1
193102;70.5;1
193103;177.9;1
193104;166.4;1
193105;217.7;1
193106;262.1;1
193107;202.5;1
193108;171.7;1
193109;153.4;1
193110;173;1
193111;53.5;1
193112;79.2;1
193201;68.5;1
193202;152.9;1
193203;165.7;1
193204;134.7;1
193205;151.5;1
193206;203.2;1
193207;190.6;1
193208;266.8;1
193209;148;1
193210;112.7;1
193211;68.5;1
193212;64.5;1
193301;106.8;1
193302;111.5;1
193303;198.7;1
193304;219.9;1
193305;200.4;1
193306;182.4;1
193307;282.4;1
193308;284.4;1
193309;166.7;1
193310;116.3;1
193311;47.6;1
193312;92.6;1
193401;58.2;1
193402;139.4;1
193403;144.4;1
193404;183;1
193405;267.4;1
193406;236.9;1
193407;302.5;1
193408;212.4;1
193409;173.5;1
193410;121.9;1
193411;86.1;1
193412;29.9;1
193501;59.9;1
193502;76.3;1
193503;164.4;1
193504;104.5;1
193505;211;1
193506;266.8;1
193507;293.8;1
193508;211.6;1
193509;193.3;1
193510;89.6;1
193511;73.5;1
193512;29.9;1
193601;51.5;1
193602;106.1;1
193603;157.8;1
193604;133.8;1
193605;219.2;1
193606;156.3;1
193607;146.8;1
193608;219.5;1
193609;127.5;1
193610;103.6;1
193611;38.3;1
193612;35.3;1
193701;85.2;1
193702;65.4;1
193703;125.4;1
193704;145.1;1
193705;243.2;1
193706;217.9;1
193707;246.4;1
193708;198.7;1
193709;145.2;1
193710;113.8;1
193711;80.5;1
193712;54.2;1
193801;40.3;1
193802;115.9;1
193803;223.6;1
193804;250.2;1
193805;200.2;1
193806;259.8;1
193807;236.2;1
193808;204.7;1
193809;157.8;1
193810;110.3;1
193811;54.4;1
193812;52;1
193901;41.7;1
193902;87.3;1
193903;133.2;1
193904;155.6;1
193905;142.4;1
193906;251.3;1
193907;238.1;1
193908;176.8;1
193909;140;1
193910;52.8;1
193911;72.8;1
193912;53.9;1
194001;76.3;1
194002;75.7;1
194003;145.2;1
194004;139.7;1
194005;233.6;1
194006;246.6;1
194007;194.8;1
194008;247.5;1
194009;156.7;1
194010;79.7;1
194011;75.7;1
194012;70.7;1
194101;49;1
194102;70.2;1
194103;172.7;1
194104;158.4;1
194105;191.8;1
194106;236.4;1
194107;260.5;1
194108;174.7;1
194109;239.8;1
194110;75.9;1
194111;61.3;1
194112;51.4;1
194201;53.8;1
194202;63.1;1
194203;152.4;1
194204;206.8;1
194205;216.1;1
194206;273.3;1
194207;220.5;1
194208;247.4;1
194209;203.4;1
194210;109.4;1
194211;72.7;1
194212;41.7;1
194301;57.1;1
194302;114.7;1
194303;203.9;1
194304;211.9;1
194305;232.7;1
194306;258;1
194307;268;1
194308;248.9;1
194309;161;1
194310;141.5;1
194311;47.2;1
194312;39.4;1
194401;48.1;1
194402;66;1
194403;145.8;1
194404;187.8;1
194405;272.1;1
194406;234.2;1
194407;225.9;1
194408;272.1;1
194409;140.3;1
194410;77.8;1
194411;36.3;1
194412;73.1;1
194501;43.6;1
194502;94.8;1
194503;160.1;1
194504;243.8;1
194505;266;1
194506;291.7;1
194507;289.7;1
194508;188.4;1
194509;191.2;1
194510;178;1
194511;61.6;1
194512;33.7;1
194601;71.9;1
194602;39;1
194603;157.1;1
194604;231.3;1
194605;141.9;1
194606;161.7;1
194607;209.6;1
194608;215.3;1
194609;204.7;1
194610;98.7;1
194611;79.8;1
194612;23;1
194701;94.4;1
194702;44.6;1
194703;112.7;1
194704;222.1;1
194705;212.5;1
194706;265.3;1
194707;291.7;1
194708;301.2;1
194709;240.2;1
194710;195.8;1
194711;57.8;1
194712;34.5;1
194801;13.4;1
194802;99.5;1
194803;238.6;1
194804;181.4;1
194805;220.9;1
194806;200.5;1
194807;176.6;1
194808;182.4;1
194809;209.3;1
194810;140.5;1
194811;89.8;1
194812;45;1
