# DONNEES MENSUELLES HOMOGENEISEES de IN : Cumul mensuel des durées d'insolation (en heures et 1/10) 
# NUM_POSTE= 29075001
# NOM_USUEL= BREST-GUIPAVAS
# LATITUDE (°) = 48.45
# LONGITUDE(°)= -4.383
# ALTITUDE (m) = 94
# NUM_SERIE= MIN029075001
# Amplitude minimale détectable de la série = 0.06
# Période homogénéisée : 193101 201412
# Date(s) de rupture(s) d'homogénéité : 194512 194812 199312
#     Periode homogénéisée  193101 201412  : Q_HOM=1
YYYYMM;VALEUR;Q_HOM
193101;52.6;1
193102;63.4;1
193103;113;1
193104;124.3;1
193105;152.4;1
193106;171.9;1
193107;188.5;1
193108;166.5;1
193109;140.8;1
193110;138;1
193111;77.5;1
193112;39.9;1
193201;64.8;1
193202;79.8;1
193203;161.3;1
193204;171.1;1
193205;152.9;1
193206;235.5;1
193207;196.5;1
193208;209.3;1
193209;115;1
193210;122.9;1
193211;35.2;1
193212;55.3;1
193301;82.9;1
193302;58;1
193303;151;1
193304;170.4;1
193305;162.1;1
193306;195.2;1
193307;206.8;1
193308;186;1
193309;125.4;1
193310;84.5;1
193311;37.7;1
193312;43.2;1
193401;48.6;1
193402;106.4;1
193403;96;1
193404;112.3;1
193405;208.6;1
193406;191.7;1
193407;200.8;1
193408;189.6;1
193409;126.5;1
193410;65.8;1
193411;55.3;1
193412;31.4;1
193501;35.3;1
193502;60.6;1
193503;166.9;1
193504;118.9;1
193505;130.4;1
193506;135.8;1
193507;167.1;1
193508;230.7;1
193509;126.4;1
193510;77.4;1
193511;61.8;1
193512;20.1;1
193601;35.2;1
193602;48;1
193603;117.3;1
193604;116.1;1
193605;188.3;1
193606;142.1;1
193607;114.4;1
193608;171.8;1
193609;144.4;1
193610;84;1
193611;39.7;1
193612;48.7;1
193701;30.7;1
193702;42.1;1
193703;115.5;1
193704;94.2;1
193705;165.6;1
193706;216.7;1
193707;158.6;1
193708;225;1
193709;173.4;1
193710;98.6;1
193711;60.6;1
193712;29.2;1
193801;39.8;1
193802;64.7;1
193803;132.9;1
193804;191.7;1
193805;163.3;1
193806;221;1
193807;156.4;1
193808;152.6;1
193809;113.1;1
193810;121.4;1
193811;44.2;1
193812;67.7;1
193901;46.5;1
193902;106.4;1
193903;98.1;1
193904;167.4;1
193905;187.2;1
193906;168.9;1
193907;144.4;1
193908;179.7;1
193909;177.3;1
193910;105.4;1
193911;40.4;1
193912;39.3;1
194001;71.6;1
194002;43.6;1
194003;158.6;1
194004;108.8;1
194005;207.2;1
194006;233.2;1
194007;137.7;1
194008;213.8;1
194009;135.3;1
194010;94.1;1
194011;85.7;1
194012;71.8;1
194101;70.4;1
194102;69.4;1
194103;120.6;1
194104;164.6;1
194105;198.9;1
194106;168.5;1
194107;187.2;1
194108;126.2;1
194109;190.3;1
194110;140.9;1
194111;75.1;1
194112;53.8;1
194201;74.8;1
194202;53.1;1
194203;99.9;1
194204;160.2;1
194205;166.7;1
194206;228.2;1
194207;152.8;1
194208;168.2;1
194209;159.1;1
194210;75.7;1
194211;102.2;1
194212;61.2;1
194301;68.4;1
194302;114.9;1
194303;175.4;1
194304;177.6;1
194305;190.7;1
194306;220;1
194307;179.2;1
194308;156.9;1
194309;145.1;1
194310;87.9;1
194311;67.7;1
194312;29.7;1
194401;47.3;1
194402;81.7;1
194403;195.8;1
194404;153.9;1
194405;237.4;1
194406;190.4;1
194407;115.2;1
194408;161.4;1
194409;155.8;1
194410;88.8;1
194411;83.9;1
194412;70.3;1
194501;71.6;1
194502;68.4;1
194503;156.2;1
194504;190.7;1
194505;194.4;1
194506;218.9;1
194507;212.6;1
194508;166.5;1
194509;148.1;1
194510;136.6;1
194511;75.4;1
194512;24;1
194601;86.8;1
194602;37;1
194603;105.5;1
194604;209.2;1
194605;128;1
194606;150.2;1
194607;205.3;1
194608;159.6;1
194609;131.4;1
194610;113.8;1
194611;56;1
194612;64.5;1
194701;54.1;1
194702;47.3;1
194703;86.3;1
194704;155.3;1
194705;130.5;1
194706;174.9;1
194707;173.2;1
194708;237.4;1
194709;127.7;1
194710;140.3;1
194711;31.6;1
194712;28.5;1
194801;25.3;1
194802;55.1;1
194803;202;1
194804;203.7;1
194805;268.5;1
194806;140.1;1
194807;139.7;1
194808;153.6;1
194809;137;1
194810;109.8;1
194811;100.9;1
194812;67.1;1
194901;43.3;1
194902;97.8;1
194903;127.7;1
194904;133.2;1
194905;199.7;1
194906;244.4;1
194907;235;1
194908;216.7;1
194909;150.9;1
194910;81.6;1
194911;59.6;1
194912;57.5;1
195001;56.5;1
195002;66.4;1
195003;135.1;1
195004;145.7;1
195005;188.5;1
195006;178.3;1
195007;167.5;1
195008;195;1
195009;105.6;1
195010;94.9;1
195011;53.8;1
195012;48;1
195101;53.1;1
195102;88.2;1
195103;88.4;1
195104;169;1
195105;153;1
195106;180.2;1
195107;243.7;1
195108;168.7;1
195109;108.4;1
195110;117.2;1
195111;63.4;1
195112;46.2;1
195201;71.8;1
195202;93.3;1
195203;69.7;1
195204;197.2;1
195205;237.9;1
195206;213.5;1
195207;174.3;1
195208;196.9;1
195209;133.6;1
195210;86.8;1
195211;52.2;1
195212;49.1;1
195301;71.9;1
195302;71;1
195303;202.9;1
195304;159.3;1
195305;160.9;1
195306;153.9;1
195307;169.4;1
195308;191.1;1
195309;167.2;1
195310;106.2;1
195311;50.9;1
195312;57.3;1
195401;56.8;1
195402;51;1
195403;132.9;1
195404;231.1;1
195405;179.5;1
195406;133.8;1
195407;120.7;1
195408;161;1
195409;143.3;1
195410;98.7;1
195411;51.8;1
195412;34.3;1
195501;34.4;1
195502;74.4;1
195503;155.4;1
195504;193.8;1
195505;218;1
195506;174.3;1
195507;265.2;1
195508;265.9;1
195509;147.1;1
195510;117.9;1
195511;81.7;1
195512;43.6;1
195601;57.2;1
195602;68.9;1
195603;141.1;1
195604;178.1;1
195605;236.9;1
195606;163.4;1
195607;159;1
195608;178.9;1
195609;73.5;1
195610;117.4;1
195611;52.6;1
195612;22.9;1
195701;59;1
195702;76.1;1
195703;107.9;1
195704;115.3;1
195705;230.4;1
195706;229.6;1
195707;148.4;1
195708;163.5;1
195709;125.9;1
195710;108.6;1
195711;69.8;1
195712;61.2;1
195801;60.3;1
195802;57.9;1
195803;79.3;1
195804;136.7;1
195805;182.9;1
195806;190.7;1
195807;166.6;1
195808;120.6;1
195809;155.5;1
195810;86.5;1
195811;65.2;1
195812;73.8;1
195901;88.1;1
195902;128.2;1
195903;157.6;1
195904;141.2;1
195905;204.3;1
195906;219.2;1
195907;255.9;1
195908;204.4;1
195909;217.9;1
195910;139.4;1
195911;64.3;1
195912;41.4;1
196001;70.8;1
196002;106.5;1
196003;107.6;1
196004;182.6;1
196005;216.6;1
196006;233.6;1
196007;184;1
196008;162.8;1
196009;158.1;1
196010;96.1;1
196011;70.1;1
196012;59.5;1
196101;51.7;1
196102;72.5;1
196103;168.5;1
196104;156.7;1
196105;225.1;1
196106;202.6;1
196107;207.4;1
196108;176.6;1
196109;172.2;1
196110;115.4;1
196111;64;1
196112;62.6;1
196201;46.1;1
196202;86.6;1
196203;113.6;1
196204;158.9;1
196205;177.8;1
196206;259.4;1
196207;173.2;1
196208;158.2;1
196209;167.1;1
196210;142.1;1
196211;75;1
196212;76.3;1
196301;93.7;1
196302;98;1
196303;116.5;1
196304;119.1;1
196305;189.2;1
196306;148.3;1
196307;179.1;1
196308;131.3;1
196309;117.2;1
196310;76.3;1
196311;67.2;1
196312;72.8;1
196401;74.7;1
196402;67.8;1
196403;74.1;1
196404;108.2;1
196405;157.4;1
196406;178.4;1
196407;191.9;1
196408;175.9;1
196409;143.1;1
196410;103.5;1
196411;63.7;1
196412;58.4;1
196501;49.4;1
196502;65.5;1
196503;120.4;1
196504;141.3;1
196505;120.8;1
196506;169.6;1
196507;153.9;1
196508;140.3;1
196509;143;1
196510;132.7;1
196511;56.4;1
196512;42.4;1
196601;41.1;1
196602;49;1
196603;127.6;1
196604;119.4;1
196605;207.8;1
196606;162.8;1
196607;178.2;1
196608;198.7;1
196609;151.6;1
196610;96.7;1
