# DONNEES MENSUELLES HOMOGENEISEES de IN : Cumul mensuel des durées d'insolation (en heures et 1/10) 
# NUM_POSTE= 63113001
# NOM_USUEL= CLERMONT-FD
# LATITUDE (°) = 45.787
# LONGITUDE(°)= 3.149
# ALTITUDE (m) = 331
# NUM_SERIE= MIN063113001
# Amplitude minimale détectable de la série = 0.04
# Période homogénéisée : 193101 201412
# Date(s) de rupture(s) d'homogénéité : 193512
#     Periode homogénéisée  193101 201412  : Q_HOM=1
YYYYMM;VALEUR;Q_HOM
193101;65.5;1
193102;65.1;1
193103;120.2;1
193104;123.6;1
193105;167.6;1
193106;271.4;1
193107;262.1;1
193108;184.7;1
193109;147.6;1
193110;181.5;1
193111;77.4;1
193112;62.4;1
193201;70.5;1
193202;116.6;1
193203;135.4;1
193204;133.9;1
193205;171.8;1
193206;185;1
193207;187.3;1
193208;272.4;1
193209;159.2;1
193210;157.6;1
193211;90.8;1
193212;52.5;1
193301;89;1
193302;109.9;1
193303;188.7;1
193304;204.3;1
193305;232.2;1
193306;184.3;1
193307;335.3;1
193308;344.4;1
193309;179.3;1
193310;101.9;1
193311;59.7;1
193312;31.1;1
193401;56.8;1
193402;124.5;1
193403;105;1
193404;165.9;1
193405;270.4;1
193406;264.4;1
193407;323.7;1
193408;232.7;1
193409;195.8;1
193410;121.3;1
193411;49.8;1
193412;73.8;1
193501;24.5;1
193502;85.1;1
193503;188.8;1
193504;118.8;1
193505;189.6;1
193506;289.6;1
193507;316.6;1
193508;250.8;1
193509;201.8;1
193510;98.9;1
193511;81.4;1
193512;28.2;1
193601;78.5;1
193602;105.5;1
193603;140.6;1
193604;116.5;1
193605;193.8;1
193606;214.1;1
193607;184.8;1
193608;262.4;1
193609;177.6;1
193610;120.4;1
193611;89.9;1
193612;75.7;1
193701;115.1;1
193702;97.3;1
193703;123.7;1
193704;136.9;1
193705;235.7;1
193706;220.2;1
193707;303.3;1
193708;281.1;1
193709;173.8;1
193710;120.1;1
193711;91.3;1
193712;44;1
193801;79;1
193802;123.8;1
193803;228.8;1
193804;253;1
193805;180.6;1
193806;290.3;1
193807;247.4;1
193808;214.3;1
193809;124.2;1
193810;164;1
193811;112.2;1
193812;51;1
193901;70.1;1
193902;128.4;1
193903;92.6;1
193904;135.6;1
193905;148.4;1
193906;221;1
193907;260.2;1
193908;224.3;1
193909;129.3;1
193910;83.7;1
193911;79.3;1
193912;47.1;1
194001;82.6;1
194002;91.7;1
194003;167.3;1
194004;138.9;1
194005;214.3;1
194006;226.4;1
194007;220.1;1
194008;282.5;1
194009;167.6;1
194010;112.2;1
194011;97.9;1
194012;84;1
194101;78.2;1
194102;88.8;1
194103;178.1;1
194104;168.4;1
194105;178.8;1
194106;223.5;1
194107;263.3;1
194108;189.7;1
194109;245.7;1
194110;111.2;1
194111;82.3;1
194112;77.3;1
194201;61.9;1
194202;66.3;1
194203;161.3;1
194204;176.8;1
194205;211.1;1
194206;262.7;1
194207;228.1;1
194208;239.9;1
194209;186.5;1
194210;131.8;1
194211;94.7;1
194212;54.4;1
194301;89.5;1
194302;127.8;1
194303;198.8;1
194304;208.2;1
194305;225.6;1
194306;264.1;1
194307;251.2;1
194308;261.6;1
194309;157.8;1
194310;160.1;1
194311;70.3;1
194312;59.6;1
194401;81.8;1
194402;62.6;1
194403;170.5;1
194404;185.6;1
194405;254;1
194406;214.1;1
194407;231;1
194408;256;1
194409;136.1;1
194410;70.1;1
194411;52.9;1
194412;79.5;1
194501;73.6;1
194502;112.4;1
194503;188.4;1
194504;231.5;1
194505;238.6;1
194506;269;1
194507;285.1;1
194508;189.8;1
194509;199.5;1
194510;207.6;1
194511;92.2;1
194512;54.2;1
194601;97.9;1
194602;62.7;1
194603;162.2;1
194604;197.5;1
194605;153.8;1
194606;189.6;1
194607;244.6;1
194608;220.3;1
194609;192.7;1
194610;136.1;1
194611;103.9;1
194612;44.9;1
194701;126.7;1
194702;70.3;1
194703;123.9;1
194704;229.1;1
194705;199.4;1
194706;239.3;1
194707;294.8;1
194708;262.5;1
194709;208.6;1
194710;188.3;1
194711;92.5;1
194712;41.8;1
194801;37;1
194802;107.1;1
194803;239.2;1
194804;173.1;1
194805;208.9;1
194806;171.9;1
194807;180.8;1
194808;198.6;1
194809;197.8;1
194810;188.6;1
194811;139.7;1
194812;114.2;1
194901;117.6;1
194902;164.2;1
194903;202.4;1
194904;199.4;1
194905;148.3;1
194906;311.6;1
194907;365.1;1
194908;298.5;1
194909;222;1
194910;206.2;1
194911;74.9;1
194912;73;1
195001;67.1;1
195002;114;1
195003;191;1
195004;160.6;1
195005;273.3;1
195006;290.7;1
195007;309.6;1
195008;252;1
195009;184;1
195010;166.3;1
195011;65.5;1
195012;59;1
195101;88.3;1
195102;93.9;1
195103;129.1;1
195104;180.2;1
195105;123.5;1
195106;199.3;1
195107;289.6;1
195108;210.3;1
195109;186.6;1
195110;127.8;1
195111;78.4;1
195112;126.6;1
195201;79.3;1
195202;85.3;1
195203;138.1;1
195204;206.9;1
195205;313.3;1
195206;299;1
195207;335.2;1
195208;226.5;1
195209;128.3;1
195210;88.4;1
195211;43.6;1
195212;68.5;1
195301;53.2;1
195302;96.1;1
195303;258.9;1
195304;174.2;1
195305;220.2;1
195306;135.1;1
195307;212.2;1
195308;273.7;1
195309;207.9;1
195310;136.5;1
195311;153.4;1
195312;75.2;1
195401;50.1;1
195402;92.3;1
195403;156.3;1
195404;157.4;1
195405;188.7;1
195406;219.8;1
195407;227;1
195408;178.8;1
195409;183.7;1
195410;163.4;1
195411;96.4;1
195412;72.4;1
195501;66.6;1
195502;84.4;1
195503;145;1
195504;295.6;1
195505;230.3;1
195506;174.1;1
195507;223.6;1
195508;270.5;1
195509;186.8;1
195510;179.6;1
195511;135.4;1
195512;66.2;1
195601;67.3;1
195602;108.3;1
195603;181.6;1
195604;157;1
195605;226;1
195606;164.7;1
195607;230.2;1
195608;176.4;1
195609;234.9;1
195610;146;1
195611;74;1
195612;74.9;1
195701;124.7;1
195702;107.1;1
195703;205.9;1
195704;155.6;1
195705;174.6;1
195706;208.7;1
195707;234.5;1
195708;239.8;1
195709;209.3;1
195710;212.8;1
195711;45.2;1
195712;72.1;1
195801;98.8;1
195802;102.5;1
195803;120;1
195804;131.6;1
195805;251.1;1
195806;210.5;1
195807;228.2;1
195808;232.1;1
195809;224.4;1
195810;150.2;1
195811;31.5;1
195812;57.6;1
195901;106.3;1
195902;166.9;1
195903;129;1
195904;198.6;1
195905;227.6;1
195906;219.4;1
195907;301.7;1
195908;258.7;1
195909;205.3;1
195910;178;1
195911;100.2;1
195912;77.3;1
196001;74.3;1
196002;117;1
196003;132.4;1
196004;165.5;1
196005;262.3;1
196006;248;1
196007;188.2;1
196008;196;1
196009;149.2;1
196010;96.8;1
196011;66.7;1
196012;42.8;1
196101;57.2;1
196102;128.8;1
196103;213.5;1
196104;164.7;1
196105;202.9;1
196106;213.9;1
196107;260.6;1
196108;228.8;1
196109;220.3;1
196110;130.5;1
196111;57.6;1
196112;87;1
196201;74.1;1
196202;86.1;1
196203;137.1;1
196204;182.6;1
196205;175.6;1
196206;293.8;1
196207;259.8;1
196208;298.5;1
196209;225.3;1
196210;145.7;1
196211;73.6;1
196212;80.9;1
196301;84.6;1
196302;97.1;1
196303;167.4;1
196304;147.6;1
196305;212.1;1
196306;192.1;1
196307;259.6;1
196308;207.1;1
196309;165.7;1
196310;175.2;1
196311;98.7;1
196312;90.1;1
196401;73.2;1
196402;70.6;1
196403;76.1;1
196404;156.8;1
196405;215;1
196406;276.7;1
196407;316.5;1
196408;230.3;1
196409;198.3;1
196410;117;1
196411;37.6;1
196412;58.3;1
196501;55.8;1
196502;71.2;1
196503;148.6;1
196504;114.5;1
196505;182.6;1
196506;205.5;1
196507;178.4;1
196508;199.3;1
196509;146;1
196510;163.9;1
196511;46.2;1
196512;52.1;1
196601;77.2;1
196602;86.4;1
196603;189.5;1
196604;135.8;1
196605;218.7;1
196606;233;1
196607;214.9;1
196608;182.7;1
196609;242.7;1
196610;85.1;1
196611;56.3;1
196612;41.3;1
196701;81.1;1
196702;134.1;1
196703;146.2;1
196704;211.8;1
196705;215.9;1
196706;233.9;1
196707;324;1
196708;228.1;1
196709;156.2;1
196710;159.8;1
196711;95.7;1
196712;47.8;1
196801;88.2;1
196802;93.8;1
196803;147.5;1
196804;209.2;1
196805;163.9;1
196806;242.6;1
196807;273;1
196808;177.8;1
196809;179.5;1
196810;171.5;1
196811;66.7;1
196812;61.9;1
196901;84.6;1
196902;99.8;1
196903;83.7;1
196904;167.7;1
196905;213;1
196906;158.2;1
196907;275.4;1
196908;214.8;1
196909;173.6;1
196910;198.1;1
196911;110.9;1
196912;37.7;1
197001;69.5;1
197002;67.6;1
197003;117.4;1
197004;154.1;1
197005;227.3;1
197006;216.2;1
197007;270.4;1
197008;209.1;1
197009;248.9;1
197010;139.1;1
197011;130.1;1
197012;61;1
197101;107.4;1
197102;104.1;1
197103;138.8;1
197104;183.6;1
197105;181.2;1
197106;183;1
197107;300.8;1
197108;248.5;1
197109;222.2;1
197110;205.7;1
197111;56.9;1
197112;94.2;1
197201;84.1;1
197202;87.9;1
197203;171.5;1
197204;119;1
197205;169.6;1
197206;221.6;1
197207;253.3;1
197208;185.6;1
197209;192.9;1
197210;151.7;1
197211;118.4;1
197212;136.1;1
197301;58.6;1
197302;104.6;1
197303;193.6;1
197304;177.5;1
197305;234.7;1
197306;260.8;1
197307;212.9;1
197308;247.8;1
197309;228;1
197310;163.9;1
197311;131.8;1
197312;67.5;1
197401;72.2;1
197402;53.2;1
197403;96.6;1
197404;189.9;1
197405;209.7;1
197406;259;1
197407;286.6;1
197408;261.8;1
197409;158.6;1
197410;60.7;1
197411;89.7;1
197412;80.3;1
197501;91.2;1
197502;172.9;1
197503;83.2;1
197504;199.3;1
197505;162.7;1
197506;222.1;1
197507;324;1
197508;227.4;1
197509;152.7;1
197510;164.5;1
197511;78.2;1
197512;41.1;1
197601;70.6;1
197602;94.2;1
197603;213.2;1
197604;219.8;1
197605;276.6;1
197606;352.7;1
197607;253;1
197608;255.1;1
197609;166.6;1
197610;125.9;1
197611;80.7;1
197612;88.8;1
197701;54.6;1
197702;97;1
197703;157.3;1
197704;122.2;1
197705;122.6;1
197706;163.3;1
197707;202.8;1
197708;187.6;1
197709;229.5;1
197710;162.4;1
197711;104.8;1
197712;77.8;1
197801;64;1
197802;48.9;1
197803;124.4;1
197804;132.3;1
197805;138.5;1
197806;186.2;1
197807;226.9;1
197808;283.3;1
197809;252.9;1
197810;157.9;1
197811;134.2;1
197812;68.1;1
197901;105.4;1
197902;53.4;1
197903;107.1;1
197904;134.1;1
197905;205.1;1
197906;216.3;1
197907;295;1
197908;195.2;1
197909;234.8;1
197910;110.5;1
197911;99.5;1
197912;102.8;1
198001;83.5;1
198002;106.5;1
198003;108.5;1
198004;145.8;1
198005;162.2;1
198006;173.2;1
198007;197.9;1
198008;259.7;1
198009;263.7;1
198010;157.3;1
198011;101.9;1
198012;84.4;1
198101;70;1
198102;108.5;1
198103;125.3;1
198104;190.8;1
198105;137.4;1
198106;221.4;1
198107;201.9;1
198108;245.5;1
198109;148.6;1
198110;97.1;1
198111;149;1
198112;52.2;1
198201;41.7;1
198202;124.5;1
198203;145;1
198204;251.8;1
198205;204.2;1
198206;212.5;1
198207;260.6;1
198208;220.6;1
198209;210.2;1
198210;118.1;1
198211;90.8;1
198212;50.3;1
198301;110.1;1
198302;83.2;1
198303;146.4;1
198304;124.9;1
198305;148.2;1
198306;240.8;1
198307;320.2;1
198308;207.8;1
198309;224.2;1
198310;162.8;1
198311;98;1
198312;113.2;1
198401;76.4;1
198402;92.6;1
198403;133.9;1
198404;236.2;1
198405;109.3;1
198406;255.3;1
198407;324.6;1
198408;210;1
198409;155.3;1
198410;133.1;1
198411;91.2;1
198412;90.6;1
198501;57;1
198502;123.9;1
198503;116.9;1
198504;205.7;1
198505;149.6;1
198506;223.6;1
198507;307.1;1
198508;270.2;1
198509;272.2;1
198510;185.6;1
198511;54.7;1
198512;85.6;1
198601;77.4;1
198602;60.1;1
198603;169;1
198604;95.1;1
198605;174.9;1
198606;220.5;1
198607;310.1;1
198608;247.9;1
198609;197.8;1
198610;145.8;1
198611;125.1;1
198612;113.2;1
198701;57.9;1
198702;54.9;1
198703;121.4;1
198704;209.3;1
198705;192;1
198706;170.6;1
198707;192.4;1
198708;255.5;1
198709;201.8;1
198710;101.5;1
198711;70.4;1
198712;80.8;1
198801;75.1;1
198802;121.8;1
198803;110.6;1
198804;159.8;1
198805;117.9;1
198806;187.2;1
198807;305.8;1
198808;244.9;1
198809;157.6;1
198810;136.1;1
198811;121.8;1
198812;44.9;1
198901;132.8;1
198902;117.5;1
198903;192.6;1
198904;123.2;1
198905;296.9;1
198906;270.7;1
198907;261.9;1
198908;268.1;1
198909;198.7;1
198910;172.2;1
198911;136.6;1
198912;112.7;1
199001;114.5;1
199002;127.7;1
199003;176.7;1
199004;125.9;1
199005;242.3;1
199006;203.9;1
199007;293.7;1
199008;289.2;1
199009;226.9;1
199010;133.1;1
199011;66.7;1
199012;54.8;1
199101;89;1
199102;125.9;1
199103;126;1
199104;196.8;1
199105;233.5;1
199106;197.6;1
199107;272.4;1
199108;314.4;1
199109;194.9;1
199110;108.8;1
199111;91.9;1
199112;89.5;1
199201;89.1;1
199202;144.2;1
199203;113;1
199204;173;1
199205;234.2;1
199206;130.9;1
199207;234;1
199208;246.4;1
199209;188.9;1
199210;49.2;1
199211;85.4;1
199212;62.6;1
199301;97.8;1
199302;132.6;1
199303;179.3;1
199304;124.5;1
199305;163.9;1
199306;216.7;1
199307;228.4;1
199308;257;1
199309;138.3;1
199310;86.8;1
199311;51.3;1
199312;54.5;1
199401;78;1
199402;62.8;1
199403;153;1
199404;116.1;1
199405;184.8;1
199406;218.8;1
199407;263.4;1
199408;245.9;1
