# DONNEES MENSUELLES HOMOGENEISEES de IN : Cumul mensuel des durées d'insolation (en heures et 1/10) 
# NUM_POSTE= 67124001
# NOM_USUEL= STRASBOURG-ENTZHEIM
# LATITUDE (°) = 48.55
# LONGITUDE(°)= 7.64
# ALTITUDE (m) = 150
# NUM_SERIE= MIN067124001
# Amplitude minimale détectable de la série = 0.05
# Période homogénéisée : 193101 201412
# Date(s) de rupture(s) d'homogénéité : 194512 194812 196012 199512
#     Periode homogénéisée  193101 201412  : Q_HOM=1
YYYYMM;VALEUR;Q_HOM
193101;61.8;1
193102;67;1
193103;176.3;1
193104;158;1
193105;241.5;1
193106;269.9;1
193107;179.3;1
193108;152.7;1
193109;125;1
193110;157.5;1
193111;69.5;1
193112;60.3;1
193201;47.2;1
193202;146.8;1
193203;176.7;1
193204;142.7;1
193205;166.3;1
193206;196.2;1
193207;189.2;1
193208;249.7;1
193209;142;1
193210;87.7;1
193211;44.1;1
193212;21.1;1
193301;57;1
193302;93;1
193303;190.5;1
193304;182.6;1
193305;166.4;1
193306;182.9;1
193307;277.8;1
193308;265.5;1
193309;187.5;1
193310;95.6;1
193311;30.2;1
193312;75.1;1
193401;54.3;1
193402;107.7;1
193403;156;1
193404;225.6;1
193405;265.6;1
193406;234.8;1
193407;297.9;1
193408;171.5;1
193409;176.8;1
193410;114;1
193411;47.6;1
193412;19.5;1
193501;47;1
193502;76.3;1
193503;197.9;1
193504;105.3;1
193505;219.2;1
193506;243.5;1
193507;297;1
193508;209.2;1
193509;172.9;1
193510;49.4;1
193511;69.6;1
193512;29.6;1
193601;40.5;1
193602;119.5;1
193603;166.4;1
193604;120.3;1
193605;226.5;1
193606;180.9;1
193607;162.6;1
193608;222.5;1
193609;137.4;1
193610;89.6;1
193611;36.7;1
193612;25.1;1
193701;67.9;1
193702;47.8;1
193703;93.8;1
193704;121.3;1
193705;257.5;1
193706;220.8;1
193707;225.2;1
193708;242.2;1
193709;155.1;1
193710;70.7;1
193711;68.3;1
193712;33.5;1
193801;32.2;1
193802;100;1
193803;224;1
193804;154.5;1
193805;195.8;1
193806;205.1;1
193807;201.3;1
193808;204;1
193809;173.2;1
193810;140.4;1
193811;49.7;1
193812;36.9;1
193901;50.3;1
193902;87.7;1
193903;110.6;1
193904;142.2;1
193905;97.9;1
193906;225.2;1
193907;207.3;1
193908;215.1;1
193909;129.4;1
193910;29.6;1
193911;63.6;1
193912;45.9;1
194001;70.5;1
194002;49.5;1
194003;131.8;1
194004;147.1;1
194005;224.8;1
194006;278.9;1
194007;164.6;1
194008;211.2;1
194009;139.4;1
194010;39.2;1
194011;62.4;1
194012;55.8;1
194101;33.4;1
194102;48.9;1
194103;161.5;1
194104;121.3;1
194105;196.8;1
194106;220.2;1
194107;238.3;1
194108;160.9;1
194109;195.5;1
194110;46;1
194111;35.5;1
194112;40.3;1
194201;70.8;1
194202;59;1
194203;135.7;1
194204;217;1
