# DONNEES MENSUELLES HOMOGENEISEES de IN : Cumul mensuel des durées d'insolation (en heures et 1/10) 
# NUM_POSTE= 31069001
# NOM_USUEL= TOULOUSE-BLAGNAC
# LATITUDE (°) = 43.621
# LONGITUDE(°)= 1.379
# ALTITUDE (m) = 151
# NUM_SERIE= MIN131069001
# Amplitude minimale détectable de la série = 0.05
# Période homogénéisée : 193101 201412
# Date(s) de rupture(s) d'homogénéité : 194612 195412
#     Periode homogénéisée  193101 201412  : Q_HOM=1
YYYYMM;VALEUR;Q_HOM
193101;70.2;1
193102;87.1;1
193103;141.2;1
193104;203.8;1
193105;193;1
193106;261.7;1
193107;276;1
193108;194.4;1
193109;219.6;1
193110;141.6;1
193111;98.5;1
193112;65.6;1
193201;100.8;1
193202;143.5;1
193203;181.2;1
193204;174.8;1
193205;194.5;1
193206;204.9;1
193207;166.2;1
193208;235.3;1
193209;192.7;1
193210;119.6;1
193211;105.9;1
193212;76.8;1
193301;105.4;1
193302;115.1;1
193303;191.7;1
193304;221.9;1
193305;187.7;1
193306;129.1;1
193307;264.3;1
193308;277.1;1
193309;196.7;1
193310;130.1;1
193311;62.9;1
193312;46.6;1
193401;79.4;1
193402;123.8;1
193403;116.6;1
193404;166.6;1
193405;281.9;1
193406;220.2;1
193407;251;1
193408;225.5;1
193409;201.7;1
193410;176.2;1
193411;67.3;1
193412;79.9;1
193501;52.8;1
193502;78.7;1
193503;213.7;1
193504;225.2;1
193505;191.9;1
193506;266.7;1
193507;228.9;1
193508;243.3;1
193509;176.7;1
193510;121.8;1
193511;73;1
193512;39.6;1
193601;78.9;1
193602;123.6;1
193603;164.8;1
193604;134.8;1
193605;167.2;1
193606;191.7;1
193607;217.5;1
193608;231.4;1
193609;156.2;1
193610;129.2;1
193611;96.4;1
193612;83.8;1
193701;122.6;1
193702;61.8;1
193703;150.2;1
193704;155.7;1
193705;244.9;1
193706;230.1;1
193707;283.6;1
193708;295.1;1
193709;222.7;1
193710;161.1;1
193711;113.4;1
193712;33.9;1
193801;74.9;1
193802;137.2;1
193803;231.9;1
193804;312.6;1
193805;174;1
193806;231.8;1
193807;246.9;1
193808;199.6;1
193809;155;1
193810;145.3;1
193811;115.9;1
193812;63;1
193901;88.9;1
193902;142.3;1
193903;123.1;1
193904;153.4;1
193905;158.5;1
193906;233.8;1
193907;220.4;1
193908;208.8;1
193909;194.2;1
193910;131.6;1
193911;95.6;1
193912;61.8;1
194001;113.3;1
194002;103.3;1
194003;213.2;1
194004;154.4;1
194005;237.6;1
194006;211.7;1
194007;258.1;1
194008;271.4;1
194009;177.4;1
194010;129.3;1
194011;113;1
194012;57.2;1
194101;41.5;1
194102;70.2;1
194103;173.7;1
194104;210.4;1
194105;204.3;1
194106;226.9;1
194107;241.5;1
194108;183;1
194109;247.2;1
194110;149.3;1
194111;103.9;1
194112;92.1;1
194201;83.8;1
194202;63.8;1
194203;178.9;1
194204;179.9;1
194205;254.3;1
194206;272.9;1
194207;243.9;1
194208;224.5;1
194209;178.3;1
194210;169.9;1
194211;114.5;1
194212;84.5;1
194301;113;1
194302;126.7;1
194303;203.6;1
194304;264.8;1
194305;250.3;1
194306;287.3;1
194307;273.7;1
194308;234.6;1
194309;156.4;1
194310;117.3;1
194311;58.6;1
194312;63.5;1
194401;68.4;1
194402;78.2;1
194403;234.6;1
194404;234.6;1
194405;283.5;1
194406;244.4;1
194407;224.8;1
194408;215;1
194409;175.9;1
194410;88;1
194411;78.2;1
194412;73.3;1
194501;78.2;1
194502;107.5;1
194503;195.5;1
194504;273.7;1
194505;224.8;1
194506;322.6;1
194507;332.3;1
194508;224.8;1
194509;195.5;1
194510;195.5;1
194511;72.8;1
194512;92.7;1
194601;110.5;1
194602;124.6;1
194603;167.1;1
194604;141.8;1
194605;178.3;1
194606;222.7;1
194607;264.5;1
194608;233.1;1
194609;212.8;1
194610;170.9;1
194611;108.8;1
194612;49.6;1
194701;71.4;1
194702;48.7;1
194703;154.2;1
194704;271.1;1
194705;167.3;1
194706;258.7;1
194707;293.5;1
194708;291.8;1
194709;234.3;1
194710;176.4;1
194711;93.4;1
194712;37;1
194801;61.6;1
194802;93.8;1
194803;231.4;1
194804;192.2;1
194805;204.2;1
194806;192.7;1
194807;287.7;1
194808;281.9;1
194809;233.1;1
