# DONNEES MENSUELLES HOMOGENEISEES de IN : Cumul mensuel des durées d'insolation (en heures et 1/10) 
# NUM_POSTE= 33281001
# NOM_USUEL= BORDEAUX-MERIGNAC
# LATITUDE (°) = 44.831
# LONGITUDE(°)= -0.691
# ALTITUDE (m) = 47
# NUM_SERIE= MIN133281001
# Amplitude minimale détectable de la série = 0.06
# Période homogénéisée : 193101 201412
# Date(s) de rupture(s) d'homogénéité : 194512 195412
#     Periode homogénéisée  193101 201412  : Q_HOM=1
YYYYMM;VALEUR;Q_HOM
193101;75.5;1
193102;75.2;1
193103;113;1
193104;174.9;1
193105;182.5;1
193106;236.2;1
193107;209.5;1
193108;187.8;1
193109;213.4;1
193110;168;1
193111;68.5;1
193112;72.7;1
193201;100.2;1
193202;150.5;1
193203;176.6;1
193204;150.3;1
193205;176.6;1
193206;222.7;1
193207;203.5;1
193208;250;1
193209;204.7;1
193210;118.7;1
193211;103.8;1
193212;100.1;1
193301;136.4;1
193302;125.5;1
193303;187.4;1
193304;254.6;1
193305;194.2;1
193306;194.7;1
193307;291.4;1
193308;295.5;1
193309;191.7;1
193310;130.7;1
193311;83.6;1
193312;33.6;1
193401;81.5;1
193402;133.8;1
193403;124.2;1
193404;156.5;1
193405;304.7;1
193406;256.1;1
193407;298.5;1
193408;229.3;1
193409;196.7;1
193410;149.4;1
193411;58.5;1
193412;71.6;1
193501;80.9;1
193502;70.9;1
193503;234.9;1
193504;166.5;1
193505;189.1;1
193506;250.3;1
193507;238.7;1
193508;242.6;1
193509;170.2;1
193510;103.5;1
193511;70.3;1
193512;40.7;1
193601;56.2;1
193602;92.1;1
193603;141.7;1
193604;181.3;1
193605;171.1;1
193606;235.7;1
193607;171.5;1
193608;237.2;1
193609;195.6;1
193610;179.6;1
193611;83.1;1
193612;81.4;1
193701;106.6;1
193702;51.4;1
193703;131.8;1
193704;163.4;1
193705;248.3;1
193706;239.6;1
193707;317.5;1
193708;309.7;1
193709;179.7;1
193710;146.9;1
193711;116.8;1
193712;71.7;1
193801;82.5;1
193802;126.2;1
193803;225.1;1
193804;256.7;1
193805;167.4;1
193806;264.3;1
193807;265.5;1
193808;182;1
193809;115.4;1
193810;153.6;1
193811;89.7;1
193812;46;1
193901;61;1
193902;144.7;1
193903;101.3;1
