# DONNEES MENSUELLES HOMOGENEISEES de IN : Cumul mensuel des durées d'insolation (en heures et 1/10) 
# NUM_POSTE= 35281001
# NOM_USUEL= RENNES-ST JACQUES
# LATITUDE (°) = 48.069
# LONGITUDE(°)= -1.734
# ALTITUDE (m) = 36
# NUM_SERIE= MIN135281001
# Amplitude minimale détectable de la série = 0.04
# Période homogénéisée : 193101 201412
# Date(s) de rupture(s) d'homogénéité : 193112 198906
#     Periode homogénéisée  193101 201412  : Q_HOM=1
YYYYMM;VALEUR;Q_HOM
193101;47.5;1
193102;55.9;1
193103;109.4;1
193104;102.7;1
193105;147.6;1
193106;241.5;1
193107;192;1
193108;150.7;1
193109;157.8;1
193110;181;1
193111;82.8;1
193112;69.4;1
193201;63.3;1
193202;127.1;1
193203;166.8;1
193204;125.8;1
193205;130.4;1
193206;203.9;1
193207;182.9;1
193208;198.6;1
193209;141.3;1
193210;119.7;1
193211;48.2;1
193212;67.2;1
193301;99.6;1
193302;78.2;1
193303;192.1;1
193304;206.8;1
193305;222.2;1
193306;220.2;1
193307;282.5;1
193308;250;1
193309;127.4;1
193310;134.3;1
193311;60.5;1
193312;81.4;1
193401;77.6;1
193402;128.6;1
193403;174.6;1
193404;123.3;1
193405;246.8;1
193406;235.1;1
193407;293.4;1
193408;204.1;1
193409;166.9;1
193410;78.2;1
193411;73.6;1
193412;40.7;1
193501;59.5;1
193502;80.6;1
193503;179.3;1
193504;135.8;1
193505;166.1;1
193506;162.2;1
193507;220.6;1
193508;210;1
193509;148;1
193510;84.5;1
193511;81.5;1
193512;36.1;1
193601;52.3;1
193602;63.4;1
193603;118.2;1
193604;167.9;1
193605;207.8;1
193606;167.7;1
193607;129.1;1
193608;189.2;1
193609;127.2;1
193610;90.3;1
193611;25;1
193612;43.8;1
193701;55.5;1
193702;59.5;1
193703;143.9;1
193704;113;1
193705;173.1;1
193706;208.7;1
193707;177.8;1
193708;237.8;1
193709;176.1;1
193710;115.9;1
193711;86.5;1
193712;48.9;1
193801;43.1;1
193802;106.2;1
193803;192.5;1
193804;203.4;1
193805;201.8;1
193806;240.1;1
193807;189.7;1
193808;127.7;1
193809;113.1;1
193810;115.5;1
193811;53.7;1
193812;63.1;1
193901;64.6;1
193902;123.4;1
193903;110.4;1
193904;198.3;1
193905;235.2;1
193906;209.9;1
193907;208.9;1
193908;192.3;1
193909;199.4;1
193910;94;1
193911;53.3;1
193912;82.7;1
194001;100.3;1
194002;53.5;1
194003;156.4;1
194004;153.4;1
194005;233.1;1
194006;263.1;1
194007;187.9;1
194008;253.7;1
194009;150.3;1
194010;112.7;1
194011;84.6;1
194012;79.9;1
194101;76.5;1
194102;75.4;1
194103;133.3;1
194104;182.2;1
194105;216.5;1
194106;203.4;1
194107;229.3;1
194108;153;1
194109;214.5;1
194110;154.1;1
194111;82.1;1
194112;61.3;1
194201;81.3;1
194202;57.3;1
194203;110.7;1
194204;177.7;1
194205;183.5;1
194206;267.8;1
194207;190.9;1
194208;198.2;1
194209;181.1;1
194210;85.1;1
194211;111.1;1
194212;69.3;1
194301;74.4;1
194302;126.2;1
194303;193.1;1
194304;195.5;1
194305;208.1;1
194306;258.9;1
194307;220.3;1
194308;186.1;1
194309;166.1;1
194310;98.1;1
194311;74.2;1
194312;35.6;1
194401;51.2;1
194402;89.1;1
194403;215.4;1
194404;171.1;1
194405;255.9;1
194406;227.1;1
194407;148.9;1
194408;190.9;1
194409;177.6;1
194410;99;1
194411;91.6;1
194412;78.9;1
194501;77.8;1
194502;74.3;1
194503;172.2;1
194504;209;1
194505;211.9;1
194506;257.8;1
194507;257.6;1
194508;203.6;1
194509;155.8;1
194510;162.9;1
194511;101.1;1
194512;52.2;1
194601;88.3;1
194602;49.9;1
194603;113.5;1
194604;219.9;1
194605;124.1;1
194606;173.1;1
194607;221.2;1
194608;152.8;1
194609;149.7;1
194610;144.1;1
194611;74.7;1
194612;93.9;1
194701;77.4;1
194702;52.7;1
194703;76.5;1
194704;194.2;1
194705;165.4;1
194706;220.9;1
194707;218.9;1
194708;224.2;1
194709;180.5;1
194710;178.2;1
194711;63.6;1
194712;63.8;1
194801;34;1
194802;81.7;1
194803;204.7;1
194804;203.6;1
194805;221;1
194806;146.5;1
194807;164.7;1
194808;151.9;1
194809;176.9;1
194810;132.8;1
194811;129.9;1
194812;85.4;1
194901;68.7;1
194902;109.6;1
194903;141.4;1
194904;199.6;1
194905;192.3;1
194906;290.9;1
194907;314.1;1
194908;232.9;1
194909;174.9;1
194910;128.5;1
194911;60.9;1
194912;40.6;1
195001;53.5;1
195002;79.5;1
195003;157.9;1
195004;163.7;1
195005;197.8;1
195006;207.6;1
195007;206.8;1
195008;217.5;1
195009;117.7;1
195010;102.2;1
195011;63.2;1
195012;54.1;1
195101;58.6;1
195102;77.5;1
195103;89.6;1
195104;213.7;1
195105;182.6;1
195106;202.7;1
195107;275.5;1
195108;164.1;1
195109;145.4;1
195110;129.9;1
195111;68.4;1
195112;50.7;1
195201;77.9;1
195202;103.3;1
195203;102;1
195204;185;1
195205;272.1;1
195206;281.8;1
195207;223.4;1
195208;186.3;1
195209;134.5;1
195210;93;1
195211;65.9;1
195212;50.2;1
195301;35.3;1
195302;79;1
195303;240.4;1
195304;175;1
195305;242.9;1
195306;183.4;1
195307;210.3;1
195308;239.8;1
195309;190.9;1
195310;97.9;1
195311;47.1;1
195312;53.8;1
195401;68.2;1
195402;64.3;1
195403;120.9;1
195404;270.9;1
195405;187;1
195406;154.1;1
195407;181.1;1
195408;180.9;1
195409;144.3;1
195410;129;1
195411;55.2;1
195412;22;1
195501;37.9;1
195502;85.2;1
195503;201.1;1
195504;225.7;1
195505;224.3;1
195506;215.9;1
195507;260;1
195508;291.7;1
195509;162;1
195510;116.4;1
195511;108.9;1
195512;33.4;1
195601;56;1
195602;135.5;1
195603;174.8;1
195604;207.2;1
195605;244.3;1
195606;159.1;1
195607;176.6;1
195608;182;1
195609;107;1
195610;120.5;1
195611;64;1
195612;23.1;1
195701;70.5;1
195702;81.5;1
195703;134.3;1
195704;145.1;1
195705;233.8;1
195706;251.4;1
195707;159.4;1
195708;192.8;1
195709;144.4;1
195710;87.4;1
195711;51.5;1
195712;47.5;1
195801;59.4;1
195802;48;1
195803;66.2;1
195804;151.2;1
195805;177.2;1
195806;176.5;1
195807;210.6;1
195808;147.9;1
195809;186.2;1
195810;93.8;1
195811;55.2;1
195812;82.9;1
195901;96.5;1
195902;127.9;1
195903;176.4;1
195904;162.1;1
195905;219.9;1
195906;259;1
195907;303;1
195908;253.6;1
195909;227.2;1
195910;152;1
195911;60.2;1
195912;42.9;1
196001;84.4;1
196002;107.5;1
196003;127.1;1
196004;186.8;1
196005;240.5;1
196006;248.7;1
196007;167.3;1
196008;190.6;1
196009;145.9;1
196010;120.3;1
196011;77.1;1
196012;48;1
196101;61.5;1
196102;77;1
196103;199.2;1
196104;154.2;1
196105;222.8;1
196106;221;1
196107;223;1
196108;214.9;1
196109;164.4;1
196110;112.5;1
196111;58.6;1
196112;71.3;1
196201;76.4;1
196202;96.4;1
196203;132.1;1
196204;173;1
196205;178.1;1
196206;312.6;1
196207;193.8;1
196208;203.2;1
196209;191.7;1
196210;176;1
196211;53.5;1
196212;95;1
196301;94.5;1
196302;89.9;1
196303;146.7;1
196304;131.5;1
196305;209.1;1
196306;162.2;1
196307;224.4;1
196308;129.8;1
196309;140;1
196310;125.8;1
196311;85;1
196312;60.4;1
196401;56.2;1
196402;65.5;1
196403;99.7;1
196404;148.2;1
196405;183.3;1
196406;211.5;1
196407;257.2;1
196408;232.1;1
196409;190.3;1
196410;115.7;1
196411;69.8;1
196412;69;1
196501;66.2;1
196502;98.3;1
196503;141.8;1
196504;168.6;1
196505;161.4;1
196506;210.5;1
196507;208.8;1
196508;176.9;1
196509;126.5;1
196510;140.8;1
196511;83.7;1
196512;68.3;1
196601;62.3;1
196602;53.3;1
196603;162;1
196604;155.8;1
196605;241.1;1
196606;222.7;1
196607;196.3;1
196608;214.2;1
196609;186.2;1
196610;93.2;1
196611;49;1
196612;40.8;1
196701;69.6;1
196702;94.4;1
196703;162.7;1
196704;178.1;1
196705;205.5;1
196706;260;1
196707;252.2;1
196708;202.4;1
196709;147.8;1
196710;118.2;1
196711;73.5;1
196712;49.7;1
196801;46.5;1
196802;83.2;1
196803;134.2;1
196804;202.6;1
196805;183.4;1
196806;189;1
196807;265.3;1
196808;160.5;1
196809;141.9;1
196810;85.5;1
196811;61.5;1
196812;38;1
196901;51.4;1
196902;108.1;1
196903;108.8;1
196904;200.7;1
196905;198.3;1
196906;223.7;1
196907;268.6;1
196908;204.1;1
196909;103.4;1
196910;175.4;1
196911;63.4;1
196912;43.6;1
197001;62.8;1
197002;71.1;1
197003;116.1;1
197004;136.5;1
197005;245.6;1
197006;204.4;1
197007;212;1
197008;174.3;1
197009;172.9;1
197010;131.6;1
197011;84.1;1
197012;79;1
197101;71.5;1
197102;102;1
197103;142.1;1
197104;180.4;1
197105;182.5;1
197106;170.1;1
197107;290.7;1
197108;171.9;1
197109;214.9;1
197110;155.8;1
197111;115.7;1
197112;52.8;1
197201;43;1
197202;60.2;1
197203;152.3;1
197204;135.9;1
197205;157.4;1
197206;165.2;1
197207;219.2;1
197208;195.5;1
197209;188.1;1
197210;136.6;1
197211;54;1
197212;74.4;1
197301;58;1
197302;78.4;1
197303;221.7;1
197304;151.7;1
197305;196.4;1
197306;247.9;1
197307;181.1;1
197308;227.8;1
197309;193.8;1
197310;138.3;1
197311;85.6;1
197312;57.7;1
197401;62.9;1
197402;105.2;1
197403;102.8;1
197404;188.2;1
197405;210;1
197406;235.2;1
197407;234.5;1
197408;237.4;1
197409;136.3;1
197410;76.1;1
197411;59;1
197412;51.2;1
197501;56.2;1
197502;134.8;1
197503;130.8;1
197504;174.1;1
197505;170.1;1
197506;272.2;1
197507;254.4;1
197508;240.7;1
197509;138.6;1
197510;140.7;1
197511;79.2;1
197512;59.8;1
197601;40.1;1
197602;67.9;1
197603;154.2;1
197604;253.6;1
197605;246.8;1
197606;324.6;1
197607;257.1;1
197608;264.2;1
197609;148.2;1
197610;119.8;1
197611;67;1
197612;55.5;1
197701;101.1;1
197702;89.5;1
197703;143.5;1
197704;178.8;1
197705;184.7;1
197706;149.7;1
197707;196.1;1
197708;218.9;1
197709;202;1
197710;133.3;1
197711;104.1;1
197712;86.2;1
197801;78.8;1
197802;63.3;1
197803;127;1
197804;133.9;1
197805;190.5;1
197806;200.7;1
197807;192.4;1
197808;233.1;1
197809;221.8;1
197810;132.7;1
197811;105.9;1
197812;47.1;1
197901;86;1
197902;70.1;1
197903;88.6;1
197904;140;1
197905;243.1;1
197906;181.2;1
197907;260.8;1
197908;186;1
197909;196.2;1
197910;94;1
197911;89.2;1
197912;64.3;1
198001;65;1
198002;81;1
198003;106.4;1
198004;174.2;1
198005;194.4;1
198006;170.5;1
198007;190.8;1
198008;200.9;1
198009;161.7;1
198010;148.2;1
198011;92.1;1
198012;91.3;1
198101;87.3;1
198102;128.1;1
198103;87.5;1
198104;124.9;1
198105;119.9;1
198106;186.2;1
198107;169.1;1
198108;226.9;1
198109;157.2;1
198110;96;1
198111;68.7;1
198112;58.2;1
198201;62.3;1
198202;76;1
198203;152.2;1
198204;233.3;1
198205;203.3;1
198206;213.8;1
198207;260.3;1
198208;197.2;1
198209;177.2;1
198210;100.1;1
198211;64.7;1
198212;40.2;1
198301;57.5;1
198302;107.7;1
198303;105.8;1
198304;134.6;1
198305;178.7;1
198306;198.2;1
198307;257.1;1
198308;195.4;1
198309;169.3;1
198310;152.5;1
198311;89.1;1
198312;98.5;1
198401;73.7;1
198402;94.9;1
198403;144;1
198404;263.7;1
198405;110;1
198406;277.3;1
198407;269.8;1
198408;226.4;1
198409;156;1
198410;92.1;1
198411;65.1;1
198412;66;1
198501;72.8;1
198502;112.1;1
198503;152.7;1
198504;178.4;1
198505;171.4;1
198506;182.1;1
198507;258.5;1
198508;190.6;1
198509;218.4;1
198510;179.5;1
198511;58.4;1
198512;59.6;1
198601;63.1;1
198602;89.7;1
198603;104.4;1
198604;149.7;1
198605;202.4;1
198606;221.8;1
198607;188.8;1
198608;164.9;1
198609;169.4;1
198610;129.9;1
198611;88.2;1
198612;73.1;1
198701;63.8;1
198702;56.6;1
198703;113.2;1
198704;184.9;1
198705;243.8;1
198706;147.6;1
198707;202.7;1
198708;209.3;1
198709;143.2;1
198710;94.4;1
198711;84.6;1
198712;44;1
198801;67.7;1
198802;119.9;1
198803;89.2;1
198804;145.1;1
198805;184.6;1
198806;214.9;1
198807;205.6;1
198808;191.3;1
198809;132.9;1
198810;123.7;1
198811;117.3;1
198812;17.4;1
198901;68.2;1
198902;78.3;1
198903;141.1;1
198904;140.5;1
198905;266.8;1
198906;268.6;1
198907;261.2;1
198908;240.2;1
198909;188.6;1
198910;114.5;1
198911;124.6;1
198912;78.8;1
199001;34.7;1
199002;91.9;1
199003;171.6;1
199004;181.3;1
199005;253.2;1
199006;134.6;1
199007;283.4;1
199008;255.9;1
199009;221.5;1
199010;152.1;1
199011;78.5;1
199012;64.6;1
199101;64.9;1
199102;83.6;1
199103;116.1;1
199104;160.6;1
199105;194.2;1
199106;132.8;1
199107;166.3;1
199108;244.2;1
199109;178.3;1
199110;97.6;1
199111;62.1;1
199112;89.7;1
199201;81.7;1
199202;107.6;1
199203;92.3;1
199204;123.7;1
199205;242.6;1
199206;203.1;1
199207;192.7;1
199208;142.4;1
199209;132.1;1
199210;112.7;1
199211;46.5;1
199212;47.3;1
199301;47.1;1
199302;61.6;1
199303;129.7;1
199304;108.7;1
199305;138;1
199306;171.8;1
199307;152;1
199308;225.7;1
199309;143.3;1
199310;91.9;1
199311;92.9;1
199312;57.6;1
199401;63.5;1
199402;72.8;1
199403;101.1;1
199404;132;1
199405;171;1
199406;285.8;1
