# DONNEES MENSUELLES HOMOGENEISEES de IN : Cumul mensuel des durées d'insolation (en heures et 1/10) 
# NUM_POSTE= 37179001
# NOM_USUEL= TOURS
# LATITUDE (°) = 47.445
# LONGITUDE(°)= 0.727
# ALTITUDE (m) = 108
# NUM_SERIE= MIN137179001
# Amplitude minimale détectable de la série = 0.04
# Période homogénéisée : 193101 201412
# Date(s) de rupture(s) d'homogénéité : 193212 194912 196212 196412
#     Periode homogénéisée  193101 201412  : Q_HOM=1
YYYYMM;VALEUR;Q_HOM
193101;53.9;1
193102;55.6;1
193103;141.3;1
193104;131.5;1
193105;151;1
193106;255;1
193107;198.6;1
193108;144.2;1
193109;185.1;1
193110;204.8;1
193111;59.2;1
193112;63.5;1
193201;56.3;1
193202;122.6;1
193203;187.6;1
193204;104.5;1
193205;123.7;1
193206;247.3;1
193207;189;1
193208;267.6;1
193209;139.8;1
193210;130.6;1
193211;63;1
193212;81.9;1
193301;85.7;1
193302;71.8;1
193303;187.5;1
193304;221;1
193305;208.7;1
193306;209.9;1
193307;285.8;1
193308;283.7;1
193309;135.1;1
193310;116.7;1
193311;69.5;1
193312;61.1;1
193401;72.4;1
193402;104;1
193403;140.2;1
193404;156;1
193405;280.6;1
193406;239.7;1
193407;314.3;1
193408;211.1;1
193409;189.4;1
193410;96;1
193411;68.6;1
193412;34.3;1
193501;59.2;1
193502;83.3;1
193503;184;1
193504;120.3;1
193505;172.3;1
193506;194.4;1
193507;269.7;1
193508;225.3;1
193509;171.4;1
193510;115.9;1
193511;74.8;1
193512;40.6;1
193601;51.4;1
193602;85.3;1
193603;137.4;1
193604;182.6;1
193605;215.1;1
193606;199;1
193607;119;1
193608;209;1
193609;153;1
193610;134.7;1
193611;49.2;1
193612;54;1
193701;73.8;1
193702;63;1
193703;143.1;1
193704;134.2;1
193705;204.3;1
193706;240.7;1
193707;260;1
193708;253.2;1
193709;194.9;1
193710;108.2;1
193711;86.9;1
193712;44.3;1
193801;47.9;1
193802;116.8;1
193803;214.5;1
193804;225.6;1
193805;174;1
193806;257.2;1
193807;224.9;1
193808;199.5;1
193809;136.9;1
193810;145.9;1
193811;54.5;1
193812;53;1
193901;64.2;1
193902;110.7;1
193903;112.5;1
193904;201.6;1
193905;241.7;1
193906;212.8;1
193907;239;1
193908;208.1;1
193909;194.5;1
193910;66.4;1
193911;46.6;1
193912;48.1;1
194001;113.8;1
194002;60.7;1
194003;165.7;1
194004;137.7;1
194005;237.7;1
194006;290.3;1
194007;193.6;1
194008;242;1
194009;174.2;1
194010;106.5;1
194011;58.1;1
194012;67.7;1
194101;77.8;1
194102;77.8;1
194103;149;1
194104;203;1
194105;225.7;1
194106;216.4;1
194107;252.3;1
194108;173.3;1
194109;222.2;1
194110;162;1
194111;71.8;1
194112;53.2;1
194201;82.3;1
194202;60.5;1
194203;126;1
194204;198.3;1
194205;193.5;1
194206;282;1
194207;211.6;1
194208;221.3;1
194209;187.7;1
194210;91.4;1
194211;98.5;1
194212;60.2;1
194301;75.8;1
194302;126.3;1
194303;209.8;1
194304;216.6;1
194305;217.6;1
194306;273;1
194307;242.8;1
194308;208.4;1
194309;172.3;1
194310;104.7;1
194311;64.4;1
194312;30.9;1
194401;53.7;1
194402;90.9;1
194403;232.5;1
194404;191.6;1
194405;264.3;1
194406;240.5;1
194407;167.2;1
194408;213.6;1
194409;184.1;1
194410;105.6;1
194411;80.5;1
194412;68.6;1
194501;79;1
194502;76.7;1
194503;188.5;1
194504;230.5;1
194505;221.3;1
194506;271.8;1
194507;282.3;1
194508;232.1;1
194509;150.5;1
194510;163.1;1
194511;70;1
194512;39.7;1
194601;84;1
194602;42.4;1
194603;130.9;1
194604;264.5;1
194605;120.7;1
194606;183.8;1
194607;225.6;1
194608;160.4;1
194609;141.8;1
194610;133.6;1
194611;50.9;1
