# DONNEES MENSUELLES HOMOGENEISEES de RR : Cumul mensuel des hauteurs de précipitation (en mm et 1/10) 
# NUM_POSTE= 5027001
# NOM_USUEL= CERVIERES
# LATITUDE (°) = 44.866
# LONGITUDE(°)= 6.723
# ALTITUDE (m) = 1637
# NUM_SERIE= MRR005027001
# Amplitude minimale détectable de la série = 0.09
# Période homogénéisée : 195601 201512
# Date(s) de rupture(s) d'homogénéité : Aucune rupture d'homogénéité
#     Periode homogénéisée  195601 201512  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195601;44;1
195602;0.4;1
195603;9.8;1
195604;80.9;1
195605;45.8;1
195606;59.5;1
195607;94.8;1
195608;107.1;1
195609;139.3;1
195610;28.1;1
195611;16.3;1
195612;4;1
195701;8.9;1
195702;109.6;1
195703;11.8;1
195704;22.8;1
195705;56.9;1
195706;155.4;1
195707;31.3;1
195708;36.5;1
195709;6.6;1
195710;40.8;1
195711;61.1;1
195712;30.8;1
195801;39.4;1
195802;64.8;1
195803;19.9;1
195804;32.8;1
195805;54.5;1
195806;86.8;1
195807;20.7;1
195808;55.9;1
195809;50.5;1
195810;54.9;1
195811;45.2;1
195812;147.9;1
195901;72.2;1
195902;0;1
195903;116.2;1
195904;87.3;1
195905;55.3;1
195906;50.8;1
195907;74.9;1
195908;90;1
195909;51.1;1
195910;122;1
195911;52.9;1
195912;117.9;1
196001;71.5;1
196002;92.7;1
196003;46.2;1
196004;30.2;1
196005;28.5;1
196006;96.3;1
196007;74.2;1
196008;92;1
196009;179.8;1
196010;244.6;1
196011;79.3;1
196012;56.9;1
196101;51.1;1
196102;64.3;1
196103;4.5;1
196104;104.1;1
196105;21.3;1
196106;18.7;1
196107;26.8;1
196108;5.5;1
196109;36.3;1
196110;49.1;1
196111;58.2;1
196112;56.2;1
196201;77.5;1
196202;31.7;1
196203;67.4;1
196204;46.7;1
196205;35.8;1
196206;43;1
196207;4.7;1
196208;14.7;1
196209;29.2;1
196210;25.5;1
196211;57.1;1
196212;90.4;1
196301;48.8;1
196302;34;1
196303;82.9;1
196304;63.7;1
196305;9.6;1
196306;42.3;1
196307;55.4;1
196308;99.4;1
196309;69.1;1
196310;38.2;1
196311;320;1
196312;12.8;1
196401;0.2;1
196402;15.8;1
196403;72.4;1
196404;53.6;1
196405;28.9;1
196406;60.7;1
196407;80.4;1
196408;42.4;1
196409;63.5;1
196410;78.2;1
196411;16.1;1
196412;16;1
196501;25.3;1
196502;0.3;1
196503;34.4;1
196504;7.7;1
196505;79.7;1
196506;54;1
196507;50.9;1
196508;59.2;1
196509;116.6;1
196510;11.1;1
196511;127.1;1
196512;111.2;1
196601;56.6;1
196602;61.7;1
196603;19.6;1
196604;58.8;1
196605;49.9;1
196606;29.4;1
196607;56.1;1
196608;50.2;1
196609;41.1;1
196610;120.4;1
196611;45.1;1
196612;71.3;1
196701;13.1;1
196702;35.6;1
196703;44.8;1
196704;16.5;1
196705;53.6;1
196706;46.1;1
196707;47.9;1
196708;73;1
196709;11.3;1
196710;21.1;1
196711;139.1;1
196712;15.6;1
196801;40.5;1
196802;46.2;1
196803;14.6;1
196804;32.8;1
196805;103.1;1
196806;79;1
196807;39.1;1
196808;125.2;1
196809;126.1;1
196810;55.6;1
196811;94.1;1
196812;88.8;1
196901;34.4;1
196902;54.4;1
196903;28;1
196904;46.5;1
196905;78;1
196906;78.8;1
196907;48.6;1
196908;54;1
196909;32.6;1
196910;0.4;1
196911;124.3;1
196912;19.3;1
197001;53.5;1
197002;76.7;1
197003;57.9;1
197004;44.8;1
197005;30.5;1
197006;106.3;1
197007;53.7;1
197008;74.2;1
197009;96.9;1
197010;82.9;1
197011;163;1
197012;27.3;1
197101;41.4;1
197102;6;1
197103;87;1
197104;55.8;1
197105;63.9;1
197106;103.5;1
197107;53.7;1
197108;45.3;1
197109;21.6;1
197110;4.9;1
197111;111.6;1
197112;3.3;1
197201;13.2;1
197202;70.3;1
197203;35.9;1
197204;41;1
197205;35.3;1
197206;97.5;1
197207;39.9;1
197208;39.6;1
197209;73.1;1
197210;65.4;1
197211;59.2;1
197212;36.3;1
197301;30.7;1
197302;32.6;1
197303;3;1
197304;50.8;1
197305;181.8;1
197306;84.3;1
197307;138.4;1
197308;28.2;1
197309;101.4;1
197310;75.4;1
197311;25.7;1
197312;43.6;1
197401;30.7;1
197402;60.7;1
197403;24.9;1
197404;41.3;1
197405;75.2;1
197406;71.2;1
197407;0;1
197408;34.8;1
197409;82.1;1
197410;43.5;1
197411;74.7;1
197412;5.5;1
197501;45.8;1
197502;8.9;1
197503;28.9;1
197504;35.6;1
197505;75.3;1
197506;66.3;1
197507;49.7;1
197508;55.3;1
197509;140;1
197510;17.2;1
197511;45.5;1
197512;20.1;1
197601;0.4;1
197602;63.2;1
197603;14.9;1
197604;46;1
197605;42.5;1
197606;31.9;1
197607;46.4;1
197608;55.3;1
197609;127.1;1
197610;101.4;1
197611;69.6;1
197612;107.6;1
197701;130.5;1
197702;95.5;1
197703;61.3;1
197704;71.8;1
197705;102.4;1
197706;70.7;1
197707;72.7;1
197708;99.5;1
197709;3.2;1
197710;159.6;1
197711;35.8;1
197712;84.3;1
197801;205.7;1
197802;80.8;1
197803;83.5;1
197804;47.2;1
197805;71.3;1
197806;48.3;1
197807;48.8;1
197808;31.5;1
197809;6.7;1
197810;9;1
197811;1.9;1
197812;110.5;1
197901;119.5;1
197902;76.5;1
197903;105.5;1
197904;24;1
197905;38.3;1
197906;28.7;1
197907;25.8;1
197908;49.9;1
197909;32.8;1
197910;198.6;1
197911;35;1
197912;137.4;1
198001;60;1
198002;36.3;1
198003;46;1
198004;11;1
198005;56.8;1
198006;38;1
198007;72.5;1
198008;31.1;1
198009;44.7;1
198010;111.2;1
198011;55;1
198012;19;1
198101;62.4;1
198102;12;1
198103;94.5;1
198104;73;1
198105;130;1
198106;62.1;1
198107;91.4;1
198108;19.8;1
198109;154.7;1
198110;60;1
198111;15;1
198112;183.4;1
198201;35.6;1
198202;8;1
198203;24.5;1
198204;6.6;1
198205;48.2;1
198206;40.1;1
198207;48.2;1
198208;57.2;1
198209;111;1
198210;87.6;1
198211;98;1
198212;97.8;1
198301;16.2;1
198302;14.8;1
198303;36;1
198304;157.2;1
198305;185.6;1
198306;59.9;1
198307;16.5;1
198308;39.6;1
198309;37.4;1
198310;55;1
198311;32.2;1
198312;59.6;1
198401;67.5;1
198402;37.5;1
198403;83;1
198404;13.3;1
198405;99.3;1
198406;77.4;1
198407;3.2;1
198408;100.7;1
198409;93.7;1
198410;89.3;1
198411;34.8;1
198412;14.7;1
198501;112.9;1
198502;35.2;1
198503;50.8;1
198504;50;1
198505;83.1;1
198506;88.7;1
198507;30.9;1
198508;91.3;1
198509;5.5;1
198510;5;1
198511;63.3;1
198512;43.3;1
198601;135.6;1
198602;77.2;1
198603;31;1
198604;216.5;1
198605;40.5;1
198606;42.9;1
198607;24.8;1
198608;34.1;1
198609;96;1
198610;31;1
198611;20;1
198612;63.4;1
198701;30.4;1
198702;27;1
198703;32.9;1
198704;53;1
198705;37.9;1
198706;81.9;1
198707;114.2;1
