# DONNEES MENSUELLES HOMOGENEISEES de RR : Cumul mensuel des hauteurs de précipitation (en mm et 1/10) 
# NUM_POSTE= 5110001
# NOM_USUEL= PUY-ST-VINCENT
# LATITUDE (°) = 44.829
# LONGITUDE(°)= 6.494
# ALTITUDE (m) = 1380
# NUM_SERIE= MRR005110001
# Amplitude minimale détectable de la série = 0.08
# Période homogénéisée : 195601 201512
# Date(s) de rupture(s) d'homogénéité : Aucune rupture d'homogénéité
#     Periode homogénéisée  195601 201512  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195601;87.2;1
195602;0.8;1
195603;69.6;1
195604;166;1
195605;58.3;1
195606;41.2;1
195607;58.1;1
195608;86.4;1
195609;145;1
195610;22.8;1
195611;15.8;1
195612;40.1;1
195701;22.5;1
195702;167.6;1
195703;33.8;1
195704;38.6;1
195705;50.1;1
195706;115.8;1
195707;31.4;1
195708;34.5;1
195709;20;1
195710;48.8;1
195711;63.5;1
195712;110.7;1
195801;75.5;1
195802;59.4;1
195803;61;1
195804;66.9;1
195805;77.8;1
195806;124.9;1
195807;20.9;1
195808;67.9;1
195809;99.1;1
195810;60.9;1
195811;14;1
195812;211.3;1
195901;103.9;1
195902;8.4;1
195903;170.3;1
195904;136.1;1
195905;19.9;1
195906;23.6;1
195907;61.7;1
195908;49.1;1
195909;34.1;1
195910;181.6;1
195911;131.2;1
195912;137.9;1
196001;176;1
196002;186;1
196003;137.2;1
196004;2;1
196005;35.7;1
196006;57.4;1
196007;82.9;1
196008;76.2;1
196009;253.5;1
196010;382.4;1
196011;185.6;1
196012;63.5;1
196101;122.5;1
196102;65.5;1
196103;1.6;1
196104;92.3;1
196105;41.7;1
196106;34.1;1
196107;34.5;1
196108;28;1
196109;51.9;1
196110;82.7;1
196111;121.5;1
196112;90.1;1
196201;142;1
196202;63.9;1
196203;151.4;1
196204;127.9;1
196205;33.5;1
196206;36.3;1
196207;8.2;1
196208;19;1
196209;39.2;1
196210;40.5;1
196211;55;1
196212;95.5;1
196301;105.2;1
196302;82.3;1
196303;139.1;1
196304;139.8;1
196305;23.5;1
196306;49.8;1
196307;62.4;1
196308;113.5;1
196309;62.6;1
196310;83.4;1
196311;347;1
196312;47;1
196401;5;1
196402;74.9;1
196403;184.9;1
196404;92.3;1
196405;24.5;1
196406;73.2;1
196407;13.6;1
196408;60.7;1
196409;77.2;1
196410;73.7;1
196411;44.5;1
196412;37.5;1
196501;72;1
196502;0;1
196503;100.5;1
196504;11.7;1
196505;77.9;1
196506;62.3;1
196507;56.9;1
196508;73;1
196509;181;1
196510;28;1
196511;216.5;1
196512;180.1;1
196601;124.5;1
196602;203.5;1
196603;11;1
196604;70.5;1
196605;42.5;1
196606;18.5;1
196607;51.5;1
196608;42;1
196609;18;1
196610;131.5;1
196611;143;1
196612;82;1
196701;19.5;1
196702;90.5;1
196703;42.5;1
196704;32.5;1
196705;82.5;1
196706;40;1
196707;32;1
196708;40.5;1
196709;23.1;1
196710;33.5;1
196711;218.8;1
196712;31.5;1
196801;51.5;1
196802;180.5;1
196803;30;1
196804;49.2;1
196805;155.7;1
196806;56.7;1
196807;34.8;1
196808;134.5;1
196809;139.7;1
196810;77.6;1
196811;148;1
196812;107.4;1
196901;117;1
196902;127.8;1
196903;60;1
196904;104;1
196905;78;1
196906;67;1
196907;60;1
196908;43;1
196909;55.6;1
196910;0;1
196911;167.5;1
196912;35;1
197001;214.5;1
197002;62;1
197003;93.5;1
197004;93.5;1
197005;67.5;1
197006;84;1
197007;21.5;1
197008;67.5;1
197009;84;1
197010;116.5;1
197011;228.5;1
197012;73;1
197101;93.5;1
197102;17;1
197103;167;1
197104;79.6;1
197105;64.7;1
197106;107.5;1
197107;28.5;1
197108;43;1
197109;21.5;1
197110;15;1
197111;129;1
197112;12;1
197201;32;1
197202;180;1
197203;79.5;1
197204;76;1
197205;54;1
197206;101;1
197207;26;1
197208;45.6;1
197209;62.7;1
197210;176;1
197211;86;1
197212;59;1
197301;73.5;1
197302;30;1
197303;2;1
197304;101.5;1
197305;183;1
197306;49.8;1
197307;138.5;1
197308;26.8;1
197309;68.5;1
197310;91;1
197311;32.5;1
197312;45;1
197401;63;1
197402;132;1
197403;45.5;1
197404;50.6;1
197405;80;1
197406;79.5;1
197407;3.8;1
197408;24.5;1
197409;101.2;1
197410;48;1
197411;100;1
197412;14;1
197501;90;1
197502;25;1
197503;63.1;1
197504;76;1
197505;93;1
197506;39;1
197507;25.5;1
197508;53;1
197509;188;1
197510;11;1
197511;70.5;1
197512;72;1
197601;17;1
197602;62;1
197603;52;1
197604;37;1
197605;1;1
197606;50;1
197607;37.1;1
197608;66;1
197609;174;1
197610;152;1
197611;151;1
197612;183;1
197701;220;1
197702;158;1
197703;101;1
197704;131;1
197705;148.5;1
197706;82.5;1
197707;87;1
197708;88.5;1
197709;6;1
197710;205.5;1
197711;45.1;1
197712;124.5;1
197801;202.5;1
197802;213;1
197803;137;1
197804;71;1
197805;75;1
197806;55.5;1
197807;38.5;1
197808;36.5;1
197809;16;1
197810;11;1
197811;8;1
197812;217;1
197901;218.2;1
197902;143;1
197903;206.5;1
197904;46;1
197905;62.5;1
197906;12.5;1
197907;32.5;1
197908;50;1
197909;26.5;1
197910;289;1
197911;51;1
197912;166;1
198001;103;1
198002;50;1
198003;95.5;1
198004;12.5;1
198005;67.5;1
198006;36.5;1
198007;78;1
198008;49;1
198009;82.5;1
198010;134;1
198011;59.5;1
198012;25;1
198101;78;1
198102;18.3;1
198103;121.5;1
198104;60.5;1
198105;133.7;1
198106;79.3;1
198107;82.2;1
198108;41;1
198109;165.1;1
198110;91.5;1
198111;25;1
198112;310.1;1
198201;43.6;1
198202;15;1
