# DONNEES MENSUELLES HOMOGENEISEES de RR : Cumul mensuel des hauteurs de précipitation (en mm et 1/10) 
# NUM_POSTE= 6077006
# NOM_USUEL= PEIRA CAVA
# LATITUDE (°) = 43.929
# LONGITUDE(°)= 7.363
# ALTITUDE (m) = 1443
# NUM_SERIE= MRR006077006
# Amplitude minimale détectable de la série = 0.11
# Période homogénéisée : 195401 201512
# Date(s) de rupture(s) d'homogénéité : Aucune rupture d'homogénéité
#     Periode homogénéisée  195401 201512  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195401;42.7;1
195402;98.9;1
195403;167.4;1
195404;90.3;1
195405;101.1;1
195406;56.4;1
195407;76.4;1
195408;97.2;1
195409;10.9;1
195410;97.8;1
195411;271.3;1
195412;130.5;1
195501;138.5;1
195502;132.3;1
195503;158;1
195504;10.2;1
195505;20.1;1
195506;112.6;1
195507;114.1;1
195508;61;1
195509;52.1;1
195510;172.9;1
195511;98.7;1
195512;54.3;1
195601;75.7;1
195602;83.3;1
195603;242.7;1
195604;192.8;1
195605;31.4;1
195606;44.2;1
195607;46.7;1
195608;19.3;1
195609;147.5;1
195610;38.8;1
195611;98.7;1
195612;63.8;1
195701;49.6;1
195702;86.2;1
195703;104.1;1
195704;130.4;1
195705;143.2;1
195706;166;1
195707;22.8;1
195708;19.9;1
195709;2.8;1
195710;71.4;1
195711;237.1;1
195712;332.6;1
195801;19.7;1
195802;48.1;1
195803;107.4;1
195804;171.5;1
195805;19.1;1
195806;88.7;1
195807;45.2;1
195808;40.1;1
195809;62.6;1
195810;113.4;1
195811;122.5;1
195812;341.4;1
195901;4;1
195902;27.5;1
195903;136;1
195904;168.1;1
195905;145.3;1
195906;39.4;1
195907;14.9;1
195908;64.7;1
195909;142;1
195910;372.3;1
195911;272.2;1
195912;283;1
196001;156.4;1
196002;137.2;1
196003;206.8;1
196004;89.6;1
196005;57.4;1
196006;80.1;1
196007;19.4;1
196008;59;1
196009;217.5;1
196010;412.7;1
196011;203.4;1
196012;169.4;1
196101;108.3;1
196102;9.1;1
196103;0;1
196104;101.2;1
196105;106.3;1
196106;95.4;1
196107;35.3;1
196108;16.1;1
196109;62.3;1
196110;98.9;1
196111;265.8;1
196112;58.9;1
196201;50.8;1
196202;83.7;1
196203;201.9;1
196204;111.7;1
196205;47;1
196206;111;1
196207;58.4;1
196208;6;1
196209;52.6;1
196210;67.1;1
196211;292.1;1
196212;161.8;1
196301;77.7;1
196302;102.1;1
196303;96.5;1
196304;156.5;1
196305;72.4;1
196306;225.4;1
196307;62.7;1
196308;88.4;1
196309;92.6;1
196310;65.5;1
196311;294.9;1
196312;84.7;1
196401;15.3;1
196402;197.5;1
196403;139.7;1
196404;73.4;1
196405;63.4;1
196406;72.6;1
196407;42.3;1
196408;17.1;1
196409;53.4;1
196410;118.3;1
196411;21.6;1
196412;87.7;1
196501;42.3;1
196502;16.4;1
196503;98.6;1
196504;16.7;1
196505;55;1
196506;52.8;1
196507;39.5;1
196508;157.9;1
196509;300;1
196510;31.5;1
196511;201;1
196512;37.5;1
196601;30.6;1
196602;140.1;1
196603;7.1;1
196604;124.8;1
196605;76.6;1
196606;74.9;1
196607;78.8;1
196608;48.8;1
196609;60.4;1
196610;222.8;1
196611;148.4;1
196612;64.4;1
196701;13.8;1
196702;45.8;1
196703;60.2;1
196704;53.4;1
