# DONNEES MENSUELLES HOMOGENEISEES de RR : Cumul mensuel des hauteurs de précipitation (en mm et 1/10) 
# NUM_POSTE= 7117001
# NOM_USUEL= LABLACHERE DROME
# LATITUDE (°) = 44.461
# LONGITUDE(°)= 4.235
# ALTITUDE (m) = 265
# NUM_SERIE= MRR007117001
# Amplitude minimale détectable de la série = 0.1
# Période homogénéisée : 195001 202112
# Date(s) de rupture(s) d'homogénéité : Aucune rupture d'homogénéité
#     Periode homogénéisée  195001 202112  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195001;17;1
195002;93.6;1
195003;72.5;1
195004;12;1
195005;106.4;1
195006;7.4;1
195007;7.3;1
195008;53.1;1
195009;105.1;1
195010;93.7;1
195011;142.5;1
195012;55.9;1
195101;90.2;1
195102;147;1
195103;146.6;1
195104;24;1
195105;279.3;1
195106;43.1;1
195107;1.8;1
195108;151.3;1
195109;293.5;1
195110;214;1
195111;231;1
195112;58;1
195201;40.9;1
195202;15.3;1
195203;115.9;1
195204;78.8;1
195205;115.9;1
195206;22.3;1
195207;0.9;1
195208;48.4;1
195209;56.2;1
195210;68.2;1
195211;146.5;1
195212;57.1;1
195301;6;1
195302;5.3;1
195303;5.8;1
195304;36;1
195305;27.8;1
195306;115.1;1
195307;14.5;1
195308;12.6;1
195309;240.6;1
195310;281.2;1
195311;51.7;1
195312;59.4;1
195401;22.4;1
195402;99.9;1
195403;96.7;1
195404;51.9;1
195405;164.3;1
195406;82.4;1
195407;66.8;1
195408;122.7;1
195409;14.8;1
195410;56;1
195411;156.4;1
195412;58.1;1
195501;280.2;1
195502;116;1
195503;36.1;1
195504;4.5;1
195505;56.6;1
195506;197.1;1
195507;19.3;1
195508;62.8;1
195509;30.7;1
195510;200.5;1
195511;293.8;1
195512;86.3;1
195601;97.5;1
195602;91.1;1
195603;225.3;1
195604;132.4;1
195605;90.6;1
195606;29;1
195607;49.3;1
195608;41.2;1
195609;156;1
195610;58.4;1
195611;5.2;1
195612;150.5;1
195701;1.7;1
195702;147.1;1
195703;56.1;1
195704;118.5;1
195705;69.5;1
195706;224.8;1
195707;5.5;1
195708;36.2;1
195709;97.3;1
195710;18.3;1
195711;100.7;1
195712;180.9;1
195801;12.7;1
195802;31.8;1
195803;102.1;1
195804;57.2;1
195805;14.8;1
195806;148.7;1
195807;92.5;1
195808;239.3;1
195809;378.5;1
195810;139.1;1
195811;41.5;1
195812;220.6;1
195901;24.8;1
195902;44.7;1
195903;237.1;1
195904;158.5;1
195905;73.9;1
195906;53.1;1
195907;11.9;1
195908;62.7;1
195909;79.1;1
195910;143.7;1
195911;161.4;1
195912;244.7;1
196001;223;1
196002;144;1
196003;300.9;1
196004;19.5;1
196005;25.7;1
196006;60.6;1
196007;100;1
196008;88.2;1
196009;178.3;1
196010;422.3;1
196011;120.5;1
196012;48.5;1
196101;61.6;1
196102;23.7;1
196103;0;1
196104;67.8;1
196105;93.4;1
196106;63.1;1
196107;25.5;1
196108;4.9;1
196109;65.4;1
196110;167.5;1
196111;212.9;1
196112;98.5;1
196201;86.2;1
196202;101.2;1
196203;99.5;1
196204;111.2;1
196205;17.7;1
196206;22.2;1
196207;20.5;1
196208;37.9;1
196209;97.7;1
196210;71.9;1
196211;102.7;1
196212;74.8;1
196301;143.2;1
196302;107;1
196303;58.4;1
196304;129.2;1
196305;74.3;1
196306;167.1;1
196307;116.8;1
196308;207.7;1
196309;177.2;1
196310;66.6;1
196311;237;1
196312;95.8;1
196401;78.5;1
196402;275.6;1
196403;191;1
196404;79.4;1
196405;94.7;1
196406;45.1;1
196407;19;1
196408;135.4;1
196409;90.3;1
196410;136.9;1
196411;61.1;1
196412;35.7;1
196501;93.5;1
196502;16.3;1
196503;96.1;1
196504;2.8;1
196505;24.6;1
196506;33.2;1
196507;58.3;1
196508;25.3;1
196509;366.8;1
196510;225.3;1
196511;79;1
196512;106.8;1
196601;61.2;1
196602;124.5;1
196603;2.5;1
196604;167.1;1
196605;56.2;1
196606;40.1;1
196607;22.6;1
196608;21.5;1
196609;30.3;1
196610;217.4;1
196611;117.3;1
196612;27.6;1
196701;73.9;1
196702;121.8;1
196703;88.3;1
196704;59.4;1
196705;121.5;1
196706;75.7;1
196707;24.2;1
196708;138.8;1
196709;63.3;1
196710;38.3;1
196711;243.9;1
196712;10.6;1
196801;2.7;1
196802;135.7;1
196803;36.6;1
196804;131;1
196805;117.6;1
196806;46.9;1
196807;14.2;1
196808;163.4;1
196809;222.6;1
196810;92.7;1
196811;100;1
196812;40.2;1
