# DONNEES MENSUELLES HOMOGENEISEES de RR : Cumul mensuel des hauteurs de précipitation (en mm et 1/10) 
# NUM_POSTE= 8105005
# NOM_USUEL= CHARLEVILLE-MEZ
# LATITUDE (°) = 49.783
# LONGITUDE(°)= 4.643
# ALTITUDE (m) = 145
# NUM_SERIE= MRR008105005
# Amplitude minimale détectable de la série = 0.07
# Période homogénéisée : 195501 201712
# Date(s) de rupture(s) d'homogénéité : 196106 198912
#     Periode homogénéisée  195501 201712  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195501;87.1;1
195502;77.5;1
195503;25.7;1
195504;12.6;1
195505;96.4;1
195506;48.9;1
195507;30.1;1
195508;54;1
195509;52.6;1
195510;43.3;1
195511;26.2;1
195512;122.7;1
195601;93.7;1
195602;33.6;1
195603;51.4;1
195604;54;1
195605;72.1;1
195606;64;1
195607;78.1;1
195608;118.6;1
195609;68.8;1
195610;113.9;1
195611;51.3;1
195612;67.4;1
195701;50.4;1
195702;172.4;1
195703;54.7;1
195704;55.9;1
195705;45.5;1
195706;69.3;1
195707;115.9;1
195708;106.4;1
195709;143.8;1
195710;39.2;1
195711;47;1
195712;55.9;1
195801;122.1;1
195802;166.9;1
195803;24.7;1
195804;54.1;1
195805;124;1
195806;64.4;1
195807;96.7;1
195808;140.5;1
195809;44.9;1
195810;63;1
195811;58.6;1
195812;114.9;1
195901;79.1;1
195902;5.2;1
195903;61.7;1
195904;72.8;1
195905;69.8;1
195906;59.3;1
195907;54.7;1
195908;49.5;1
195909;3.1;1
195910;66.6;1
195911;51.8;1
195912;122.5;1
196001;60;1
196002;57;1
196003;55;1
196004;16.9;1
196005;45.2;1
196006;77.8;1
196007;111.9;1
196008;120.9;1
196009;69;1
196010;140.7;1
196011;114.8;1
196012;106.4;1
196101;155.8;1
196102;80.5;1
196103;13.3;1
196104;62.2;1
196105;47.6;1
196106;44;1
196107;95.8;1
196108;39.1;1
196109;74.2;1
196110;112.8;1
196111;93.4;1
196112;92.8;1
196201;108.7;1
196202;68.4;1
196203;88.5;1
196204;86.4;1
196205;56.5;1
196206;3.7;1
196207;75.1;1
196208;66.9;1
196209;73.7;1
196210;29.9;1
196211;57;1
196212;83.1;1
196301;42.2;1
196302;30.7;1
196303;77.6;1
196304;36.1;1
196305;84.1;1
196306;154.8;1
196307;24.1;1
196308;118.6;1
196309;36.8;1
196310;66.2;1
196311;172.8;1
196312;11.5;1
196401;28.8;1
196402;30.6;1
196403;63.3;1
196404;35.3;1
196405;11.9;1
196406;48.6;1
196407;51;1
196408;34.1;1
196409;52.6;1
196410;112.9;1
