# DONNEES MENSUELLES HOMOGENEISEES de RR : Cumul mensuel des hauteurs de précipitation (en mm et 1/10) 
# NUM_POSTE= 12036002
# NOM_USUEL= BROMMAT-EDF
# LATITUDE (°) = 44.773
# LONGITUDE(°)= 2.686
# ALTITUDE (m) = 730
# NUM_SERIE= MRR012036002
# Amplitude minimale détectable de la série = 0.06
# Période homogénéisée : 195501 202012
# Date(s) de rupture(s) d'homogénéité : 198912
#     Periode homogénéisée  195501 202012  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195501;246.2;1
195502;146;1
195503;21.4;1
195504;1.6;1
195505;91.7;1
195506;193.5;1
195507;113.9;1
195508;99.3;1
195509;59.6;1
195510;68.7;1
195511;28.2;1
195512;181.7;1
195601;95.6;1
195602;11.6;1
195603;47;1
195604;59.5;1
195605;118.4;1
195606;67;1
195607;151.8;1
195608;170.1;1
195609;100.7;1
195610;65.3;1
195611;35.4;1
195612;60.3;1
195701;58.9;1
195702;224.4;1
195703;63.4;1
195704;73;1
195705;53.6;1
195706;159;1
195707;79.6;1
195708;27.8;1
195709;97.2;1
195710;27.6;1
195711;58.8;1
195712;79.5;1
195801;131.3;1
195802;65.7;1
195803;126.9;1
195804;71.4;1
195805;119.8;1
195806;94.2;1
195807;121;1
195808;111;1
195809;69.2;1
195810;63.4;1
195811;60.5;1
195812;167.6;1
195901;110.1;1
195902;6.3;1
195903;79.7;1
195904;185.9;1
195905;104.1;1
195906;54.1;1
195907;40.9;1
195908;71.9;1
195909;132.7;1
195910;87.6;1
195911;101.8;1
195912;307.9;1
196001;90;1
196002;89.2;1
196003;115.4;1
196004;25.7;1
196005;76;1
196006;39.4;1
196007;123;1
196008;117.8;1
196009;107.4;1
196010;240.6;1
196011;119.4;1
196012;95.2;1
196101;128.3;1
196102;63.3;1
196103;4.3;1
196104;91.2;1
196105;105.6;1
196106;68.8;1
196107;108.1;1
196108;69.1;1
196109;54.4;1
196110;131.5;1
196111;126.9;1
196112;110.4;1
196201;134;1
196202;67.3;1
196203;136.8;1
196204;111.5;1
196205;93.8;1
196206;11.5;1
196207;26.5;1
196208;19.1;1
196209;52.7;1
196210;30;1
196211;135;1
196212;136.1;1
196301;48.8;1
196302;133.3;1
196303;170.6;1
196304;108.1;1
196305;83.7;1
196306;139.8;1
196307;67.4;1
196308;159.1;1
196309;120.9;1
196310;88.6;1
196311;152.7;1
196312;40.3;1
196401;19;1
196402;58.5;1
196403;118.4;1
196404;143.7;1
196405;194.8;1
196406;74.5;1
196407;16;1
196408;57;1
196409;51.9;1
196410;162.9;1
196411;68.6;1
196412;57.7;1
196501;117.4;1
196502;11.5;1
196503;142.1;1
196504;102.4;1
196505;139.5;1
196506;55.3;1
196507;167.4;1
196508;80;1
196509;226.3;1
196510;63.2;1
196511;240.3;1
196512;275.4;1
196601;161.3;1
196602;91.5;1
196603;50.1;1
196604;103.6;1
196605;102.4;1
196606;53.1;1
196607;70.5;1
196608;74.9;1
196609;67.1;1
196610;157.5;1
196611;125;1
196612;197.6;1
196701;86.6;1
196702;106;1
196703;90.4;1
196704;27.5;1
196705;131.6;1
196706;37.2;1
196707;31.3;1
196708;52;1
196709;78.7;1
196710;55.1;1
196711;148.7;1
196712;98.6;1
196801;136.2;1
196802;82.6;1
196803;53.3;1
196804;77.2;1
196805;176;1
196806;67.8;1
196807;77.9;1
196808;208.9;1
196809;138.8;1
196810;45.3;1
196811;52.1;1
196812;148.7;1
196901;109.9;1
196902;84.3;1
196903;162.7;1
196904;160.1;1
196905;130;1
196906;92.9;1
196907;70.8;1
196908;91.7;1
196909;171.1;1
196910;20.7;1
196911;126.9;1
196912;86.3;1
197001;120.6;1
197002;221.5;1
197003;119.3;1
197004;127.3;1
197005;36.2;1
197006;86.6;1
197007;34.7;1
197008;54.4;1
197009;26.2;1
197010;55.8;1
197011;115.4;1
197012;54.1;1
197101;241.1;1
197102;62.2;1
197103;77.4;1
197104;79.7;1
197105;94.8;1
197106;159.8;1
197107;107.3;1
197108;134.7;1
197109;30.2;1
197110;44.8;1
197111;102.8;1
197112;29.2;1
197201;95.1;1
197202;132.4;1
197203;83.7;1
197204;64.5;1
197205;48.2;1
197206;55.2;1
197207;11.4;1
197208;128.1;1
197209;31.8;1
197210;60.4;1
197211;122;1
197212;61.6;1
197301;74.1;1
197302;88.4;1
197303;10.1;1
197304;38.8;1
197305;64.6;1
197306;69.4;1
197307;121.1;1
197308;22;1
197309;64;1
197310;143.4;1
197311;92.6;1
197312;109.5;1
197401;71.1;1
197402;137.6;1
197403;71.2;1
197404;50.1;1
197405;102.5;1
197406;108.7;1
197407;69.6;1
197408;97.8;1
197409;208.3;1
197410;132.9;1
197411;138.5;1
197412;53.3;1
197501;129.1;1
197502;15.2;1
197503;117.6;1
197504;64.1;1
197505;116.7;1
197506;79;1
197507;67;1
197508;105.3;1
197509;132.9;1
197510;40.1;1
197511;103.4;1
197512;23;1
197601;35.2;1
197602;46.5;1
197603;51.3;1
