# DONNEES MENSUELLES HOMOGENEISEES de RR : Cumul mensuel des hauteurs de précipitation (en mm et 1/10) 
# NUM_POSTE= 12254001
# NOM_USUEL= RODEZ-AVEYRON
# LATITUDE (°) = 44.41
# LONGITUDE(°)= 2.483
# ALTITUDE (m) = 578
# NUM_SERIE= MRR012254001
# Amplitude minimale détectable de la série = 0.07
# Période homogénéisée : 195501 202012
# Date(s) de rupture(s) d'homogénéité : 199612
#     Periode homogénéisée  195501 202012  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195501;241;1
195502;106.7;1
195503;17;1
195504;6.7;1
195505;63.2;1
195506;121.9;1
195507;78.9;1
195508;41.2;1
195509;53.8;1
195510;54.7;1
195511;29.2;1
195512;139.8;1
195601;64.5;1
195602;9.9;1
195603;26.5;1
195604;56.5;1
195605;91.4;1
195606;51.1;1
195607;96.4;1
195608;109.4;1
195609;94.1;1
195610;33.6;1
195611;43.9;1
195612;44.8;1
195701;34.1;1
195702;130;1
195703;46.4;1
195704;94.1;1
195705;59.5;1
195706;89.6;1
195707;52;1
195708;24.2;1
195709;48.9;1
195710;10.9;1
195711;51.1;1
195712;43.1;1
195801;80.5;1
195802;38.1;1
195803;88.9;1
195804;53.2;1
195805;87.8;1
195806;100.9;1
195807;84.4;1
195808;89.9;1
195809;55.8;1
195810;51.1;1
195811;63.5;1
195812;103.2;1
195901;87.9;1
195902;12.4;1
195903;79.3;1
195904;128.5;1
195905;74.2;1
195906;56.3;1
195907;54.7;1
195908;95.7;1
195909;104.9;1
195910;83.2;1
195911;56.7;1
195912;203.9;1
196001;68.2;1
196002;53.3;1
196003;131.1;1
196004;14.8;1
196005;24.5;1
196006;64.9;1
196007;97.7;1
196008;96.4;1
196009;75.8;1
196010;120.6;1
196011;82.8;1
196012;88.7;1
196101;73.7;1
196102;77.9;1
196103;1.2;1
196104;108.5;1
196105;87.1;1
196106;53.3;1
196107;74.3;1
196108;76.8;1
196109;41.3;1
196110;139.9;1
196111;81.4;1
196112;72.8;1
196201;77.7;1
196202;63.8;1
196203;77.2;1
196204;89.6;1
196205;64.3;1
196206;12.1;1
196207;34.8;1
196208;18.1;1
196209;49.7;1
196210;39.4;1
196211;123;1
196212;112.6;1
196301;28.9;1
196302;106;1
196303;119.5;1
196304;95.9;1
196305;67.7;1
196306;134.5;1
196307;93.5;1
196308;85.9;1
196309;85.9;1
196310;53.6;1
196311;62.7;1
196312;30.2;1
196401;19.5;1
196402;64.4;1
196403;128.3;1
196404;119.7;1
196405;101.7;1
196406;56.9;1
196407;9.9;1
196408;65.4;1
196409;51.1;1
196410;95.3;1
196411;39.5;1
196412;38.5;1
196501;93.7;1
196502;3.6;1
196503;95.4;1
196504;91.1;1
196505;131.4;1
196506;58;1
196507;68.5;1
196508;64.2;1
196509;145.2;1
196510;86;1
196511;156.9;1
196512;204.7;1
196601;112.5;1
196602;78.1;1
196603;31.7;1
196604;94.2;1
196605;110.4;1
196606;21.2;1
196607;74.1;1
196608;49.7;1
196609;25.4;1
196610;134.3;1
196611;72.4;1
196612;128.5;1
196701;69.6;1
196702;70.5;1
196703;62.7;1
196704;19.3;1
196705;107.5;1
196706;37.6;1
196707;16.8;1
196708;54.9;1
196709;42.8;1
196710;41.3;1
196711;67.9;1
196712;75;1
196801;104.5;1
196802;89.5;1
196803;35.5;1
196804;69.4;1
196805;134.8;1
196806;65.9;1
196807;48.5;1
196808;101.2;1
196809;108.5;1
196810;26.4;1
196811;53.5;1
196812;84.2;1
196901;79.1;1
196902;75.1;1
196903;109;1
196904;100.8;1
196905;110.3;1
196906;71.7;1
196907;56.3;1
196908;89.6;1
196909;119.6;1
196910;39.5;1
196911;68.5;1
196912;88.7;1
197001;66.4;1
197002;112.5;1
197003;76.3;1
197004;110.1;1
197005;51.5;1
197006;112;1
197007;23.2;1
197008;47.2;1
197009;11.1;1
197010;48;1
197011;61.9;1
197012;50.6;1
