# DONNEES MENSUELLES HOMOGENEISEES de RR : Cumul mensuel des hauteurs de précipitation (en mm et 1/10) 
# NUM_POSTE= 12294003
# NOM_USUEL= VEZINS-DE-LEVEZOU-EDF
# LATITUDE (°) = 44.279
# LONGITUDE(°)= 2.958
# ALTITUDE (m) = 941
# NUM_SERIE= MRR012294003
# Amplitude minimale détectable de la série = 0.09
# Période homogénéisée : 195501 202012
# Date(s) de rupture(s) d'homogénéité : 197609 200312
#     Periode homogénéisée  195501 202012  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195501;326.8;1
195502;143.4;1
195503;15.9;1
195504;2.4;1
195505;68.2;1
195506;134.4;1
195507;52;1
195508;20.9;1
195509;92.8;1
195510;62;1
195511;22.5;1
195512;168.2;1
195601;63.6;1
195602;1.7;1
195603;80.6;1
195604;36.2;1
195605;122.3;1
195606;45.3;1
195607;88;1
195608;123.4;1
195609;109.5;1
195610;65.2;1
195611;45.5;1
195612;63.8;1
195701;30.5;1
195702;145.4;1
195703;53.5;1
195704;144.1;1
195705;28.5;1
195706;108.5;1
195707;36.8;1
195708;33.8;1
195709;79.5;1
195710;9.2;1
195711;53.2;1
195712;73.6;1
195801;106.4;1
195802;38.2;1
195803;87.6;1
195804;62.6;1
195805;69.7;1
195806;70.8;1
195807;61.8;1
195808;90.1;1
195809;64;1
195810;35.5;1
195811;56.9;1
195812;118.9;1
195901;89.1;1
195902;12.9;1
195903;67.4;1
195904;133.1;1
195905;75.7;1
195906;64.6;1
195907;25.4;1
195908;99.1;1
195909;79;1
195910;100.3;1
195911;72.5;1
195912;255.3;1
196001;103.8;1
196002;49.3;1
196003;144.4;1
196004;9.1;1
196005;23.3;1
196006;54.8;1
196007;82.2;1
196008;72.4;1
196009;100.1;1
196010;187.7;1
196011;92.7;1
196012;86.3;1
196101;78.5;1
196102;68.1;1
196103;1.6;1
196104;77.5;1
196105;44.7;1
196106;29.9;1
196107;67.7;1
196108;38;1
196109;64.9;1
196110;103.3;1
196111;92.5;1
196112;80.6;1
196201;103;1
196202;58.8;1
196203;79.9;1
196204;97.3;1
196205;86.5;1
196206;4;1
196207;23.1;1
196208;8.3;1
196209;46.4;1
196210;42.9;1
196211;157.9;1
196212;166.4;1
196301;57.1;1
196302;114;1
196303;130.1;1
196304;117.3;1
196305;49;1
196306;110.1;1
196307;101.2;1
196308;97;1
196309;102.5;1
196310;100.3;1
196311;52.7;1
196312;50.6;1
196401;16.4;1
196402;93.4;1
196403;112;1
196404;106.1;1
196405;136.8;1
196406;69.8;1
196407;27.4;1
196408;78.7;1
196409;73.7;1
196410;84.5;1
196411;53.4;1
196412;30.2;1
196501;100.6;1
196502;9.1;1
196503;131.8;1
196504;105.4;1
196505;105.9;1
196506;56.4;1
196507;71.9;1
196508;60.6;1
196509;201.9;1
196510;130.7;1
196511;194.8;1
196512;269.4;1
196601;143.5;1
196602;91.2;1
196603;40.4;1
196604;111.5;1
196605;108.5;1
196606;44.7;1
196607;56.1;1
196608;31.7;1
196609;54.6;1
196610;138.9;1
196611;111.6;1
196612;164.6;1
196701;80.9;1
196702;98.8;1
196703;78.9;1
196704;22.5;1
196705;104.3;1
196706;32.3;1
196707;14.6;1
196708;34.3;1
196709;57.2;1
196710;45.7;1
196711;88.5;1
196712;70.6;1
196801;124;1
196802;83.4;1
196803;32.3;1
196804;83.8;1
196805;131.3;1
196806;41.4;1
196807;42.7;1
196808;98.3;1
196809;80.8;1
196810;46.4;1
196811;68.1;1
196812;91.3;1
196901;103.3;1
196902;92;1
196903;145;1
196904;111.2;1
196905;179.9;1
196906;117.9;1
196907;42.2;1
196908;57.2;1
196909;144.7;1
196910;104.3;1
196911;89.8;1
196912;111.6;1
197001;90.5;1
197002;174.2;1
197003;86.5;1
197004;107.3;1
197005;52.3;1
197006;49.4;1
197007;11.8;1
197008;46.2;1
197009;6.5;1
197010;61;1
197011;56.7;1
197012;35.1;1
197101;219.5;1
197102;35.6;1
197103;76.5;1
197104;129.1;1
197105;88.1;1
197106;118.6;1
197107;46.9;1
197108;26.1;1
197109;66.8;1
197110;24.1;1
197111;89.5;1
197112;32.8;1
197201;147.1;1
197202;144.7;1
197203;72.8;1
197204;80.2;1
197205;64.9;1
197206;90.8;1
197207;14.4;1
197208;142.8;1
197209;40.1;1
197210;65.4;1
197211;65.8;1
197212;53.1;1
197301;101.1;1
197302;75.5;1
197303;12.9;1
197304;24.4;1
197305;61;1
197306;64.5;1
197307;66.9;1
197308;18.2;1
197309;35.9;1
197310;68.1;1
197311;41.3;1
197312;172.1;1
197401;60.4;1
197402;108;1
197403;88.1;1
197404;78.8;1
197405;74.7;1
197406;60.1;1
197407;40.2;1
197408;80;1
197409;133.2;1
197410;101.1;1
197411;116.4;1
197412;28.9;1
197501;127.3;1
197502;26;1
197503;125;1
197504;32.9;1
197505;116.3;1
197506;90.1;1
197507;40;1
197508;123.9;1
197509;77.8;1
197510;28.5;1
197511;90.5;1
197512;30.4;1
197601;19;1
197602;97.4;1
197603;37.1;1
197604;63.4;1
197605;56.5;1
197606;2.9;1
197607;44.6;1
197608;89;1
197609;104.6;1
197610;248;1
197611;113.1;1
197612;123.5;1
197701;126.5;1
197702;126;1
197703;76;1
197704;58.1;1
197705;165;1
197706;79.7;1
197707;108.7;1
197708;106.4;1
197709;12.6;1
197710;105;1
197711;106.3;1
197712;69.6;1
197801;112.9;1
197802;138.5;1
197803;154.8;1
197804;130.3;1
197805;115.7;1
197806;83.3;1
197807;37;1
197808;8.7;1
197809;58.6;1
197810;26.3;1
197811;12;1
197812;173.8;1
197901;147.9;1
197902;126.3;1
197903;125.5;1
197904;101.1;1
197905;111.4;1
197906;26.8;1
197907;34.2;1
197908;81;1
197909;13.6;1
197910;252.4;1
197911;66.6;1
197912;182.4;1
198001;86.7;1
198002;40;1
198003;94.7;1
198004;24.9;1
198005;116.3;1
198006;60.8;1
198007;49.3;1
198008;98.8;1
198009;50.1;1
198010;130.2;1
198011;119.4;1
198012;85.2;1
198101;119.5;1
198102;53.6;1
198103;142.8;1
198104;25.2;1
198105;190.6;1
198106;108.9;1
198107;61.8;1
198108;32.6;1
198109;66.5;1
198110;160.2;1
198111;24.8;1
198112;333.4;1
198201;119;1
198202;46.5;1
198203;64.1;1
198204;31.3;1
198205;29.5;1
198206;70.8;1
198207;113.3;1
198208;67.4;1
198209;124.4;1
198210;118.4;1
