# DONNEES MENSUELLES HOMOGENEISEES de RR : Cumul mensuel des hauteurs de précipitation (en mm et 1/10) 
# NUM_POSTE= 12300004
# NOM_USUEL= VILLEFRANCHE-DE-ROUERGUE
# LATITUDE (°) = 44.372
# LONGITUDE(°)= 2.024
# ALTITUDE (m) = 330
# NUM_SERIE= MRR012300004
# Amplitude minimale détectable de la série = 0.08
# Période homogénéisée : 195801 202012
# Date(s) de rupture(s) d'homogénéité : Aucune rupture d'homogénéité
#     Periode homogénéisée  195801 202012  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195801;48.1;1
195802;18.2;1
195803;138.2;1
195804;49.1;1
195805;94.3;1
195806;76.5;1
195807;173.3;1
195808;43.6;1
195809;44.3;1
195810;31.2;1
195811;68.5;1
195812;103;1
195901;70;1
195902;14.1;1
195903;83.3;1
195904;128.7;1
195905;69;1
195906;59.4;1
195907;35.3;1
195908;114.8;1
195909;91.9;1
195910;82.9;1
195911;73.3;1
195912;207;1
196001;59.9;1
196002;58.5;1
196003;72;1
196004;25.9;1
196005;44.1;1
196006;32.3;1
196007;111.5;1
196008;109.9;1
196009;122.5;1
196010;244.9;1
196011;70;1
196012;100.6;1
196101;72.8;1
196102;56.1;1
196103;1.2;1
196104;85.1;1
196105;110.2;1
196106;46;1
196107;61.9;1
196108;90.2;1
196109;102.9;1
196110;64.5;1
196111;87.6;1
196112;87;1
196201;83.4;1
196202;51.7;1
196203;85.7;1
196204;89.4;1
196205;72.5;1
196206;16.8;1
196207;27.1;1
196208;13.9;1
196209;55.7;1
196210;34.8;1
196211;227.8;1
196212;105.8;1
196301;45.2;1
196302;99.1;1
196303;117.2;1
196304;77.2;1
196305;68.6;1
196306;129.3;1
196307;72.7;1
196308;84.7;1
196309;99.3;1
196310;45;1
196311;65.1;1
196312;54.7;1
196401;19;1
196402;83.3;1
196403;101.2;1
196404;123.8;1
196405;102.5;1
196406;76.7;1
196407;9.4;1
196408;21.9;1
196409;54.2;1
196410;107.8;1
196411;63.2;1
196412;33;1
196501;89.4;1
196502;9.3;1
196503;95;1
196504;81.9;1
196505;97.3;1
196506;66.9;1
196507;58.8;1
196508;51.3;1
196509;154.8;1
196510;48;1
196511;122.8;1
196512;221.6;1
196601;126.9;1
196602;78.3;1
196603;28.6;1
196604;92.7;1
196605;103.9;1
196606;87.8;1
196607;127.4;1
196608;34.4;1
196609;35.5;1
196610;137.4;1
196611;87.6;1
196612;130.5;1
196701;54.7;1
196702;79.3;1
196703;39.9;1
196704;12.2;1
196705;101.9;1
196706;48.6;1
196707;14.1;1
196708;23.3;1
196709;46.2;1
196710;42;1
196711;75.7;1
196712;57.1;1
196801;82.4;1
196802;67.6;1
196803;45.5;1
196804;50.3;1
196805;241.8;1
196806;56.4;1
196807;40.7;1
196808;141;1
196809;106.4;1
196810;34.8;1
196811;51.2;1
196812;82.2;1
196901;94;1
196902;82.8;1
