# DONNEES MENSUELLES HOMOGENEISEES de RR : Cumul mensuel des hauteurs de précipitation (en mm et 1/10) 
# NUM_POSTE= 14047002
# NOM_USUEL= BAYEUX
# LATITUDE (°) = 49.275
# LONGITUDE(°)= -0.712
# ALTITUDE (m) = 60
# NUM_SERIE= MRR014047002
# Amplitude minimale détectable de la série = 0.07
# Période homogénéisée : 195101 201612
# Date(s) de rupture(s) d'homogénéité : 195711 196312 198106
#     Periode homogénéisée  195101 201612  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195101;51.1;1
195102;82;1
195103;82.1;1
195104;68.4;1
195105;106.9;1
195106;109.8;1
195107;49.7;1
195108;129;1
195109;69.6;1
195110;42.9;1
195111;92;1
195112;99.8;1
195201;99.3;1
195202;44.2;1
195203;84.4;1
195204;29.7;1
195205;57.6;1
195206;19.4;1
195207;54;1
195208;119.2;1
195209;174.8;1
195210;161.1;1
195211;96.8;1
195212;84;1
195301;45.6;1
195302;51;1
195303;2.5;1
195304;72;1
195305;51.8;1
195306;27.7;1
195307;52.7;1
195308;32;1
195309;78.8;1
195310;70.4;1
195311;35;1
195312;19.7;1
195401;59.2;1
195402;64.2;1
195403;55.6;1
195404;8.5;1
195405;44.1;1
195406;82.9;1
195407;54.8;1
195408;79.5;1
195409;122;1
195410;62.4;1
195411;51.7;1
195412;70.1;1
195501;90.1;1
195502;87.5;1
195503;38.2;1
195504;8.3;1
195505;56.4;1
195506;71.1;1
195507;13.6;1
195508;62.3;1
195509;62.1;1
195510;142.9;1
195511;10;1
195512;121.3;1
195601;100.7;1
195602;43.1;1
195603;11;1
195604;42.3;1
195605;13.7;1
195606;46.8;1
195607;76.9;1
195608;79.1;1
195609;73.9;1
195610;50.8;1
195611;36.7;1
195612;94.2;1
195701;35.3;1
195702;129.3;1
195703;26.6;1
195704;25.7;1
195705;38.7;1
195706;26.4;1
195707;87.4;1
195708;46.2;1
195709;112.2;1
195710;31.9;1
195711;79.1;1
195712;73.2;1
195801;110.3;1
195802;108.3;1
195803;65.8;1
195804;22;1
195805;80.5;1
195806;106.1;1
195807;18.8;1
195808;140;1
195809;72.5;1
195810;79.5;1
195811;68;1
195812;82;1
195901;116.5;1
195902;2.6;1
195903;58.2;1
195904;67.3;1
195905;37.7;1
195906;36.5;1
195907;18.8;1
195908;29.9;1
195909;16.2;1
195910;90;1
195911;115.1;1
195912;129.1;1
196001;51.1;1
196002;61.3;1
196003;70.7;1
196004;31.7;1
196005;48.6;1
196006;32.5;1
196007;67.6;1
196008;95;1
196009;119.6;1
196010;201.5;1
196011;114.6;1
196012;120.4;1
196101;109.6;1
196102;43.7;1
196103;3.8;1
196104;91.6;1
196105;25;1
196106;29;1
196107;58.4;1
196108;8.9;1
196109;52.6;1
196110;84.1;1
196111;171.4;1
196112;63.4;1
196201;114.4;1
196202;53.6;1
196203;78.6;1
196204;51.6;1
196205;42.7;1
196206;8.9;1
196207;86.8;1
196208;56.9;1
196209;81.5;1
196210;44.3;1
196211;92.9;1
196212;82.9;1
196301;26.6;1
196302;27.4;1
196303;53.7;1
196304;58.1;1
196305;29.9;1
196306;56.3;1
196307;36.4;1
196308;93;1
196309;137.2;1
196310;57.3;1
196311;128.7;1
196312;16.3;1
196401;23.4;1
196402;67.4;1
196403;93.3;1
196404;63.7;1
196405;51.4;1
196406;122.4;1
196407;13.6;1
196408;41.2;1
196409;13.5;1
196410;108.5;1
196411;51.1;1
196412;120.4;1
196501;143.2;1
196502;12.5;1
196503;65.3;1
196504;37.8;1
196505;69.3;1
196506;43.6;1
196507;49.5;1
196508;62.8;1
196509;158.6;1
196510;23;1
196511;138.5;1
196512;186.5;1
196601;86.5;1
196602;63.4;1
196603;22;1
196604;143.7;1
196605;52.7;1
196606;65.2;1
196607;81.2;1
196608;40.1;1
196609;25.1;1
196610;176.1;1
196611;157.8;1
196612;138;1
196701;34.7;1
196702;51.3;1
196703;59.9;1
196704;20;1
196705;99.6;1
196706;72.7;1
196707;24.4;1
196708;43.2;1
196709;116.9;1
196710;105.1;1
196711;81;1
196712;120.5;1
196801;81.5;1
196802;108;1
196803;38.7;1
196804;50.4;1
196805;33.3;1
196806;48.1;1
196807;73.9;1
196808;42.3;1
196809;55.1;1
196810;70.5;1
196811;58.5;1
196812;78.9;1
196901;31.3;1
196902;114;1
196903;71.2;1
196904;28.2;1
196905;111;1
196906;26.9;1
196907;45.7;1
196908;23.4;1
196909;31.9;1
196910;3.2;1
196911;135.1;1
196912;66.4;1
197001;109.6;1
197002;165.9;1
197003;61.5;1
197004;67.4;1
197005;23.8;1
197006;24.4;1
197007;35.3;1
197008;84.6;1
197009;25.4;1
197010;12.4;1
197011;108.9;1
197012;43.1;1
197101;64.3;1
197102;20.9;1
197103;30.6;1
197104;47.8;1
197105;84;1
197106;55.8;1
197107;23.8;1
197108;89.3;1
197109;30.9;1
197110;33.1;1
197111;138.1;1
197112;20.3;1
197201;57.4;1
197202;70.2;1
197203;54.1;1
197204;67;1
197205;59.8;1
197206;16.9;1
197207;10.2;1
197208;16.1;1
197209;46.5;1
197210;46.9;1
197211;129.7;1
197212;20.1;1
197301;36.7;1
197302;53.3;1
197303;12.2;1
197304;54.9;1
197305;102.1;1
197306;127.8;1
197307;52;1
197308;30.3;1
197309;92.1;1
197310;53.8;1
197311;69.3;1
197312;50.4;1
197401;57.5;1
197402;78.9;1
197403;47.7;1
