# DONNEES MENSUELLES HOMOGENEISEES de RR : Cumul mensuel des hauteurs de précipitation (en mm et 1/10) 
# NUM_POSTE= 17093002
# NOM_USUEL= CHATEAU D'OLERON
# LATITUDE (°) = 45.862
# LONGITUDE(°)= -1.204
# ALTITUDE (m) = 3
# NUM_SERIE= MRR017093002
# Amplitude minimale détectable de la série = 0.08
# Période homogénéisée : 195101 201412
# Date(s) de rupture(s) d'homogénéité : 196512 197812
#     Periode homogénéisée  195101 201412  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195101;71.6;1
195102;153.8;1
195103;71;1
195104;28.7;1
195105;52.5;1
195106;68.7;1
195107;28.2;1
195108;102.1;1
195109;26.9;1
195110;44.4;1
195111;118.6;1
195112;90.1;1
195201;96.7;1
195202;41.9;1
195203;69.5;1
195204;35.4;1
195205;17.6;1
195206;5.6;1
195207;29.3;1
195208;56.4;1
195209;145.9;1
195210;133.9;1
195211;166.1;1
195212;183.3;1
195301;14.4;1
195302;35.1;1
195303;2.6;1
195304;40.9;1
195305;17.8;1
195306;25.3;1
195307;41.4;1
195308;15.8;1
195309;66.3;1
195310;144.8;1
195311;41.3;1
195312;14.2;1
195401;60.1;1
195402;79.9;1
195403;74.9;1
195404;41.5;1
195405;32.5;1
195406;46;1
195407;46.7;1
195408;97.3;1
195409;30.2;1
195410;55.6;1
195411;92.4;1
195412;109.4;1
195501;171;1
195502;103.2;1
195503;16.7;1
195504;1.7;1
195505;32.7;1
195506;87.6;1
195507;22.7;1
195508;3.6;1
195509;7.8;1
195510;57;1
195511;28.6;1
195512;122.4;1
195601;70.7;1
195602;9.9;1
195603;27.3;1
195604;22.8;1
195605;28.9;1
195606;16.7;1
195607;36.2;1
195608;73.5;1
195609;62.8;1
195610;29.1;1
195611;33;1
195612;63.4;1
195701;45.1;1
195702;146.5;1
195703;35.2;1
195704;40.3;1
195705;47.4;1
195706;25.5;1
195707;98.9;1
195708;21.3;1
195709;42.1;1
195710;30.8;1
195711;125.8;1
195712;87.9;1
195801;108.8;1
195802;28.8;1
195803;86;1
195804;54.7;1
195805;81;1
195806;76.5;1
195807;61.9;1
195808;79.5;1
195809;74;1
195810;63;1
195811;46.2;1
195812;90.6;1
195901;78;1
195902;5.3;1
195903;43.4;1
195904;94.4;1
195905;33.9;1
195906;29.4;1
195907;42;1
195908;48;1
195909;16.8;1
195910;108.8;1
195911;116;1
195912;176.8;1
196001;58.6;1
196002;66.7;1
196003;57.7;1
196004;18;1
196005;77.1;1
196006;18;1
196007;52.1;1
196008;29;1
196009;137.6;1
196010;177.2;1
196011;148.2;1
196012;144.1;1
196101;158.4;1
196102;40.4;1
196103;0;1
196104;58.8;1
196105;44.8;1
196106;15.3;1
196107;54.4;1
196108;14.5;1
196109;42.6;1
196110;147.4;1
196111;178.1;1
196112;104;1
196201;104.5;1
196202;31.5;1
196203;96.4;1
196204;36.2;1
196205;42.1;1
196206;14.1;1
196207;23;1
196208;12.4;1
196209;65;1
196210;51.7;1
196211;104.6;1
196212;70.6;1
196301;54.4;1
196302;67.8;1
196303;85.7;1
196304;65.6;1
196305;25.2;1
196306;51.9;1
196307;10.9;1
196308;174.2;1
196309;35.1;1
196310;72.5;1
196311;162.5;1
196312;34;1
196401;11.9;1
196402;65.6;1
196403;50.9;1
196404;49.2;1
196405;49.2;1
196406;76.2;1
196407;17.7;1
196408;40;1
196409;60.4;1
196410;149.6;1
196411;55.2;1
196412;102.3;1
196501;124.5;1
196502;5.9;1
196503;76.9;1
196504;37.3;1
196505;34.4;1
196506;47.2;1
196507;37.5;1
196508;139.8;1
196509;214.5;1
196510;6.9;1
196511;136.1;1
196512;142.3;1
196601;74.7;1
196602;104.5;1
196603;26.2;1
196604;60.1;1
196605;31.2;1
196606;126.6;1
196607;18.9;1
196608;56.9;1
196609;18.6;1
196610;195.7;1
196611;155.9;1
196612;143.7;1
196701;48.3;1
196702;69.3;1
196703;37.4;1
196704;59.4;1
196705;95;1
196706;54.1;1
196707;21.4;1
196708;56;1
196709;96.7;1
196710;65.3;1
196711;117.9;1
196712;51.1;1
196801;81.8;1
196802;69.9;1
196803;40.5;1
196804;92.9;1
196805;52.8;1
196806;26.3;1
196807;66.9;1
196808;85.1;1
196809;144.4;1
196810;94.5;1
196811;29.5;1
196812;98.8;1
196901;93.6;1
196902;41;1
196903;64;1
196904;78.1;1
196905;96.5;1
196906;30.1;1
196907;20.5;1
196908;42.4;1
196909;160.7;1
196910;19.4;1
196911;165.8;1
196912;105.3;1
197001;83.1;1
197002;123.5;1
197003;82;1
197004;44.3;1
197005;48.7;1
197006;28.2;1
197007;8.5;1
197008;29.5;1
197009;48;1
197010;54.9;1
197011;114.4;1
197012;23.7;1
197101;100.6;1
