# DONNEES MENSUELLES HOMOGENEISEES de RR : Cumul mensuel des hauteurs de précipitation (en mm et 1/10) 
# NUM_POSTE= 17111001
# NOM_USUEL= CLION
# LATITUDE (°) = 45.477
# LONGITUDE(°)= -0.51
# ALTITUDE (m) = 35
# NUM_SERIE= MRR017111001
# Amplitude minimale détectable de la série = 0.06
# Période homogénéisée : 195801 201512
# Date(s) de rupture(s) d'homogénéité : 199612
#     Periode homogénéisée  195801 201512  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195801;147.9;1
195802;49.5;1
195803;121.6;1
195804;53.7;1
195805;102.7;1
195806;106.5;1
195807;86.2;1
195808;91.5;1
195809;81;1
195810;64.6;1
195811;45;1
195812;163.8;1
195901;101.7;1
195902;11.8;1
195903;48.3;1
195904;117.4;1
195905;54.3;1
195906;32.5;1
195907;25.6;1
195908;23.3;1
195909;55.3;1
195910;119.7;1
195911;92.6;1
195912;218.5;1
196001;66.4;1
196002;79.2;1
196003;47;1
196004;21.7;1
196005;56.6;1
196006;29.7;1
196007;45;1
196008;82.9;1
196009;127.9;1
196010;183.7;1
196011;111;1
196012;179.6;1
196101;190.7;1
196102;39.2;1
196103;0.3;1
196104;65.7;1
196105;57.4;1
196106;25.9;1
196107;80.8;1
196108;21.3;1
196109;42.1;1
196110;128.8;1
196111;143.1;1
196112;125.2;1
196201;129.6;1
196202;28.1;1
196203;162.8;1
196204;55.6;1
196205;77.3;1
196206;8;1
196207;22.8;1
196208;16.1;1
196209;50;1
196210;56.3;1
196211;77.3;1
196212;79.6;1
196301;57.9;1
196302;121.3;1
196303;143.9;1
196304;51.3;1
196305;35.6;1
196306;84.8;1
196307;19.3;1
196308;197.5;1
196309;45.4;1
196310;46.1;1
196311;108.7;1
196312;36.1;1
196401;6.9;1
196402;56;1
196403;71.7;1
196404;90.3;1
196405;91.4;1
196406;49.5;1
196407;21.2;1
196408;45.2;1
196409;50.2;1
196410;190.6;1
196411;30.5;1
196412;55.4;1
196501;119.9;1
196502;5.3;1
196503;100.6;1
196504;64.3;1
196505;40.7;1
196506;53;1
196507;67.8;1
196508;112.6;1
196509;169.1;1
196510;14.6;1
196511;213.2;1
196512;215.9;1
196601;125.8;1
196602;135.3;1
196603;39.7;1
196604;60.6;1
196605;50.6;1
196606;127.5;1
196607;27.6;1
196608;64.7;1
196609;22.6;1
196610;145.4;1
196611;170;1
196612;180.8;1
196701;46.4;1
196702;94.2;1
196703;37.9;1
196704;90.9;1
196705;124.7;1
196706;71.3;1
196707;26.2;1
196708;63.6;1
196709;61.1;1
196710;96;1
196711;105.7;1
196712;67.7;1
196801;93.1;1
196802;62.8;1
196803;41.9;1
196804;129.2;1
196805;62.3;1
196806;31.3;1
196807;58.9;1
196808;111.9;1
196809;186.5;1
196810;55.9;1
196811;17.9;1
196812;103.1;1
196901;96.6;1
196902;33.4;1
196903;74.9;1
196904;89.3;1
196905;114.5;1
196906;75.8;1
196907;40;1
196908;52.3;1
196909;193.4;1
196910;4.3;1
196911;172.8;1
196912;79.6;1
197001;93.6;1
197002;180.8;1
197003;77.9;1
197004;64.3;1
197005;45.7;1
197006;64.4;1
197007;13.9;1
197008;43.3;1
197009;40.9;1
197010;41.8;1
197011;144.5;1
197012;16.6;1
197101;109.3;1
197102;83.5;1
197103;43.8;1
197104;46.8;1
197105;66.4;1
197106;91.8;1
197107;69.7;1
197108;56;1
197109;60;1
197110;10.4;1
197111;107.5;1
197112;25.4;1
197201;75;1
197202;99;1
197203;69;1
197204;56.6;1
197205;73.6;1
197206;31.8;1
197207;15.2;1
197208;192.3;1
197209;27.7;1
197210;41.9;1
197211;106;1
197212;34;1
197301;71.7;1
197302;106.5;1
197303;10.5;1
197304;34.5;1
197305;69.4;1
197306;19.4;1
197307;128.4;1
197308;96.2;1
197309;54.3;1
197310;71.4;1
197311;75.3;1
197312;86.9;1
197401;64.2;1
197402;113.5;1
197403;51.1;1
197404;71.7;1
197405;72.5;1
197406;13.1;1
197407;18.9;1
197408;76.3;1
197409;137.5;1
197410;91.1;1
197411;114.8;1
197412;26.1;1
197501;105.7;1
197502;21.8;1
197503;98.8;1
197504;69.1;1
197505;58.7;1
197506;25.3;1
197507;4.8;1
197508;34.7;1
197509;114.1;1
197510;51;1
197511;93.4;1
197512;47.3;1
197601;15.1;1
197602;43.3;1
197603;55;1
197604;24;1
197605;12.8;1
197606;1.2;1
197607;97.8;1
197608;54.6;1
197609;129.8;1
197610;124.4;1
197611;165.1;1
197612;92.5;1
197701;110.1;1
197702;189.5;1
197703;46.2;1
197704;49.5;1
197705;101.9;1
197706;131.7;1
197707;56.8;1
197708;114.9;1
197709;9.9;1
197710;48.9;1
197711;47.9;1
197712;81;1
197801;147.1;1
197802;98;1
197803;127.8;1
197804;65.3;1
197805;61.7;1
197806;58;1
197807;45.7;1
197808;20.8;1
197809;32.9;1
197810;0.8;1
197811;7.8;1
197812;143.3;1
