# DONNEES MENSUELLES HOMOGENEISEES de RR : Cumul mensuel des hauteurs de précipitation (en mm et 1/10) 
# NUM_POSTE= 17300009
# NOM_USUEL= LA ROCHELLE-ILE DE RE
# LATITUDE (°) = 46.178
# LONGITUDE(°)= -1.193
# ALTITUDE (m) = 20
# NUM_SERIE= MRR017300009
# Amplitude minimale détectable de la série = 0.08
# Période homogénéisée : 195001 201412
# Date(s) de rupture(s) d'homogénéité : Aucune rupture d'homogénéité
#     Periode homogénéisée  195001 201412  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195001;10.5;1
195002;85;1
195003;43.2;1
195004;51.9;1
195005;61.5;1
195006;30.9;1
195007;39;1
195008;74.5;1
195009;56.5;1
195010;50.3;1
195011;162.8;1
195012;114.9;1
195101;60.2;1
195102;116.6;1
195103;69.3;1
195104;72.8;1
195105;54.7;1
195106;92;1
195107;25.5;1
195108;56.3;1
195109;61.3;1
195110;50.3;1
195111;135.2;1
195112;86.3;1
195201;90.2;1
195202;35.3;1
195203;79;1
195204;45;1
195205;26.8;1
195206;15.8;1
195207;30;1
195208;66.3;1
195209;127.2;1
195210;95.4;1
195211;116.3;1
195212;90.7;1
195301;4.8;1
195302;23.5;1
195303;1.7;1
195304;32.6;1
195305;12;1
195306;44.3;1
195307;28.9;1
195308;11.5;1
195309;99.3;1
195310;93;1
195311;32.7;1
195312;11.5;1
195401;56.1;1
195402;68.1;1
195403;103.9;1
195404;21.7;1
195405;21.3;1
195406;59.7;1
195407;70.6;1
195408;79;1
195409;30.4;1
195410;75.2;1
195411;58.1;1
195412;81.2;1
195501;126;1
195502;138.3;1
195503;29.2;1
195504;0.8;1
195505;41.3;1
195506;103;1
195507;113.4;1
195508;0.5;1
195509;17.8;1
195510;60;1
195511;14.4;1
195512;92.1;1
195601;60.3;1
195602;5.5;1
195603;23.6;1
195604;45.3;1
195605;33.5;1
195606;20.3;1
195607;35.2;1
195608;97.1;1
195609;60.5;1
195610;17.5;1
195611;21.2;1
195612;74.9;1
195701;33.8;1
195702;154.8;1
195703;55.1;1
195704;15.8;1
195705;30.4;1
195706;14.3;1
195707;84.8;1
195708;34.5;1
195709;73.1;1
195710;21.1;1
195711;127.5;1
195712;71;1
195801;137;1
195802;42.1;1
195803;102;1
195804;68.4;1
195805;84.3;1
195806;104.4;1
195807;70.2;1
195808;95.8;1
195809;54.3;1
195810;71.3;1
195811;33.6;1
195812;121.3;1
195901;83.9;1
195902;5;1
195903;51.3;1
195904;80.2;1
195905;42.5;1
195906;34.2;1
195907;27.5;1
195908;33;1
195909;17.2;1
195910;120.3;1
195911;92.3;1
195912;155;1
196001;55.1;1
196002;72.1;1
196003;55.5;1
196004;27.3;1
196005;72.2;1
196006;23;1
196007;44.1;1
196008;31.4;1
196009;143.1;1
196010;186.3;1
196011;180.9;1
196012;143.1;1
196101;138.9;1
196102;33;1
196103;1.4;1
196104;63.7;1
196105;40.4;1
196106;29.1;1
196107;52.4;1
196108;12.9;1
196109;44.5;1
196110;133.8;1
196111;164.1;1
196112;100.8;1
196201;82.7;1
196202;23.5;1
196203;93.1;1
196204;35.6;1
196205;62.5;1
196206;32.6;1
196207;34.4;1
196208;12.3;1
196209;63.3;1
196210;48.3;1
196211;126.3;1
196212;66.2;1
196301;60.4;1
196302;61.1;1
196303;77.1;1
196304;58.1;1
196305;24.1;1
196306;126.8;1
196307;3.9;1
196308;156.4;1
196309;36.8;1
196310;74.9;1
196311;165.5;1
196312;32.6;1
196401;10.1;1
196402;70.6;1
196403;58.2;1
196404;47.4;1
196405;84.8;1
196406;46.4;1
196407;11.1;1
196408;13.9;1
196409;35.1;1
196410;109.7;1
196411;33.6;1
196412;63.6;1
196501;107.4;1
196502;2.1;1
196503;95.7;1
196504;34;1
196505;39.2;1
196506;47.6;1
196507;49.7;1
196508;166.5;1
196509;138.4;1
196510;20.2;1
196511;128;1
196512;152.4;1
196601;98.3;1
196602;105.2;1
196603;30.4;1
196604;73;1
196605;48.5;1
196606;93.6;1
196607;21.9;1
196608;61.5;1
196609;13.8;1
196610;190;1
196611;104.4;1
196612;120.5;1
196701;40.4;1
196702;62.5;1
196703;49;1
196704;54.7;1
196705;93.8;1
196706;67.6;1
196707;10.4;1
196708;65.5;1
196709;67.2;1
196710;82.8;1
196711;98.4;1
196712;67.8;1
196801;69.8;1
196802;64.4;1
196803;41.6;1
196804;63.9;1
196805;45.1;1
196806;31.4;1
196807;104.7;1
196808;70.2;1
196809;123;1
196810;83.7;1
196811;24.3;1
196812;97.5;1
196901;82.3;1
196902;46.5;1
196903;55.2;1
196904;63.5;1
196905;91.5;1
196906;50.3;1
196907;7.1;1
196908;11.1;1
196909;129;1
196910;8;1
196911;149.1;1
196912;117.4;1
197001;80.7;1
197002;103.1;1
197003;65.9;1
197004;53.4;1
197005;45;1
197006;18.9;1
197007;14.9;1
197008;67.7;1
197009;37.7;1
197010;44.2;1
197011;144.3;1
197012;20.3;1
197101;86.9;1
197102;48.3;1
197103;29.9;1
197104;31.8;1
197105;90.9;1
197106;61.3;1
197107;35.1;1
197108;27.2;1
197109;99.1;1
197110;21.7;1
197111;60.8;1
197112;26.9;1
197201;91.5;1
197202;101.3;1
197203;68.5;1
197204;40.7;1
197205;49.3;1
197206;38.7;1
197207;18.6;1
197208;109.7;1
197209;13.6;1
197210;46.2;1
197211;103.1;1
197212;39.7;1
197301;46.4;1
197302;74.8;1
197303;5.3;1
197304;48.1;1
197305;75.1;1
197306;18.6;1
197307;67.7;1
197308;11.5;1
197309;56;1
197310;85.5;1
197311;43.9;1
197312;82.2;1
197401;71.3;1
197402;89.6;1
197403;47.1;1
197404;34;1
197405;42.7;1
197406;23.3;1
197407;5.2;1
197408;56.2;1
197409;75.7;1
197410;79.2;1
197411;122.7;1
197412;22.1;1
197501;147.8;1
197502;36.5;1
197503;88.8;1
197504;59.8;1
197505;62.2;1
197506;15.9;1
197507;20;1
197508;27.9;1
197509;107.4;1
197510;59.1;1
197511;92.5;1
197512;36.2;1
197601;30.5;1
197602;56.1;1
197603;41.5;1
197604;15.2;1
197605;9.2;1
197606;1.8;1
197607;24.5;1
197608;32.8;1
197609;110.8;1
197610;109.7;1
197611;190.3;1
197612;109.6;1
197701;129;1
197702;170.3;1
197703;61.1;1
197704;41.9;1
197705;56.2;1
197706;66;1
197707;66.3;1
197708;42.5;1
197709;7.7;1
197710;61.6;1
197711;72.3;1
197712;73.4;1
197801;106.1;1
197802;96.7;1
197803;71.8;1
197804;45.6;1
197805;21.4;1
197806;41.2;1
197807;35.3;1
197808;26;1
197809;29.8;1
197810;1.4;1
197811;14.4;1
197812;151;1
197901;100.4;1
197902;108.7;1
197903;128.5;1
197904;59.7;1
197905;109.4;1
197906;13.2;1
197907;11.7;1
197908;36.6;1
197909;28.1;1
197910;109;1
197911;82.2;1
197912;149.9;1
198001;95.3;1
198002;32.9;1
198003;86.2;1
198004;7.9;1
198005;33.9;1
198006;51.5;1
198007;54.9;1
198008;18.4;1
198009;47.7;1
198010;132.2;1
198011;53.9;1
198012;58.6;1
198101;44.1;1
198102;49.1;1
198103;67.1;1
198104;28.3;1
198105;151.6;1
198106;53.9;1
198107;45.4;1
198108;56.1;1
198109;93.3;1
198110;169.3;1
198111;16.1;1
198112;149.6;1
198201;91.9;1
198202;43.6;1
198203;67.2;1
198204;5.7;1
198205;26;1
198206;63.1;1
198207;37.7;1
198208;28.7;1
198209;55.5;1
198210;195.4;1
198211;109.7;1
198212;178.1;1
198301;35.3;1
198302;58.1;1
198303;39.3;1
198304;105.7;1
