# DONNEES MENSUELLES HOMOGENEISEES de RR : Cumul mensuel des hauteurs de précipitation (en mm et 1/10) 
# NUM_POSTE= 18187004
# NOM_USUEL= PREVERANGES
# LATITUDE (°) = 46.425
# LONGITUDE(°)= 2.237
# ALTITUDE (m) = 462
# NUM_SERIE= MRR018187004
# Amplitude minimale détectable de la série = 0.08
# Période homogénéisée : 194701 201912
# Date(s) de rupture(s) d'homogénéité : 196601 200611
#     Periode homogénéisée  194701 201912  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
194701;52;1
194702;76.9;1
194703;62.7;1
194704;42.7;1
194705;85.1;1
194706;57.4;1
194707;36.3;1
194708;31;1
194709;41.2;1
194710;42.8;1
194711;59.6;1
194712;61.2;1
194801;83.4;1
194802;23.9;1
194803;18.1;1
194804;70;1
194805;63;1
194806;52.3;1
194807;62.7;1
194808;56.4;1
194809;50.2;1
194810;20.5;1
194811;42.2;1
194812;28.8;1
194901;46.9;1
194902;12.3;1
194903;46.6;1
194904;27;1
194905;70.6;1
194906;29.9;1
194907;2.3;1
194908;31.1;1
194909;68.5;1
194910;65.8;1
194911;90.3;1
194912;50.5;1
195001;22.9;1
195002;73.4;1
195003;13.5;1
195004;80.7;1
195005;46.7;1
195006;42;1
195007;22.7;1
195008;82.4;1
195009;28.2;1
195010;45.8;1
195011;194.8;1
195012;70;1
195101;51.5;1
195102;72.5;1
195103;86.7;1
195104;47.2;1
195105;97;1
195106;114.3;1
195107;22.4;1
195108;50.2;1
195109;75.4;1
195110;28.1;1
195111;61.6;1
195112;54;1
195201;105.4;1
195202;89.5;1
195203;92.5;1
195204;17.1;1
195205;71.7;1
195206;49.9;1
195207;12.6;1
195208;133;1
195209;132.7;1
195210;131;1
195211;114.6;1
195212;110.6;1
195301;20;1
195302;56;1
195303;8.8;1
195304;96;1
195305;39.1;1
195306;99.8;1
195307;92.1;1
195308;39.6;1
195309;89.5;1
195310;72.8;1
195311;20.5;1
195312;18.9;1
195401;48.5;1
195402;95.2;1
195403;65;1
195404;30.2;1
195405;69.9;1
195406;66;1
195407;29.9;1
195408;92.1;1
195409;53.5;1
195410;59.3;1
195411;40.1;1
195412;53.1;1
195501;143.9;1
195502;119.5;1
195503;40.6;1
195504;4.6;1
195505;35.9;1
195506;61.5;1
195507;33.7;1
195508;14.2;1
195509;12.6;1
195510;26.6;1
195511;31.8;1
195512;72.8;1
195601;90.3;1
195602;24.3;1
195603;17.9;1
195604;89.2;1
195605;82.8;1
195606;49.3;1
195607;33.6;1
195608;58.7;1
195609;87.2;1
195610;58.8;1
195611;39.6;1
195612;38.4;1
195701;42.4;1
195702;134.7;1
195703;18.6;1
195704;33.6;1
195705;27.8;1
195706;50.9;1
195707;90.6;1
195708;37.4;1
195709;59.6;1
195710;61.6;1
195711;43.2;1
195712;43.1;1
195801;115.9;1
195802;73.6;1
195803;80.1;1
195804;43.2;1
195805;151.6;1
195806;81.1;1
195807;137.6;1
195808;131.9;1
195809;40.9;1
195810;62.4;1
195811;96.3;1
195812;102.1;1
195901;97.4;1
195902;11;1
195903;64.9;1
195904;104.9;1
195905;59.1;1
195906;40.6;1
195907;3.9;1
195908;66.5;1
195909;31.3;1
195910;51.5;1
195911;61.3;1
195912;107.8;1
196001;65.5;1
196002;34.6;1
196003;75.8;1
196004;28;1
196005;70.8;1
196006;53;1
196007;64.4;1
196008;112;1
196009;106;1
196010;206.5;1
196011;75.2;1
196012;65.1;1
196101;109.6;1
196102;43.5;1
196103;14.5;1
196104;60.2;1
196105;52.9;1
196106;51.8;1
196107;94.4;1
196108;47.9;1
196109;36.9;1
196110;80.7;1
196111;81.2;1
196112;106;1
196201;127.4;1
196202;45.8;1
196203;118.6;1
196204;59.6;1
196205;112;1
196206;28.9;1
196207;73.4;1
196208;16.4;1
196209;26.8;1
196210;41.3;1
196211;124;1
196212;78.6;1
196301;53.8;1
196302;40.3;1
196303;109.1;1
196304;35.4;1
196305;57.9;1
196306;95.7;1
196307;26.8;1
196308;162.4;1
196309;46.3;1
196310;38.1;1
196311;64.3;1
196312;11.1;1
196401;22.4;1
196402;52.9;1
196403;112.3;1
196404;103.4;1
196405;55.7;1
196406;37.9;1
196407;19;1
196408;96.3;1
196409;62.7;1
196410;84.4;1
196411;62.5;1
196412;56.1;1
196501;60.6;1
196502;14;1
196503;62.1;1
196504;69;1
196505;93.5;1
196506;45.6;1
196507;64;1
196508;77.4;1
196509;169.9;1
196510;21.2;1
196511;121.7;1
196512;140.8;1
196601;71.3;1
196602;72.8;1
196603;42.1;1
196604;42.9;1
196605;44.7;1
196606;69.8;1
196607;67.8;1
196608;58.8;1
196609;6.7;1
196610;78.3;1
196611;74.1;1
196612;125.1;1
196701;41.4;1
196702;54;1
196703;54;1
196704;14.5;1
196705;67.1;1
196706;32;1
196707;9.5;1
196708;56.8;1
196709;89.8;1
196710;81.9;1
196711;74.6;1
196712;84.7;1
196801;98.1;1
196802;54.7;1
196803;31.6;1
196804;57.3;1
196805;101.9;1
196806;34.4;1
196807;85.6;1
196808;129.3;1
196809;95.6;1
196810;55.8;1
196811;43.7;1
196812;115.1;1
196901;36.9;1
196902;54.8;1
196903;57.9;1
196904;57.3;1
196905;98.1;1
196906;81.2;1
196907;24.3;1
196908;73.4;1
196909;156;1
196910;5.8;1
196911;109;1
196912;73.1;1
197001;79;1
197002;148.8;1
197003;72.6;1
197004;84.5;1
197005;40.2;1
197006;104.1;1
197007;49.5;1
197008;87.4;1
197009;31.5;1
197010;49.8;1
197011;53.6;1
197012;26;1
197101;91.5;1
197102;26.9;1
197103;52;1
197104;39;1
197105;124;1
197106;84;1
197107;27.3;1
197108;145.3;1
197109;27.7;1
197110;15.6;1
197111;82.3;1
197112;15.5;1
197201;60.9;1
197202;73.6;1
197203;32;1
197204;41.3;1
197205;44.9;1
197206;51.9;1
197207;52.9;1
197208;135.1;1
197209;30.5;1
197210;39.1;1
197211;129;1
197212;31.8;1
197301;68.1;1
197302;78.3;1
197303;15.7;1
197304;25.3;1
197305;71;1
197306;59.3;1
197307;140.3;1
197308;55.6;1
197309;50;1
