# DONNEES MENSUELLES HOMOGENEISEES de RR : Cumul mensuel des hauteurs de précipitation (en mm et 1/10) 
# NUM_POSTE= 18223003
# NOM_USUEL= ST-MARTIN-D'A.
# LATITUDE (°) = 47.201
# LONGITUDE(°)= 2.417
# ALTITUDE (m) = 172
# NUM_SERIE= MRR018223003
# Amplitude minimale détectable de la série = 0.07
# Période homogénéisée : 194801 201912
# Date(s) de rupture(s) d'homogénéité : 198601 199105 200208
#     Periode homogénéisée  194801 201912  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
194801;128;1
194802;41.8;1
194803;42.1;1
194804;76.3;1
194805;100.8;1
194806;68.8;1
194807;24.6;1
194808;43.3;1
194809;62.5;1
194810;18.3;1
194811;36.5;1
194812;71.7;1
194901;30.8;1
194902;26.5;1
194903;15.4;1
194904;34.2;1
194905;62.4;1
194906;34.3;1
194907;10.5;1
194908;66.1;1
194909;96.3;1
194910;37.6;1
194911;113.1;1
194912;63.9;1
195001;23.1;1
195002;91.9;1
195003;20.9;1
195004;80.8;1
195005;82.2;1
195006;35.2;1
195007;29;1
195008;72.8;1
195009;50.7;1
195010;32.7;1
195011;172.2;1
195012;93.4;1
195101;53.2;1
195102;84.2;1
195103;61.8;1
195104;46.8;1
195105;58.5;1
195106;167.9;1
195107;32.8;1
195108;106.8;1
195109;85;1
195110;9.1;1
195111;102.6;1
195112;31.6;1
195201;97.1;1
195202;81;1
195203;89.8;1
195204;8.3;1
195205;66.3;1
195206;22;1
195207;5.3;1
195208;68.8;1
195209;89.2;1
195210;152.1;1
195211;105.5;1
195212;153.8;1
195301;27.9;1
195302;42.9;1
195303;8.5;1
195304;66.7;1
195305;22.2;1
195306;58.2;1
195307;70;1
195308;38.1;1
195309;81.1;1
195310;44.8;1
195311;15.9;1
195312;13.5;1
195401;34.6;1
195402;64.5;1
195403;36.1;1
195404;51.9;1
195405;30.6;1
195406;44.7;1
195407;32.2;1
195408;85.6;1
195409;54.1;1
195410;49.8;1
195411;56.7;1
195412;99.3;1
195501;144.1;1
195502;92.2;1
195503;46.9;1
195504;1.6;1
195505;38.4;1
195506;75.3;1
195507;74.4;1
195508;8.5;1
195509;32.1;1
195510;33.9;1
195511;33.4;1
195512;150.3;1
195601;41.7;1
195602;8.4;1
195603;38.7;1
195604;75.2;1
195605;42.9;1
195606;70.7;1
195607;87.4;1
195608;108.5;1
195609;100.9;1
195610;56.7;1
195611;54.4;1
195612;57.5;1
195701;73.9;1
195702;137.2;1
195703;42.4;1
195704;26.3;1
195705;34;1
195706;91.1;1
195707;79.9;1
195708;72.4;1
195709;85.1;1
195710;27.4;1
195711;33.4;1
195712;61.3;1
195801;103.8;1
195802;88.8;1
195803;62.1;1
195804;49.8;1
195805;121.7;1
195806;113.9;1
195807;110.3;1
195808;94.8;1
195809;80.6;1
195810;53.8;1
195811;78.8;1
195812;119.6;1
195901;118.9;1
195902;0;1
195903;59.5;1
195904;114.1;1
195905;24.4;1
195906;87.8;1
195907;14.9;1
195908;44.1;1
195909;31.8;1
195910;64.2;1
195911;64.2;1
195912;92.7;1
196001;71.3;1
196002;39.1;1
196003;76.9;1
196004;41;1
196005;83.9;1
196006;68.2;1
196007;68.8;1
196008;83.2;1
196009;110.1;1
196010;209.4;1
196011;81.8;1
196012;66.7;1
196101;100;1
196102;51.6;1
196103;5.2;1
196104;76.8;1
196105;49.1;1
196106;51.9;1
196107;99.1;1
196108;18.3;1
196109;57.7;1
196110;82.7;1
196111;77.9;1
196112;95.2;1
196201;88.5;1
196202;15.4;1
196203;86.6;1
196204;34.2;1
196205;92.7;1
196206;7.4;1
196207;36.8;1
196208;11.8;1
196209;36.2;1
196210;40.3;1
196211;132.5;1
196212;79.6;1
196301;34.1;1
196302;41.6;1
196303;112.2;1
196304;34.9;1
196305;81.2;1
196306;67.1;1
196307;47.5;1
196308;141.2;1
196309;29.3;1
196310;53.7;1
196311;107;1
196312;3.6;1
196401;32.3;1
196402;56.8;1
196403;93.8;1
196404;60.9;1
196405;35.3;1
196406;34.2;1
196407;11.5;1
196408;27.6;1
196409;85.4;1
196410;57.6;1
196411;31.7;1
196412;43.3;1
196501;133.7;1
196502;3.5;1
196503;68;1
196504;63.4;1
196505;73.2;1
196506;47.6;1
196507;120.5;1
196508;91.4;1
196509;200.7;1
196510;16;1
196511;150;1
196512;146.4;1
196601;114.5;1
196602;85.5;1
196603;46.8;1
196604;66.4;1
196605;50.3;1
196606;79.1;1
196607;56.7;1
196608;96.7;1
196609;27.7;1
196610;57.7;1
196611;88.2;1
196612;131.2;1
196701;57;1
196702;66.8;1
196703;43.1;1
196704;25.4;1
196705;110.7;1
196706;28.9;1
196707;20.4;1
196708;65.9;1
196709;101.8;1
196710;78.6;1
196711;75;1
196712;110.6;1
196801;160.7;1
196802;68.9;1
196803;31.4;1
196804;56.2;1
196805;99.2;1
196806;92.6;1
196807;66.2;1
196808;159.2;1
196809;142.2;1
196810;49.6;1
196811;41.5;1
196812;82.7;1
196901;41.8;1
196902;49.3;1
196903;96.2;1
196904;65.1;1
196905;79.9;1
196906;55.4;1
196907;60.9;1
196908;73.6;1
196909;81.3;1
196910;6.3;1
196911;122.2;1
196912;58.4;1
197001;87.5;1
197002;160.4;1
197003;94.8;1
197004;84.5;1
197005;38.9;1
197006;111.2;1
197007;57;1
197008;78.6;1
197009;38.4;1
197010;26.8;1
197011;74;1
197012;53.1;1
197101;76.2;1
197102;21.5;1
197103;43.9;1
197104;38.8;1
197105;201.1;1
197106;71.2;1
197107;51.1;1
197108;113.8;1
197109;38;1
197110;19.4;1
197111;96.7;1
197112;8.6;1
197201;75.8;1
197202;74;1
197203;49;1
197204;46.8;1
197205;50.9;1
197206;67.3;1
197207;57.6;1
197208;82.9;1
197209;45.1;1
197210;38.2;1
197211;105.8;1
197212;30.7;1
197301;62.2;1
197302;60.2;1
197303;11.1;1
197304;36.3;1
197305;103.4;1
197306;39.6;1
197307;55;1
197308;26.6;1
197309;61.8;1
197310;38;1
197311;51.6;1
197312;79.3;1
197401;59.5;1
197402;55.5;1
197403;86.7;1
197404;18.9;1
197405;58.9;1
197406;65.7;1
197407;22.4;1
197408;48.3;1
197409;115.6;1
197410;135.6;1
197411;95;1
197412;59;1
197501;89.5;1
197502;15;1
197503;74.8;1
197504;62.2;1
197505;103;1
197506;22.1;1
197507;34.5;1
197508;45.2;1
197509;129.8;1
197510;42.4;1
197511;113.3;1
197512;37.9;1
197601;35.3;1
197602;67.9;1
197603;23.2;1
197604;28.5;1
197605;29.5;1
197606;0;1
197607;57.7;1
197608;22.8;1
197609;76.5;1
197610;107;1
197611;74;1
197612;89.6;1
197701;76.1;1
197702;181.2;1
197703;65.1;1
197704;45.4;1
197705;101.1;1
197706;112.8;1
197707;103.7;1
197708;94.8;1
197709;4.3;1
197710;78.8;1
197711;90.5;1
197712;84.6;1
197801;98.3;1
197802;103.7;1
197803;148.2;1
197804;85.3;1
197805;71;1
197806;28.1;1
197807;119.9;1
197808;6.3;1
197809;29.9;1
197810;9.3;1
197811;25.6;1
197812;130.2;1
197901;72.3;1
197902;128.5;1
197903;174;1
197904;79.2;1
197905;86.7;1
197906;87.5;1
197907;31.7;1
197908;81;1
197909;44.3;1
197910;126.7;1
197911;76.6;1
197912;136.2;1
198001;73.5;1
198002;84.9;1
198003;93.2;1
198004;8.9;1
198005;72.2;1
198006;87.4;1
198007;110.2;1
198008;16.8;1
198009;35.2;1
198010;78.2;1
198011;48.5;1
198012;96.3;1
198101;138.1;1
198102;61;1
198103;112.3;1
198104;26.6;1
198105;159.5;1
198106;124.1;1
198107;50.4;1
198108;32.2;1
198109;75.6;1
198110;202;1
198111;39.1;1
198112;136.5;1
198201;106.6;1
198202;28.4;1
198203;92;1
198204;15.3;1
198205;39.2;1
198206;79;1
198207;28.1;1
198208;21.5;1
198209;72.9;1
198210;149.5;1
198211;66.7;1
198212;187;1
198301;85.1;1
198302;79;1
198303;67.6;1
198304;158.6;1
198305;116.1;1
198306;33.1;1
198307;80.7;1
198308;119.3;1
198309;52;1
198310;37.3;1
198311;49.2;1
198312;59.2;1
198401;149.3;1
198402;59.4;1
198403;37.7;1
198404;14.8;1
198405;124.4;1
198406;45.8;1
198407;33.8;1
198408;63.9;1
198409;117.8;1
198410;108.8;1
198411;110.6;1
198412;80.8;1
198501;65.8;1
198502;57.2;1
198503;68.7;1
198504;77.6;1
198505;139.5;1
198506;94.5;1
198507;31.8;1
198508;44.9;1
198509;9.6;1
198510;3.6;1
198511;74.7;1
198512;72.2;1
198601;93.8;1
198602;80.8;1
198603;100.8;1
198604;98.5;1
198605;120.8;1
198606;7.2;1
198607;17.6;1
198608;90.5;1
198609;94.3;1
198610;93.1;1
198611;69.5;1
198612;106;1
198701;39.6;1
198702;75.4;1
198703;61.3;1
198704;55.3;1
198705;81;1
198706;92.3;1
198707;62.6;1
198708;50.7;1
198709;44.9;1
198710;120;1
198711;103.5;1
198712;72.4;1
198801;168.4;1
198802;98.6;1
198803;109.4;1
198804;29.6;1
198805;72.6;1
198806;44.4;1
198807;72.7;1
198808;21.8;1
198809;34.7;1
198810;50.6;1
198811;52.7;1
198812;55;1
198901;19.5;1
198902;58.5;1
198903;33.8;1
198904;107.3;1
198905;20.2;1
198906;46.3;1
198907;62.9;1
198908;46.2;1
198909;14.9;1
198910;47.6;1
198911;39.5;1
198912;89.4;1
199001;36.9;1
199002;118.4;1
199003;9.4;1
199004;63;1
199005;21.2;1
199006;76.9;1
199007;27.3;1
199008;19.3;1
199009;22.8;1
199010;86.7;1
199011;97.4;1
199012;77;1
199101;67.5;1
199102;48.2;1
199103;32.6;1
199104;63.7;1
199105;20.7;1
199106;81.7;1
199107;87.3;1
199108;11.2;1
199109;72.7;1
199110;71.2;1
199111;109.1;1
199112;30.6;1
199201;7.6;1
199202;40.1;1
199203;59.1;1
199204;45.7;1
199205;63.6;1
199206;101.8;1
199207;72.7;1
199208;102.8;1
199209;38.2;1
199210;86.9;1
199211;163.7;1
199212;52.6;1
199301;37.5;1
199302;9.9;1
199303;26.1;1
199304;83.5;1
199305;72.7;1
199306;88.6;1
199307;37.7;1
199308;32.6;1
199309;164.1;1
199310;93.6;1
199311;36.7;1
199312;123.1;1
199401;118.4;1
199402;116.7;1
199403;57.6;1
199404;90.1;1
199405;112.8;1
199406;45.7;1
199407;95.3;1
199408;63.6;1
199409;142.1;1
199410;72.4;1
199411;93.8;1
199412;92.5;1
199501;128.7;1
199502;94.2;1
199503;110;1
199504;57.6;1
199505;66.6;1
199506;19.8;1
199507;57.3;1
199508;61.4;1
199509;97.2;1
199510;51.3;1
199511;35.6;1
199512;85.2;1
199601;82.1;1
199602;86.7;1
199603;36.7;1
199604;30.4;1
199605;85;1
199606;11.4;1
199607;30;1
199608;73.5;1
199609;74.6;1
199610;64.2;1
199611;165.4;1
199612;82.6;1
199701;21.8;1
199702;89.1;1
199703;12.3;1
199704;21.4;1
199705;82.6;1
199706;127.4;1
199707;49.2;1
199708;111.3;1
199709;43.3;1
199710;60.1;1
199711;126.8;1
199712;118.2;1
199801;122.2;1
199802;18.3;1
199803;38.6;1
199804;231.1;1
199805;21.8;1
199806;57.8;1
199807;39.4;1
199808;24.4;1
199809;127.9;1
199810;122.9;1
199811;52.8;1
199812;74.8;1
199901;80.2;1
199902;132;1
199903;94.7;1
199904;102.6;1
199905;80;1
199906;32.5;1
199907;33.4;1
199908;93.2;1
199909;157.4;1
199910;49.2;1
199911;76.3;1
199912;197.5;1
200001;32.5;1
200002;125.9;1
200003;49;1
200004;117.3;1
200005;70.9;1
200006;15.9;1
200007;148.3;1
200008;25;1
200009;47.2;1
200010;91.9;1
200011;151.4;1
200012;86;1
200101;92.5;1
200102;55.2;1
200103;179.8;1
200104;130.7;1
200105;79.8;1
200106;67.3;1
200107;233.7;1
200108;87.3;1
200109;55;1
200110;105.7;1
200111;70.1;1
200112;70.1;1
200201;45.3;1
200202;74;1
200203;41;1
200204;18.3;1
200205;80.4;1
200206;74;1
200207;49.8;1
200208;183;1
200209;31.4;1
200210;121.6;1
200211;175.8;1
200212;118.2;1
200301;106.6;1
200302;54.8;1
200303;48.2;1
200304;77;1
200305;101;1
200306;188.8;1
200307;44.6;1
200308;24.2;1
200309;36;1
200310;129;1
200311;76.8;1
200312;81.8;1
200401;186.6;1
200402;34;1
200403;65.4;1
200404;100.8;1
200405;51.8;1
200406;28.8;1
200407;90.8;1
200408;129;1
200409;41.6;1
200410;74.4;1
200411;38.8;1
200412;82.2;1
200501;80.6;1
200502;67;1
200503;74.2;1
200504;75.2;1
200505;50.4;1
200506;38.6;1
200507;116.3;1
200508;49;1
200509;78;1
200510;43.4;1
200511;63;1
200512;71.6;1
200601;56.6;1
200602;73.8;1
200603;172.6;1
200604;25.8;1
200605;50.8;1
200606;35.8;1
200607;34;1
200608;73.8;1
200609;92.6;1
200610;111.2;1
200611;95.6;1
200612;58.6;1
200701;80.2;1
200702;93;1
200703;108;1
200704;14.6;1
200705;109.4;1
200706;121;1
200707;84.6;1
200708;108.8;1
200709;34.6;1
200710;58.2;1
200711;52.4;1
200712;62.2;1
200801;86.6;1
200802;35.8;1
200803;150.8;1
200804;120.6;1
200805;131.6;1
200806;58.4;1
200807;64.2;1
200808;71.2;1
200809;23;1
200810;86.4;1
200811;87.8;1
200812;55.2;1
200901;67.6;1
200902;43.8;1
200903;43.2;1
200904;68.4;1
200905;90.4;1
200906;58.6;1
200907;81.8;1
200908;47.4;1
200909;42.4;1
200910;23.8;1
200911;89.4;1
200912;124;1
201001;47.2;1
201002;73.2;1
201003;82.4;1
201004;15.8;1
201005;70;1
201006;57.2;1
201007;103;1
201008;56.6;1
201009;73.2;1
201010;52.3;1
201011;81.6;1
201012;123.6;1
201101;43.4;1
201102;33.2;1
201103;38.6;1
201104;20.6;1
201105;24;1
201106;58.6;1
201107;108.8;1
201108;90;1
201109;33.8;1
201110;68;1
201111;35.4;1
201112;181.2;1
201201;71.8;1
201202;15.6;1
201203;25.2;1
201204;115.8;1
201205;50.8;1
201206;84.2;1
201207;53.8;1
201208;5.5;1
201209;64.2;1
201210;94.8;1
201211;67;1
201212;139;1
201301;79.8;1
201302;71.2;1
201303;85;1
201304;106.4;1
201305;112;1
201306;22.8;1
201307;55.1;1
201308;53.8;1
201309;110;1
201310;157.6;1
201311;115.4;1
201312;46.4;1
201401;77.4;1
201402;102.2;1
201403;23.4;1
201404;59.6;1
201405;134.2;1
201406;49;1
201407;123.6;1
201408;101.2;1
201409;18.2;1
201410;114.8;1
201411;87.4;1
201412;73.2;1
201501;111.7;1
201502;61.3;1
201503;62.5;1
201504;77.3;1
201505;81.8;1
201506;43.5;1
201507;13.5;1
201508;100.1;1
201509;61.5;1
201510;58.5;1
201511;69.5;1
201512;35;1
201601;128.5;1
201602;117.5;1
201603;95.3;1
201604;80.5;1
201605;170.5;1
201606;89.4;1
201607;4.8;1
201608;7;1
201609;23.2;1
201610;43;1
201611;119.5;1
201612;21.5;1
201701;52.7;1
201702;61.5;1
201703;110.5;1
201704;25.5;1
201705;84.5;1
201706;44;1
201707;73;1
201708;29.5;1
201709;90.5;1
201710;48.4;1
201711;67.1;1
201712;138;1
201801;228.6;1
201802;66.8;1
201803;131.7;1
201804;83.5;1
201805;77.2;1
201806;113.6;1
201807;45.8;1
201808;26;1
201809;11.5;1
201810;39;1
201811;54;1
201812;114.2;1
201901;74.1;1
201902;17.2;1
201903;56.2;1
201904;47;1
201905;68.5;1
201906;65;1
201907;7;1
201908;31.5;1
201909;47.6;1
201910;140.5;1
201911;151.5;1
201912;132.3;1
202001;75.3;0
202002;100.5;0
202003;66;0
202004;28;0
202005;51;0
202006;59;0
202007;14.5;0
202008;107;0
202009;51.1;0
202010;146.8;0
202011;22.6;0
202012;133.5;0
202101;119.1;0
202102;58;0
202103;34.3;0
202104;39;0
202105;97;0
202106;128.7;0
202107;72.4;0
202108;24.6;0
202109;106.3;0
202110;44.3;0
202111;49.9;0
202112;154.8;0
202201;43.9;0
202202;52.5;0
202203;32;0
202204;53;0
202205;69.3;0
202206;187.7;0
202207;27.2;0
202208;31.3;0
202209;97.5;0
202210;103.7;0
202211;80.6;0
202212;75.2;0
