# DONNEES MENSUELLES HOMOGENEISEES de RR : Cumul mensuel des hauteurs de précipitation (en mm et 1/10) 
# NUM_POSTE= 22243001
# NOM_USUEL= PLUSQUELLEC
# LATITUDE (°) = 48.404
# LONGITUDE(°)= -3.522
# ALTITUDE (m) = 214
# NUM_SERIE= MRR022243001
# Amplitude minimale détectable de la série = 0.07
# Période homogénéisée : 195801 201812
# Date(s) de rupture(s) d'homogénéité : 197612
#     Periode homogénéisée  195801 201812  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195801;155.2;1
195802;149.6;1
195803;126.7;1
195804;30.1;1
195805;73.5;1
195806;138.1;1
195807;57.9;1
195808;102.9;1
195809;86.9;1
195810;101.7;1
195811;51.6;1
195812;145.8;1
195901;175;1
195902;5.1;1
195903;81.8;1
195904;185.2;1
195905;17.8;1
195906;43.3;1
195907;11.8;1
195908;29.9;1
195909;10.9;1
195910;160.5;1
195911;195.6;1
195912;247.3;1
196001;148.2;1
196002;121.6;1
196003;95.4;1
196004;39.4;1
196005;69.5;1
196006;49.6;1
196007;86.5;1
196008;97.2;1
196009;81.9;1
196010;257.8;1
196011;144.7;1
196012;167.4;1
196101;220;1
196102;82.4;1
196103;16.1;1
196104;115.9;1
196105;50.9;1
196106;22.4;1
196107;86.8;1
196108;12.6;1
196109;77.5;1
196110;154.9;1
196111;98.3;1
196112;205.6;1
196201;175.9;1
196202;44.7;1
196203;116.2;1
196204;79.7;1
196205;65.7;1
196206;8.4;1
196207;33.6;1
196208;67.1;1
196209;151.5;1
196210;60.3;1
196211;137.4;1
196212;78.5;1
196301;35.2;1
196302;112.5;1
196303;141;1
196304;106.1;1
196305;39.8;1
196306;71.4;1
196307;22.8;1
196308;98.9;1
196309;32.9;1
196310;54.9;1
196311;240.1;1
196312;76.3;1
196401;37.4;1
196402;68.8;1
196403;157.1;1
196404;72.1;1
196405;69.1;1
196406;68;1
196407;18.4;1
196408;29.2;1
196409;40.7;1
196410;120.3;1
196411;77.3;1
196412;132.7;1
196501;164.6;1
196502;4.1;1
196503;127;1
196504;44.3;1
196505;76.4;1
196506;80.4;1
196507;51.6;1
196508;71.5;1
196509;95.5;1
196510;32.9;1
196511;189;1
196512;280.4;1
196601;146.8;1
196602;188.7;1
196603;34.3;1
196604;203.9;1
196605;78.5;1
196606;73.8;1
196607;26.6;1
196608;88.7;1
196609;39.1;1
196610;177.1;1
196611;121.2;1
196612;161.5;1
196701;128.6;1
196702;152.4;1
196703;84.8;1
196704;35.4;1
196705;200.2;1
196706;23.9;1
196707;15.3;1
196708;42.8;1
196709;154.2;1
196710;192.2;1
196711;120.6;1
196712;117.1;1
196801;146.7;1
196802;103.1;1
196803;46.5;1
196804;113.3;1
196805;93.7;1
196806;120.1;1
196807;60.9;1
196808;51.3;1
