# DONNEES MENSUELLES HOMOGENEISEES de RR : Cumul mensuel des hauteurs de précipitation (en mm et 1/10) 
# NUM_POSTE= 25285001
# NOM_USUEL= GRAND'COMBE-CHATELEU_SAPC
# LATITUDE (°) = 47.019
# LONGITUDE(°)= 6.567
# ALTITUDE (m) = 769
# NUM_SERIE= MRR025285001
# Amplitude minimale détectable de la série = 0.07
# Période homogénéisée : 195501 201812
# Date(s) de rupture(s) d'homogénéité : 195912 198211 201512
#     Periode homogénéisée  195501 201812  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195501;196.3;1
195502;143.4;1
195503;30.8;1
195504;16.4;1
195505;122.4;1
195506;154;1
195507;117.6;1
195508;100.4;1
195509;103.8;1
195510;37.7;1
195511;34;1
195512;189.7;1
195601;115;1
195602;8.8;1
195603;37.7;1
195604;83.8;1
195605;147.8;1
195606;83.2;1
195607;171.2;1
195608;213.6;1
195609;83;1
195610;150.8;1
195611;77.6;1
195612;39.7;1
195701;37.6;1
195702;223.1;1
195703;36.5;1
195704;42;1
195705;53.5;1
195706;171.5;1
195707;149.9;1
195708;77.2;1
195709;127.1;1
195710;36.1;1
195711;47.6;1
195712;49.4;1
195801;128.3;1
195802;216.1;1
195803;72.5;1
195804;58.2;1
195805;123;1
195806;159.5;1
195807;130.8;1
195808;133.5;1
195809;73;1
195810;134.1;1
195811;53.7;1
195812;91.7;1
195901;144.7;1
195902;3.3;1
195903;139.8;1
195904;128;1
195905;89.6;1
195906;168.9;1
195907;40;1
195908;103.5;1
195909;70.5;1
195910;113.6;1
195911;60.4;1
195912;131.1;1
196001;131.9;1
196002;93;1
196003;79.3;1
196004;27.5;1
196005;72.7;1
196006;102;1
196007;106.2;1
196008;158.9;1
196009;185;1
196010;164.6;1
196011;144.8;1
196012;70.5;1
196101;94.2;1
196102;149.3;1
196103;40.8;1
196104;112;1
196105;67;1
196106;120.3;1
196107;115;1
196108;108.3;1
196109;32.5;1
196110;118.3;1
196111;60.6;1
196112;166.6;1
196201;171.1;1
196202;102.2;1
196203;141.7;1
196204;135.2;1
196205;142.5;1
196206;35.9;1
196207;52.9;1
196208;61.5;1
196209;86;1
196210;22.5;1
196211;26.2;1
196212;172.4;1
196301;27.3;1
196302;31.1;1
196303;85.5;1
196304;80.5;1
196305;60.7;1
196306;184.9;1
196307;97.4;1
196308;255.6;1
196309;92.1;1
196310;49.1;1
196311;204.7;1
196312;4;1
196401;27.2;1
196402;34.3;1
196403;106.7;1
196404;76.8;1
196405;116.4;1
196406;74.9;1
196407;31.4;1
196408;61.6;1
196409;82.4;1
196410;114.6;1
196411;75.5;1
196412;51.7;1
196501;114.3;1
196502;45.6;1
196503;167.8;1
196504;154.9;1
196505;149.3;1
196506;81.1;1
196507;192.9;1
196508;79;1
196509;195;1
196510;30;1
196511;130.6;1
196512;251.9;1
196601;124.8;1
196602;149.7;1
196603;133.3;1
196604;102.9;1
196605;140;1
196606;106.8;1
196607;86;1
196608;180.1;1
196609;64.6;1
196610;88;1
196611;108.3;1
196612;220.6;1
196701;72.6;1
196702;71.5;1
196703;118.8;1
196704;51.4;1
196705;146.5;1
196706;48.5;1
196707;112.8;1
196708;95.7;1
196709;113.5;1
196710;68.8;1
196711;118.4;1
196712;112.2;1
196801;124.3;1
196802;59.3;1
196803;73;1
196804;104;1
196805;82.2;1
196806;115.3;1
196807;135.1;1
196808;228.2;1
196809;193.3;1
196810;59.1;1
196811;62.3;1
196812;145.5;1
196901;65.6;1
196902;102.7;1
196903;88.9;1
196904;138.3;1
196905;112.9;1
196906;201.2;1
196907;86.8;1
196908;127.6;1
196909;65.2;1
196910;8.5;1
196911;128.1;1
196912;87.7;1
197001;107.2;1
197002;326.2;1
197003;105;1
197004;175.6;1
197005;89.6;1
197006;140.3;1
197007;112.3;1
197008;108.5;1
197009;90.8;1
197010;149.7;1
197011;120;1
197012;42.1;1
197101;77.8;1
197102;46.7;1
197103;66.5;1
197104;49.7;1
197105;114.9;1
197106;138.5;1
197107;22.9;1
197108;150.7;1
197109;44.9;1
197110;22;1
197111;163;1
197112;55;1
197201;33.7;1
197202;30.8;1
197203;60.9;1
197204;114.2;1
197205;81.9;1
197206;117.9;1
197207;73.6;1
197208;68;1
197209;35.8;1
197210;52.5;1
197211;294.5;1
197212;72.4;1
197301;50.8;1
197302;60.8;1
197303;22.5;1
