# DONNEES MENSUELLES HOMOGENEISEES de RR : Cumul mensuel des hauteurs de précipitation (en mm et 1/10) 
# NUM_POSTE= 26059001
# NOM_USUEL= BOUVANTE
# LATITUDE (°) = 44.955
# LONGITUDE(°)= 5.327
# ALTITUDE (m) = 1071
# NUM_SERIE= MRR026059001
# Amplitude minimale détectable de la série = 0.11
# Période homogénéisée : 195201 202112
# Date(s) de rupture(s) d'homogénéité : 196212 197911 199312
#     Periode homogénéisée  195201 202112  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195201;92.9;1
195202;41.2;1
195203;142;1
195204;152.8;1
195205;78.2;1
195206;58.1;1
195207;49.4;1
195208;202.4;1
195209;144.3;1
195210;237.7;1
195211;211.5;1
195212;173.6;1
195301;35.3;1
195302;49.9;1
195303;6.3;1
195304;143.8;1
195305;111.7;1
195306;251.9;1
195307;62.9;1
195308;82.7;1
195309;374.3;1
195310;141.9;1
195311;74;1
195312;59.8;1
195401;82.3;1
195402;51.8;1
195403;133.9;1
195404;96.5;1
195405;178.4;1
195406;91.6;1
195407;164.8;1
195408;288.6;1
195409;142.1;1
195410;94.8;1
195411;109.5;1
195412;334.3;1
195501;130.5;1
195502;196;1
195503;73.7;1
195504;22;1
195505;178.3;1
195506;232.7;1
195507;142.8;1
195508;36.4;1
195509;87.2;1
195510;121.2;1
195511;114;1
195512;107.4;1
195601;137.7;1
195602;26.4;1
195603;124.6;1
195604;177;1
195605;130.8;1
195606;170;1
195607;157.1;1
195608;210.3;1
195609;170.2;1
195610;142.5;1
195611;68.1;1
195612;46.2;1
195701;68;1
195702;127.9;1
195703;25;1
195704;104.5;1
195705;93.7;1
195706;210.2;1
195707;80.3;1
195708;53.3;1
195709;64.9;1
195710;67.7;1
195711;92;1
195712;104.6;1
195801;41.4;1
195802;150.9;1
195803;99.5;1
195804;260.1;1
195805;66.6;1
195806;205.1;1
195807;121.8;1
195808;139.3;1
195809;181.6;1
195810;152.4;1
195811;154.2;1
195812;208.2;1
195901;78.9;1
195902;5.5;1
195903;209.5;1
195904;310.7;1
195905;136;1
195906;109.9;1
195907;29.5;1
195908;68.6;1
195909;73.3;1
195910;202.7;1
195911;182.7;1
195912;187.6;1
196001;105.2;1
196002;117.2;1
196003;125.1;1
196004;80.4;1
196005;50.8;1
196006;112.8;1
196007;135.7;1
196008;169.2;1
196009;318.7;1
196010;365.3;1
196011;279.1;1
196012;116;1
196101;93.4;1
196102;64.2;1
196103;9.4;1
196104;121.5;1
196105;89.5;1
196106;92.2;1
196107;128;1
196108;35.4;1
196109;35.5;1
196110;215.2;1
196111;101.7;1
196112;133.4;1
196201;89.3;1
196202;135.2;1
196203;106.7;1
196204;143.2;1
196205;214.8;1
196206;54.5;1
196207;27.6;1
196208;54.1;1
196209;105.4;1
196210;119.7;1
196211;64.1;1
196212;293.4;1
196301;60.6;1
196302;71.5;1
196303;266.7;1
196304;166.3;1
196305;194.2;1
196306;195.1;1
196307;66.8;1
196308;235.8;1
196309;172.6;1
196310;86.1;1
196311;202.1;1
196312;63.8;1
196401;16.8;1
196402;145;1
196403;359;1
196404;112.4;1
196405;77.4;1
196406;50.9;1
196407;29.9;1
196408;126.3;1
196409;61.3;1
196410;110.3;1
196411;38;1
196412;88.1;1
196501;123.4;1
196502;61.6;1
196503;150.3;1
196504;205;1
196505;171.8;1
196506;94.9;1
196507;121.2;1
196508;105.2;1
196509;285.1;1
196510;22.5;1
196511;160.6;1
196512;190.8;1
196601;73.1;1
196602;257.7;1
196603;83.5;1
196604;244.4;1
196605;139;1
196606;96.6;1
196607;176.8;1
196608;58.7;1
196609;30.6;1
196610;234.7;1
196611;203;1
196612;179.6;1
196701;73.8;1
196702;74.4;1
196703;76.1;1
196704;65.6;1
196705;253.2;1
196706;169.5;1
196707;68.5;1
196708;59.4;1
196709;77.4;1
196710;68.7;1
196711;202.3;1
196712;79.8;1
196801;171.9;1
196802;134.4;1
196803;57.2;1
196804;82.9;1
196805;227.4;1
196806;125.4;1
196807;108.3;1
196808;148.7;1
196809;174.4;1
196810;52.7;1
196811;200.9;1
196812;172.4;1
196901;93.8;1
196902;134;1
196903;112;1
196904;132.2;1
196905;158.4;1
196906;282.6;1
196907;124.9;1
196908;94.7;1
196909;96.5;1
196910;10.4;1
196911;172.5;1
196912;133.1;1
197001;152.1;1
197002;185.1;1
197003;205;1
197004;217.2;1
197005;148.2;1
197006;136;1
197007;71;1
197008;106.4;1
197009;84.3;1
197010;111.9;1
197011;190.5;1
197012;132.5;1
197101;70.1;1
197102;49.7;1
197103;239.6;1
197104;206.3;1
197105;121.7;1
197106;224.9;1
197107;87.5;1
197108;44.8;1
197109;27.5;1
197110;39.4;1
197111;198.2;1
197112;24.1;1
197201;93.7;1
197202;272.3;1
197203;72.3;1
197204;152.4;1
197205;113.4;1
197206;138;1
197207;85.4;1
197208;162.8;1
197209;83.5;1
197210;107.2;1
197211;95.1;1
197212;109.8;1
197301;129.1;1
197302;96.2;1
197303;76.5;1
197304;126.8;1
197305;95.3;1
197306;150.5;1
197307;200.9;1
197308;56.2;1
197309;218.9;1
197310;179.7;1
197311;76.1;1
197312;61.6;1
197401;144.1;1
197402;207.9;1
197403;112.3;1
197404;107;1
197405;129.2;1
197406;135.7;1
197407;42.9;1
197408;77.3;1
197409;197.9;1
197410;182.4;1
197411;187.8;1
197412;57.6;1
197501;74.7;1
197502;70.8;1
197503;202.8;1
197504;144.7;1
197505;214.3;1
197506;125.8;1
197507;106.9;1
197508;152.1;1
197509;298.2;1
197510;130.2;1
197511;237.5;1
197512;138.3;1
197601;59.9;1
197602;156.2;1
197603;97.3;1
197604;195.1;1
197605;34.6;1
197606;73.8;1
197607;145.7;1
197608;130.2;1
197609;237.3;1
197610;148.8;1
197611;280.5;1
197612;96.6;1
197701;175.6;1
197702;172.9;1
197703;185.4;1
197704;169.3;1
197705;240.1;1
197706;125.8;1
197707;198;1
197708;126.6;1
197709;13.6;1
197710;248.9;1
197711;126.3;1
197712;123.2;1
197801;199.9;1
197802;212.8;1
197803;282.1;1
197804;193.8;1
197805;231.8;1
197806;52.2;1
197807;57.5;1
197808;98.8;1
197809;53;1
197810;84;1
197811;39.7;1
197812;107.9;1
197901;152.7;1
197902;110.7;1
197903;177.9;1
197904;119.8;1
197905;103.5;1
197906;86.1;1
197907;65.2;1
197908;253.8;1
197909;55.3;1
197910;234.3;1
197911;98.3;1
197912;178.5;1
198001;114.6;1
198002;153.4;1
198003;205.6;1
198004;124.2;1
198005;175.3;1
198006;164.4;1
198007;97.4;1
198008;103.4;1
198009;76.5;1
198010;359.4;1
198011;203.9;1
198012;165.8;1
198101;201.1;1
198102;68.5;1
198103;162.3;1
198104;47.9;1
198105;197.4;1
198106;126.6;1
198107;176.7;1
198108;15.1;1
198109;309.1;1
198110;123.2;1
198111;63.2;1
198112;228.8;1
198201;98.6;1
198202;22.2;1
198203;108.3;1
198204;44.3;1
198205;77.7;1
198206;172.1;1
198207;88.3;1
198208;230.9;1
198209;172.9;1
198210;237.3;1
198211;276.6;1
198212;168;1
198301;93.4;1
198302;110.4;1
198303;179.8;1
198304;234.8;1
198305;383.3;1
198306;134.3;1
198307;2.2;1
198308;85.5;1
198309;104.3;1
198310;163.9;1
198311;48.1;1
198312;144.3;1
198401;141;1
198402;139.2;1
198403;98.4;1
198404;59.4;1
198405;148.7;1
198406;133.6;1
198407;19.2;1
198408;138.5;1
198409;276.8;1
198410;151.1;1
198411;166.4;1
198412;128.1;1
198501;100.8;1
198502;66.4;1
198503;234.3;1
198504;91.6;1
198505;255.4;1
198506;107;1
198507;50.2;1
198508;132.8;1
198509;5.1;1
198510;4.7;1
198511;63;1
198512;83.7;1
198601;209.8;1
198602;81.8;1
198603;39.9;1
198604;397.6;1
198605;169.6;1
198606;54.3;1
198607;55.6;1
198608;66.1;1
198609;59;1
198610;65;1
198611;98.4;1
198612;179.2;1
198701;157.9;1
198702;137.9;1
198703;115.3;1
198704;194.9;1
198705;230.2;1
198706;200.4;1
198707;194.1;1
198708;98.7;1
198709;92.6;1
198710;238.8;1
198711;66.9;1
198712;84.8;1
198801;152.3;1
198802;219.8;1
198803;288.4;1
198804;110.2;1
198805;250.9;1
198806;96.5;1
198807;77.5;1
198808;104.9;1
198809;99.9;1
198810;226.5;1
198811;36.3;1
198812;128.2;1
198901;15.6;1
198902;84.2;1
198903;97.6;1
198904;275.6;1
198905;93.7;1
198906;22.9;1
198907;83.1;1
198908;12.8;1
198909;71.4;1
198910;78.2;1
198911;112.4;1
198912;105.4;1
199001;44;1
199002;140.6;1
199003;115.6;1
199004;177.7;1
199005;197.3;1
199006;133.9;1
199007;22.3;1
199008;78.1;1
199009;114.3;1
199010;231.2;1
199011;174.1;1
199012;209.4;1
199101;56.7;1
199102;45.3;1
199103;171.3;1
199104;118.3;1
199105;115.1;1
199106;141.9;1
199107;138.5;1
199108;40.6;1
199109;172.5;1
199110;240.7;1
199111;139.7;1
199112;194.8;1
199201;47.3;1
199202;68.7;1
199203;163.9;1
199204;127.1;1
199205;112.7;1
199206;267;1
199207;147.8;1
199208;150.7;1
199209;99.5;1
199210;314.4;1
199211;140.3;1
199212;156;1
199301;26;1
199302;40.4;1
199303;28;1
199304;281.2;1
199305;154.6;1
199306;137.1;1
199307;194.1;1
199308;104.7;1
199309;362.6;1
199310;325.4;1
199311;52;1
199312;104;1
199401;291.1;1
199402;72.6;1
199403;38.4;1
199404;259.8;1
199405;198.8;1
199406;125.3;1
199407;51.9;1
199408;54.4;1
199409;365.8;1
199410;126;1
199411;183.4;1
199412;52.3;1
199501;208.2;1
199502;170.2;1
199503;108.1;1
199504;260.4;1
199505;359.1;1
199506;46;1
199507;30.8;1
199508;79.5;1
199509;328.7;1
199510;85.8;1
199511;139.7;1
199512;127.5;1
199601;125.1;1
199602;106.8;1
199603;130.4;1
199604;89;1
199605;253.5;1
199606;147.6;1
199607;182.9;1
199608;120.4;1
199609;40.7;1
199610;190.8;1
199611;432.2;1
199612;108.3;1
199701;123.5;1
199702;62;1
199703;33.3;1
199704;35.4;1
199705;115.4;1
199706;118.3;1
199707;155.2;1
199708;82.6;1
199709;69.4;1
199710;108.8;1
199711;167.2;1
199712;199.7;1
199801;149.4;1
199802;82.2;1
199803;77.8;1
199804;232.4;1
199805;107.2;1
199806;160.6;1
199807;85.4;1
199808;25.4;1
199809;242;1
199810;159.3;1
199811;130.9;1
199812;66.2;1
199901;166.6;1
199902;171.4;1
199903;152;1
199904;183.5;1
199905;198.1;1
199906;141.9;1
199907;40;1
199908;151.8;1
199909;196.7;1
199910;190.6;1
199911;192.2;1
199912;145.8;1
200001;83.9;1
200002;159;1
200003;137.8;1
200004;225.9;1
200005;80;1
200006;56.9;1
200007;179.8;1
200008;132.4;1
200009;154.1;1
200010;255.5;1
200011;228.1;1
200012;101.9;1
200101;149.1;1
200102;33.6;1
200103;249.3;1
200104;252.5;1
200105;165.8;1
200106;114.3;1
200107;160.2;1
200108;93.2;1
200109;211.7;1
200110;129.5;1
200111;128;1
200112;39.9;1
200201;63.8;1
200202;186;1
200203;99.9;1
200204;70.2;1
200205;283;1
200206;202.6;1
200207;307.2;1
200208;209.2;1
200209;210.4;1
200210;118.1;1
200211;502.9;1
200212;185.1;1
200301;143.8;1
200302;77.6;1
200303;43.6;1
200304;151.9;1
200305;64.6;1
200306;23.1;1
200307;22.8;1
200308;101.2;1
200309;106.7;1
200310;319.2;1
200311;174.4;1
200312;208.5;1
200401;108;1
200402;97.3;1
200403;147.3;1
200404;125;1
200405;88.1;1
200406;57;1
200407;11.5;1
200408;151;1
200409;53.9;1
200410;261.1;1
200411;66.2;1
200412;118.4;1
200501;140.3;1
200502;173;1
200503;69.2;1
200504;312.2;1
200505;119.5;1
200506;24;1
200507;63.1;1
200508;291;1
200509;101.2;1
200510;199.4;1
200511;84.5;1
200512;164.7;1
200601;94;1
200602;69.9;1
200603;126.5;1
200604;98.5;1
200605;111.7;1
200606;32.5;1
200607;137.4;1
200608;195.4;1
200609;149.2;1
200610;89.8;1
200611;109.7;1
200612;80;1
200701;88.4;1
200702;152.5;1
200703;157.5;1
200704;29.6;1
200705;354.2;1
200706;116.2;1
200707;71.9;1
200708;132.7;1
200709;198;1
200710;31.4;1
200711;173.1;1
200712;160.2;1
200801;118.4;1
200802;41;1
200803;157.6;1
200804;118.7;1
200805;212.3;1
200806;140.2;1
200807;107.1;1
200808;169.3;1
200809;366.2;1
200810;197.8;1
200811;155.3;1
200812;160.1;1
200901;100.7;1
200902;142.6;1
200903;166.9;1
200904;87.8;1
200905;114.1;1
200906;102.4;1
200907;36.7;1
200908;83.7;1
200909;40.2;1
200910;158;1
200911;160.9;1
200912;199.7;1
201001;150.8;1
201002;193.5;1
201003;119.2;1
201004;79.5;1
201005;209.6;1
201006;139.9;1
201007;38.1;1
201008;63.3;1
201009;128.2;1
201010;278.2;1
201011;231.8;1
201012;114.4;1
201101;87;1
201102;107;1
201103;138.8;1
201104;38;1
201105;105.9;1
201106;119.5;1
201107;248.6;1
201108;120.1;1
201109;111.8;1
201110;77.6;1
201111;107.4;1
201112;210;1
201201;146.8;1
201202;37.1;1
201203;72.5;1
201204;261.1;1
201205;165.6;1
201206;88;1
201207;66.7;1
201208;92;1
201209;197.6;1
201210;256.2;1
201211;328.4;1
201212;142.3;1
201301;117.2;1
201302;157.1;1
201303;151.1;1
201304;173.2;1
201305;300.1;1
201306;51.3;1
201307;191;1
201308;81.9;1
201309;143.6;1
201310;325;1
201311;241.5;1
201312;104.7;1
201401;204.6;1
201402;230.1;1
201403;110;1
201404;79.5;1
201405;206.3;1
201406;52.5;1
201407;558.5;1
201408;72.2;1
201409;73.5;1
201410;50.8;1
201411;283.4;1
201412;124.1;1
201501;152.9;1
201502;144.7;1
201503;124.6;1
201504;182.9;1
201505;120.7;1
201506;128.5;1
201507;14.9;1
201508;96.1;1
201509;201.3;1
201510;170.2;1
201511;118.8;1
201512;21.6;1
201601;139.9;1
201602;107.2;1
201603;129.7;1
201604;208.1;1
201605;240.7;1
201606;158.6;1
201607;108.8;1
201608;33;1
201609;125.8;1
201610;165.2;1
201611;173.1;1
201612;7.4;1
201701;73.1;1
201702;193.1;1
201703;69.4;1
201704;140.7;1
201705;118.8;1
201706;72.7;1
201707;70;1
201708;114.1;1
201709;62.3;1
201710;22.1;1
201711;233.4;1
201712;207.6;1
201801;176.3;1
201802;96;1
201803;181.9;1
201804;69.9;1
201805;195.7;1
201806;128.5;1
201807;51.1;1
201808;71.3;1
201809;28.9;1
201810;175.3;1
201811;279.8;1
201812;135.3;1
201901;125.5;1
201902;140.6;1
201903;73.6;1
201904;161.4;1
201905;198.4;1
201906;135.2;1
201907;121;1
201908;54.1;1
201909;51.6;1
201910;274.4;1
201911;257.1;1
201912;174.9;1
202001;43.2;1
202002;59.8;1
202003;101;1
202004;74.9;1
202005;115.7;1
202006;182.6;1
202007;64.5;1
202008;75;1
202009;88.3;1
202010;299.7;1
202011;54;1
202012;246.5;1
202101;228.5;1
202102;98.6;1
202103;75.3;1
202104;117.3;1
202105;239.4;1
202106;145.3;1
202107;271.2;1
202108;75.9;1
202109;107.8;1
202110;189.2;1
202111;136;1
202112;193;1
202201;60.1;0
202202;80.9;0
202203;44.6;0
202204;170.6;0
202205;78.6;0
202206;72.4;0
202207;14.2;0
202208;131.8;0
202209;120.5;0
202210;126.1;0
202211;203.3;0
202212;172;0
