# DONNEES MENSUELLES HOMOGENEISEES de RR : Cumul mensuel des hauteurs de précipitation (en mm et 1/10) 
# NUM_POSTE= 28239002
# NOM_USUEL= MARVILLE_SAPC
# LATITUDE (°) = 48.653
# LONGITUDE(°)= 1.372
# ALTITUDE (m) = 153
# NUM_SERIE= MRR028239002
# Amplitude minimale détectable de la série = 0.07
# Période homogénéisée : 194701 201712
# Date(s) de rupture(s) d'homogénéité : 195512 196512 199812
#     Periode homogénéisée  194701 201712  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
194701;38.2;1
194702;33.7;1
194703;50.4;1
194704;21.2;1
194705;64.5;1
194706;23;1
194707;16.6;1
194708;37.6;1
194709;13.5;1
194710;9.1;1
194711;50.5;1
194712;48.3;1
194801;44.9;1
194802;29.2;1
194803;15.7;1
194804;68.9;1
194805;33.5;1
194806;44.8;1
194807;15.2;1
194808;76.7;1
194809;34.1;1
194810;3.3;1
194811;36.5;1
194812;27;1
194901;9.6;1
194902;3.5;1
194903;12.7;1
194904;27.5;1
194905;8.7;1
194906;13.2;1
194907;9.9;1
194908;36.7;1
194909;110.2;1
194910;40.2;1
194911;71.5;1
194912;23.2;1
195001;1.8;1
195002;42.6;1
195003;15.6;1
195004;46.6;1
195005;66.3;1
195006;52.9;1
195007;58.4;1
195008;68.2;1
195009;68.3;1
195010;8.4;1
195011;58;1
195012;57.3;1
195101;37.9;1
195102;33.4;1
195103;45.7;1
195104;47.6;1
195105;79.3;1
195106;113;1
195107;34.2;1
195108;78.8;1
195109;17.7;1
195110;30.9;1
195111;46.7;1
195112;29.3;1
195201;62.6;1
195202;38;1
195203;60.4;1
195204;13.5;1
195205;32.3;1
195206;22.2;1
195207;3.1;1
195208;78.4;1
195209;113;1
195210;55.7;1
195211;79.7;1
195212;78.3;1
195301;14.5;1
195302;19.1;1
195303;0;1
195304;41.1;1
195305;15;1
195306;89;1
195307;53.2;1
195308;23;1
195309;46.3;1
195310;33.2;1
195311;16.8;1
195312;10.1;1
195401;22.2;1
195402;46.9;1
195403;50;1
195404;1.8;1
195405;15.2;1
195406;33.1;1
195407;30.8;1
195408;63.8;1
195409;80.6;1
195410;22.4;1
195411;16.3;1
195412;39.1;1
195501;67.3;1
195502;44.3;1
195503;38.8;1
195504;5.4;1
195505;69.9;1
195506;32.8;1
195507;8.4;1
195508;12.1;1
195509;40.6;1
195510;66.9;1
195511;21.6;1
195512;47.1;1
195601;50.9;1
195602;11.5;1
195603;10.5;1
