# DONNEES MENSUELLES HOMOGENEISEES de RR : Cumul mensuel des hauteurs de précipitation (en mm et 1/10) 
# NUM_POSTE= 29178001
# NOM_USUEL= PLOUDALMEZEAU
# LATITUDE (°) = 48.548
# LONGITUDE(°)= -4.664
# ALTITUDE (m) = 40
# NUM_SERIE= MRR029178001
# Amplitude minimale détectable de la série = 0.07
# Période homogénéisée : 195101 201712
# Date(s) de rupture(s) d'homogénéité : 197906
#     Periode homogénéisée  195101 201712  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195101;127.5;1
195102;159.5;1
195103;115.9;1
195104;55.7;1
195105;108.3;1
195106;55;1
195107;36.1;1
195108;154.2;1
195109;133.4;1
195110;30.8;1
195111;220.9;1
195112;123.6;1
195201;77.2;1
195202;33;1
195203;94.7;1
195204;49.5;1
195205;62.9;1
195206;5.6;1
195207;35.2;1
195208;119.1;1
195209;166.4;1
195210;69.8;1
195211;173.1;1
195212;131.1;1
195301;14.5;1
195302;48.9;1
195303;12.2;1
195304;95.8;1
195305;71.5;1
195306;40.9;1
195307;54.8;1
195308;34.1;1
195309;65;1
195310;56.8;1
195311;55.9;1
195312;13.7;1
195401;79.8;1
195402;108.1;1
195403;116.8;1
195404;18.9;1
195405;29.2;1
195406;74.1;1
195407;68.1;1
195408;68;1
195409;83.7;1
195410;71;1
195411;218.4;1
195412;98;1
195501;177.1;1
195502;128.1;1
195503;74.9;1
195504;15.7;1
195505;75;1
195506;50.5;1
195507;12.7;1
195508;0;1
195509;51.3;1
195510;68.7;1
195511;59.5;1
195512;139.4;1
195601;138.8;1
195602;58.3;1
195603;38;1
195604;23.5;1
195605;31.7;1
195606;44.4;1
195607;84.5;1
195608;132.8;1
195609;130.1;1
195610;48;1
195611;34.7;1
195612;176.8;1
195701;92.8;1
195702;192.6;1
195703;59.7;1
195704;28.3;1
195705;34.8;1
195706;21.8;1
195707;35.7;1
195708;63.3;1
195709;79.8;1
195710;28.1;1
195711;120.3;1
195712;96.2;1
195801;109.7;1
195802;87.4;1
195803;95;1
195804;34.6;1
195805;44.1;1
195806;95.8;1
195807;39.2;1
195808;102.1;1
195809;100.1;1
195810;105.3;1
195811;54.8;1
195812;90.3;1
195901;135;1
195902;5.4;1
195903;63.7;1
195904;148.7;1
195905;14.8;1
195906;24.6;1
195907;22.4;1
195908;20.1;1
195909;4.9;1
195910;192.6;1
195911;139.7;1
195912;246.4;1
196001;106.6;1
196002;113.5;1
196003;131.9;1
196004;60.6;1
196005;36.7;1
196006;42.5;1
196007;56.9;1
196008;113.6;1
196009;86;1
196010;210.6;1
196011;286.5;1
196012;136.9;1
196101;198.8;1
196102;59.9;1
196103;12.7;1
196104;110.3;1
196105;51.7;1
196106;26.3;1
196107;75.4;1
196108;22;1
196109;57;1
196110;142.5;1
196111;71.6;1
196112;135;1
196201;133.7;1
196202;22;1
196203;89.1;1
196204;55.9;1
196205;54;1
196206;3.1;1
196207;31.7;1
196208;73.4;1
196209;129.5;1
196210;68.8;1
196211;116.4;1
196212;154.9;1
196301;54.7;1
196302;99.1;1
196303;135.9;1
196304;116.5;1
196305;55.8;1
196306;58.9;1
196307;37.9;1
196308;52;1
196309;24.5;1
196310;59.7;1
196311;176;1
196312;79;1
196401;19.2;1
196402;52.3;1
196403;129.5;1
196404;52.2;1
196405;74.1;1
196406;19.9;1
196407;15.5;1
196408;17.3;1
196409;35.2;1
196410;91.5;1
196411;64.1;1
196412;149.6;1
196501;126.3;1
196502;8.6;1
196503;78.1;1
196504;22.6;1
196505;64.6;1
196506;42.5;1
196507;67.3;1
196508;59.8;1
196509;78.1;1
196510;25.5;1
196511;177.6;1
196512;208;1
196601;114.4;1
196602;140;1
196603;23.3;1
196604;145.9;1
196605;65.7;1
196606;40.7;1
196607;13;1
196608;96.3;1
196609;48;1
196610;162.3;1
196611;77.2;1
196612;85.4;1
196701;117.7;1
196702;67.6;1
196703;72.3;1
196704;31;1
196705;131.9;1
196706;23.6;1
196707;13.9;1
196708;56.1;1
196709;128.7;1
196710;133.4;1
196711;79;1
196712;72.1;1
196801;74.9;1
196802;91.9;1
196803;23.5;1
196804;66.9;1
196805;52.6;1
196806;64.4;1
196807;47.5;1
196808;24.8;1
196809;78.6;1
196810;125.8;1
196811;29.3;1
196812;105.5;1
196901;138.8;1
196902;108;1
196903;80.4;1
196904;25.8;1
196905;97;1
196906;41.3;1
196907;51.2;1
196908;9.9;1
196909;105.5;1
196910;9.2;1
196911;148.5;1
196912;136.9;1
197001;122.4;1
197002;112.2;1
197003;48.8;1
197004;36.7;1
197005;34.3;1
197006;44.9;1
197007;52.9;1
197008;52.3;1
197009;47.7;1
197010;25.3;1
197011;110.2;1
197012;57.6;1
197101;179.5;1
197102;42.3;1
197103;86.2;1
197104;35.6;1
197105;31.2;1
197106;43;1
197107;28.7;1
197108;45.2;1
197109;61.5;1
197110;38.3;1
197111;121.1;1
197112;66.7;1
197201;115.6;1
197202;188.6;1
197203;68;1
197204;78.3;1
197205;73;1
197206;95.6;1
197207;6.3;1
197208;46.6;1
197209;29.6;1
197210;99.1;1
197211;150.3;1
197212;104.6;1
197301;80.5;1
197302;72.7;1
197303;16.4;1
197304;46.7;1
197305;86.2;1
197306;30.4;1
197307;99.4;1
197308;35.5;1
197309;40.9;1
197310;58.1;1
197311;51.6;1
197312;76.8;1
197401;171.5;1
197402;178;1
197403;74.5;1
197404;62.1;1
197405;52.6;1
197406;23.9;1
197407;43.5;1
197408;60.8;1
197409;155.1;1
197410;62.2;1
197411;165.9;1
197412;49.6;1
197501;113.1;1
197502;25.7;1
197503;98.4;1
197504;39.7;1
197505;32.5;1
197506;41.1;1
197507;20.1;1
197508;45.7;1
197509;123.1;1
197510;64.3;1
197511;110.9;1
197512;61.1;1
197601;41.3;1
197602;34.2;1
197603;78.8;1
197604;1.9;1
197605;20.7;1
197606;0.3;1
197607;29.1;1
197608;12;1
197609;90.3;1
197610;153.3;1
197611;160.7;1
197612;100.5;1
197701;123.2;1
197702;181;1
197703;75.9;1
197704;66;1
197705;44.8;1
197706;93.9;1
197707;38.3;1
197708;84.2;1
197709;43.7;1
197710;60.6;1
197711;128.6;1
197712;113.8;1
197801;162.9;1
197802;155.6;1
197803;136.6;1
197804;48.8;1
197805;20.3;1
197806;36.9;1
197807;56.1;1
197808;14.6;1
197809;26.6;1
197810;4.5;1
197811;25.5;1
197812;223.5;1
197901;105.1;1
197902;156.5;1
197903;106.7;1
