# DONNEES MENSUELLES HOMOGENEISEES de RR : Cumul mensuel des hauteurs de précipitation (en mm et 1/10) 
# NUM_POSTE= 31451001
# NOM_USUEL= REVEL
# LATITUDE (°) = 43.438
# LONGITUDE(°)= 2.019
# ALTITUDE (m) = 338
# NUM_SERIE= MRR031451001
# Amplitude minimale détectable de la série = 0.09
# Période homogénéisée : 195001 201812
# Date(s) de rupture(s) d'homogénéité : 196311 198909
#     Periode homogénéisée  195001 201812  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195001;18.5;1
195002;70.2;1
195003;73.1;1
195004;75.1;1
195005;12.7;1
195006;13.6;1
195007;30.2;1
195008;49.7;1
195009;64.3;1
195010;61.4;1
195011;54.6;1
195012;112.1;1
195101;83.8;1
195102;77;1
195103;108.2;1
195104;41.9;1
195105;190.1;1
195106;93.6;1
195107;36.1;1
195108;117;1
195109;45.8;1
195110;57.5;1
195111;69.2;1
195112;64.3;1
195201;79;1
195202;109.2;1
195203;38;1
195204;36.1;1
195205;22.4;1
195206;11.7;1
195207;27.3;1
195208;25.3;1
195209;38;1
195210;71.2;1
195211;78;1
195212;145.3;1
195301;40.9;1
195302;29.2;1
195303;14.6;1
195304;44.8;1
195305;50.7;1
195306;126.7;1
195307;40.9;1
195308;29.2;1
195309;94.6;1
195310;45.8;1
195311;32.2;1
195312;62.4;1
195401;69.2;1
195402;118.9;1
195403;94.6;1
195404;80.9;1
195405;145.3;1
195406;34.1;1
195407;45.8;1
195408;109.2;1
195409;82.9;1
195410;37;1
195411;42.9;1
195412;71.2;1
195501;179.4;1
195502;59.5;1
195503;6.8;1
195504;2.9;1
195505;59.5;1
195506;45.8;1
195507;68.2;1
195508;21.4;1
195509;88.7;1
195510;39;1
195511;42.9;1
195512;113.1;1
195601;62.4;1
195602;27.3;1
195603;34.1;1
195604;121.9;1
195605;125.8;1
195606;84.8;1
195607;96.5;1
195608;96.5;1
195609;135.5;1
195610;46.8;1
195611;74.1;1
195612;40.9;1
195701;16.6;1
195702;63.4;1
195703;67.3;1
195704;188.2;1
195705;88.7;1
195706;160.9;1
195707;30.2;1
195708;54.6;1
195709;66.3;1
195710;10.7;1
195711;94.6;1
195712;34.1;1
195801;64.3;1
195802;15.6;1
195803;162.8;1
195804;67.4;1
195805;91.6;1
195806;126.1;1
195807;99.4;1
195808;62.4;1
195809;42.9;1
195810;42.9;1
195811;110.2;1
195812;123.8;1
195901;53.9;1
195902;80.7;1
195903;87.5;1
195904;156;1
195905;72.1;1
195906;128.8;1
195907;28.3;1
195908;118.9;1
195909;124.8;1
195910;84.8;1
195911;56.5;1
195912;157.9;1
196001;60.4;1
196002;19.5;1
196003;119.9;1
196004;19.5;1
196005;73.1;1
196006;73.1;1
196007;66.3;1
196008;66.3;1
196009;160.9;1
196010;269.1;1
196011;73.1;1
196012;149.2;1
196101;84.8;1
196102;50.7;1
196103;0;1
196104;137.5;1
196105;111.1;1
196106;85.8;1
196107;43.9;1
196108;18.5;1
196109;59.5;1
196110;56.5;1
196111;40.9;1
196112;45.8;1
196201;77;1
196202;79.9;1
196203;59.5;1
196204;94.6;1
196205;92.9;1
196206;57.5;1
196207;31.2;1
196208;27.2;1
196209;56.5;1
196210;22.2;1
196211;181.1;1
196212;96.1;1
196301;20.7;1
196302;95.2;1
196303;58.3;1
196304;81.6;1
196305;50.2;1
196306;98;1
196307;61.9;1
196308;101.2;1
196309;139.4;1
196310;17;1
196311;36.8;1
196312;50.8;1
196401;13.9;1
196402;78.2;1
196403;96.1;1
196404;77.2;1
196405;56.9;1
196406;42.2;1
196407;46.3;1
196408;45.1;1
196409;55.8;1
196410;81.6;1
196411;49.4;1
196412;46.4;1
196501;69.7;1
196502;38.7;1
196503;56.3;1
196504;94.2;1
196505;118.4;1
196506;48.4;1
196507;37.7;1
196508;63.7;1
196509;110.5;1
196510;127.2;1
196511;93.5;1
196512;170.8;1
196601;120.9;1
196602;94.3;1
196603;23.1;1
196604;114;1
196605;165.1;1
196606;54.2;1
196607;38.7;1
196608;78.7;1
196609;49.7;1
196610;175.5;1
196611;64.4;1
196612;142.3;1
196701;48;1
196702;28.4;1
196703;47.7;1
196704;35.2;1
196705;72.7;1
196706;64.9;1
196707;18.6;1
196708;19.3;1
196709;67;1
196710;26.7;1
196711;72.3;1
196712;59.1;1
196801;78.1;1
196802;91.9;1
196803;32.8;1
196804;50.6;1
196805;145.3;1
196806;70.4;1
196807;30.8;1
196808;53.5;1
196809;44.6;1
196810;48.1;1
196811;218.1;1
196812;95.8;1
196901;46.2;1
196902;70.4;1
196903;153.8;1
196904;108.2;1
196905;82.5;1
196906;48.1;1
196907;68.7;1
196908;88.9;1
196909;167.8;1
196910;22.3;1
196911;47.1;1
196912;124.6;1
197001;40.6;1
197002;97.5;1
197003;62.2;1
197004;67.1;1
197005;85.1;1
197006;92.2;1
197007;4.5;1
197008;93.6;1
197009;2.2;1
197010;158.1;1
197011;50.3;1
197012;40;1
197101;120.1;1
197102;88.2;1
197103;123.2;1
197104;72.4;1
197105;100.2;1
197106;63.1;1
197107;40;1
197108;43.9;1
197109;109.1;1
197110;9.3;1
197111;73.6;1
197112;168.7;1
197201;149.9;1
197202;99.4;1
197203;42.4;1
197204;151.1;1
197205;132.3;1
197206;92.4;1
197207;22.9;1
197208;56.6;1
197209;167.7;1
197210;41.1;1
197211;61.6;1
197212;20.1;1
197301;92.8;1
197302;124;1
197303;21.3;1
197304;30;1
197305;28.3;1
197306;119.3;1
197307;59.2;1
197308;12.7;1
197309;52;1
197310;32.1;1
197311;44.2;1
197312;101.7;1
197401;37;1
197402;120;1
197403;143.5;1
197404;102.9;1
197405;73.5;1
197406;32;1
197407;76.4;1
197408;84.6;1
197409;115.6;1
197410;107.2;1
197411;87.2;1
197412;32.8;1
197501;72;1
197502;28.7;1
197503;114;1
197504;46;1
197505;103.1;1
197506;79.8;1
197507;26;1
197508;123;1
197509;66.4;1
197510;17.8;1
197511;122.8;1
197512;17.7;1
197601;26.8;1
197602;38.3;1
197603;53.6;1
197604;144.4;1
197605;61.3;1
197606;0;1
197607;85.8;1
197608;46;1
197609;55.5;1
197610;200;1
197611;59.8;1
197612;52.1;1
197701;52;1
197702;55.5;1
197703;55.2;1
197704;78.6;1
197705;203.3;1
197706;92.4;1
197707;199.6;1
197708;134.3;1
197709;0.4;1
197710;63.7;1
197711;62.1;1
197712;33.5;1
197801;114.3;1
197802;98.2;1
197803;140.8;1
197804;126.1;1
197805;136.4;1
197806;110.9;1
197807;51.6;1
197808;29.8;1
197809;98.1;1
197810;19.8;1
197811;8;1
197812;49.5;1
197901;95.5;1
197902;93.4;1
197903;94.5;1
197904;126.5;1
197905;135.3;1
197906;24.6;1
197907;27.8;1
197908;58.7;1
197909;41.5;1
197910;190;1
197911;58.6;1
197912;96.9;1
198001;87.5;1
198002;29.5;1
198003;83.6;1
198004;27.4;1
198005;148.7;1
198006;59.3;1
198007;70.3;1
198008;66;1
198009;48.5;1
198010;79.4;1
198011;58.2;1
198012;67.1;1
198101;141.7;1
198102;36.7;1
198103;58.1;1
198104;73.1;1
198105;93;1
198106;91.7;1
198107;76.6;1
198108;16.8;1
198109;46.8;1
198110;83.8;1
198111;18.5;1
198112;197.4;1
198201;76.5;1
198202;100.3;1
198203;64.7;1
198204;40.8;1
198205;41.8;1
198206;42.8;1
198207;112;1
198208;102.8;1
198209;54.3;1
198210;168.5;1
198211;49.8;1
198212;137.1;1
198301;14.7;1
198302;83.3;1
198303;50.4;1
198304;58;1
198305;73.9;1
198306;50.7;1
198307;3.3;1
198308;129.8;1
198309;29.6;1
198310;56;1
198311;29;1
198312;47.7;1
198401;106.3;1
198402;101.2;1
198403;50.1;1
198404;66;1
198405;128.7;1
198406;65.9;1
198407;13.7;1
198408;66.9;1
198409;149.9;1
198410;68.3;1
198411;116.6;1
198412;53.6;1
198501;50.6;1
198502;111.4;1
198503;70.5;1
198504;63.3;1
198505;157.1;1
198506;75.4;1
198507;26.3;1
198508;31.2;1
198509;1.3;1
198510;78.2;1
198511;56.5;1
198512;58;1
198601;144.3;1
198602;43.9;1
198603;43.3;1
198604;123.6;1
198605;35.2;1
198606;37.4;1
198607;13.5;1
198608;31.7;1
198609;56.9;1
198610;30;1
198611;51.8;1
198612;104.3;1
198701;39.2;1
198702;98.4;1
198703;100.4;1
198704;61.6;1
198705;62.7;1
198706;60;1
198707;99.5;1
198708;20;1
198709;81.9;1
198710;63.5;1
198711;69;1
198712;10.9;1
198801;122.7;1
198802;61.9;1
198803;129.4;1
198804;135.7;1
198805;111.9;1
198806;147.6;1
198807;27.4;1
198808;49.9;1
198809;29.1;1
198810;4.3;1
198811;15.4;1
198812;58.9;1
198901;30;1
198902;64.1;1
198903;42.5;1
198904;142.6;1
198905;18.8;1
198906;17.6;1
198907;16.6;1
198908;75.2;1
198909;152.5;1
198910;40.5;1
198911;39;1
198912;3.3;1
199001;22.3;1
199002;126.1;1
199003;9.2;1
199004;109.4;1
199005;104.4;1
199006;48.3;1
199007;85.2;1
199008;61.1;1
199009;21;1
199010;114.2;1
199011;53.5;1
199012;60;1
199101;30.6;1
199102;29.7;1
199103;136.1;1
199104;78.4;1
199105;90.1;1
199106;51;1
199107;18.8;1
199108;66.8;1
199109;90;1
199110;67.2;1
199111;76.4;1
199112;31.9;1
199201;70.9;1
199202;33.8;1
199203;56.4;1
199204;95;1
199205;80.6;1
199206;318.3;1
199207;101.2;1
199208;31.3;1
199209;104.3;1
199210;257.1;1
199211;79.6;1
199212;54.2;1
199301;3.6;1
199302;28.1;1
199303;39;1
199304;166.5;1
199305;82.8;1
199306;64.7;1
199307;47.5;1
199308;58.6;1
199309;156.4;1
199310;82.9;1
199311;69.8;1
199312;101.7;1
199401;61.9;1
199402;120.5;1
199403;31.3;1
199404;147;1
199405;97;1
199406;112.6;1
199407;22.4;1
199408;15.9;1
199409;135.2;1
199410;41.5;1
199411;62.4;1
199412;40.4;1
199501;88.5;1
199502;63.4;1
199503;49.5;1
199504;43;1
199505;122.8;1
199506;66.7;1
199507;19;1
199508;43.7;1
199509;141.7;1
199510;6.9;1
199511;50.6;1
199512;110;1
199601;108.2;1
199602;106.6;1
199603;99.5;1
199604;83;1
199605;66.6;1
199606;51.8;1
199607;73.7;1
199608;54;1
199609;270.6;1
199610;81.7;1
199611;203.7;1
199612;113.2;1
199701;84.1;1
199702;31.6;1
199703;25.8;1
199704;49.5;1
199705;74.9;1
199706;51.9;1
199707;87.7;1
199708;167.6;1
199709;13.5;1
199710;55.9;1
199711;96;1
199712;68.2;1
199801;45;1
199802;20.4;1
199803;44.9;1
199804;107.3;1
199805;107.4;1
199806;58.5;1
199807;97.5;1
199808;49.1;1
199809;100.5;1
199810;72.5;1
199811;122.1;1
199812;45.8;1
199901;85.3;1
199902;44.7;1
199903;49.1;1
199904;109;1
199905;165.6;1
199906;23.1;1
199907;145.2;1
199908;25.6;1
199909;66.5;1
199910;54.8;1
199911;140.7;1
199912;106.4;1
200001;19.7;1
200002;95;1
200003;80.4;1
200004;120.7;1
200005;68.8;1
200006;245.5;1
200007;83.1;1
200008;59.5;1
200009;44;1
200010;128.9;1
200011;65;1
200012;60.3;1
200101;84.3;1
200102;30.4;1
200103;72.1;1
200104;114.1;1
200105;55.4;1
200106;74.7;1
200107;69.5;1
200108;42.8;1
200109;33.8;1
200110;47.3;1
200111;69.8;1
200112;23.5;1
200201;36.4;1
200202;104.1;1
200203;20.9;1
200204;89.3;1
200205;115.6;1
200206;124.9;1
200207;89.5;1
200208;68.4;1
200209;50.4;1
200210;120.2;1
200211;111.9;1
200212;66.5;1
200301;78.2;1
200302;49;1
200303;40.1;1
200304;47.2;1
200305;97.9;1
200306;47;1
200307;0.7;1
200308;67.5;1
200309;82.8;1
200310;39;1
200311;77.5;1
200312;192.6;1
200401;193.5;1
200402;21.9;1
200403;75.1;1
200404;188.5;1
200405;43.5;1
200406;12.6;1
200407;12;1
200408;89.7;1
200409;27.1;1
200410;141.5;1
200411;45.5;1
200412;61.1;1
200501;47.4;1
200502;37.8;1
200503;29.5;1
200504;82.7;1
200505;58.9;1
200506;20.7;1
200507;19.1;1
200508;67.6;1
200509;101.9;1
200510;30.7;1
200511;127.9;1
200512;39.5;1
200601;60.2;1
200602;17.4;1
200603;134.7;1
200604;33.4;1
200605;33.9;1
200606;25.2;1
200607;58.2;1
200608;70.5;1
200609;126.5;1
200610;51.1;1
200611;42.9;1
200612;23.8;1
200701;33.7;1
200702;94.3;1
200703;54.3;1
200704;53.6;1
200705;153.7;1
200706;87.2;1
200707;44.7;1
200708;48.1;1
200709;18.2;1
200710;52.3;1
200711;11.2;1
200712;67.5;1
200801;103.8;1
200802;11.2;1
200803;87.6;1
200804;126.5;1
200805;79.2;1
200806;92;1
200807;58.8;1
200808;30.2;1
200809;39.2;1
200810;80.8;1
200811;158.6;1
200812;69.2;1
200901;83.4;1
200902;39;1
200903;42.1;1
200904;197.5;1
200905;44.6;1
200906;64.3;1
200907;28.5;1
200908;25.8;1
200909;52.3;1
200910;84.9;1
200911;87;1
200912;60.1;1
201001;103.5;1
201002;48.1;1
201003;54.1;1
201004;29.3;1
201005;149.6;1
201006;119.5;1
201007;30.4;1
201008;15.1;1
201009;56.9;1
201010;87.4;1
201011;63.3;1
201012;26.3;1
201101;39.5;1
201102;52.6;1
201103;98.6;1
201104;25.8;1
201105;49;1
201106;70.7;1
201107;107;1
201108;20;1
201109;41.5;1
201110;54.6;1
201111;44.9;1
201112;73;1
201201;53.4;1
201202;16.2;1
201203;43.7;1
201204;122.8;1
201205;70.1;1
201206;66.1;1
201207;51.5;1
201208;63;1
201209;50.2;1
201210;50.9;1
201211;83;1
201212;70.1;1
201301;157.5;1
201302;80.8;1
201303;74.1;1
201304;101.6;1
201305;176.5;1
201306;55;1
201307;90.8;1
201308;55.8;1
201309;96;1
201310;33.9;1
201311;194.6;1
201312;39.8;1
201401;148.5;1
201402;94.6;1
201403;46.5;1
201404;140.6;1
201405;78.4;1
201406;59.4;1
201407;109.7;1
201408;110;1
201409;93.2;1
201410;44.4;1
201411;89.9;1
201412;82.3;1
201501;58.4;1
201502;104.9;1
201503;104.7;1
201504;113.1;1
201505;21.7;1
201506;48.4;1
201507;29.5;1
201508;129.2;1
201509;13.9;1
201510;21.2;1
201511;51.6;1
201512;4.7;1
201601;62.7;1
201602;76.3;1
201603;87.1;1
201604;59.3;1
201605;117.1;1
201606;56.7;1
201607;44.1;1
201608;8.6;1
201609;36.8;1
201610;44.6;1
201611;90.1;1
201612;16.3;1
201701;50.4;1
