# DONNEES MENSUELLES HOMOGENEISEES de RR : Cumul mensuel des hauteurs de précipitation (en mm et 1/10) 
# NUM_POSTE= 34178001
# NOM_USUEL= MURVIEL LES BEZIERS
# LATITUDE (°) = 43.476
# LONGITUDE(°)= 3.146
# ALTITUDE (m) = 140
# NUM_SERIE= MRR034178001
# Amplitude minimale détectable de la série = 0.11
# Période homogénéisée : 195401 201712
# Date(s) de rupture(s) d'homogénéité : Aucune rupture d'homogénéité
#     Periode homogénéisée  195401 201712  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195401;17;1
195402;76.5;1
195403;86.3;1
195404;20;1
195405;50.2;1
195406;9.7;1
195407;41.1;1
195408;37.9;1
195409;8;1
195410;8.2;1
195411;23.7;1
195412;1.9;1
195501;243.1;1
195502;3.5;1
195503;5.7;1
195504;1.5;1
195505;30.7;1
195506;49.3;1
195507;43.6;1
195508;11.6;1
195509;32.6;1
195510;60.1;1
195511;47.2;1
195512;112.7;1
195601;11.4;1
195602;0.8;1
195603;183;1
195604;17.8;1
195605;46.8;1
195606;10;1
195607;72.2;1
195608;16.5;1
195609;68;1
195610;76.2;1
195611;28.1;1
195612;62.9;1
195701;0;1
195702;17.6;1
195703;12.9;1
195704;209.2;1
195705;89.4;1
195706;123.4;1
195707;5;1
195708;47.7;1
195709;18.9;1
195710;36.2;1
195711;78.4;1
195712;16.9;1
195801;47.6;1
195802;0.5;1
195803;119.2;1
195804;32.5;1
195805;18.6;1
195806;28.1;1
195807;49.9;1
195808;11.7;1
195809;41.5;1
195810;12.9;1
195811;83.1;1
195812;78.8;1
195901;1.6;1
195902;74.3;1
195903;69;1
195904;44.8;1
195905;33.1;1
195906;53.9;1
195907;47.2;1
195908;38.5;1
195909;108.6;1
195910;191.1;1
195911;28.6;1
195912;95.8;1
196001;51.5;1
196002;1;1
196003;213;1
196004;0.4;1
196005;4.6;1
196006;29.7;1
196007;35.5;1
196008;59.3;1
196009;16.5;1
196010;53;1
196011;7.7;1
196012;61.7;1
196101;33.2;1
196102;21.5;1
196103;0;1
196104;84.1;1
196105;19.7;1
196106;15;1
196107;32.3;1
196108;28.1;1
196109;42.9;1
196110;66.4;1
196111;109.9;1
196112;31.5;1
196201;33.1;1
196202;17.3;1
196203;134.7;1
196204;56.3;1
196205;33.8;1
196206;14.2;1
196207;5.8;1
196208;1.1;1
196209;78.6;1
196210;113.9;1
196211;185.4;1
196212;25.7;1
196301;79.8;1
196302;80;1
196303;19.8;1
196304;87.1;1
196305;33.7;1
196306;30.2;1
196307;38.8;1
196308;35.4;1
196309;153.6;1
196310;65.8;1
196311;23.1;1
196312;96.5;1
196401;7.9;1
196402;191.9;1
196403;104.2;1
196404;69.7;1
196405;118.9;1
196406;10;1
196407;28.1;1
196408;58.3;1
196409;281.1;1
196410;75.7;1
196411;87.9;1
196412;61.7;1
196501;67.6;1
196502;72.6;1
196503;49.1;1
196504;5.8;1
196505;7.2;1
196506;4.5;1
196507;14.4;1
196508;30.4;1
196509;49.7;1
196510;448.5;1
196511;18.7;1
196512;21.7;1
196601;35.4;1
196602;56.2;1
196603;3.6;1
196604;100.3;1
196605;113.6;1
196606;28.1;1
196607;39.5;1
196608;21.3;1
196609;65.8;1
196610;154.8;1
196611;38.6;1
196612;25.6;1
196701;49;1
196702;106.1;1
196703;10.4;1
196704;18.4;1
196705;50;1
196706;3.7;1
196707;13.3;1
196708;0.8;1
196709;19.7;1
196710;13.3;1
196711;32.1;1
196712;9.9;1
196801;15.9;1
196802;47.6;1
196803;6.1;1
196804;51.4;1
196805;83.2;1
196806;27;1
196807;8.1;1
196808;95.6;1
196809;17.6;1
196810;3.6;1
196811;111.2;1
