# DONNEES MENSUELLES HOMOGENEISEES de RR : Cumul mensuel des hauteurs de précipitation (en mm et 1/10) 
# NUM_POSTE= 39177001
# NOM_USUEL= CRANCOT
# LATITUDE (°) = 46.69
# LONGITUDE(°)= 5.659
# ALTITUDE (m) = 509
# NUM_SERIE= MRR039177001
# Amplitude minimale détectable de la série = 0.06
# Période homogénéisée : 195601 201712
# Date(s) de rupture(s) d'homogénéité : 196412 196712
#     Periode homogénéisée  195601 201712  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195601;141.4;1
195602;14.1;1
195603;60.2;1
195604;89.9;1
195605;104;1
195606;133.7;1
195607;184.4;1
195608;226.8;1
195609;179.2;1
195610;189;1
195611;76.4;1
195612;40.4;1
195701;59.9;1
195702;260.7;1
195703;32.5;1
195704;39.3;1
195705;80.6;1
195706;189;1
195707;153.4;1
195708;60.3;1
195709;119.6;1
195710;54.4;1
195711;61.5;1
195712;92;1
195801;132.5;1
195802;199.1;1
195803;76.8;1
195804;75.9;1
195805;93.8;1
195806;177.3;1
195807;84.7;1
195808;208.7;1
195809;129.4;1
195810;183.8;1
195811;80.9;1
195812;142;1
195901;135.6;1
195902;4.7;1
195903;147.8;1
195904;183.3;1
195905;28.4;1
195906;88.8;1
195907;35.9;1
195908;62;1
195909;8.2;1
195910;104.9;1
195911;118.7;1
195912;154.7;1
196001;67.4;1
196002;120;1
196003;83.9;1
196004;35.9;1
196005;47.1;1
196006;63.7;1
196007;153.2;1
196008;277.2;1
196009;225.6;1
196010;230;1
196011;162;1
196012;93.4;1
196101;138.1;1
196102;129.5;1
196103;49;1
196104;118.9;1
196105;43;1
196106;80.8;1
196107;170.1;1
196108;87.1;1
196109;11.9;1
196110;162.3;1
196111;79.7;1
196112;165.2;1
196201;166.2;1
196202;107.5;1
196203;188.4;1
196204;111.8;1
196205;126.3;1
196206;31.3;1
196207;63.5;1
196208;85.9;1
196209;134.6;1
196210;43;1
196211;74.3;1
196212;170.3;1
196301;54.4;1
196302;99.7;1
196303;143.4;1
196304;95.3;1
196305;121.9;1
196306;273.7;1
196307;41;1
196308;232.6;1
196309;54.8;1
196310;60.3;1
196311;285.9;1
196312;5.7;1
196401;49;1
196402;47.7;1
196403;127.7;1
196404;109.6;1
196405;75.9;1
196406;36.2;1
196407;4;1
196408;92.6;1
196409;85.8;1
196410;103.8;1
196411;64.9;1
196412;65.7;1
196501;111;1
196502;51.9;1
196503;173.2;1
196504;149.8;1
196505;156;1
196506;69.5;1
196507;169.4;1
196508;135.6;1
196509;263.7;1
196510;29.4;1
196511;165;1
196512;218.7;1
196601;121.2;1
196602;180.3;1
196603;80.6;1
196604;115.7;1
196605;117.8;1
196606;85.1;1
196607;100.1;1
196608;149.2;1
196609;80.6;1
196610;127.6;1
196611;149.9;1
196612;252.8;1
196701;72;1
196702;77.9;1
196703;99.1;1
196704;55.2;1
196705;159.2;1
196706;86.2;1
196707;53.9;1
196708;113;1
196709;192.5;1
196710;68.5;1
196711;161.7;1
196712;166.3;1
196801;184.2;1
196802;87.2;1
196803;86.4;1
196804;106.6;1
196805;118.6;1
196806;98;1
196807;72.6;1
196808;211.3;1
196809;167.9;1
196810;61.3;1
196811;119.3;1
196812;165.3;1
196901;85.7;1
196902;87.1;1
196903;107.3;1
196904;119.2;1
196905;82.5;1
196906;171.1;1
196907;60.7;1
196908;137;1
196909;51.6;1
196910;1.7;1
196911;194.9;1
196912;104.2;1
197001;124;1
197002;246.4;1
197003;109.8;1
197004;186.3;1
197005;59.2;1
197006;173.9;1
197007;136.1;1
197008;97.7;1
197009;127.1;1
197010;204.9;1
197011;177.8;1
197012;66.8;1
197101;67.3;1
197102;54.7;1
