# DONNEES MENSUELLES HOMOGENEISEES de RR : Cumul mensuel des hauteurs de précipitation (en mm et 1/10) 
# NUM_POSTE= 44117002
# NOM_USUEL= LE PALLET_SAPC
# LATITUDE (°) = 47.142
# LONGITUDE(°)= -1.337
# ALTITUDE (m) = 35
# NUM_SERIE= MRR044117002
# Amplitude minimale détectable de la série = 0.06
# Période homogénéisée : 195101 201912
# Date(s) de rupture(s) d'homogénéité : 197412 197806
#     Periode homogénéisée  195101 201912  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195101;60.5;1
195102;89.5;1
195103;85.4;1
195104;73.1;1
195105;77.5;1
195106;54.5;1
195107;26.1;1
195108;76.3;1
195109;80.7;1
195110;32.9;1
195111;113.8;1
195112;74.1;1
195201;72;1
195202;29.6;1
195203;92;1
195204;35.7;1
195205;27.5;1
195206;7.6;1
195207;37.9;1
195208;68.4;1
195209;181.4;1
195210;91.5;1
195211;118.4;1
195212;129.3;1
195301;14.8;1
195302;38.7;1
195303;5.5;1
195304;89.1;1
195305;20.8;1
195306;47;1
195307;63;1
195308;19.6;1
195309;77.8;1
195310;61.2;1
195311;23;1
195312;20.6;1
195401;34.9;1
195402;53.7;1
195403;91;1
195404;29.4;1
195405;15.3;1
195406;44.5;1
195407;53.3;1
195408;77.1;1
195409;64.5;1
195410;61.8;1
195411;98.6;1
195412;86.9;1
195501;130.5;1
195502;131.2;1
195503;40.7;1
195504;1.6;1
195505;34.9;1
195506;125.2;1
195507;3.4;1
195508;0.7;1
195509;10.1;1
195510;31.7;1
195511;21.2;1
195512;90.3;1
195601;102.5;1
195602;10.1;1
195603;19.6;1
195604;42.7;1
195605;26.8;1
195606;24.8;1
195607;82.6;1
195608;113.4;1
195609;126.6;1
195610;32.2;1
195611;14.2;1
195612;91.1;1
195701;40.2;1
195702;140.7;1
195703;26.9;1
195704;23.2;1
195705;21.4;1
195706;81.7;1
195707;44.8;1
195708;65.6;1
195709;80.9;1
195710;29.9;1
195711;85.2;1
195712;64.7;1
195801;109.6;1
195802;89.4;1
195803;72;1
195804;39.8;1
195805;72.3;1
195806;106.2;1
195807;58.2;1
195808;93.4;1
195809;50.2;1
195810;34.2;1
195811;38.7;1
195812;113.7;1
195901;78;1
195902;3.4;1
195903;43.6;1
195904;69.2;1
195905;48.2;1
195906;28.4;1
195907;10.8;1
195908;36.2;1
195909;26.2;1
195910;93.9;1
195911;86.9;1
195912;137.6;1
