# DONNEES MENSUELLES HOMOGENEISEES de RR : Cumul mensuel des hauteurs de précipitation (en mm et 1/10) 
# NUM_POSTE= 45270002
# NOM_USUEL= ST-BENOIT/LOIRE
# LATITUDE (°) = 47.808
# LONGITUDE(°)= 2.306
# ALTITUDE (m) = 112
# NUM_SERIE= MRR045270002
# Amplitude minimale détectable de la série = 0.07
# Période homogénéisée : 195601 201712
# Date(s) de rupture(s) d'homogénéité : 198012
#     Periode homogénéisée  195601 201712  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195601;64.9;1
195602;10.8;1
195603;16.2;1
195604;64.9;1
195605;43.2;1
195606;41;1
195607;25.4;1
195608;75.3;1
195609;115.3;1
195610;51.9;1
195611;42;1
195612;24.6;1
195701;20.4;1
195702;103.2;1
195703;26.3;1
195704;31.6;1
195705;40.3;1
195706;70.4;1
195707;75.3;1
195708;54.2;1
195709;70.4;1
195710;23.2;1
195711;37.5;1
195712;27.6;1
195801;69.6;1
195802;95.7;1
195803;42.7;1
195804;54;1
195805;117.1;1
195806;75.6;1
195807;104.6;1
195808;110.9;1
195809;115.9;1
195810;58.7;1
195811;56.7;1
195812;76.6;1
195901;67.2;1
195902;0.9;1
195903;52.1;1
195904;85.2;1
195905;10.2;1
195906;36.9;1
195907;0.2;1
195908;29.7;1
195909;6.9;1
195910;64.6;1
195911;69.7;1
195912;64.5;1
196001;46.5;1
196002;40.3;1
196003;51.1;1
196004;14.4;1
196005;71.6;1
196006;46.6;1
196007;88.5;1
196008;69.1;1
196009;47.8;1
196010;175.6;1
196011;58;1
196012;57.2;1
196101;90.1;1
196102;37.3;1
196103;3.8;1
196104;60.1;1
196105;36;1
196106;38.8;1
196107;50.5;1
196108;5.1;1
196109;44.1;1
196110;77.4;1
196111;67.6;1
196112;64.6;1
196201;54.2;1
196202;22.6;1
196203;74.9;1
196204;40.2;1
196205;86.6;1
196206;17.6;1
196207;78.1;1
196208;17;1
196209;28.1;1
196210;25.8;1
196211;99.3;1
196212;58.1;1
196301;20.8;1
196302;37.7;1
196303;66.8;1
196304;44.1;1
196305;61.4;1
196306;96.1;1
196307;13.3;1
196308;110.5;1
196309;26.4;1
196310;30.7;1
196311;56.6;1
196312;3;1
196401;20.5;1
196402;50.4;1
196403;54.5;1
196404;46.5;1
196405;37;1
196406;16.1;1
196407;9.7;1
196408;27.9;1
196409;56.6;1
196410;48.7;1
196411;30;1
196412;45.2;1
196501;90;1
196502;3.5;1
196503;60.1;1
196504;48.5;1
196505;54.2;1
196506;30.3;1
196507;37.3;1
196508;67;1
196509;117.5;1
196510;20.3;1
196511;85.1;1
196512;88.1;1
196601;67.2;1
196602;90.3;1
196603;14.8;1
196604;70.6;1
196605;37.4;1
196606;59.6;1
196607;101.6;1
196608;76.8;1
196609;7.3;1
196610;69.2;1
196611;76.7;1
196612;87.5;1
196701;16.4;1
196702;36.6;1
196703;39.7;1
196704;14.8;1
196705;57.8;1
196706;38.7;1
196707;6.8;1
196708;36.4;1
196709;110.6;1
196710;81.9;1
196711;84.2;1
196712;72.4;1
196801;99.7;1
196802;57.7;1
196803;29.2;1
196804;56.5;1
196805;59.9;1
196806;39.8;1
196807;75.4;1
196808;67.7;1
196809;74.6;1
196810;51.6;1
196811;34.2;1
196812;60.6;1
196901;38.3;1
196902;16.4;1
196903;51.3;1
196904;29;1
196905;72.7;1
196906;43.5;1
196907;76.7;1
196908;43.5;1
196909;33.3;1
196910;7.7;1
196911;125.7;1
196912;46.7;1
197001;66.6;1
197002;90.9;1
197003;65.9;1
197004;51.8;1
197005;55.7;1
197006;86.5;1
197007;21.7;1
197008;74.9;1
197009;19.6;1
197010;16.5;1
197011;51.8;1
197012;20.6;1
197101;54.8;1
197102;20.1;1
197103;23.9;1
197104;28.1;1
197105;140.9;1
197106;53.2;1
197107;76;1
197108;89.1;1
197109;24.4;1
197110;20.1;1
197111;59.9;1
197112;6.1;1
197201;69.7;1
197202;49.9;1
197203;22.7;1
197204;29.9;1
197205;44.4;1
197206;53.6;1
197207;26.8;1
197208;63.7;1
197209;49.5;1
197210;29.2;1
197211;88.4;1
197212;21.2;1
197301;42.3;1
197302;50.9;1
197303;7.3;1
197304;51.4;1
197305;69;1
197306;60.7;1
197307;46.7;1
197308;27.3;1
197309;22.8;1
197310;35.1;1
197311;57.9;1
197312;55.7;1
197401;56.5;1
197402;36.6;1
197403;77.3;1
197404;25.8;1
197405;45.2;1
197406;68.7;1
197407;9.4;1
197408;28.6;1
197409;96.1;1
197410;105.5;1
197411;46.2;1
197412;29.1;1
197501;45.4;1
197502;5.5;1
197503;64.2;1
197504;50.7;1
197505;60.6;1
197506;37.6;1
197507;28.1;1
197508;29.2;1
197509;150.8;1
197510;40.1;1
197511;65.2;1
197512;36.3;1
197601;11.7;1
197602;45.6;1
197603;20.4;1
197604;16.8;1
197605;9.1;1
197606;0;1
197607;56.5;1
197608;21.9;1
197609;80;1
197610;73.4;1
197611;53.7;1
197612;67.7;1
197701;41.7;1
197702;103.8;1
197703;57.5;1
197704;24.8;1
197705;88.5;1
197706;117.9;1
197707;61.9;1
197708;76.5;1
197709;7.8;1
197710;83.4;1
197711;60.9;1
197712;58.5;1
197801;95.2;1
197802;120.3;1
197803;102.4;1
197804;73.3;1
197805;79.2;1
197806;51;1
197807;76.8;1
197808;34.9;1
197809;20.9;1
197810;18.2;1
197811;20.8;1
197812;88.2;1
197901;50.7;1
197902;90.5;1
197903;109.7;1
197904;71.9;1
197905;52.9;1
197906;35.9;1
197907;24.4;1
197908;52.2;1
197909;29.5;1
197910;88.3;1
197911;46.3;1
197912;95.9;1
198001;60.9;1
198002;60.3;1
198003;70.5;1
198004;9.5;1
198005;54.8;1
198006;80.7;1
198007;69.4;1
198008;21.4;1
198009;22.2;1
198010;53.1;1
198011;56.5;1
198012;68.3;1
198101;78.5;1
198102;45.7;1
198103;65.1;1
198104;72.3;1
198105;122.7;1
198106;93;1
198107;97.9;1
198108;72.8;1
198109;35.7;1
198110;122.6;1
198111;33.6;1
198112;117;1
198201;79.5;1
198202;18.6;1
198203;73.1;1
198204;8.3;1
198205;45.2;1
198206;58.1;1
198207;43.4;1
198208;39.3;1
198209;64.6;1
198210;132;1
198211;53;1
198212;91.1;1
198301;52.7;1
198302;55.4;1
198303;54.6;1
198304;136;1
198305;90.8;1
198306;56.3;1
198307;61.7;1
198308;82.3;1
198309;88.9;1
198310;24.9;1
198311;19.6;1
198312;37.8;1
198401;105.1;1
198402;26.9;1
198403;32;1
198404;8.6;1
198405;123.4;1
198406;39.3;1
198407;26.2;1
198408;39.4;1
198409;114.3;1
198410;111;1
198411;83;1
198412;45.8;1
198501;28.9;1
198502;30.6;1
198503;68.7;1
198504;58.4;1
198505;82.8;1
198506;70.7;1
198507;38.5;1
198508;26.9;1
198509;12.9;1
198510;5.7;1
198511;45.5;1
198512;40.6;1
198601;80.5;1
198602;47.4;1
198603;66.6;1
198604;74.7;1
198605;63.5;1
198606;35.3;1
198607;13.6;1
198608;89.2;1
198609;62.5;1
198610;68;1
198611;51.8;1
198612;78.5;1
198701;24.4;1
198702;53.2;1
198703;40.7;1
198704;47.8;1
198705;44.4;1
198706;100.6;1
198707;139.3;1
198708;64.9;1
198709;25.7;1
198710;101.2;1
198711;68;1
198712;47.4;1
198801;140.7;1
198802;87.9;1
198803;60.6;1
198804;19.5;1
198805;97.4;1
198806;79;1
198807;64.7;1
198808;13.1;1
198809;60;1
198810;56.6;1
198811;35.4;1
198812;32.8;1
198901;20.6;1
198902;43.8;1
198903;45.9;1
198904;73.6;1
198905;21.1;1
198906;31.6;1
198907;46.9;1
198908;64.7;1
198909;17.8;1
198910;43.9;1
198911;19.3;1
198912;83.4;1
199001;23;1
199002;51.6;1
199003;7.4;1
199004;44.7;1
199005;20.8;1
199006;52.9;1
199007;44.4;1
199008;32.4;1
199009;33.1;1
199010;46.7;1
199011;54.7;1
199012;50.7;1
199101;42.1;1
199102;28.7;1
199103;41;1
199104;37.6;1
199105;15.6;1
199106;67;1
199107;93.7;1
199108;37.8;1
199109;50;1
199110;33.8;1
199111;70.4;1
199112;17.1;1
199201;7.4;1
199202;17.6;1
199203;47.1;1
199204;33.7;1
199205;18.5;1
199206;47.4;1
199207;67.4;1
199208;42.3;1
199209;21.5;1
199210;61.2;1
199211;118.5;1
199212;51;1
199301;28.5;1
199302;18.8;1
199303;8.2;1
199304;82.8;1
199305;105.1;1
199306;89.4;1
199307;24.9;1
199308;26.4;1
199309;131.4;1
199310;82.2;1
199311;21.2;1
199312;61.7;1
199401;64.9;1
199402;78.8;1
199403;36.1;1
199404;60.4;1
199405;56.4;1
199406;51.3;1
199407;49.4;1
199408;45.7;1
199409;104.5;1
199410;50;1
199411;68.3;1
199412;77.1;1
199501;112.7;1
199502;76.7;1
199503;82.6;1
199504;56.4;1
199505;73;1
199506;20;1
199507;20.6;1
199508;35.5;1
199509;83;1
199510;33.3;1
199511;41.1;1
199512;69.3;1
199601;73.9;1
199602;50.1;1
199603;13.8;1
199604;10.7;1
199605;75.6;1
199606;11.5;1
199607;27.1;1
199608;66.2;1
199609;59.7;1
199610;48.9;1
199611;128;1
199612;49;1
199701;11.8;1
199702;73.4;1
199703;12.1;1
199704;17.3;1
199705;73.4;1
199706;131;1
199707;41.9;1
199708;58.5;1
199709;14.1;1
199710;34.9;1
199711;94.4;1
199712;85.5;1
199801;72.3;1
199802;8.7;1
199803;25;1
199804;134.2;1
199805;33;1
199806;25.2;1
199807;33.1;1
199808;18;1
199809;80.4;1
199810;117.8;1
199811;29;1
199812;67.7;1
199901;60;1
199902;71;1
199903;59.8;1
199904;73.8;1
199905;64;1
199906;40.3;1
199907;56.6;1
199908;39.9;1
199909;146.8;1
