# DONNEES MENSUELLES HOMOGENEISEES de RR : Cumul mensuel des hauteurs de précipitation (en mm et 1/10) 
# NUM_POSTE= 46005001
# NOM_USUEL= ANGLARS
# LATITUDE (°) = 44.493
# LONGITUDE(°)= 1.208
# ALTITUDE (m) = 104
# NUM_SERIE= MRR046005001
# Amplitude minimale détectable de la série = 0.09
# Période homogénéisée : 195001 201812
# Date(s) de rupture(s) d'homogénéité : 199412
#     Periode homogénéisée  195001 201812  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195001;12.6;1
195002;104.7;1
195003;35.2;1
195004;72.2;1
195005;93.8;1
195006;55.9;1
195007;7.7;1
195008;50.1;1
195009;27.1;1
195010;50.5;1
195011;158.8;1
195012;125.4;1
195101;69.5;1
195102;126.8;1
195103;102.4;1
195104;27.5;1
195105;134.5;1
195106;69.5;1
195107;25.3;1
195108;82.1;1
195109;51.4;1
195110;12.6;1
195111;34.3;1
195112;98.8;1
195201;113.7;1
195202;48.7;1
195203;65.9;1
195204;7.2;1
195205;58.7;1
195206;13.5;1
195207;16.2;1
195208;51.4;1
195209;51.4;1
195210;104.7;1
195211;120.9;1
195212;220.2;1
195301;12.2;1
195302;55.9;1
195303;6.3;1
195304;69.5;1
195305;43.3;1
195306;85.7;1
195307;74;1
195308;18.9;1
195309;82.1;1
195310;58.7;1
195311;58.7;1
195312;6.3;1
195401;61.4;1
195402;119.1;1
195403;94.7;1
195404;55.5;1
195405;87.5;1
195406;52.3;1
195407;24.4;1
195408;93.8;1
195409;65.9;1
195410;51.4;1
195411;75.8;1
195412;91.1;1
195501;203.9;1
195502;77.2;1
195503;18.9;1
195504;6.3;1
195505;39.3;1
195506;108.3;1
195507;82.1;1
195508;43.3;1
195509;25.3;1
195510;74;1
195511;24.4;1
195512;142.6;1
195601;51.4;1
195602;8.8;1
195603;32.5;1
195604;52.3;1
195605;54.1;1
195606;46.9;1
195607;62.3;1
195608;118.7;1
195609;124.5;1
195610;34.3;1
195611;36.1;1
195612;45.1;1
195701;32.5;1
195702;120;1
195703;78.5;1
195704;37;1
195705;41.5;1
195706;104.7;1
195707;40.6;1
195708;18;1
195709;87.5;1
195710;14.4;1
195711;46;1
195712;38.2;1
195801;90.5;1
195802;10.2;1
195803;100;1
195804;43;1
195805;81.9;1
195806;100.2;1
195807;89.3;1
195808;76.8;1
195809;30.5;1
195810;23;1
195811;51;1
195812;113.4;1
195901;70.3;1
195902;27.3;1
195903;70.2;1
195904;96.1;1
195905;108.5;1
195906;73.5;1
195907;18.6;1
195908;74.1;1
195909;137.8;1
195910;70.1;1
195911;54.6;1
195912;251;1
196001;71.4;1
196002;50.2;1
196003;48.5;1
196004;25.6;1
196005;62.6;1
196006;72.8;1
196007;42.3;1
196008;85.2;1
196009;124.5;1
196010;138.2;1
196011;67.6;1
196012;92;1
196101;111.3;1
196102;59.3;1
196103;0.9;1
196104;50;1
196105;52.2;1
196106;35.6;1
196107;26.8;1
196108;36;1
196109;50.7;1
196110;68.2;1
196111;85.5;1
196112;104.9;1
196201;72.3;1
196202;35.8;1
196203;70.8;1
196204;60.9;1
196205;92.8;1
196206;35;1
196207;24.4;1
196208;6.3;1
196209;52.6;1
196210;31.1;1
196211;154.2;1
196212;96.4;1
196301;36.5;1
196302;77.5;1
196303;104.7;1
196304;42.5;1
196305;36;1
196306;149.7;1
196307;44.7;1
196308;173.5;1
196309;81.4;1
196310;48.8;1
196311;98.5;1
196312;47.3;1
196401;19.5;1
196402;54.7;1
196403;50.6;1
196404;98.4;1
196405;87.3;1
196406;67;1
196407;12.9;1
196408;43.4;1
196409;25.4;1
196410;111.8;1
196411;28.2;1
196412;24.2;1
196501;89.6;1
196502;12.7;1
196503;82.2;1
196504;63.3;1
196505;46.2;1
196506;24.9;1
196507;68.9;1
196508;27.5;1
196509;162.2;1
196510;25.3;1
196511;185.1;1
196512;222.3;1
196601;157.7;1
196602;71.5;1
196603;39.2;1
196604;91.6;1
196605;79.3;1
196606;72.7;1
196607;39.4;1
196608;47.4;1
196609;54.3;1
196610;132.1;1
196611;86.4;1
196612;143.8;1
196701;54.7;1
196702;65.6;1
196703;49.8;1
196704;19.9;1
196705;45.6;1
196706;30;1
196707;10.4;1
196708;46;1
196709;64.6;1
196710;57.8;1
196711;91.9;1
196712;65.3;1
196801;93.6;1
196802;45.2;1
196803;25.7;1
196804;19.1;1
196805;97;1
196806;41.5;1
196807;70;1
196808;105.4;1
196809;100;1
196810;32.6;1
196811;52.2;1
196812;97.5;1
196901;77;1
196902;51.3;1
196903;107.4;1
196904;112.9;1
196905;97.3;1
196906;53.2;1
196907;26.3;1
196908;74.8;1
196909;127.2;1
196910;15.7;1
196911;61;1
196912;100.2;1
197001;61.3;1
197002;148.8;1
197003;55;1
197004;84.4;1
197005;67.3;1
197006;73.5;1
197007;11.2;1
197008;39.6;1
197009;10;1
197010;115.7;1
197011;57.7;1
197012;14.3;1
197101;121.5;1
197102;69.2;1
197103;33.8;1
197104;21;1
197105;66;1
197106;77.7;1
197107;92.7;1
197108;78.1;1
197109;27.1;1
197110;23.3;1
197111;89.2;1
197112;45.8;1
197201;101.8;1
197202;94;1
197203;73.2;1
197204;52.2;1
197205;42.1;1
197206;20.8;1
197207;7.9;1
197208;110.7;1
197209;24.5;1
197210;53.1;1
197211;45.8;1
197212;41.9;1
197301;67.7;1
197302;95.7;1
197303;20.7;1
197304;55;1
197305;130.9;1
197306;57.8;1
197307;95.9;1
197308;18.7;1
197309;52.1;1
197310;57.1;1
197311;67.4;1
197312;69.4;1
197401;57.9;1
197402;77.2;1
197403;79.6;1
197404;46.7;1
197405;94.7;1
197406;60.6;1
197407;58.2;1
197408;22;1
197409;100.3;1
197410;87.1;1
197411;107;1
197412;40.4;1
197501;126.3;1
197502;33.5;1
197503;95.9;1
197504;56.7;1
197505;74.2;1
197506;54.4;1
197507;22.2;1
197508;81.3;1
197509;56.8;1
197510;38.4;1
197511;76.8;1
197512;33.6;1
197601;27.8;1
197602;41.1;1
197603;47.2;1
197604;58.9;1
197605;85.6;1
197606;3.4;1
197607;98.4;1
197608;44.8;1
197609;51.8;1
197610;165.3;1
197611;100.9;1
197612;101;1
197701;55.9;1
197702;121.3;1
197703;91.8;1
197704;67.6;1
197705;135.7;1
197706;174.2;1
197707;106.7;1
197708;67.3;1
197709;7.7;1
197710;111.4;1
197711;38.5;1
197712;39.6;1
197801;102.1;1
197802;119.8;1
197803;141.8;1
197804;72.9;1
197805;59.6;1
197806;28.1;1
197807;67.7;1
197808;14.6;1
197809;60.2;1
197810;6.1;1
197811;11.9;1
197812;113.1;1
197901;96.7;1
197902;94.3;1
197903;116;1
197904;89.3;1
197905;124.2;1
197906;45.6;1
197907;39.4;1
197908;28.2;1
197909;31.6;1
197910;104.8;1
197911;56.9;1
197912;164.1;1
198001;102.9;1
198002;89.7;1
198003;79;1
198004;20.5;1
198005;74;1
198006;50.4;1
198007;66.1;1
198008;41.7;1
198009;34.6;1
198010;104;1
198011;51.3;1
198012;76;1
198101;97.7;1
198102;53;1
198103;77.9;1
198104;40.1;1
198105;137.6;1
198106;42.7;1
198107;89.6;1
198108;28.3;1
198109;69.7;1
198110;104.5;1
198111;19.7;1
198112;234.3;1
198201;58.4;1
198202;54.5;1
198203;60.3;1
198204;4.8;1
198205;56.1;1
198206;60.7;1
198207;42;1
198208;61.5;1
198209;73.7;1
198210;169.5;1
198211;64.4;1
198212;167;1
198301;22.8;1
198302;99.2;1
198303;53.7;1
198304;85.1;1
198305;100.3;1
198306;34.9;1
198307;23.5;1
198308;82.1;1
198309;31.6;1
198310;36.1;1
198311;40.6;1
198312;68.3;1
198401;135.3;1
198402;86.3;1
198403;55.4;1
198404;10.6;1
198405;94.1;1
198406;102.4;1
198407;18.9;1
198408;121.2;1
198409;79.8;1
198410;68.1;1
198411;112.5;1
198412;44.9;1
198501;61.9;1
198502;85.3;1
198503;80.4;1
198504;70.5;1
198505;77.1;1
198506;62.1;1
198507;16.7;1
198508;7.9;1
198509;1.2;1
198510;9.7;1
198511;54.7;1
198512;62.9;1
198601;128.9;1
198602;50.3;1
198603;57.5;1
198604;107.4;1
198605;36;1
198606;17.5;1
198607;22.3;1
198608;39.8;1
198609;46.5;1
198610;56.9;1
198611;56.3;1
198612;94.5;1
198701;23.1;1
198702;51.3;1
198703;56.8;1
198704;44.2;1
198705;22.4;1
198706;75.8;1
198707;72.6;1
198708;72.6;1
198709;70.2;1
198710;111.9;1
198711;78.1;1
198712;22.8;1
198801;156;1
198802;90.8;1
198803;153.7;1
198804;98.3;1
198805;112.7;1
198806;117.1;1
198807;47.3;1
198808;15.1;1
198809;26.1;1
198810;38.8;1
198811;12.4;1
198812;57.1;1
198901;27.7;1
198902;91.6;1
198903;43.7;1
198904;141.1;1
198905;40.5;1
198906;16.3;1
198907;59.1;1
198908;37.5;1
198909;38.8;1
198910;35;1
198911;45.1;1
198912;16.7;1
199001;43;1
199002;91.9;1
199003;6.6;1
199004;64.1;1
199005;41.4;1
199006;49.5;1
199007;17;1
199008;46.1;1
199009;22.6;1
199010;144;1
199011;83.1;1
199012;65.6;1
199101;29.9;1
199102;73.6;1
199103;66.7;1
199104;41;1
199105;37.3;1
199106;58.1;1
199107;84.2;1
199108;31.8;1
199109;79;1
199110;58.7;1
199111;122.3;1
199112;49.1;1
199201;27.5;1
199202;25;1
199203;57.5;1
199204;58.7;1
199205;94.5;1
199206;159.4;1
199207;65.5;1
199208;148;1
199209;107.3;1
199210;148.5;1
199211;118;1
199212;71.7;1
199301;9.8;1
199302;3.4;1
199303;23.6;1
199304;92;1
199305;60.9;1
199306;125.4;1
199307;108.2;1
199308;111.6;1
199309;143.5;1
199310;105.7;1
199311;27;1
199312;162.9;1
199401;108.4;1
199402;136.3;1
199403;19.9;1
199404;116.9;1
199405;90.9;1
199406;90.7;1
199407;54.3;1
199408;33.8;1
199409;126.2;1
199410;79.8;1
199411;60.5;1
199412;57.8;1
199501;84;1
199502;92;1
199503;60;1
199504;30.8;1
199505;31.4;1
199506;35.4;1
199507;31.2;1
199508;9.6;1
199509;99.2;1
199510;44.4;1
199511;53.2;1
199512;116.4;1
199601;125.2;1
199602;77.8;1
199603;37.8;1
199604;60.6;1
199605;114;1
199606;38;1
199607;51.4;1
199608;87;1
199609;66.4;1
199610;31.4;1
199611;162.8;1
199612;60.6;1
199701;34.4;1
199702;46.6;1
199703;10.2;1
199704;24.2;1
199705;83.6;1
199706;132.6;1
199707;80.4;1
199708;124;1
199709;52.2;1
199710;28.2;1
199711;91.8;1
199712;89.8;1
199801;79.8;1
199802;16.6;1
199803;30.2;1
199804;168.2;1
199805;31;1
199806;41.6;1
199807;58.8;1
199808;25.2;1
199809;114.2;1
199810;68.6;1
199811;59.6;1
199812;40.6;1
199901;53;1
199902;80.2;1
199903;75.4;1
199904;123.4;1
199905;92.4;1
199906;19.4;1
199907;125.4;1
199908;75.8;1
199909;49.2;1
199910;93;1
199911;76.2;1
199912;149.4;1
200001;10;1
200002;97;1
200003;56.6;1
200004;134;1
200005;52.4;1
200006;58.2;1
200007;56.4;1
200008;62;1
200009;48.6;1
200010;80.6;1
200011;157.2;1
200012;44.8;1
200101;93.2;1
200102;23.6;1
200103;142.2;1
200104;125;1
200105;57;1
200106;14.4;1
200107;129.8;1
200108;37.6;1
200109;57;1
200110;57;1
200111;43.2;1
200112;26.2;1
200201;23.2;1
200202;76.8;1
200203;26.8;1
200204;32;1
200205;102.2;1
200206;60.8;1
200207;51.6;1
200208;44.6;1
200209;17.6;1
200210;104.6;1
200211;100.2;1
200212;72.2;1
200301;57.4;1
200302;55.4;1
200303;37.4;1
200304;43;1
200305;46;1
200306;29.2;1
200307;23.4;1
200308;37.8;1
200309;77.8;1
200310;109.8;1
200311;70.4;1
200312;70.2;1
200401;140.6;1
200402;21.2;1
200403;62.6;1
200404;110.2;1
