# DONNEES MENSUELLES HOMOGENEISEES de RR : Cumul mensuel des hauteurs de précipitation (en mm et 1/10) 
# NUM_POSTE= 46173006
# NOM_USUEL= LIMOGNE
# LATITUDE (°) = 44.398
# LONGITUDE(°)= 1.775
# ALTITUDE (m) = 303
# NUM_SERIE= MRR046173006
# Amplitude minimale détectable de la série = 0.07
# Période homogénéisée : 195501 202012
# Date(s) de rupture(s) d'homogénéité : 198812
#     Periode homogénéisée  195501 202012  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195501;227.8;1
195502;101.9;1
195503;18.5;1
195504;3.7;1
195505;49.1;1
195506;80.6;1
195507;63.9;1
195508;62;1
195509;48.1;1
195510;50;1
195511;40.7;1
195512;138;1
195601;64.8;1
195602;13.9;1
195603;46.3;1
195604;56.5;1
195605;78.7;1
195606;53.7;1
195607;88;1
195608;81.5;1
195609;83.3;1
195610;48.1;1
195611;28.7;1
195612;38.9;1
195701;32.4;1
195702;89.8;1
195703;44.4;1
195704;85.2;1
195705;75.9;1
195706;118.5;1
195707;45.4;1
195708;26.9;1
195709;73.1;1
195710;12;1
195711;62;1
195712;64.8;1
195801;82.4;1
195802;16.7;1
195803;132.4;1
195804;48.1;1
195805;84.3;1
195806;75;1
195807;111.1;1
195808;69.4;1
195809;46.3;1
195810;26.9;1
195811;54.6;1
195812;92.6;1
195901;63.1;1
195902;13.3;1
195903;117.7;1
195904;104.7;1
195905;83.3;1
195906;102.1;1
195907;58.6;1
195908;109.8;1
195909;241.6;1
195910;77.8;1
195911;90.2;1
195912;214.4;1
196001;61.5;1
196002;58.8;1
196003;66.7;1
196004;19.4;1
196005;58.3;1
196006;83.3;1
196007;132.4;1
196008;106.5;1
196009;109.3;1
196010;183.3;1
196011;77.8;1
196012;111.1;1
196101;77.8;1
196102;61.1;1
196103;0.9;1
196104;95.4;1
196105;51.9;1
196106;58.3;1
196107;49.1;1
196108;50.9;1
196109;76.9;1
196110;83.3;1
196111;80.6;1
196112;84.3;1
196201;82.4;1
196202;53.7;1
196203;75;1
196204;71.3;1
196205;100.9;1
196206;37;1
196207;37;1
196208;13;1
196209;56.5;1
196210;36.1;1
196211;184.3;1
196212;90.7;1
196301;35.2;1
196302;75.9;1
196303;109.3;1
196304;88;1
196305;66.7;1
196306;199.1;1
196307;28.8;1
196308;92.1;1
196309;85.5;1
196310;30.4;1
196311;60.4;1
196312;43.1;1
196401;7.4;1
196402;71.3;1
196403;89.8;1
196404;102.8;1
