# DONNEES MENSUELLES HOMOGENEISEES de RR : Cumul mensuel des hauteurs de précipitation (en mm et 1/10) 
# NUM_POSTE= 48019004
# NOM_USUEL= BARRE-DES-CEVENNES-EDF
# LATITUDE (°) = 44.245
# LONGITUDE(°)= 3.652
# ALTITUDE (m) = 930
# NUM_SERIE= MRR048019004
# Amplitude minimale détectable de la série = 0.09
# Période homogénéisée : 195001 202112
# Date(s) de rupture(s) d'homogénéité : 196112 196512
#     Periode homogénéisée  195001 202112  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195001;58.1;1
195002;103.5;1
195003;51.6;1
195004;17.6;1
195005;60.6;1
195006;15.3;1
195007;18.2;1
195008;91.7;1
195009;31.8;1
195010;119.1;1
195011;40.8;1
195012;84.7;1
195101;154.6;1
195102;164.9;1
195103;133.3;1
195104;39.9;1
195105;277.9;1
195106;41.6;1
195107;16.7;1
195108;72.7;1
195109;87;1
195110;229;1
195111;287.2;1
195112;32;1
195201;63.6;1
195202;10.6;1
195203;140.1;1
195204;117.4;1
195205;123.8;1
195206;56.2;1
195207;62.4;1
195208;52.7;1
195209;32.8;1
195210;142.2;1
195211;111.5;1
195212;70.1;1
195301;15.1;1
195302;16.3;1
195303;44.1;1
195304;61;1
195305;47.1;1
195306;124.5;1
195307;21.5;1
195308;31.9;1
195309;210.3;1
195310;318.5;1
195311;119.1;1
195312;559.3;1
195401;22.5;1
195402;123.7;1
195403;209.7;1
195404;35;1
195405;107.1;1
195406;34;1
195407;62.4;1
195408;101.9;1
195409;23.8;1
195410;38.6;1
195411;199.3;1
195412;28.4;1
195501;526.4;1
195502;111.1;1
195503;41.9;1
195504;2.3;1
195505;49.6;1
195506;87.8;1
195507;34.9;1
195508;47.3;1
195509;73.4;1
195510;207.3;1
195511;159.2;1
195512;140.8;1
195601;50.7;1
195602;7.9;1
195603;409.9;1
195604;90.3;1
195605;142.3;1
195606;16.3;1
195607;121.9;1
195608;83.5;1
195609;165.9;1
195610;62.8;1
195611;47.8;1
195612;131.7;1
195701;0;1
195702;156.4;1
195703;74.2;1
195704;274.3;1
195705;112.7;1
195706;230.1;1
195707;12.6;1
195708;50.4;1
195709;51.1;1
195710;13.2;1
195711;107.5;1
195712;159.9;1
195801;66;1
195802;17.9;1
195803;83.8;1
195804;98;1
195805;28.7;1
195806;82.2;1
195807;118.1;1
195808;23.2;1
195809;328.4;1
195810;77.3;1
195811;75.8;1
195812;252;1
195901;60.5;1
195902;131.6;1
195903;212.8;1
195904;162;1
195905;117.6;1
195906;117.4;1
195907;53.1;1
195908;103.1;1
195909;97.5;1
195910;125.2;1
195911;147.4;1
195912;357.5;1
196001;228.4;1
196002;79;1
196003;388.9;1
196004;23;1
196005;46.5;1
196006;53.5;1
196007;83.9;1
196008;89.3;1
196009;90.3;1
196010;444.6;1
196011;194.3;1
196012;91.8;1
196101;94.4;1
196102;44.5;1
196103;0;1
196104;106.4;1
196105;132.4;1
196106;90.5;1
196107;63.2;1
196108;25.1;1
196109;168;1
196110;200.8;1
196111;328.6;1
196112;69.9;1
196201;103.5;1
196202;67.7;1
196203;97.4;1
196204;122.6;1
196205;41.7;1
196206;10.4;1
196207;6.6;1
196208;7.2;1
196209;87.2;1
196210;73.9;1
196211;331.5;1
196212;93.5;1
196301;173.2;1
196302;101.5;1
196303;53.3;1
196304;200.8;1
196305;56.1;1
196306;212.3;1
196307;94.3;1
196308;199.3;1
196309;206.3;1
196310;290.9;1
196311;164.2;1
196312;161.5;1
196401;64.6;1
196402;317.4;1
196403;144;1
196404;235.5;1
196405;271.2;1
196406;62.1;1
196407;56;1
196408;64.4;1
196409;101;1
196410;153.3;1
196411;112.4;1
196412;79.5;1
196501;112.9;1
196502;32.4;1
196503;131.9;1
196504;13.1;1
196505;49.6;1
196506;39.6;1
196507;70.1;1
196508;12.3;1
196509;454.1;1
196510;259.3;1
196511;194.7;1
196512;129.6;1
196601;127.8;1
196602;193;1
196603;11.7;1
196604;143.2;1
196605;120.4;1
196606;122.3;1
196607;37.1;1
196608;18.2;1
196609;93.4;1
196610;232.4;1
196611;183.2;1
196612;38.7;1
196701;116.8;1
196702;166.9;1
196703;118.7;1
196704;53.5;1
196705;131.3;1
196706;25.3;1
196707;41.3;1
196708;81.1;1
196709;45.4;1
196710;46.4;1
196711;185.1;1
196712;18;1
196801;38.6;1
196802;133.1;1
196803;15.7;1
196804;201.3;1
196805;134.4;1
196806;147.7;1
196807;24.4;1
196808;128;1
196809;86.7;1
196810;113.8;1
196811;212.9;1
196812;66.4;1
196901;204.1;1
196902;184.8;1
196903;281.3;1
196904;173.4;1
196905;203.2;1
196906;85.4;1
196907;111.8;1
