# DONNEES MENSUELLES HOMOGENEISEES de RR : Cumul mensuel des hauteurs de précipitation (en mm et 1/10) 
# NUM_POSTE= 49188001
# NOM_USUEL= MARCE
# LATITUDE (°) = 47.562
# LONGITUDE(°)= -0.317
# ALTITUDE (m) = 53
# NUM_SERIE= MRR049188001
# Amplitude minimale détectable de la série = 0.08
# Période homogénéisée : 195101 201612
# Date(s) de rupture(s) d'homogénéité : Aucune rupture d'homogénéité
#     Periode homogénéisée  195101 201612  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195101;64.5;1
195102;61;1
195103;83.4;1
195104;50;1
195105;128.2;1
195106;98.3;1
195107;19.4;1
195108;97.2;1
195109;31.6;1
195110;35.4;1
195111;77.2;1
195112;68.1;1
195201;54.5;1
195202;37.6;1
195203;114.6;1
195204;29.6;1
195205;47.3;1
195206;7.4;1
195207;26.5;1
195208;62.1;1
195209;113.7;1
195210;97.3;1
195211;86.5;1
195212;111.5;1
195301;18.5;1
195302;41.7;1
195303;1.5;1
195304;57.8;1
195305;19.1;1
195306;57.2;1
195307;51.1;1
195308;13.4;1
195309;81.3;1
195310;66.8;1
195311;12;1
195312;11.9;1
195401;10.5;1
195402;57;1
195403;81.5;1
195404;11.6;1
195405;32.3;1
195406;40.9;1
195407;26.5;1
195408;85.5;1
195409;35.9;1
195410;29.4;1
195411;60.2;1
195412;47.5;1
195501;104.2;1
195502;84.9;1
195503;25;1
195504;0.5;1
195505;28.8;1
195506;119.6;1
195507;29.6;1
195508;4.5;1
195509;18.8;1
195510;37.3;1
195511;22.8;1
195512;99.2;1
195601;105.6;1
195602;10.8;1
195603;14.7;1
195604;43.4;1
195605;79.4;1
195606;15.1;1
195607;118.3;1
195608;94;1
195609;39.4;1
195610;34.6;1
195611;14.6;1
195612;64.9;1
195701;31;1
195702;129.8;1
195703;11.5;1
195704;56.8;1
195705;15.5;1
195706;50.4;1
195707;66.5;1
195708;34.8;1
195709;30;1
195710;12.5;1
195711;68;1
195712;37.6;1
195801;151.4;1
195802;83.1;1
195803;67;1
195804;36.4;1
195805;57.1;1
195806;107.4;1
195807;38.4;1
195808;63.5;1
195809;31.5;1
195810;40.5;1
195811;60.2;1
195812;80.3;1
195901;66.3;1
195902;5.9;1
195903;36;1
195904;62.1;1
195905;40;1
195906;20.5;1
195907;3.7;1
195908;16.7;1
195909;6;1
195910;74.5;1
195911;29.1;1
195912;111.3;1
196001;53.5;1
196002;49.1;1
196003;65.9;1
196004;12;1
196005;52.4;1
196006;17.5;1
196007;52.2;1
196008;35.7;1
196009;105;1
196010;133.8;1
196011;123.7;1
196012;140.6;1
196101;87.6;1
196102;36;1
196103;6.2;1
196104;71.6;1
196105;27.3;1
196106;31.9;1
196107;44.6;1
196108;1.2;1
196109;45.1;1
196110;107.5;1
196111;82;1
196112;74.7;1
196201;68.5;1
196202;22.6;1
196203;91.8;1
196204;33.8;1
196205;37.7;1
196206;6;1
196207;23.2;1
196208;16.8;1
196209;55;1
196210;68.4;1
196211;135.7;1
196212;42.2;1
196301;39.3;1
196302;50.2;1
196303;66.9;1
196304;69.1;1
196305;30.5;1
196306;116.9;1
196307;5.3;1
196308;132.1;1
196309;32;1
196310;45;1
196311;106.8;1
196312;7.7;1
196401;18.3;1
196402;78.2;1
196403;79;1
196404;58.5;1
196405;86.6;1
196406;54.9;1
196407;16.3;1
196408;20;1
196409;31.1;1
196410;68.7;1
196411;35.8;1
196412;79.8;1
196501;98.9;1
196502;5;1
196503;64.5;1
196504;38.9;1
196505;35.2;1
196506;20.1;1
196507;27.2;1
196508;196.5;1
196509;104.2;1
196510;29.1;1
196511;116.8;1
196512;98;1
196601;62.2;1
196602;81.3;1
196603;31.4;1
196604;89.5;1
196605;35.7;1
196606;77.1;1
196607;56.4;1
196608;50.6;1
196609;61;1
196610;178.3;1
196611;124.8;1
196612;70.3;1
196701;29;1
196702;65.7;1
196703;53.3;1
196704;47.3;1
196705;104.4;1
196706;21.8;1
196707;20.5;1
196708;42.8;1
196709;58.7;1
196710;68.4;1
196711;65.5;1
196712;48.8;1
196801;46.9;1
196802;70.5;1
196803;40.9;1
196804;27.9;1
196805;58.7;1
196806;58.3;1
196807;47.5;1
196808;49.4;1
196809;82.7;1
196810;33;1
196811;10.2;1
196812;60.8;1
196901;55.5;1
196902;27.7;1
196903;77.4;1
196904;32.9;1
196905;98.5;1
196906;30;1
196907;43;1
196908;10.8;1
196909;71.9;1
196910;25.5;1
196911;141.1;1
196912;81;1
197001;88.5;1
197002;92.2;1
197003;42.4;1
197004;37.7;1
197005;14.7;1
197006;45.1;1
197007;24.4;1
197008;105.2;1
197009;27.5;1
197010;35.8;1
197011;102.7;1
197012;23.8;1
197101;92.2;1
197102;39.6;1
197103;38.5;1
197104;48.3;1
197105;111.8;1
197106;34.5;1
197107;35.4;1
197108;66.9;1
197109;17.9;1
197110;5.7;1
197111;54.2;1
197112;25.9;1
197201;81.7;1
197202;110.4;1
197203;49.2;1
197204;30.6;1
197205;17.3;1
197206;24.7;1
197207;17.2;1
197208;99.6;1
197209;14.8;1
197210;17.1;1
197211;102.8;1
197212;10.5;1
197301;34.5;1
197302;50.8;1
197303;5.6;1
197304;46.6;1
197305;119.5;1
197306;13.6;1
197307;70.8;1
197308;23.8;1
197309;169.1;1
197310;35.8;1
197311;36.5;1
197312;39;1
197401;78.5;1
197402;70.8;1
197403;47.5;1
197404;15.3;1
197405;47;1
197406;42.3;1
197407;4;1
197408;42.6;1
197409;74;1
197410;34.3;1
197411;98.4;1
197412;28.7;1
197501;90;1
197502;10.8;1
197503;63.9;1
197504;47.7;1
197505;72.5;1
197506;12.5;1
197507;23.2;1
197508;13.5;1
197509;102.3;1
197510;25.8;1
197511;75.8;1
197512;16;1
197601;16.1;1
197602;52.5;1
197603;28.6;1
197604;10.6;1
197605;14;1
197606;0;1
197607;20.7;1
197608;18;1
197609;65.3;1
197610;76.9;1
197611;87.4;1
197612;53.1;1
197701;50.4;1
197702;119.2;1
197703;48.7;1
197704;27.3;1
197705;81.1;1
197706;29.6;1
197707;48.8;1
197708;31.8;1
197709;14.9;1
197710;50;1
197711;51.8;1
197712;68.9;1
197801;114.2;1
197802;80.6;1
197803;64.3;1
197804;48.6;1
197805;70.7;1
197806;49.9;1
197807;23.3;1
197808;26.1;1
197809;21.4;1
197810;2.5;1
197811;17.6;1
197812;119.6;1
197901;51.4;1
197902;108.5;1
197903;85.9;1
197904;47.2;1
197905;71.2;1
197906;80.2;1
197907;22.5;1
197908;31.5;1
197909;21.2;1
197910;107.3;1
197911;33.4;1
197912;129.8;1
198001;66.7;1
198002;42;1
198003;93.1;1
198004;10.5;1
198005;27;1
198006;81.9;1
198007;73.6;1
198008;5.8;1
198009;83.2;1
198010;78.4;1
198011;50;1
198012;54.7;1
198101;40;1
198102;60;1
198103;64.3;1
198104;17.3;1
198105;128;1
198106;36.4;1
198107;58.7;1
198108;21.1;1
198109;73;1
198110;103.1;1
198111;26.1;1
198112;134.1;1
198201;69.8;1
198202;38.1;1
198203;50;1
198204;8.6;1
198205;22.8;1
198206;95.5;1
198207;53;1
198208;102.1;1
198209;70;1
198210;92.4;1
198211;57.4;1
198212;98.3;1
198301;32.4;1
198302;53.9;1
198303;24.7;1
