# DONNEES MENSUELLES HOMOGENEISEES de RR : Cumul mensuel des hauteurs de précipitation (en mm et 1/10) 
# NUM_POSTE= 49248003
# NOM_USUEL= POUANCE_SAPC
# LATITUDE (°) = 47.74
# LONGITUDE(°)= -1.188
# ALTITUDE (m) = 96
# NUM_SERIE= MRR049248003
# Amplitude minimale détectable de la série = 0.06
# Période homogénéisée : 195101 201912
# Date(s) de rupture(s) d'homogénéité : 196812 200005
#     Periode homogénéisée  195101 201912  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195101;55.1;1
195102;96.3;1
195103;105.3;1
195104;33.2;1
195105;103.8;1
195106;62.1;1
195107;28.1;1
195108;91.9;1
195109;59.6;1
195110;29.9;1
195111;134.7;1
195112;97.6;1
195201;79.1;1
195202;34.2;1
195203;119.5;1
195204;24.4;1
195205;61.5;1
195206;21.7;1
195207;13.3;1
195208;56.6;1
195209;122.6;1
195210;117.3;1
195211;97.5;1
195212;111.3;1
195301;18;1
195302;32.8;1
195303;2.4;1
195304;97.7;1
195305;16;1
195306;44.1;1
195307;56.8;1
195308;7.6;1
195309;78.5;1
195310;54;1
195311;17.6;1
195312;23;1
195401;26.4;1
195402;60.4;1
195403;75.6;1
195404;13.5;1
195405;29.8;1
195406;37.7;1
195407;22.8;1
195408;69.3;1
195409;36.6;1
195410;41.6;1
195411;100.7;1
195412;62.7;1
195501;133.4;1
195502;116.8;1
195503;25.6;1
195504;0;1
195505;41.3;1
195506;62.7;1
195507;62.2;1
195508;4.7;1
195509;28.5;1
195510;39.9;1
195511;45.4;1
195512;116.8;1
195601;90.7;1
195602;7.6;1
195603;15.7;1
195604;55.1;1
195605;24.6;1
195606;27.5;1
195607;87.6;1
195608;105.7;1
195609;58.6;1
195610;28;1
195611;16.1;1
195612;106.4;1
195701;33.2;1
195702;174.8;1
195703;26.7;1
195704;50.8;1
195705;21.9;1
195706;35.5;1
195707;62.1;1
195708;43.7;1
195709;48;1
195710;14.2;1
195711;56.5;1
195712;41.3;1
195801;114.3;1
195802;97.8;1
195803;84.3;1
195804;35.9;1
195805;44.4;1
195806;88.8;1
195807;51.8;1
195808;52.1;1
195809;41.4;1
195810;50.1;1
195811;47.5;1
195812;90.2;1
195901;87.4;1
195902;6.2;1
195903;53;1
195904;105.6;1
195905;46.3;1
195906;16.6;1
195907;10;1
195908;37;1
195909;12.3;1
195910;103.8;1
195911;42.3;1
195912;147.2;1
196001;58.4;1
196002;64.8;1
196003;57.3;1
196004;10.9;1
196005;35.1;1
196006;23.7;1
196007;35.5;1
196008;101.1;1
196009;109;1
196010;150;1
196011;161.3;1
196012;119.3;1
196101;110.5;1
196102;44.2;1
196103;5.8;1
196104;59.8;1
196105;26.8;1
