# DONNEES MENSUELLES HOMOGENEISEES de RR : Cumul mensuel des hauteurs de précipitation (en mm et 1/10) 
# NUM_POSTE= 51015001
# NOM_USUEL= ARGERS
# LATITUDE (°) = 49.064
# LONGITUDE(°)= 4.85
# ALTITUDE (m) = 152
# NUM_SERIE= MRR051015001
# Amplitude minimale détectable de la série = 0.08
# Période homogénéisée : 195501 201812
# Date(s) de rupture(s) d'homogénéité : 198812 200312
#     Periode homogénéisée  195501 201812  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195501;100.2;1
195502;71;1
195503;24.4;1
195504;14.2;1
195505;49.8;1
195506;52.6;1
195507;14;1
195508;10;1
195509;18.9;1
195510;44.1;1
195511;26.8;1
195512;104.3;1
195601;67.5;1
195602;18.5;1
195603;41.8;1
195604;59.5;1
195605;81.7;1
195606;65.9;1
195607;67.4;1
195608;65.1;1
195609;25.2;1
195610;66.1;1
195611;54.1;1
195612;36.8;1
195701;41;1
195702;93.9;1
195703;57.5;1
195704;14.5;1
195705;34.1;1
195706;72.9;1
195707;99.3;1
195708;88.4;1
195709;86.3;1
195710;37.9;1
195711;27.1;1
195712;41.5;1
195801;83.5;1
195802;144.2;1
195803;19.1;1
195804;41.8;1
195805;152.7;1
195806;59.9;1
195807;55.2;1
195808;110.4;1
195809;51.6;1
195810;76.5;1
195811;42.3;1
195812;113.3;1
195901;58.7;1
195902;2;1
195903;52.6;1
195904;79.4;1
195905;49.9;1
195906;63.1;1
195907;9.6;1
195908;54.9;1
195909;3.6;1
195910;47.5;1
195911;52;1
195912;77.9;1
196001;45.9;1
196002;44;1
196003;58.3;1
196004;16.1;1
196005;51.4;1
196006;105.7;1
196007;105;1
196008;106.9;1
196009;65.1;1
196010;101.1;1
196011;69.6;1
196012;66.2;1
196101;86.3;1
196102;67;1
196103;13.6;1
196104;57.8;1
196105;47.5;1
196106;49.4;1
196107;60.1;1
196108;15.6;1
196109;43.6;1
196110;85.3;1
196111;72.5;1
196112;64.7;1
196201;87.9;1
196202;58.3;1
196203;66.5;1
196204;43.1;1
196205;66.1;1
196206;4.1;1
196207;58.2;1
196208;23.9;1
196209;52.4;1
196210;23.4;1
196211;29.5;1
196212;54.3;1
196301;36;1
196302;14.2;1
196303;41;1
196304;21.9;1
196305;41.1;1
196306;93.5;1
196307;34.3;1
196308;97.6;1
196309;48.6;1
196310;32.8;1
196311;109.2;1
196312;8.6;1
196401;21.4;1
196402;16.5;1
196403;59.8;1
196404;51.6;1
196405;43.1;1
196406;19.4;1
196407;15.3;1
196408;35.5;1
196409;72.4;1
196410;46.3;1
196411;68.8;1
196412;41.6;1
196501;106.9;1
196502;12.2;1
196503;70.8;1
196504;94.7;1
196505;40;1
196506;59.3;1
196507;70.9;1
196508;80.4;1
196509;105.5;1
196510;9.9;1
196511;106.3;1
196512;145.6;1
196601;61.9;1
196602;71.1;1
196603;40;1
196604;76.9;1
196605;46.1;1
196606;54.3;1
196607;79.2;1
196608;65.5;1
196609;18.4;1
196610;64.6;1
196611;62.7;1
196612;135.2;1
196701;32.5;1
196702;46.9;1
196703;51.6;1
196704;30.3;1
196705;61.3;1
196706;35.8;1
196707;33.5;1
196708;50.7;1
196709;98.6;1
196710;105.3;1
196711;78.2;1
196712;99.4;1
196801;95.6;1
196802;55;1
196803;50.5;1
196804;44.2;1
196805;56.3;1
196806;41.3;1
196807;94.9;1
196808;90.8;1
196809;49;1
196810;34.6;1
196811;25.7;1
196812;40.2;1
196901;38.2;1
196902;47.6;1
196903;56.4;1
196904;76.1;1
196905;82.1;1
196906;104.6;1
196907;19.8;1
196908;99.9;1
196909;39.9;1
196910;2.5;1
196911;79.3;1
196912;59;1
197001;59.7;1
197002;150.4;1
197003;70.2;1
197004;74.9;1
197005;96.1;1
197006;79.1;1
197007;77.6;1
197008;39.3;1
197009;48.3;1
197010;34.3;1
197011;70.8;1
197012;39.4;1
197101;53.4;1
197102;26.1;1
197103;38.9;1
197104;21.8;1
197105;60;1
197106;95.3;1
197107;42.1;1
197108;66.1;1
197109;16.9;1
197110;39.7;1
197111;78.8;1
197112;19;1
197201;52.5;1
197202;44.3;1
197203;40;1
197204;49.1;1
197205;51.5;1
197206;29.5;1
197207;135.4;1
197208;112.6;1
197209;30.4;1
197210;25.2;1
197211;94.5;1
197212;16.4;1
197301;41;1
197302;66.8;1
197303;11.4;1
197304;54.9;1
197305;56.7;1
197306;15.1;1
197307;50.8;1
197308;49.2;1
197309;37.9;1
197310;51.3;1
197311;67.7;1
197312;91.8;1
197401;47.5;1
197402;41.7;1
197403;70.8;1
197404;14.5;1
197405;33.3;1
197406;65.6;1
197407;51.3;1
197408;38.3;1
197409;98.8;1
197410;141.2;1
197411;78.6;1
197412;66.8;1
197501;68;1
197502;14.3;1
197503;67.3;1
197504;45.9;1
197505;56.5;1
197506;46.1;1
197507;37.7;1
197508;57.3;1
197509;74.2;1
197510;24.7;1
197511;89.8;1
197512;28.8;1
197601;53.4;1
197602;45.5;1
197603;30.6;1
197604;24.8;1
197605;23.3;1
197606;12.5;1
197607;43.9;1
197608;10.6;1
197609;62;1
197610;69.2;1
197611;90;1
197612;66.3;1
197701;85.9;1
197702;114.5;1
197703;43.1;1
197704;53.3;1
197705;50.5;1
197706;112.8;1
197707;80.5;1
197708;40.2;1
197709;14.5;1
197710;39;1
197711;89.3;1
197712;54.2;1
197801;63;1
197802;69.7;1
197803;113.9;1
197804;42.9;1
197805;107.6;1
197806;78.4;1
197807;98.4;1
197808;32.4;1
197809;46.4;1
197810;15.9;1
197811;22.1;1
197812;123.5;1
197901;35.3;1
197902;73.8;1
197903;118.9;1
197904;60.1;1
197905;80.7;1
197906;37.3;1
197907;14.7;1
197908;60.2;1
197909;16.1;1
197910;71.5;1
197911;82.7;1
197912;119.8;1
198001;54.3;1
198002;57.4;1
198003;63.3;1
198004;27.1;1
198005;53.1;1
198006;85.7;1
198007;127.5;1
198008;43.7;1
198009;30;1
198010;84.8;1
198011;71.2;1
198012;81.3;1
198101;69.7;1
198102;46.5;1
198103;111.7;1
198104;37.9;1
198105;67.5;1
198106;99.5;1
198107;54.9;1
198108;51.8;1
198109;77.7;1
198110;144.5;1
198111;45.1;1
198112;96;1
198201;94.9;1
198202;13.2;1
198203;59.2;1
198204;14.8;1
198205;50.8;1
198206;65.9;1
198207;32.4;1
198208;38.6;1
198209;67.1;1
198210;108.2;1
198211;87.1;1
198212;112.6;1
198301;74.9;1
198302;59.1;1
198303;53.3;1
198304;97.9;1
198305;127.3;1
198306;58.4;1
198307;18.2;1
198308;58;1
198309;97.2;1
198310;41.3;1
198311;41.5;1
198312;41.3;1
198401;130.6;1
198402;65.8;1
198403;42.2;1
198404;42.7;1
198405;60.6;1
198406;25.8;1
198407;48;1
198408;37.3;1
198409;114.5;1
198410;95.3;1
198411;94.4;1
198412;46.7;1
198501;46.1;1
198502;25.3;1
198503;58.4;1
198504;52.5;1
198505;82.7;1
198506;111.5;1
198507;25.1;1
198508;45.9;1
198509;45.1;1
198510;14;1
198511;61.3;1
198512;62.1;1
198601;93.5;1
198602;7;1
198603;90.7;1
198604;97.9;1
198605;49.3;1
198606;70.5;1
198607;41;1
198608;63.4;1
198609;64.6;1
198610;83.6;1
198611;51.1;1
198612;95.9;1
198701;30.8;1
198702;54.1;1
198703;75.7;1
198704;29.9;1
198705;65.9;1
198706;123.5;1
198707;138.2;1
198708;55.3;1
198709;36.3;1
198710;87;1
198711;53.8;1
198712;47.9;1
198801;118.4;1
198802;60.6;1
198803;108;1
198804;27.4;1
198805;101.8;1
198806;32.3;1
198807;113.5;1
198808;33.4;1
198809;66.4;1
198810;78.6;1
198811;51.8;1
198812;79;1
198901;32.9;1
198902;51.8;1
198903;60.2;1
198904;94.6;1
198905;18.6;1
198906;57;1
198907;35.6;1
198908;68.6;1
198909;50.7;1
198910;64;1
198911;39;1
198912;89.8;1
199001;68.9;1
199002;115.5;1
199003;19.3;1
199004;44.3;1
199005;27;1
199006;104;1
199007;41.9;1
199008;50.6;1
199009;61.7;1
199010;90.7;1
199011;71.8;1
199012;88.8;1
199101;88.9;1
199102;21.3;1
199103;57.8;1
199104;46.4;1
199105;16.7;1
199106;74.3;1
199107;65.6;1
199108;15.5;1
199109;47.2;1
199110;46.2;1
199111;88.6;1
