# DONNEES MENSUELLES HOMOGENEISEES de RR : Cumul mensuel des hauteurs de précipitation (en mm et 1/10) 
# NUM_POSTE= 51388003
# NOM_USUEL= MOURMELON-GRAND
# LATITUDE (°) = 49.108
# LONGITUDE(°)= 4.359
# ALTITUDE (m) = 115
# NUM_SERIE= MRR051388003
# Amplitude minimale détectable de la série = 0.07
# Période homogénéisée : 195501 201812
# Date(s) de rupture(s) d'homogénéité : 200412 201105
#     Periode homogénéisée  195501 201812  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195501;82.9;1
195502;65.2;1
195503;18.4;1
195504;9.9;1
195505;87.2;1
195506;48;1
195507;37.8;1
195508;22.5;1
195509;21.7;1
195510;38.6;1
195511;24.8;1
195512;94.5;1
195601;56.2;1
195602;23.7;1
195603;21.5;1
195604;46;1
195605;54.9;1
195606;53.9;1
195607;79.2;1
195608;76.4;1
195609;39.6;1
195610;60.4;1
195611;52.8;1
195612;28;1
195701;29.8;1
195702;94.8;1
195703;49.5;1
195704;18;1
195705;18.4;1
195706;42.2;1
195707;70.7;1
195708;77.1;1
195709;73.2;1
195710;35;1
195711;14.6;1
195712;48;1
195801;59;1
195802;135.6;1
195803;25;1
195804;35.2;1
195805;156.1;1
195806;78.9;1
195807;46.9;1
195808;101.6;1
195809;39.1;1
195810;60.9;1
195811;55.6;1
195812;95.4;1
195901;50.9;1
195902;1.8;1
195903;53.4;1
195904;88;1
195905;30.6;1
195906;54.6;1
195907;16.8;1
195908;48;1
195909;1;1
195910;61;1
195911;48.7;1
195912;79.2;1
196001;44.8;1
196002;34.3;1
196003;58.7;1
196004;14.7;1
196005;48.2;1
196006;49.1;1
196007;98.1;1
196008;104.9;1
196009;57.5;1
196010;100.4;1
196011;57.7;1
196012;62.4;1
196101;93.8;1
196102;67.2;1
196103;7.8;1
196104;57.1;1
196105;40.3;1
196106;72.6;1
196107;76.4;1
196108;9.2;1
196109;54.9;1
196110;110;1
196111;67.5;1
196112;48.4;1
196201;75.7;1
196202;44.1;1
196203;63.9;1
196204;49.7;1
196205;37;1
196206;3.9;1
196207;31.3;1
196208;29.5;1
196209;37.5;1
196210;23.9;1
196211;55.7;1
196212;57.8;1
196301;21.5;1
196302;15.2;1
196303;46.7;1
196304;24.4;1
196305;69.6;1
196306;113.4;1
196307;32.2;1
196308;92.9;1
196309;16;1
196310;34.8;1
196311;99.7;1
196312;6.8;1
196401;19.5;1
196402;24.5;1
196403;63;1
196404;37;1
196405;43.7;1
196406;21.7;1
196407;26.1;1
196408;21.9;1
196409;62.2;1
196410;57.8;1
196411;60.8;1
196412;35.4;1
196501;93.9;1
196502;7;1
196503;61.4;1
196504;72.3;1
196505;33;1
196506;77.8;1
196507;69;1
196508;74.5;1
196509;100.3;1
196510;19.1;1
196511;114.6;1
196512;127.4;1
196601;56.9;1
196602;67.9;1
196603;31.6;1
196604;72.7;1
196605;58.1;1
196606;66.6;1
196607;90.3;1
196608;79.3;1
196609;20.5;1
196610;85.3;1
196611;67.6;1
196612;108.9;1
196701;40.2;1
196702;53.8;1
196703;46.8;1
196704;25;1
196705;58.5;1
196706;44.9;1
196707;22.6;1
196708;71.5;1
196709;100.2;1
196710;123.2;1
196711;78.1;1
196712;86.3;1
196801;75.1;1
196802;38.2;1
196803;40.1;1
196804;47.3;1
196805;44.7;1
196806;27.1;1
196807;82.3;1
196808;145.9;1
196809;77.1;1
196810;30.9;1
196811;19.8;1
196812;39.9;1
196901;34.4;1
196902;20.3;1
196903;51.7;1
196904;59.3;1
196905;87.8;1
196906;115;1
196907;24.1;1
196908;89.5;1
196909;31.7;1
196910;2.5;1
196911;85;1
196912;55.2;1
197001;58.2;1
197002;126.2;1
197003;56.1;1
197004;54.1;1
197005;65.2;1
197006;75.5;1
197007;58.3;1
197008;50.2;1
197009;50.1;1
197010;30.1;1
197011;54.4;1
197012;26.7;1
197101;55.6;1
197102;23.9;1
197103;19.5;1
197104;15.4;1
197105;92.2;1
197106;80.7;1
197107;32.5;1
197108;59.5;1
197109;17.2;1
197110;23.9;1
197111;87.6;1
197112;6.7;1
197201;39.8;1
197202;31.3;1
197203;25.1;1
197204;49;1
197205;55;1
197206;37.3;1
197207;105.1;1
197208;83.6;1
197209;44.4;1
197210;31.2;1
197211;94;1
197212;14.8;1
197301;28;1
197302;53.8;1
197303;12.1;1
197304;51.4;1
197305;99.9;1
197306;20.9;1
197307;70.6;1
197308;36.1;1
197309;59.9;1
197310;47.7;1
197311;61.5;1
197312;61.6;1
197401;49.1;1
197402;45.2;1
197403;71.4;1
197404;10.6;1
197405;40.9;1
197406;64.4;1
197407;57;1
197408;52.3;1
197409;73.1;1
197410;139.9;1
197411;81;1
197412;65.7;1
197501;68.2;1
197502;11.3;1
197503;64.5;1
197504;43.6;1
197505;64.5;1
197506;116.1;1
197507;44.6;1
197508;61.2;1
197509;62.9;1
197510;40.8;1
197511;70.9;1
197512;16.6;1
197601;27.4;1
197602;41.7;1
197603;26.9;1
197604;19.7;1
197605;21;1
197606;13.7;1
197607;40.4;1
197608;5.1;1
197609;42;1
197610;90.9;1
197611;80.9;1
197612;55.5;1
197701;64.4;1
197702;83.8;1
197703;53.8;1
197704;60.8;1
197705;58.4;1
197706;68.7;1
