# DONNEES MENSUELLES HOMOGENEISEES de RR : Cumul mensuel des hauteurs de précipitation (en mm et 1/10) 
# NUM_POSTE= 51449002
# NOM_USUEL= REIMS-PRUNAY
# LATITUDE (°) = 49.21
# LONGITUDE(°)= 4.155
# ALTITUDE (m) = 95
# NUM_SERIE= MRR051449002
# Amplitude minimale détectable de la série = 0.07
# Période homogénéisée : 195501 201712
# Date(s) de rupture(s) d'homogénéité : Aucune rupture d'homogénéité
#     Periode homogénéisée  195501 201712  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195501;59.2;1
195502;38.7;1
195503;12.1;1
195504;8.2;1
195505;64.6;1
195506;40.6;1
195507;44.7;1
195508;23.1;1
195509;26.2;1
195510;24.5;1
195511;26;1
195512;83.9;1
195601;50.1;1
195602;17.7;1
195603;27.8;1
195604;41.2;1
195605;65.3;1
195606;43.1;1
195607;53.7;1
195608;60.9;1
195609;46.5;1
195610;73.8;1
195611;36.2;1
195612;40;1
195701;30.6;1
195702;100.2;1
195703;33.1;1
195704;21.9;1
195705;33.2;1
195706;57.9;1
195707;63.2;1
195708;56;1
195709;88;1
195710;24.1;1
195711;24.9;1
195712;48;1
195801;57.4;1
195802;124.1;1
195803;26.6;1
195804;26;1
195805;135.7;1
195806;58.4;1
195807;60.3;1
195808;92.4;1
195809;69.3;1
195810;53.7;1
195811;45;1
195812;57.3;1
195901;35.2;1
195902;1.9;1
195903;39.6;1
195904;64.1;1
195905;9.8;1
195906;73.2;1
195907;22.9;1
195908;26.7;1
195909;0;1
195910;42.8;1
195911;29.6;1
195912;48.6;1
196001;33.3;1
196002;39.8;1
196003;70.3;1
196004;13.6;1
196005;27.7;1
196006;34.5;1
196007;101.3;1
196008;93.4;1
196009;57.5;1
196010;72.9;1
196011;48.5;1
196012;47.1;1
196101;61.3;1
196102;60;1
196103;3.8;1
196104;37.8;1
196105;41.3;1
196106;47.5;1
196107;59.9;1
196108;4.8;1
196109;54.4;1
196110;73;1
196111;59.2;1
196112;41.4;1
196201;61.1;1
196202;48.2;1
196203;58.6;1
196204;39.7;1
196205;38.5;1
196206;3.3;1
196207;30.8;1
196208;26.6;1
196209;30.3;1
196210;31.9;1
196211;40.8;1
196212;49.8;1
196301;21.3;1
196302;17.6;1
196303;37.8;1
196304;29.7;1
196305;77.3;1
196306;86.3;1
196307;19.9;1
196308;109.5;1
196309;17.9;1
196310;39.5;1
196311;63.6;1
196312;14.5;1
196401;28.6;1
196402;18.2;1
196403;61.9;1
196404;38.3;1
196405;19;1
196406;28.9;1
