# DONNEES MENSUELLES HOMOGENEISEES de RR : Cumul mensuel des hauteurs de précipitation (en mm et 1/10) 
# NUM_POSTE= 52145001
# NOM_USUEL= COUBLANC
# LATITUDE (°) = 47.692
# LONGITUDE(°)= 5.46
# ALTITUDE (m) = 258
# NUM_SERIE= MRR052145001
# Amplitude minimale détectable de la série = 0.06
# Période homogénéisée : 195501 201812
# Date(s) de rupture(s) d'homogénéité : Aucune rupture d'homogénéité
#     Periode homogénéisée  195501 201812  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195501;139;1
195502;93.8;1
195503;61.5;1
195504;6.6;1
195505;63.2;1
195506;72;1
195507;75.1;1
195508;33.6;1
195509;66.6;1
195510;54.5;1
195511;26.8;1
195512;141.8;1
195601;80.5;1
195602;6.9;1
195603;49.6;1
195604;64.3;1
195605;26.7;1
195606;80.7;1
195607;132.4;1
195608;148.1;1
195609;114.7;1
195610;65.5;1
195611;46.9;1
195612;36.9;1
195701;34.5;1
195702;131.2;1
195703;40.2;1
195704;34.7;1
195705;31.7;1
195706;81.5;1
195707;114.5;1
195708;45.6;1
195709;76.1;1
195710;38.8;1
195711;28;1
195712;46;1
195801;116.6;1
195802;128.4;1
195803;44.8;1
195804;48.6;1
195805;105.6;1
195806;114;1
195807;44.5;1
195808;107.9;1
195809;80.3;1
195810;62;1
195811;37.2;1
195812;118.8;1
195901;117.4;1
195902;0;1
195903;88.9;1
195904;84;1
195905;37.7;1
195906;83.4;1
195907;12;1
195908;50.2;1
195909;17.7;1
195910;42.7;1
195911;92.7;1
195912;101.4;1
196001;71.6;1
196002;101.2;1
196003;41.5;1
196004;26.3;1
196005;93.9;1
196006;109.8;1
196007;94;1
196008;174.7;1
196009;93.3;1
196010;142.3;1
196011;103.1;1
196012;81.9;1
196101;83.1;1
196102;91;1
196103;8.8;1
196104;51.8;1
196105;78.6;1
196106;41.3;1
196107;95.1;1
196108;39;1
196109;23.9;1
196110;105.7;1
196111;70.5;1
196112;125.7;1
196201;91.2;1
196202;57;1
196203;131.2;1
196204;66;1
196205;106.3;1
196206;0;1
196207;32.8;1
196208;57.6;1
196209;65.2;1
196210;26.2;1
196211;47.1;1
196212;105.2;1
196301;36.7;1
196302;29.9;1
196303;88;1
196304;77.5;1
196305;53;1
196306;187.2;1
196307;68.8;1
196308;131.7;1
196309;26.3;1
196310;25.7;1
196311;116.5;1
196312;6.1;1
196401;49.4;1
196402;20.7;1
196403;74.3;1
196404;49.3;1
196405;46.3;1
196406;13.8;1
196407;32.7;1
196408;49.6;1
196409;89.3;1
196410;54.2;1
196411;37.3;1
196412;19.6;1
196501;118.5;1
