# DONNEES MENSUELLES HOMOGENEISEES de RR : Cumul mensuel des hauteurs de précipitation (en mm et 1/10) 
# NUM_POSTE= 52469001
# NOM_USUEL= CHAUMONT-SEMOUTIERS
# LATITUDE (°) = 48.092
# LONGITUDE(°)= 5.046
# ALTITUDE (m) = 294
# NUM_SERIE= MRR052469001
# Amplitude minimale détectable de la série = 0.07
# Période homogénéisée : 195501 201812
# Date(s) de rupture(s) d'homogénéité : 196404
#     Periode homogénéisée  195501 201812  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195501;159.2;1
195502;102.1;1
195503;53.9;1
195504;6.7;1
195505;58.4;1
195506;94;1
195507;73.3;1
195508;13.2;1
195509;40.3;1
195510;54.1;1
195511;41.1;1
195512;125.2;1
195601;93;1
195602;11.3;1
195603;42;1
195604;61.1;1
195605;71.7;1
195606;62.9;1
195607;56.5;1
195608;105.2;1
195609;65.1;1
195610;68.8;1
195611;77.1;1
195612;35.8;1
195701;53.2;1
195702;125.4;1
195703;58.9;1
195704;25.4;1
195705;31.9;1
195706;102.9;1
195707;91.6;1
195708;67;1
195709;62.5;1
195710;44.6;1
195711;29.6;1
195712;63.9;1
195801;125.3;1
195802;156.8;1
195803;45.4;1
195804;44.4;1
195805;137.1;1
195806;136.1;1
195807;54.1;1
195808;91.9;1
195809;55.4;1
195810;79.3;1
195811;74.7;1
195812;140.7;1
195901;168.7;1
195902;1.3;1
195903;68.3;1
195904;81.6;1
195905;66.3;1
195906;113.5;1
195907;17.3;1
195908;67.8;1
195909;6;1
195910;30.4;1
195911;61.8;1
195912;94.2;1
196001;54.5;1
196002;84;1
196003;34.7;1
196004;28;1
196005;87.1;1
196006;143.1;1
196007;94.6;1
196008;222.6;1
196009;79.5;1
196010;124;1
196011;72.1;1
196012;76.5;1
196101;107.9;1
196102;79.7;1
196103;21.1;1
196104;54.3;1
196105;41.8;1
196106;84.3;1
196107;66;1
196108;44.2;1
196109;26.9;1
196110;117.8;1
196111;68.9;1
196112;119.9;1
196201;87.9;1
196202;78.9;1
196203;92.3;1
196204;96.8;1
196205;148.9;1
196206;2.8;1
196207;36.1;1
196208;25.1;1
196209;76.8;1
196210;22.5;1
196211;39.6;1
196212;124;1
196301;39.4;1
196302;36;1
196303;61.8;1
196304;43;1
196305;54.7;1
196306;101.3;1
196307;22;1
196308;157.1;1
196309;28.3;1
196310;33.1;1
196311;81.1;1
196312;9.5;1
196401;38.8;1
196402;17;1
196403;66.2;1
196404;47.3;1
196405;27.4;1
196406;14.6;1
196407;40.4;1
196408;73.8;1
196409;99.6;1
196410;59.5;1
196411;66;1
196412;27.7;1
196501;120.4;1
196502;14.2;1
196503;111.9;1
196504;84.4;1
196505;106.2;1
196506;109.8;1
196507;68.8;1
196508;56.1;1
196509;187.5;1
196510;5.2;1
196511;108.7;1
196512;166.8;1
196601;71.5;1
196602;72;1
196603;49.4;1
