# DONNEES MENSUELLES HOMOGENEISEES de RR : Cumul mensuel des hauteurs de précipitation (en mm et 1/10) 
# NUM_POSTE= 53147001
# NOM_USUEL= MAYENNE
# LATITUDE (°) = 48.311
# LONGITUDE(°)= -0.64
# ALTITUDE (m) = 138
# NUM_SERIE= MRR053147001
# Amplitude minimale détectable de la série = 0.06
# Période homogénéisée : 195801 202012
# Date(s) de rupture(s) d'homogénéité : 196412 199307 200409
#     Periode homogénéisée  195801 202012  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195801;211.5;1
195802;140;1
195803;66.4;1
195804;34.8;1
195805;72.1;1
195806;145.9;1
195807;33.9;1
195808;76.4;1
195809;61.2;1
195810;58.8;1
195811;69.4;1
195812;128;1
195901;162.3;1
195902;6.4;1
195903;57.6;1
195904;111.2;1
195905;76.3;1
195906;18.5;1
195907;22.5;1
195908;43.6;1
195909;18.9;1
195910;175.4;1
195911;67.7;1
195912;196.5;1
196001;65.9;1
196002;71.1;1
196003;81.9;1
196004;28.8;1
196005;54.1;1
196006;60.6;1
196007;108.5;1
196008;109.8;1
196009;119.2;1
196010;179.1;1
196011;178.3;1
196012;124.9;1
196101;123.4;1
196102;59;1
196103;11.8;1
196104;81.8;1
196105;42.4;1
196106;43.8;1
196107;120.8;1
196108;17.3;1
196109;44;1
196110;124.1;1
196111;89.1;1
196112;99.1;1
196201;130.5;1
196202;41.4;1
196203;107.9;1
196204;97.6;1
196205;57.4;1
196206;0;1
196207;36.5;1
196208;59.8;1
196209;58.7;1
196210;64.7;1
196211;157.3;1
196212;68.1;1
196301;48.1;1
196302;58;1
196303;91.8;1
196304;84.3;1
196305;44;1
196306;60.3;1
196307;25;1
196308;176.3;1
196309;60.4;1
196310;49.4;1
196311;132.3;1
196312;15.6;1
196401;20.6;1
196402;121.9;1
196403;100.2;1
196404;58.7;1
196405;126.2;1
196406;64.7;1
196407;13.1;1
196408;31.6;1
196409;21.5;1
196410;127.8;1
196411;37;1
196412;129;1
196501;148.3;1
196502;5.7;1
196503;109;1
196504;61.6;1
196505;78.4;1
196506;41.9;1
196507;54;1
196508;129.3;1
196509;149;1
196510;27.4;1
196511;196.3;1
196512;172.5;1
196601;110.2;1
196602;88.9;1
196603;47.7;1
196604;120.2;1
196605;61.7;1
196606;73.8;1
196607;75.1;1
196608;104.8;1
196609;55.5;1
196610;280.1;1
196611;119.4;1
196612;149.6;1
196701;42.9;1
196702;68.4;1
196703;54.3;1
196704;58.7;1
196705;144.7;1
196706;37.3;1
196707;43.9;1
196708;61.7;1
196709;131.4;1
196710;122.8;1
196711;95.6;1
196712;105.3;1
196801;126.6;1
196802;88.6;1
196803;48.3;1
196804;68;1
196805;51.9;1
196806;90;1
196807;28.7;1
196808;76.4;1
196809;121.8;1
196810;57.9;1
196811;23.3;1
196812;66.3;1
196901;63.7;1
196902;76.9;1
