# DONNEES MENSUELLES HOMOGENEISEES de RR : Cumul mensuel des hauteurs de précipitation (en mm et 1/10) 
# NUM_POSTE= 59178001
# NOM_USUEL= DOUAI
# LATITUDE (°) = 50.39
# LONGITUDE(°)= 3.067
# ALTITUDE (m) = 26
# NUM_SERIE= MRR059178001
# Amplitude minimale détectable de la série = 0.08
# Période homogénéisée : 195501 201712
# Date(s) de rupture(s) d'homogénéité : 197208 198912
#     Periode homogénéisée  195501 201712  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195501;69;1
195502;105.2;1
195503;15.7;1
195504;14.2;1
195505;113.3;1
195506;39.5;1
195507;34;1
195508;28.5;1
195509;62.5;1
195510;29.2;1
195511;17.4;1
195512;73.9;1
195601;63.4;1
195602;11.3;1
195603;26;1
195604;34.7;1
195605;17.5;1
195606;72.6;1
195607;53.1;1
195608;140.7;1
195609;50.9;1
195610;67.1;1
195611;64;1
195612;23.2;1
195701;20.5;1
195702;130.6;1
195703;33.4;1
195704;56.8;1
195705;22.3;1
195706;48.9;1
195707;86.9;1
195708;63.5;1
195709;103.8;1
195710;39.4;1
195711;26.9;1
195712;43;1
195801;49.6;1
195802;115.7;1
195803;41.7;1
195804;52.2;1
195805;60.3;1
195806;73.9;1
195807;64.8;1
195808;81;1
195809;54.1;1
195810;48.9;1
195811;42;1
195812;46.6;1
195901;92.5;1
195902;2.2;1
195903;44.3;1
195904;51;1
195905;26.8;1
195906;39.3;1
195907;17.7;1
195908;40.7;1
195909;2.4;1
195910;72.2;1
195911;33.3;1
195912;60.4;1
196001;56.9;1
196002;24;1
196003;36.3;1
196004;11;1
196005;64.2;1
196006;85.5;1
196007;57.2;1
196008;128.6;1
196009;52.4;1
196010;124.5;1
196011;101.1;1
196012;75.6;1
196101;72.7;1
196102;71.1;1
196103;15.7;1
196104;71.3;1
196105;30.3;1
196106;43.6;1
196107;56.5;1
196108;28.9;1
196109;76.7;1
196110;109.9;1
196111;78.5;1
196112;63.2;1
196201;74.2;1
196202;40.5;1
196203;56.1;1
196204;23.3;1
196205;42.9;1
196206;21.2;1
196207;65;1
196208;87.2;1
196209;48.9;1
196210;35.7;1
196211;56.9;1
196212;52.4;1
196301;10.3;1
196302;17.7;1
196303;49.4;1
196304;50.2;1
196305;71;1
196306;81.3;1
196307;15;1
196308;72.9;1
196309;66.6;1
196310;57.3;1
196311;76;1
196312;11.2;1
196401;19.2;1
196402;36;1
196403;63.9;1
196404;30.8;1
196405;25.1;1
196406;77.5;1
196407;46.9;1
196408;23.8;1
196409;53.4;1
196410;80.9;1
196411;59.7;1
196412;77.1;1
196501;77.1;1
196502;7.9;1
196503;43.3;1
196504;47.8;1
196505;77.7;1
196506;62.5;1
196507;126.7;1
196508;91.3;1
196509;61.9;1
196510;29.8;1
196511;59.6;1
196512;142.1;1
196601;31.1;1
196602;74.6;1
196603;42.5;1
196604;54.1;1
196605;52.4;1
196606;52;1
196607;73.5;1
196608;67.9;1
196609;16.9;1
196610;106.9;1
196611;118.3;1
196612;113.4;1
196701;29.4;1
196702;36.4;1
196703;38.5;1
196704;38.6;1
196705;72.8;1
196706;38.3;1
196707;39.7;1
196708;37.7;1
196709;77.8;1
196710;49.2;1
196711;30.3;1
196712;64.8;1
196801;68.9;1
196802;77.6;1
196803;46.5;1
196804;35.4;1
196805;30.9;1
196806;51.5;1
196807;205.3;1
196808;9.2;1
196809;125.8;1
196810;25.4;1
196811;24.9;1
196812;80.2;1
196901;36.4;1
196902;46.6;1
196903;41.1;1
196904;31;1
196905;89.6;1
196906;111;1
196907;30.1;1
196908;94.9;1
196909;10.3;1
196910;2.6;1
196911;82.7;1
196912;47.5;1
197001;57.9;1
197002;90.3;1
197003;54.6;1
197004;82.5;1
197005;33.3;1
197006;34.6;1
197007;52.8;1
197008;56.2;1
197009;62.4;1
197010;52;1
197011;66.6;1
197012;16.9;1
197101;50.2;1
197102;30;1
197103;32.7;1
197104;31.2;1
197105;48.8;1
197106;99.1;1
197107;34.1;1
197108;65.5;1
197109;14.8;1
197110;10.1;1
197111;98.4;1
197112;5.6;1
197201;70.8;1
197202;27.4;1
197203;38.5;1
197204;80.9;1
197205;53.6;1
197206;52.9;1
197207;48.8;1
197208;52.1;1
197209;43.1;1
197210;9.9;1
197211;97.7;1
197212;21.1;1
197301;17.4;1
197302;39.3;1
197303;5;1
197304;31.4;1
197305;68.5;1
197306;29.7;1
197307;68;1
197308;9.3;1
197309;89.6;1
197310;34.2;1
197311;31;1
197312;29.5;1
197401;45.3;1
197402;41.2;1
197403;42.2;1
197404;13.5;1
197405;44.6;1
197406;56.9;1
197407;39.4;1
197408;56.4;1
197409;148.8;1
197410;132.1;1
197411;77.9;1
197412;56.9;1
197501;44.2;1
197502;16.9;1
197503;88.5;1
197504;43.1;1
197505;37.5;1
197506;38;1
197507;51.5;1
197508;98.6;1
197509;107.9;1
197510;22.9;1
197511;117.4;1
197512;23.8;1
197601;28.2;1
197602;36.6;1
197603;25.1;1
197604;8;1
197605;32.4;1
197606;3.6;1
197607;54.3;1
197608;9;1
197609;95.6;1
197610;60.6;1
197611;70;1
197612;58.5;1
197701;43.9;1
197702;68.3;1
197703;52.3;1
197704;41.2;1
197705;91;1
197706;122.4;1
197707;35.4;1
197708;37.4;1
197709;31.4;1
197710;52.1;1
197711;123.6;1
197712;49.7;1
197801;58.9;1
197802;27.7;1
197803;58;1
197804;75.8;1
197805;70.5;1
197806;71.4;1
197807;39.3;1
197808;26.7;1
197809;34.3;1
197810;16.4;1
197811;28.3;1
197812;101.8;1
197901;42.8;1
197902;49.1;1
197903;106.9;1
197904;61.8;1
197905;85.5;1
197906;60.9;1
197907;9.7;1
197908;79.3;1
197909;3.1;1
197910;47.8;1
197911;112.5;1
197912;92.9;1
198001;39.8;1
198002;52.9;1
198003;90.6;1
198004;39.4;1
198005;52.3;1
198006;77;1
198007;97.7;1
198008;51.6;1
198009;15.6;1
198010;102.2;1
198011;50.4;1
198012;66.1;1
198101;65.3;1
198102;43.4;1
198103;80.4;1
198104;22.8;1
198105;96.2;1
198106;99;1
198107;35.6;1
198108;32.4;1
198109;73.4;1
198110;133.3;1
198111;41.9;1
198112;90.1;1
198201;56.2;1
198202;18.3;1
198203;43.6;1
198204;36.3;1
198205;77.3;1
198206;81.1;1
198207;35.2;1
198208;93.2;1
198209;55.3;1
198210;102.3;1
198211;59.3;1
198212;92.5;1
198301;57.8;1
198302;44.7;1
198303;64.8;1
198304;91.1;1
198305;87.6;1
198306;41.8;1
198307;29;1
198308;7.6;1
198309;41.2;1
198310;42.3;1
198311;30.1;1
198312;57.2;1
198401;117.1;1
198402;54;1
198403;65.3;1
198404;33.8;1
198405;89.1;1
198406;36.4;1
198407;31.3;1
198408;38.2;1
198409;123.5;1
198410;84.5;1
198411;69;1
198412;37.8;1
198501;63.6;1
198502;18.9;1
198503;67.5;1
198504;55.7;1
198505;77.8;1
198506;92.8;1
198507;52;1
198508;53.4;1
198509;18.7;1
198510;27.3;1
198511;50;1
198512;37.5;1
198601;85.7;1
198602;8.2;1
198603;110;1
198604;91.1;1
198605;28;1
198606;45;1
198607;49;1
198608;45.2;1
198609;75.1;1
198610;99.3;1
198611;58.8;1
198612;107.4;1
198701;17.9;1
198702;50.1;1
198703;63.8;1
198704;42.4;1
198705;59.3;1
198706;118;1
198707;98.9;1
198708;92.5;1
198709;37.8;1
198710;93.7;1
198711;86.6;1
198712;25.2;1
198801;112.9;1
198802;88;1
198803;82.1;1
198804;7;1
198805;53.3;1
198806;22.7;1
198807;126.5;1
198808;61.5;1
198809;54.3;1
198810;60.2;1
198811;48;1
198812;51.4;1
198901;32.9;1
198902;56.5;1
198903;66.2;1
198904;93.9;1
198905;20.3;1
198906;67.1;1
198907;41.9;1
198908;39.1;1
198909;41.7;1
198910;48.3;1
198911;27;1
198912;81.3;1
199001;53.4;1
199002;80.2;1
199003;13.3;1
199004;54.2;1
199005;20.4;1
199006;55.5;1
199007;20.7;1
199008;87;1
199009;51.4;1
199010;81.1;1
199011;73.8;1
199012;108.3;1
199101;60.6;1
199102;35.3;1
199103;36.6;1
199104;45.2;1
199105;31.5;1
199106;114.4;1
199107;88.7;1
199108;8.7;1
199109;46.2;1
199110;39.2;1
199111;107.7;1
199112;43.6;1
199201;23.7;1
199202;30.6;1
199203;78.1;1
199204;63.8;1
