# DONNEES MENSUELLES HOMOGENEISEES de RR : Cumul mensuel des hauteurs de précipitation (en mm et 1/10) 
# NUM_POSTE= 59647001
# NOM_USUEL= WATTEN
# LATITUDE (°) = 50.834
# LONGITUDE(°)= 2.213
# ALTITUDE (m) = 7
# NUM_SERIE= MRR059647001
# Amplitude minimale détectable de la série = 0.07
# Période homogénéisée : 195501 201612
# Date(s) de rupture(s) d'homogénéité : 196012 196412
#     Periode homogénéisée  195501 201612  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195501;75.3;1
195502;61.1;1
195503;19.1;1
195504;5;1
195505;103;1
195506;59;1
195507;28.1;1
195508;38.1;1
195509;28.9;1
195510;56.8;1
195511;22.4;1
195512;83.5;1
195601;84.2;1
195602;24.3;1
195603;11.4;1
195604;28.7;1
195605;8;1
195606;84.8;1
195607;54.5;1
195608;116.5;1
195609;54.2;1
195610;70.9;1
195611;48.1;1
195612;24.4;1
195701;30.7;1
195702;135.3;1
195703;16.2;1
195704;43.5;1
195705;43.3;1
195706;19.6;1
195707;47;1
195708;55.7;1
195709;85.7;1
195710;57.1;1
195711;59.8;1
195712;22;1
195801;48.5;1
195802;68.6;1
195803;32.4;1
195804;37;1
195805;66.3;1
195806;96.3;1
195807;70.5;1
195808;87.3;1
195809;75.6;1
195810;69;1
195811;79.3;1
195812;60.3;1
195901;64.3;1
195902;6.3;1
195903;40.5;1
195904;45.9;1
195905;12.3;1
195906;26.3;1
195907;86.5;1
195908;16.3;1
195909;9.4;1
195910;104.5;1
195911;84.5;1
195912;135.1;1
196001;59.2;1
196002;19;1
196003;35.6;1
196004;7.3;1
196005;95;1
196006;29.4;1
196007;30.9;1
196008;124.2;1
196009;80.1;1
196010;105.1;1
196011;225.9;1
196012;114.7;1
196101;96;1
196102;81.1;1
196103;13.9;1
196104;37.1;1
196105;22.9;1
196106;34;1
196107;116.9;1
196108;8.4;1
196109;76.7;1
196110;95.2;1
196111;71.3;1
196112;70.5;1
196201;67.2;1
196202;18.3;1
196203;37;1
196204;26.5;1
196205;26.3;1
196206;3.5;1
196207;79;1
196208;56.6;1
196209;60.8;1
196210;79.2;1
196211;122.6;1
196212;36.1;1
196301;2.2;1
196302;13.3;1
196303;40.9;1
196304;33.7;1
196305;31.9;1
196306;84.5;1
196307;45.5;1
196308;81;1
196309;82.7;1
196310;43.5;1
196311;94.8;1
196312;24.6;1
196401;7.7;1
196402;21.6;1
196403;38.3;1
196404;67.3;1
196405;19.2;1
196406;119.6;1
196407;14.9;1
196408;9.3;1
196409;32.7;1
196410;144.7;1
196411;98;1
196412;69.6;1
196501;48.7;1
196502;11.3;1
196503;89.4;1
196504;42.6;1
196505;45.8;1
196506;63.5;1
196507;96;1
196508;50.2;1
196509;136.7;1
196510;12.5;1
196511;63.2;1
196512;165.7;1
196601;40.3;1
196602;61.9;1
196603;11.9;1
196604;59.9;1
196605;26.6;1
196606;86.2;1
196607;107;1
196608;62.7;1
196609;14.3;1
196610;84.3;1
196611;164.4;1
196612;117.5;1
196701;21.6;1
196702;52;1
196703;71.8;1
196704;46.3;1
196705;36.5;1
196706;34.1;1
196707;8.5;1
196708;61.5;1
196709;78.8;1
196710;98.8;1
196711;57.8;1
196712;69.5;1
196801;60.5;1
196802;55;1
196803;48.9;1
196804;40.6;1
196805;20.4;1
196806;32.7;1
196807;128.4;1
196808;63.8;1
196809;187.9;1
196810;65.6;1
196811;43;1
196812;49.7;1
196901;35.2;1
196902;90.7;1
196903;53.6;1
196904;46.3;1
196905;128.1;1
196906;88.2;1
196907;78.5;1
196908;64.7;1
196909;20.1;1
196910;10.2;1
196911;160.3;1
196912;64.9;1
197001;53.6;1
197002;50.7;1
197003;86.7;1
197004;76.5;1
197005;26.7;1
197006;18.7;1
197007;45;1
197008;64.2;1
197009;72.5;1
197010;33.4;1
197011;78.6;1
197012;53.5;1
197101;66.7;1
197102;34;1
197103;43.6;1
197104;31.9;1
197105;42.8;1
197106;111.3;1
197107;8.2;1
197108;41.8;1
197109;21.4;1
197110;34.9;1
197111;78.8;1
197112;7.1;1
197201;46.6;1
197202;42.2;1
197203;24.2;1
197204;67.6;1
197205;48.6;1
197206;30.7;1
197207;58.6;1
197208;41.1;1
197209;52.9;1
197210;9.5;1
197211;92.5;1
197212;79;1
197301;26.3;1
197302;42.4;1
197303;12.3;1
197304;57.5;1
197305;94.5;1
197306;12.3;1
197307;35.3;1
197308;9.2;1
197309;122.7;1
