# DONNEES MENSUELLES HOMOGENEISEES de RR : Cumul mensuel des hauteurs de précipitation (en mm et 1/10) 
# NUM_POSTE= 65031005
# NOM_USUEL= ARREAU BORDERES
# LATITUDE (°) = 42.9
# LONGITUDE(°)= 0.365
# ALTITUDE (m) = 720
# NUM_SERIE= MRR065031005
# Amplitude minimale détectable de la série = 0.07
# Période homogénéisée : 195301 202112
# Date(s) de rupture(s) d'homogénéité : 199612 200012 200207
#     Periode homogénéisée  195301 202112  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195301;61.8;1
195302;39.5;1
195303;8.3;1
195304;39.6;1
195305;28.4;1
195306;99.1;1
195307;29.2;1
195308;42.7;1
195309;52.1;1
195310;47;1
195311;61.7;1
195312;24.4;1
195401;87;1
195402;80;1
195403;88;1
195404;42.6;1
195405;125;1
195406;89.5;1
195407;20.7;1
195408;101.8;1
195409;82.4;1
195410;64.1;1
195411;45.5;1
195412;131.8;1
195501;139.5;1
195502;59.8;1
195503;25.6;1
195504;15.3;1
195505;43.6;1
195506;69.6;1
195507;111;1
195508;59.6;1
195509;72.9;1
195510;57;1
195511;29.5;1
195512;143.3;1
195601;157.8;1
195602;30.9;1
195603;25;1
195604;94.3;1
195605;148.4;1
195606;35.9;1
195607;74.7;1
195608;88.5;1
195609;60.5;1
195610;40.4;1
195611;88.1;1
195612;19.6;1
195701;38.6;1
195702;41.7;1
195703;48.7;1
195704;133.3;1
195705;77.7;1
195706;179.2;1
195707;8.8;1
195708;66.3;1
195709;55.3;1
195710;40.5;1
195711;78.7;1
195712;24.5;1
195801;102.7;1
195802;37.8;1
195803;151.7;1
195804;61;1
195805;89.3;1
195806;59.1;1
195807;63.7;1
195808;62.9;1
195809;69.4;1
195810;34.3;1
195811;83.8;1
195812;119.5;1
195901;48.3;1
195902;6.3;1
195903;105.3;1
195904;141;1
195905;43.6;1
195906;86.2;1
195907;46.3;1
195908;148.6;1
195909;55.6;1
195910;93.5;1
195911;68.3;1
195912;184.6;1
196001;46.7;1
196002;16.6;1
196003;100;1
196004;58.2;1
196005;56.5;1
196006;76.6;1
196007;69.2;1
196008;28.7;1
196009;60;1
196010;161.4;1
196011;72.2;1
196012;189;1
196101;139.5;1
196102;56;1
196103;1;1
196104;117.9;1
196105;99.4;1
196106;66.2;1
196107;52.9;1
196108;59.7;1
196109;66.2;1
196110;95.4;1
196111;55.1;1
196112;33.4;1
196201;64;1
196202;110.4;1
196203;59;1
196204;99.3;1
196205;111.3;1
196206;13.4;1
196207;27.3;1
196208;18.1;1
196209;58.8;1
196210;70.7;1
196211;89.8;1
196212;104.2;1
196301;41.6;1
196302;42.2;1
196303;111.1;1
196304;65.2;1
196305;73.1;1
196306;94.3;1
196307;101.7;1
196308;121.2;1
196309;89.1;1
196310;20.2;1
196311;104.1;1
196312;88.1;1
196401;16.2;1
196402;57.2;1
196403;101.2;1
196404;55.9;1
196405;80.2;1
196406;67.9;1
196407;41.2;1
196408;56.2;1
196409;137;1
196410;123.1;1
196411;43.6;1
196412;86.7;1
196501;136;1
196502;39.5;1
196503;56.7;1
196504;93.7;1
196505;68.7;1
196506;46.2;1
196507;40.9;1
196508;37.3;1
196509;115;1
196510;72.2;1
196511;111;1
196512;221.2;1
196601;41.4;1
196602;127;1
196603;30.9;1
196604;50.9;1
196605;166.4;1
196606;82.7;1
196607;54.3;1
196608;18.9;1
196609;26.7;1
196610;136.2;1
196611;200.2;1
196612;202;1
196701;40.6;1
196702;8.7;1
196703;63.2;1
196704;26.7;1
196705;39.8;1
196706;68.4;1
196707;42.6;1
196708;47.9;1
196709;79;1
196710;48.7;1
196711;170;1
196712;109.8;1
196801;164.1;1
196802;54.6;1
196803;41.9;1
196804;39.5;1
196805;129.4;1
196806;63.4;1
196807;44.3;1
196808;80.9;1
196809;90.7;1
196810;18.3;1
196811;73.8;1
196812;94.9;1
196901;58.5;1
196902;33.6;1
196903;84.8;1
196904;65.2;1
196905;48.7;1
196906;99.9;1
196907;87.8;1
196908;35.8;1
196909;89.1;1
196910;16.7;1
196911;37.3;1
196912;315.6;1
197001;73.7;1
197002;73.3;1
197003;89.2;1
197004;61.7;1
197005;84.6;1
197006;104.2;1
197007;56;1
197008;38.4;1
197009;6;1
197010;87.3;1
197011;59.3;1
197012;24.6;1
197101;122.3;1
197102;225;1
197103;106.5;1
197104;97.6;1
197105;104.5;1
197106;103.4;1
197107;69.3;1
197108;76;1
197109;73.4;1
197110;34.5;1
197111;147.4;1
197112;57.5;1
197201;179.4;1
197202;116.7;1
197203;41.1;1
197204;130.8;1
197205;59.5;1
197206;103;1
197207;35.4;1
197208;82;1
197209;74.8;1
197210;53.5;1
197211;35.6;1
197212;78.7;1
197301;41.8;1
197302;136.2;1
197303;32.5;1
197304;55.1;1
197305;64.6;1
197306;86.3;1
197307;92.1;1
197308;42.2;1
197309;63.7;1
197310;35.3;1
197311;75;1
197312;138.9;1
197401;32.6;1
197402;99.6;1
197403;151.5;1
197404;73;1
197405;39.9;1
197406;43.5;1
197407;39.8;1
197408;137.6;1
197409;134;1
197410;204.9;1
