# DONNEES MENSUELLES HOMOGENEISEES de RR : Cumul mensuel des hauteurs de précipitation (en mm et 1/10) 
# NUM_POSTE= 65032003
# NOM_USUEL= ARRENS-MARSOUS-EDF
# LATITUDE (°) = 42.947
# LONGITUDE(°)= -0.219
# ALTITUDE (m) = 907
# NUM_SERIE= MRR065032003
# Amplitude minimale détectable de la série = 0.07
# Période homogénéisée : 195401 202112
# Date(s) de rupture(s) d'homogénéité : 199008 200112
#     Periode homogénéisée  195401 202112  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195401;84.1;1
195402;104.9;1
195403;75.7;1
195404;62.4;1
195405;182.4;1
195406;88.7;1
195407;46.6;1
195408;126.6;1
195409;96.1;1
195410;67;1
195411;67;1
195412;135.3;1
195501;207.6;1
195502;87.4;1
195503;50.4;1
195504;25.7;1
195505;74.4;1
195506;166.6;1
195507;93.9;1
195508;39.9;1
195509;106.2;1
195510;92.5;1
195511;23.6;1
195512;179.3;1
195601;161.4;1
195602;36.3;1
195603;42.4;1
195604;149.4;1
195605;144.3;1
195606;78.9;1
195607;57.8;1
195608;116.4;1
195609;78.7;1
195610;52.8;1
195611;90.5;1
195612;25.3;1
195701;92;1
195702;60.8;1
195703;48.7;1
195704;157.1;1
195705;138.1;1
195706;208.4;1
195707;25.4;1
195708;76.4;1
195709;87.5;1
195710;41.5;1
195711;62.1;1
195712;47.9;1
195801;127.9;1
195802;58.2;1
195803;192;1
195804;152.7;1
195805;117.5;1
195806;128.5;1
195807;66.6;1
195808;41.2;1
195809;76.3;1
195810;60.6;1
195811;109.7;1
195812;174.9;1
195901;90.7;1
195902;7.2;1
195903;163.4;1
195904;174;1
195905;115.5;1
195906;137.1;1
195907;62.3;1
195908;98.3;1
195909;166.2;1
195910;199.7;1
195911;82.7;1
195912;141.9;1
196001;73.1;1
196002;64.4;1
196003;108.3;1
196004;73.6;1
196005;67.1;1
196006;123.7;1
196007;96.4;1
196008;102;1
196009;118.2;1
196010;212.8;1
196011;90.3;1
196012;227;1
196101;160.3;1
196102;59.2;1
196103;3.4;1
196104;184.3;1
196105;122.8;1
196106;68.8;1
196107;83.8;1
196108;59.2;1
196109;89.8;1
196110;79.2;1
196111;135.4;1
196112;62.3;1
196201;106.6;1
196202;172.3;1
196203;92.2;1
196204;112.8;1
196205;122.4;1
196206;23.7;1
196207;54.7;1
196208;25.7;1
196209;74.4;1
196210;95.3;1
196211;118.6;1
196212;150.2;1
196301;43.4;1
196302;45.9;1
196303;161.7;1
196304;79;1
196305;54.5;1
196306;137.1;1
196307;73.6;1
196308;204.2;1
196309;116.2;1
196310;45.8;1
196311;124.1;1
196312;87.3;1
196401;20.5;1
196402;85.2;1
196403;117.6;1
196404;90;1
196405;84.3;1
196406;60;1
196407;52.2;1
196408;55.1;1
196409;102;1
196410;207.7;1
196411;44.2;1
196412;138.1;1
196501;190.1;1
196502;33.5;1
196503;83;1
196504;124.9;1
196505;91.5;1
196506;41.1;1
196507;34.8;1
196508;90.6;1
196509;164.9;1
196510;68.1;1
196511;152.2;1
196512;237.7;1
196601;58.1;1
196602;130.8;1
196603;46.5;1
196604;106.9;1
196605;175.7;1
196606;55.8;1
196607;68.3;1
196608;26.7;1
196609;28.8;1
196610;189.5;1
196611;223.6;1
196612;183.9;1
196701;43.3;1
196702;11;1
196703;68.8;1
196704;53.9;1
196705;48.7;1
