# DONNEES MENSUELLES HOMOGENEISEES de RR : Cumul mensuel des hauteurs de précipitation (en mm et 1/10) 
# NUM_POSTE= 67507003
# NOM_USUEL= VILLE
# LATITUDE (°) = 48.343
# LONGITUDE(°)= 7.306
# ALTITUDE (m) = 264
# NUM_SERIE= MRR067507003
# Amplitude minimale détectable de la série = 0.1
# Période homogénéisée : 195201 201612
# Date(s) de rupture(s) d'homogénéité : 196905 198908
#     Periode homogénéisée  195201 201612  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195201;149.3;1
195202;83.2;1
195203;133.4;1
195204;42.7;1
195205;42.4;1
195206;59.5;1
195207;19.2;1
195208;60.8;1
195209;123.6;1
195210;206.8;1
195211;259.5;1
195212;136.5;1
195301;11.6;1
195302;58;1
195303;5.9;1
195304;35.4;1
195305;83.4;1
195306;132.6;1
195307;140.5;1
195308;32.5;1
195309;57;1
195310;20.9;1
195311;7.7;1
195312;28.8;1
195401;85.3;1
195402;45.6;1
195403;39.5;1
195404;58.8;1
195405;40.6;1
195406;34.9;1
195407;73.8;1
195408;121.6;1
195409;175.2;1
195410;85.8;1
195411;55.1;1
195412;182.6;1
195501;204.2;1
195502;111.2;1
195503;41.5;1
195504;8.5;1
195505;84.4;1
195506;126.5;1
195507;196.8;1
195508;80.7;1
195509;42.3;1
195510;31.7;1
195511;20.7;1
195512;119.4;1
195601;88.5;1
195602;27.3;1
195603;70.5;1
195604;91.3;1
195605;81.2;1
195606;64;1
195607;116.7;1
195608;126;1
195609;68.9;1
195610;94.8;1
195611;77.8;1
195612;40.9;1
195701;45.3;1
195702;138.7;1
195703;42.5;1
195704;13.5;1
195705;37.3;1
195706;102.1;1
195707;71.2;1
195708;72.8;1
195709;69.8;1
195710;11.3;1
195711;36.9;1
195712;69.7;1
195801;137;1
195802;274.7;1
195803;52.9;1
195804;45.2;1
195805;110.6;1
195806;109.3;1
195807;55.4;1
195808;127.4;1
195809;108.8;1
195810;69.6;1
195811;42.7;1
195812;85.7;1
195901;202.1;1
195902;14.2;1
195903;41;1
195904;92;1
195905;48.7;1
195906;80.4;1
195907;32.2;1
195908;45.3;1
195909;4.3;1
195910;37;1
195911;18.5;1
195912;94.6;1
196001;65.3;1
196002;92.1;1
196003;54.8;1
196004;31.4;1
196005;81.4;1
196006;96.7;1
196007;117.4;1
196008;131.1;1
196009;46;1
196010;107.1;1
196011;93.9;1
196012;71.3;1
196101;99.2;1
196102;110.3;1
196103;27.3;1
196104;60.7;1
196105;68.3;1
196106;59.4;1
196107;72.8;1
196108;46.4;1
196109;32.8;1
196110;69.5;1
196111;41.8;1
196112;108.2;1
196201;134.8;1
196202;101;1
196203;105.7;1
196204;101.5;1
196205;90.8;1
196206;11.9;1
196207;47.8;1
196208;60.7;1
196209;75.4;1
196210;10.5;1
196211;29.4;1
196212;134.6;1
196301;27.2;1
196302;28.5;1
196303;71.5;1
196304;71;1
196305;35.6;1
196306;100;1
196307;42.1;1
196308;133.8;1
196309;22.6;1
196310;59.8;1
196311;171.2;1
196312;1;1
196401;24.9;1
196402;12.3;1
196403;64.7;1
196404;48.9;1
196405;67.6;1
196406;38.4;1
196407;13.1;1
196408;80.7;1
196409;68.2;1
196410;80.7;1
196411;114.9;1
196412;25;1
196501;148.3;1
196502;26.3;1
196503;112.7;1
196504;79.4;1
196505;141.6;1
196506;145;1
196507;61.2;1
196508;33.9;1
196509;102.6;1
196510;10.4;1
196511;125.6;1
