# DONNEES MENSUELLES HOMOGENEISEES de RR : Cumul mensuel des hauteurs de précipitation (en mm et 1/10) 
# NUM_POSTE= 71230002
# NOM_USUEL= GUEUGNON
# LATITUDE (°) = 46.598
# LONGITUDE(°)= 4.021
# ALTITUDE (m) = 305
# NUM_SERIE= MRR071230002
# Amplitude minimale détectable de la série = 0.07
# Période homogénéisée : 195101 201412
# Date(s) de rupture(s) d'homogénéité : 197906 198612 199312
#     Periode homogénéisée  195101 201412  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195101;67.4;1
195102;58.7;1
195103;59.4;1
195104;55.5;1
195105;103.4;1
195106;95.9;1
195107;84;1
195108;84.6;1
195109;53.2;1
195110;31.9;1
195111;136.2;1
195112;44.2;1
195201;118.8;1
195202;63.7;1
195203;72;1
195204;41.1;1
195205;43.8;1
195206;45.4;1
195207;4.5;1
195208;75.8;1
195209;104.9;1
195210;166.7;1
195211;110.4;1
195212;126.9;1
195301;7.7;1
195302;35;1
195303;2.6;1
195304;41.2;1
195305;21.1;1
195306;107.3;1
195307;83.1;1
195308;15.6;1
195309;79.8;1
195310;67.2;1
195311;6.9;1
195312;38.1;1
195401;50.9;1
195402;68.5;1
195403;60.9;1
195404;44.7;1
195405;46.2;1
195406;62.4;1
195407;32.9;1
195408;176.9;1
195409;87.9;1
195410;58.3;1
195411;60.1;1
195412;75.3;1
195501;152.8;1
195502;136;1
195503;36.2;1
195504;2;1
195505;41.4;1
195506;81.5;1
195507;75.8;1
195508;57.7;1
195509;42.9;1
195510;15.2;1
195511;36.3;1
195512;107;1
195601;74.5;1
195602;16.5;1
195603;45.4;1
195604;42.6;1
195605;80.7;1
195606;75.8;1
195607;135.2;1
195608;134.1;1
195609;130.6;1
195610;65.6;1
195611;34.1;1
195612;56.7;1
195701;36.2;1
195702;127.8;1
195703;34.6;1
195704;24.9;1
195705;28.6;1
195706;123.7;1
195707;85.6;1
195708;39.1;1
195709;48.9;1
195710;34.9;1
195711;31.9;1
195712;91.6;1
195801;107.1;1
195802;93.2;1
195803;73.4;1
195804;47.8;1
195805;94;1
195806;106.8;1
195807;57.6;1
195808;79;1
195809;100.3;1
195810;62.4;1
195811;68.7;1
195812;105.7;1
195901;86.4;1
195902;0;1
195903;68.4;1
195904;88.9;1
195905;10.3;1
195906;42.7;1
195907;13.1;1
195908;26.3;1
195909;30.4;1
195910;71.4;1
195911;77.2;1
195912;98.3;1
196001;65.9;1
196002;54.4;1
196003;77.7;1
196004;19.9;1
196005;40.3;1
196006;49.6;1
196007;77.2;1
196008;177.7;1
196009;84;1
196010;155.4;1
196011;58.3;1
196012;66.6;1
196101;79.7;1
196102;70;1
196103;4.8;1
196104;57.2;1
196105;118.4;1
196106;46.1;1
196107;122.9;1
196108;40.4;1
196109;35.8;1
196110;85.7;1
196111;63.8;1
196112;94.6;1
196201;119.2;1
196202;63.9;1
196203;117.5;1
196204;83.6;1
196205;92.7;1
196206;12.8;1
196207;71.4;1
196208;20.1;1
196209;59.1;1
196210;33.2;1
196211;66.8;1
196212;93.3;1
196301;50.4;1
196302;46.8;1
196303;100;1
196304;60.9;1
196305;42.7;1
196306;87.6;1
196307;31.6;1
196308;120.4;1
196309;22.9;1
196310;49.5;1
196311;87.2;1
196312;7.4;1
196401;29.1;1
196402;18.4;1
196403;58.1;1
196404;57.2;1
196405;58.4;1
196406;45.4;1
196407;14.4;1
196408;70.8;1
196409;30.6;1
196410;43.8;1
196411;30.7;1
196412;44.6;1
196501;106.6;1
196502;6.1;1
196503;91.1;1
196504;83.4;1
196505;122.1;1
196506;60;1
196507;81.2;1
196508;64.2;1
196509;257.8;1
196510;30.9;1
196511;129.5;1
196512;161.9;1
196601;84;1
196602;86.4;1
196603;60.1;1
196604;92.1;1
196605;48.9;1
196606;88.9;1
196607;50.3;1
196608;79.1;1
196609;28.2;1
196610;74;1
196611;79.2;1
196612;107.9;1
196701;64.9;1
196702;49.8;1
196703;51.5;1
196704;22.1;1
196705;69.2;1
196706;64.3;1
196707;21.7;1
196708;97;1
196709;91.4;1
196710;57.7;1
196711;80.9;1
196712;63.9;1
196801;125.9;1
196802;55.6;1
196803;31.2;1
196804;72.3;1
196805;116.1;1
196806;58.1;1
196807;81.1;1
196808;101.5;1
196809;200.5;1
196810;28.6;1
196811;65.7;1
196812;117.4;1
196901;68.3;1
196902;56.3;1
196903;67.6;1
196904;102.1;1
196905;121.1;1
196906;72.5;1
196907;33.3;1
196908;37.7;1
196909;42.2;1
196910;10;1
196911;123.3;1
196912;63.9;1
197001;79.6;1
197002;163.1;1
197003;77.7;1
197004;69.6;1
197005;60.4;1
197006;79.2;1
197007;99.5;1
197008;79.2;1
197009;41.5;1
197010;101.4;1
197011;64;1
197012;53.5;1
197101;105.2;1
197102;15.8;1
197103;42.9;1
197104;26.1;1
197105;62.9;1
197106;78.7;1
197107;47.7;1
197108;136.2;1
197109;14.5;1
197110;28.5;1
197111;89.8;1
197112;7.7;1
197201;52.6;1
197202;77.3;1
197203;41.5;1
197204;30.3;1
197205;51.7;1
197206;68.6;1
197207;34.8;1
197208;58;1
197209;22.2;1
197210;87.9;1
197211;133.8;1
197212;38.2;1
197301;53.1;1
197302;42.5;1
197303;3.9;1
197304;18.4;1
197305;114;1
197306;32.8;1
197307;49.2;1
197308;35.7;1
197309;76.3;1
197310;68.6;1
197311;43.9;1
197312;95.6;1
197401;34.8;1
197402;58.9;1
197403;33.3;1
197404;41.5;1
197405;101;1
197406;63.2;1
197407;42.6;1
197408;77.3;1
197409;149;1
197410;157.2;1
197411;97.1;1
197412;59.3;1
197501;86.8;1
197502;15.2;1
197503;72.9;1
197504;54;1
197505;86.4;1
197506;74.7;1
197507;56.5;1
197508;83.1;1
197509;171.1;1
197510;37.3;1
197511;100.6;1
197512;41.7;1
197601;40.8;1
197602;72;1
197603;8.9;1
197604;30.1;1
197605;26.6;1
197606;11.6;1
197607;37;1
197608;45.8;1
197609;172.7;1
197610;94.2;1
197611;137.5;1
197612;109.1;1
197701;89.7;1
197702;167.2;1
197703;86.1;1
197704;54.8;1
197705;164.9;1
197706;153.2;1
197707;73.2;1
197708;157.7;1
197709;14.5;1
197710;84.9;1
197711;67.4;1
197712;87.7;1
197801;90.2;1
197802;112.4;1
197803;117.6;1
197804;71.9;1
197805;105.2;1
197806;33.3;1
197807;64.3;1
197808;39;1
197809;48.6;1
197810;16.9;1
197811;10.7;1
197812;121.9;1
197901;77.6;1
197902;94.9;1
197903;129.8;1
197904;79.9;1
197905;145.3;1
197906;64.4;1
197907;8.2;1
197908;125.2;1
197909;39.1;1
197910;176.1;1
197911;64.6;1
197912;111.3;1
198001;99.9;1
198002;95.7;1
198003;99.2;1
198004;30.9;1
198005;89.1;1
198006;91.7;1
198007;73.3;1
198008;40.7;1
198009;80.9;1
198010;110.6;1
198011;46.9;1
198012;71.3;1
198101;124.8;1
198102;35.1;1
198103;112.1;1
198104;15.8;1
198105;122.9;1
198106;117.4;1
198107;51.9;1
198108;30.4;1
198109;113.3;1
198110;126.3;1
198111;52.4;1
198112;173;1
198201;93.2;1
198202;12.5;1
198203;103.5;1
198204;20.3;1
198205;60.5;1
198206;110;1
198207;58.2;1
198208;62.4;1
198209;92.9;1
198210;85.5;1
198211;81.6;1
198212;138.4;1
198301;47.6;1
198302;66.8;1
198303;39.1;1
198304;143.8;1
198305;141;1
198306;26.7;1
198307;20.8;1
198308;93.8;1
198309;68.9;1
198310;58.3;1
198311;39.6;1
198312;51.9;1
198401;104;1
198402;61.4;1
198403;47.9;1
198404;16.9;1
198405;102.2;1
198406;53.8;1
198407;31.6;1
198408;91.8;1
198409;120.9;1
198410;96.2;1
198411;109.5;1
198412;77.3;1
198501;57.4;1
198502;65.1;1
198503;46.7;1
198504;89.8;1
198505;130;1
198506;91.7;1
198507;45.7;1
198508;27.1;1
198509;10.8;1
198510;34.1;1
198511;49.4;1
198512;72.3;1
198601;114.5;1
198602;52.8;1
198603;63.8;1
198604;141.7;1
198605;91.6;1
198606;23.3;1
198607;46.7;1
198608;83.3;1
198609;83;1
198610;64.7;1
198611;52.3;1
198612;102.3;1
198701;37.9;1
198702;61.6;1
198703;49.1;1
198704;46.6;1
198705;93.2;1
198706;175;1
198707;115.1;1
198708;62.2;1
198709;87.8;1
198710;64.4;1
198711;78.4;1
198712;80.1;1
198801;119.2;1
198802;82.8;1
198803;97.2;1
198804;37.2;1
198805;129.3;1
198806;56.2;1
198807;59.3;1
198808;43.3;1
198809;89.4;1
198810;153.3;1
198811;48.4;1
198812;58.2;1
198901;22.9;1
198902;41.5;1
198903;45.2;1
198904;152.7;1
198905;69.3;1
198906;20.8;1
198907;52.9;1
198908;29.3;1
198909;41;1
198910;32.9;1
198911;69.9;1
198912;60.2;1
199001;55.5;1
199002;112;1
199003;18.3;1
199004;47.3;1
199005;57.8;1
199006;135.8;1
199007;38.1;1
199008;39.5;1
199009;30.5;1
199010;118.9;1
199011;71.7;1
199012;52.4;1
199101;43.7;1
199102;63.1;1
199103;37.7;1
199104;29.6;1
199105;13;1
199106;74.9;1
199107;53.2;1
199108;44.6;1
199109;68.4;1
199110;79;1
199111;90.2;1
199112;45.7;1
199201;19.6;1
199202;47.8;1
199203;61.5;1
199204;53;1
199205;29;1
199206;115.3;1
199207;93.6;1
199208;98.6;1
199209;68.2;1
199210;100.3;1
199211;147.8;1
199212;62.6;1
199301;41.4;1
199302;7.8;1
199303;11;1
199304;94.4;1
199305;93.2;1
199306;102.8;1
199307;59.8;1
199308;12.6;1
199309;144.8;1
199310;149;1
199311;29;1
199312;113.3;1
199401;90;1
199402;50.1;1
199403;34.8;1
199404;112.3;1
199405;99.7;1
199406;74.5;1
199407;88.2;1
199408;80.4;1
199409;136.7;1
199410;96.4;1
199411;83.5;1
199412;97.4;1
199501;129.5;1
199502;119.6;1
199503;93;1
199504;57.5;1
199505;79.6;1
199506;21.6;1
199507;48.2;1
199508;50.5;1
199509;108.7;1
199510;32.5;1
199511;60.8;1
199512;138.6;1
199601;67.4;1
199602;92;1
199603;33.6;1
199604;31.3;1
199605;142;1
199606;41.2;1
199607;70.9;1
199608;28.7;1
199609;37.1;1
199610;46.3;1
199611;192.8;1
199612;66.6;1
199701;41.2;1
199702;71.5;1
199703;8.7;1
199704;31;1
199705;82.5;1
199706;109.9;1
199707;61.1;1
199708;73.9;1
199709;62.5;1
199710;54.7;1
199711;102.6;1
199712;89.5;1
199801;88.8;1
199802;22.6;1
199803;44.9;1
199804;162.2;1
199805;28.9;1
199806;45.5;1
199807;27.4;1
199808;51.9;1
199809;152.9;1
199810;123.6;1
199811;77.7;1
199812;45.8;1
199901;84.6;1
199902;132.4;1
199903;62.8;1
199904;68.7;1
199905;93;1
199906;63.3;1
199907;45.2;1
199908;41.3;1
199909;90.1;1
199910;81.3;1
199911;48.1;1
199912;159.4;1
200001;23.9;1
200002;116.1;1
200003;38.1;1
200004;79.1;1
200005;65.4;1
200006;70.7;1
200007;100.2;1
200008;78.8;1
200009;64.8;1
200010;80.4;1
