# DONNEES MENSUELLES HOMOGENEISEES de RR : Cumul mensuel des hauteurs de précipitation (en mm et 1/10) 
# NUM_POSTE= 76255002
# NOM_USUEL= EU
# LATITUDE (°) = 50.058
# LONGITUDE(°)= 1.421
# ALTITUDE (m) = 13
# NUM_SERIE= MRR076255002
# Amplitude minimale détectable de la série = 0.09
# Période homogénéisée : 195501 201612
# Date(s) de rupture(s) d'homogénéité : 195612 200801
#     Periode homogénéisée  195501 201612  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195501;83.6;1
195502;49.5;1
195503;23.1;1
195504;3.9;1
195505;110.8;1
195506;123;1
195507;21;1
195508;38.3;1
195509;37.8;1
195510;113;1
195511;7.5;1
195512;140.2;1
195601;97.7;1
195602;4.2;1
195603;1.3;1
195604;37.5;1
195605;41.3;1
195606;81.5;1
195607;26;1
195608;126.8;1
195609;62;1
195610;51.1;1
195611;12.9;1
195612;13.7;1
195701;27.2;1
195702;124.1;1
195703;54;1
195704;39.1;1
195705;31;1
195706;30.6;1
195707;50.2;1
195708;67.2;1
195709;152.8;1
195710;44.4;1
195711;46;1
195712;41.7;1
195801;80.8;1
195802;111.2;1
195803;58.8;1
195804;39.1;1
195805;26.2;1
195806;112.3;1
195807;96.1;1
195808;102.1;1
195809;120.9;1
195810;65.8;1
195811;87.2;1
195812;71.7;1
195901;139.6;1
195902;1.3;1
195903;65.1;1
195904;73.8;1
195905;26.5;1
195906;18.5;1
195907;53;1
195908;38.5;1
195909;5.9;1
195910;150.1;1
195911;92.9;1
195912;94.7;1
196001;41.6;1
196002;62.4;1
196003;82.9;1
196004;21.2;1
196005;103.4;1
196006;43;1
196007;92.9;1
196008;116.1;1
196009;80.1;1
196010;147.2;1
196011;191.2;1
196012;112.2;1
196101;111.2;1
196102;78.1;1
196103;12.3;1
196104;39.1;1
196105;42.4;1
196106;38.4;1
196107;118.9;1
196108;22;1
196109;85.4;1
196110;104.1;1
196111;86.9;1
196112;85.7;1
196201;123.4;1
196202;31.2;1
196203;67.3;1
196204;42.7;1
196205;47.7;1
196206;13.9;1
196207;71;1
196208;61.9;1
196209;77.4;1
196210;50.7;1
196211;87.4;1
196212;82.8;1
196301;22;1
196302;12;1
196303;64.1;1
196304;60.9;1
196305;75.4;1
196306;120.7;1
196307;77.6;1
196308;104.5;1
196309;129.1;1
196310;123.5;1
196311;170.9;1
196312;3.7;1
196401;20;1
196402;59.5;1
196403;96.3;1
196404;73.7;1
196405;48.4;1
196406;93.4;1
196407;20.8;1
196408;69.3;1
196409;57.9;1
196410;188.4;1
196411;100.7;1
196412;104.1;1
196501;105.6;1
196502;9;1
196503;63.6;1
196504;21.1;1
196505;51.5;1
196506;53.7;1
196507;116.5;1
196508;51.6;1
196509;140.2;1
196510;10;1
196511;85.5;1
196512;242.6;1
196601;73.7;1
196602;56.6;1
196603;24.3;1
196604;82.7;1
196605;43.4;1
196606;107.4;1
196607;164;1
196608;81.6;1
196609;22.4;1
196610;119.9;1
196611;170.1;1
196612;183.7;1
196701;29.7;1
196702;60.6;1
196703;53.1;1
196704;20.1;1
196705;93.7;1
196706;43.2;1
196707;19.9;1
196708;79.3;1
196709;103.2;1
196710;142.3;1
196711;65.7;1
196712;121;1
196801;106.7;1
196802;118;1
196803;25.6;1
196804;46.1;1
196805;53.7;1
196806;59.1;1
196807;118.4;1
196808;244;1
196809;108.2;1
196810;64.3;1
196811;39.1;1
196812;40.7;1
196901;39.6;1
196902;49.3;1
196903;42.6;1
196904;73;1
196905;121.5;1
196906;107.3;1
196907;90.8;1
196908;82;1
196909;28.8;1
196910;18.8;1
196911;165.2;1
196912;66.7;1
197001;88.7;1
197002;121.2;1
197003;90.6;1
197004;91.7;1
197005;71.3;1
197006;63.1;1
197007;73.4;1
197008;78;1
197009;88.8;1
197010;14.9;1
197011;101.1;1
197012;43.1;1
197101;62.8;1
197102;55.4;1
197103;20.2;1
197104;22.8;1
197105;40.3;1
197106;137.6;1
197107;28.1;1
197108;53.8;1
197109;22.3;1
197110;47.6;1
197111;114.5;1
197112;10.1;1
197201;51;1
197202;51.9;1
197203;35.3;1
197204;57.7;1
197205;51.7;1
197206;75.6;1
197207;46.5;1
197208;38.8;1
197209;58.5;1
197210;6;1
197211;177.7;1
197212;40.8;1
197301;21.9;1
197302;47.4;1
197303;20.1;1
197304;67.1;1
197305;74.3;1
197306;22.6;1
197307;55.1;1
197308;26.9;1
197309;134.6;1
197310;81.3;1
197311;50.3;1
197312;63.2;1
197401;63.3;1
197402;49.3;1
197403;73.9;1
197404;12.6;1
197405;30.8;1
197406;103.5;1
197407;47.7;1
197408;52.7;1
197409;190.3;1
197410;220.8;1
197411;139.8;1
197412;112.1;1
197501;86.4;1
197502;19.5;1
197503;138.3;1
197504;50.2;1
197505;69.2;1
197506;43.8;1
197507;92.2;1
197508;35.9;1
197509;174.7;1
197510;18.9;1
197511;128.7;1
197512;36.1;1
197601;27.8;1
197602;44.7;1
197603;26.4;1
197604;5.9;1
197605;25.9;1
197606;0;1
197607;22.3;1
197608;5.8;1
197609;172.5;1
197610;127.9;1
197611;96.6;1
197612;86.4;1
197701;108.8;1
197702;93.2;1
197703;56.2;1
197704;48.4;1
197705;129.1;1
197706;62.6;1
197707;48.4;1
197708;41.2;1
197709;32;1
197710;71.3;1
197711;154.6;1
197712;73.5;1
197801;83.9;1
197802;49;1
197803;79.7;1
197804;78.7;1
197805;42.9;1
197806;88.4;1
197807;101.4;1
197808;17.4;1
197809;57.2;1
197810;36.4;1
197811;19.2;1
197812;120.9;1
197901;45.9;1
197902;82.3;1
197903;125.5;1
197904;61;1
197905;90.4;1
197906;39.7;1
197907;19.9;1
197908;76.5;1
197909;32.3;1
197910;72.3;1
197911;149.4;1
197912;175.8;1
198001;46.4;1
198002;63.7;1
198003;121;1
198004;19.7;1
198005;45.6;1
198006;108.1;1
198007;146.6;1
198008;44.4;1
198009;56.4;1
198010;166.5;1
198011;67.2;1
198012;97.7;1
198101;78;1
198102;27.7;1
198103;90.3;1
198104;45.2;1
198105;115.4;1
198106;92.1;1
198107;33.3;1
198108;41.7;1
198109;111.2;1
198110;195.9;1
198111;57.7;1
198112;128.8;1
198201;54.2;1
198202;20;1
198203;53;1
198204;37.1;1
198205;67.4;1
198206;79.6;1
198207;17.8;1
198208;110.4;1
198209;67;1
198210;163.5;1
198211;147.5;1
198212;148.8;1
198301;73.7;1
198302;51.4;1
198303;71;1
198304;79.8;1
198305;95.4;1
198306;75.2;1
198307;48;1
198308;10.5;1
198309;115.6;1
198310;94.7;1
198311;48.9;1
198312;51.9;1
198401;153.7;1
198402;65.1;1
198403;59.4;1
198404;16.7;1
198405;111.1;1
198406;34.9;1
198407;65.8;1
198408;42.7;1
198409;155.1;1
198410;96.4;1
198411;116.2;1
198412;57.6;1
198501;64.9;1
198502;24.9;1
198503;104.4;1
198504;62.5;1
198505;103.1;1
198506;66.5;1
198507;52.2;1
198508;62.3;1
198509;19.7;1
198510;34.5;1
198511;96.7;1
198512;57.1;1
198601;103.1;1
198602;4.3;1
198603;129.9;1
198604;84;1
198605;39.7;1
198606;23.6;1
198607;32.3;1
198608;128;1
198609;63.4;1
198610;150.6;1
198611;116.5;1
198612;132.6;1
198701;34.3;1
198702;65.9;1
198703;73.9;1
198704;40.1;1
198705;107.1;1
198706;100.7;1
198707;110.5;1
198708;134.9;1
198709;60.9;1
198710;124;1
198711;128.2;1
198712;25.1;1
198801;139.9;1
198802;112.6;1
198803;110.4;1
198804;52.1;1
198805;70.6;1
198806;19.5;1
198807;96.9;1
198808;55.1;1
198809;97.6;1
198810;88.6;1
198811;59.6;1
198812;67.8;1
198901;40.3;1
198902;93.2;1
198903;79;1
198904;98.4;1
198905;15.3;1
198906;33.4;1
198907;32.2;1
198908;20.9;1
198909;47.3;1
198910;114.1;1
198911;54.4;1
198912;63.8;1
199001;113.1;1
199002;96.2;1
199003;3.1;1
199004;79.4;1
199005;6.7;1
199006;78.4;1
199007;10;1
199008;33.5;1
199009;64.6;1
199010;116.7;1
199011;138;1
199012;135.2;1
199101;78.9;1
199102;37.7;1
199103;39.8;1
199104;55.2;1
199105;29.7;1
199106;113.8;1
199107;57.5;1
199108;11;1
199109;59.6;1
199110;26.5;1
199111;112.4;1
199112;52.7;1
199201;16.4;1
199202;44.9;1
199203;103.1;1
199204;65.1;1
199205;35.1;1
199206;45.5;1
199207;41.8;1
199208;117.3;1
199209;109.5;1
199210;127.5;1
199211;139;1
199212;117;1
199301;88.1;1
199302;26.4;1
199303;8.1;1
199304;78.6;1
199305;47.9;1
199306;96.3;1
199307;108.9;1
199308;18.6;1
199309;88.7;1
199310;85.3;1
199311;41.6;1
199312;167.4;1
199401;75.5;1
199402;42.4;1
199403;90.9;1
199404;97.7;1
199405;115.8;1
199406;39.8;1
199407;98.2;1
199408;97.6;1
199409;143.4;1
199410;148.3;1
199411;81.2;1
199412;156.6;1
199501;152.9;1
199502;134.2;1
199503;103.1;1
199504;49.4;1
199505;36.7;1
199506;38.9;1
199507;47.4;1
199508;18.6;1
199509;116.2;1
199510;19.7;1
199511;18.3;1
199512;58.8;1
199601;22.9;1
199602;75.4;1
199603;30.9;1
199604;16.8;1
199605;122;1
199606;34.2;1
199607;16.6;1
199608;76.6;1
199609;41.9;1
199610;74;1
199611;138.9;1
199612;54.5;1
199701;4.3;1
199702;76.1;1
199703;23.9;1
199704;15.3;1
199705;87.6;1
199706;161.2;1
199707;18.1;1
199708;118.7;1
199709;8.9;1
199710;64.8;1
199711;110.6;1
199712;103.2;1
199801;94.4;1
199802;15.4;1
199803;41.5;1
199804;95.1;1
199805;24.8;1
199806;75.8;1
199807;45.4;1
199808;26.1;1
199809;201.8;1
199810;165.2;1
199811;89.9;1
199812;108.2;1
199901;122.7;1
199902;60.3;1
199903;57.8;1
199904;69.5;1
199905;55.3;1
199906;68.3;1
199907;16.6;1
199908;106.3;1
199909;160.3;1
199910;92;1
199911;59.9;1
199912;215.4;1
200001;42;1
200002;90.2;1
200003;63;1
200004;151.6;1
200005;74.3;1
200006;32.5;1
200007;124.3;1
200008;49.9;1
200009;94.9;1
200010;205.6;1
200011;239.8;1
200012;112.8;1
200101;167.8;1
200102;40.9;1
200103;145.7;1
200104;192.8;1
200105;34.1;1
200106;31.2;1
200107;144.1;1
200108;134.7;1
200109;178.5;1
200110;86.3;1
200111;130.5;1
200112;74;1
200201;73.8;1
200202;168.6;1
200203;69.8;1
200204;40.7;1
200205;96;1
200206;60.3;1
200207;104.1;1
200208;38.2;1
200209;43.3;1
200210;87.3;1
200211;174.5;1
200212;135.7;1
200301;100.6;1
200302;35.6;1
200303;41.5;1
200304;58.7;1
