# DONNEES MENSUELLES HOMOGENEISEES de RR : Cumul mensuel des hauteurs de précipitation (en mm et 1/10) 
# NUM_POSTE= 76276001
# NOM_USUEL= FORGES
# LATITUDE (°) = 49.603
# LONGITUDE(°)= 1.523
# ALTITUDE (m) = 160
# NUM_SERIE= MRR076276001
# Amplitude minimale détectable de la série = 0.07
# Période homogénéisée : 195501 201412
# Date(s) de rupture(s) d'homogénéité : Aucune rupture d'homogénéité
#     Periode homogénéisée  195501 201412  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195501;68.5;1
195502;102.1;1
195503;21.2;1
195504;11.8;1
195505;112.7;1
195506;73.1;1
195507;40.7;1
195508;12.9;1
195509;73.7;1
195510;60.7;1
195511;16.2;1
195512;126.5;1
195601;81.3;1
195602;20.9;1
195603;24.7;1
195604;51.3;1
195605;10.4;1
195606;90.5;1
195607;64.4;1
195608;94;1
195609;72.8;1
195610;64.9;1
195611;50.6;1
195612;38.1;1
195701;24.4;1
195702;163.4;1
195703;43.2;1
195704;12.2;1
195705;32.4;1
195706;44.4;1
195707;87.2;1
195708;65.6;1
195709;108;1
195710;20.1;1
195711;24.3;1
195712;45.8;1
195801;82.2;1
195802;126.6;1
195803;36.9;1
195804;34.4;1
195805;69.1;1
195806;114.5;1
195807;29.9;1
195808;91.4;1
195809;58.6;1
195810;58.5;1
195811;71.8;1
195812;107.1;1
195901;108.9;1
195902;3.2;1
195903;57.4;1
195904;79.4;1
195905;38.8;1
195906;85;1
195907;54.1;1
195908;38.4;1
195909;2.6;1
195910;76.1;1
195911;64;1
195912;116.4;1
196001;54.6;1
196002;52.8;1
196003;91.3;1
196004;27.6;1
196005;68;1
196006;52.3;1
196007;74.1;1
196008;74.2;1
196009;65.5;1
196010;169.4;1
196011;113;1
196012;79.3;1
196101;106;1
196102;60.1;1
196103;15.9;1
196104;65;1
196105;56.9;1
196106;45.9;1
196107;65.1;1
196108;12.9;1
196109;53.8;1
196110;117.6;1
196111;77.4;1
196112;93.5;1
196201;104;1
196202;34;1
196203;66.5;1
196204;57.8;1
196205;55.2;1
196206;5;1
196207;69;1
196208;39;1
196209;94;1
196210;57.3;1
196211;112.1;1
196212;68.5;1
196301;18.9;1
196302;15.6;1
196303;78.1;1
196304;61.3;1
196305;58;1
196306;84.2;1
196307;14.8;1
196308;131.4;1
196309;48.9;1
196310;58.7;1
196311;141.5;1
196312;14.7;1
196401;30.9;1
196402;52.3;1
196403;82.1;1
196404;80.4;1
196405;29;1
196406;65.9;1
196407;16;1
196408;33.7;1
196409;20;1
196410;123.4;1
196411;66.8;1
196412;93.8;1
196501;124.9;1
196502;12.5;1
196503;93.3;1
196504;58.9;1
196505;41.8;1
