# DONNEES MENSUELLES HOMOGENEISEES de RR : Cumul mensuel des hauteurs de précipitation (en mm et 1/10) 
# NUM_POSTE= 80041001
# NOM_USUEL= AUMONT
# LATITUDE (°) = 49.884
# LONGITUDE(°)= 1.93
# ALTITUDE (m) = 119
# NUM_SERIE= MRR080041001
# Amplitude minimale détectable de la série = 0.07
# Période homogénéisée : 195501 201412
# Date(s) de rupture(s) d'homogénéité : 195812 200602
#     Periode homogénéisée  195501 201412  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195501;85.6;1
195502;99.1;1
195503;12.5;1
195504;24.8;1
195505;93.7;1
195506;58.1;1
195507;46.4;1
195508;46;1
195509;54.1;1
195510;54.4;1
195511;9.8;1
195512;82.7;1
195601;109.7;1
195602;4.9;1
195603;17.9;1
195604;34.1;1
195605;10.8;1
195606;85.4;1
195607;63.6;1
195608;117.7;1
195609;71.7;1
195610;65.2;1
195611;55.5;1
195612;24.5;1
195701;31.5;1
195702;158.7;1
195703;24.3;1
195704;36.3;1
195705;32.8;1
195706;68.1;1
195707;80.8;1
195708;101.3;1
195709;94.4;1
195710;19.5;1
195711;36.7;1
195712;34;1
195801;71.1;1
195802;77.9;1
195803;35.6;1
195804;31.3;1
195805;53.9;1
195806;55.8;1
195807;71.1;1
195808;138.5;1
195809;84.4;1
195810;61.1;1
195811;60.6;1
195812;90.8;1
195901;92.9;1
195902;0.6;1
195903;45.4;1
195904;77.3;1
195905;42.4;1
195906;54.7;1
195907;20.6;1
195908;34.3;1
195909;3.1;1
195910;60.9;1
195911;42;1
195912;88;1
196001;49.8;1
196002;53;1
196003;84.8;1
196004;15.3;1
196005;76;1
196006;51.2;1
196007;55.3;1
196008;92;1
196009;54;1
196010;135.3;1
196011;94.3;1
196012;52.2;1
196101;96.1;1
196102;69.9;1
196103;9.1;1
196104;70.8;1
196105;35.3;1
196106;47.6;1
196107;77.5;1
196108;18.3;1
196109;48.4;1
196110;77.5;1
196111;62.4;1
196112;53.8;1
196201;83.2;1
196202;38.6;1
196203;55.6;1
196204;43.8;1
196205;43.8;1
196206;9.5;1
196207;64.2;1
196208;56.7;1
196209;62.9;1
196210;49.3;1
196211;93.4;1
196212;64.2;1
196301;23.5;1
196302;13.1;1
196303;52.2;1
196304;54.9;1
196305;61.9;1
196306;88.6;1
196307;14.3;1
196308;109.7;1
196309;58.3;1
196310;64.4;1
196311;133.1;1
196312;9.1;1
196401;25.6;1
196402;48;1
196403;73.1;1
196404;44.5;1
196405;16.2;1
196406;74.1;1
196407;30.3;1
196408;55;1
196409;32.2;1
196410;133.4;1
196411;62.1;1
196412;81.3;1
196501;117.3;1
196502;12.4;1
