# DONNEES MENSUELLES HOMOGENEISEES de RR : Cumul mensuel des hauteurs de précipitation (en mm et 1/10) 
# NUM_POSTE= 80248001
# NOM_USUEL= DOMPIERRE-SUR-AUTHIE
# LATITUDE (°) = 50.301
# LONGITUDE(°)= 1.921
# ALTITUDE (m) = 36
# NUM_SERIE= MRR080248001
# Amplitude minimale détectable de la série = 0.06
# Période homogénéisée : 195501 201612
# Date(s) de rupture(s) d'homogénéité : 195810 199006
#     Periode homogénéisée  195501 201612  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195501;62.6;1
195502;58.2;1
195503;9.7;1
195504;1.2;1
195505;69.3;1
195506;57.8;1
195507;26.7;1
195508;103.3;1
195509;90;1
195510;34.7;1
195511;12.8;1
195512;159.4;1
195601;92.4;1
195602;19.5;1
195603;4.3;1
195604;18.2;1
195605;20.7;1
195606;107.1;1
195607;40.7;1
195608;73.6;1
195609;60.8;1
195610;99.7;1
195611;71.1;1
195612;54.7;1
195701;38.3;1
195702;150.6;1
195703;29.2;1
195704;9.7;1
195705;6.1;1
195706;71.7;1
195707;102.5;1
195708;148;1
195709;145.8;1
195710;85.4;1
195711;38.9;1
195712;45.7;1
195801;105.9;1
195802;56.5;1
195803;76.6;1
195804;40.1;1
195805;32;1
195806;98.5;1
195807;31;1
195808;142.3;1
195809;99.9;1
195810;90.8;1
195811;63.8;1
195812;49.5;1
195901;79.7;1
195902;2.1;1
195903;59.7;1
195904;85.5;1
195905;72.5;1
195906;17.9;1
195907;51.5;1
195908;43.8;1
195909;4.9;1
195910;79.7;1
195911;93.1;1
195912;105.9;1
196001;62;1
196002;48.2;1
196003;60.4;1
196004;12.6;1
196005;92.5;1
196006;41.6;1
196007;54.3;1
196008;167.6;1
196009;99.1;1
196010;170.1;1
196011;224.3;1
196012;112.1;1
196101;91;1
196102;78;1
196103;9.5;1
196104;44.2;1
196105;25.2;1
196106;33.7;1
196107;140.1;1
196108;39.9;1
196109;107.1;1
196110;112.4;1
196111;98.6;1
196112;85;1
196201;101.4;1
196202;38;1
196203;59.4;1
196204;36.5;1
196205;67.5;1
196206;14.3;1
196207;49.2;1
196208;82.8;1
196209;105.8;1
196210;76.2;1
196211;106;1
196212;90.4;1
196301;8.1;1
196302;13.6;1
196303;75.5;1
196304;80.2;1
196305;77.2;1
196306;129.3;1
196307;32.3;1
196308;118.3;1
196309;119.7;1
196310;77.6;1
196311;208.1;1
196312;23.8;1
196401;32;1
196402;60.6;1
196403;84.6;1
196404;70.4;1
196405;28.5;1
196406;128;1
196407;42.5;1
196408;59.2;1
196409;61.4;1
196410;208.3;1
196411;134.4;1
196412;111.8;1
196501;132;1
196502;5.9;1
196503;68.3;1
196504;62.6;1
196505;41.2;1
196506;52.1;1
196507;99.1;1
196508;78.2;1
196509;134;1
196510;21.9;1
196511;86.9;1
196512;238.7;1
196601;61;1
196602;99.7;1
196603;32.7;1
196604;90.3;1
196605;70.9;1
196606;119.4;1
196607;121.1;1
196608;66.9;1
196609;34.3;1
196610;120.8;1
196611;141.2;1
196612;179.5;1
196701;43.9;1
196702;77.2;1
196703;58;1
196704;34.6;1
196705;143.9;1
196706;47.3;1
196707;70.4;1
196708;76.5;1
196709;158.3;1
196710;170.1;1
196711;79.3;1
196712;125.6;1
196801;88;1
196802;90.1;1
196803;30.6;1
196804;53.1;1
196805;50.8;1
196806;38.4;1
196807;160.4;1
196808;93.7;1
196809;149.1;1
196810;112.5;1
196811;24.2;1
196812;36.4;1
196901;57.1;1
196902;57.3;1
196903;68.3;1
196904;70.5;1
196905;120.4;1
196906;154.2;1
196907;82.5;1
196908;52.1;1
196909;16.2;1
196910;21.9;1
196911;188;1
196912;51.3;1
197001;92.9;1
197002;133.1;1
197003;90.1;1
197004;112.5;1
197005;57.2;1
197006;73.6;1
197007;79.9;1
197008;97.9;1
197009;85.3;1
197010;26.8;1
197011;129.8;1
197012;56;1
197101;69.8;1
197102;34.7;1
197103;29;1
197104;29.3;1
197105;49.8;1
197106;182.4;1
197107;71.4;1
197108;111.4;1
197109;36.3;1
197110;35;1
197111;124;1
197112;27.3;1
197201;71.3;1
197202;55.1;1
197203;50.6;1
197204;79.5;1
197205;104.2;1
197206;55.1;1
197207;61.1;1
197208;32.2;1
197209;40.8;1
197210;12.6;1
197211;150;1
197212;54.5;1
197301;18.2;1
197302;46.1;1
197303;13.6;1
197304;79.5;1
197305;86.3;1
197306;19.5;1
197307;51.6;1
197308;17.2;1
197309;127.8;1
197310;96.8;1
197311;42.3;1
197312;68.4;1
197401;81;1
197402;86.4;1
197403;54.1;1
197404;9.4;1
197405;59.5;1
197406;73.5;1
197407;66;1
197408;83.3;1
197409;189.7;1
197410;184.1;1
197411;173.2;1
197412;95.8;1
197501;127.1;1
197502;22.9;1
197503;119.2;1
197504;46.9;1
197505;25.7;1
197506;23;1
197507;69.5;1
197508;82.2;1
197509;162.2;1
197510;19.4;1
197511;172.3;1
197512;63.4;1
197601;35.8;1
197602;52.1;1
197603;30.5;1
197604;15;1
197605;20.2;1
197606;6;1
197607;21.5;1
197608;22.9;1
197609;161.3;1
197610;122.7;1
197611;131.8;1
197612;83.5;1
197701;115.4;1
197702;105.1;1
197703;67.9;1
197704;44;1
197705;81.6;1
197706;88.6;1
197707;47.5;1
197708;30.4;1
197709;24.4;1
197710;72.8;1
197711;169.6;1
197712;78;1
197801;99.7;1
197802;45.5;1
197803;71.4;1
197804;119.9;1
197805;40.6;1
197806;75.6;1
197807;92.4;1
197808;31.1;1
197809;59.2;1
197810;14.9;1
197811;40.4;1
197812;150.8;1
197901;54.3;1
197902;75.5;1
197903;124;1
197904;55.3;1
197905;106.8;1
197906;61.1;1
197907;5.9;1
197908;115.9;1
197909;24.2;1
197910;102.5;1
197911;144;1
197912;178.4;1
198001;44.9;1
198002;73.6;1
198003;147.4;1
198004;22.2;1
198005;51;1
198006;107;1
198007;149.7;1
198008;94.2;1
198009;36.2;1
198010;149.9;1
198011;69.8;1
198012;90;1
198101;56.8;1
198102;26.7;1
198103;101.9;1
198104;40;1
198105;126.3;1
198106;79.1;1
198107;52.2;1
198108;36.5;1
198109;135.2;1
198110;197.3;1
198111;52.6;1
198112;118.3;1
198201;79.1;1
198202;20.2;1
198203;56.2;1
198204;29.9;1
198205;46.4;1
198206;95.3;1
198207;24.8;1
198208;118.8;1
198209;72;1
198210;214.3;1
198211;165.6;1
198212;141.7;1
198301;84.3;1
198302;52.8;1
198303;68.7;1
198304;95.7;1
198305;91.3;1
198306;56.7;1
198307;76.1;1
198308;5.5;1
198309;105.2;1
198310;78.1;1
198311;55.5;1
198312;56.6;1
198401;143.6;1
198402;50.4;1
198403;52.7;1
198404;13.9;1
198405;107.4;1
198406;35.5;1
198407;69.7;1
198408;50.8;1
198409;146.2;1
198410;102.9;1
198411;108.5;1
198412;56.1;1
198501;80.5;1
198502;27.3;1
198503;104.3;1
198504;68.3;1
198505;88.8;1
198506;99.7;1
198507;77;1
198508;92.2;1
198509;38.6;1
198510;26.5;1
198511;66.3;1
198512;67.6;1
198601;111.2;1
198602;7.6;1
198603;106.8;1
198604;83.3;1
198605;32;1
198606;22.3;1
198607;51.8;1
198608;94.5;1
198609;44.7;1
198610;150.4;1
198611;123.1;1
198612;142.7;1
198701;26.8;1
198702;58.4;1
198703;92.8;1
198704;36.8;1
198705;69.9;1
