# DONNEES MENSUELLES HOMOGENEISEES de RR : Cumul mensuel des hauteurs de précipitation (en mm et 1/10) 
# NUM_POSTE= 80523001
# NOM_USUEL= MEAULTE
# LATITUDE (°) = 49.972
# LONGITUDE(°)= 2.704
# ALTITUDE (m) = 107
# NUM_SERIE= MRR080523001
# Amplitude minimale détectable de la série = 0.07
# Période homogénéisée : 195501 201412
# Date(s) de rupture(s) d'homogénéité : 200912
#     Periode homogénéisée  195501 201412  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195501;67.1;1
195502;69.6;1
195503;11.6;1
195504;17.2;1
195505;114.9;1
195506;52.3;1
195507;32.5;1
195508;59.1;1
195509;55.8;1
195510;36.3;1
195511;21.7;1
195512;88.7;1
195601;58.7;1
195602;12;1
195603;29.9;1
195604;38.4;1
195605;12.3;1
195606;67.7;1
195607;49.5;1
195608;84.7;1
195609;80.1;1
195610;59.5;1
195611;46;1
195612;32.7;1
195701;28.7;1
195702;146.9;1
195703;24.8;1
195704;21.7;1
195705;31.4;1
195706;83;1
195707;60.4;1
195708;72;1
195709;101.4;1
195710;30.2;1
195711;25.5;1
195712;48.3;1
195801;54.9;1
195802;98.6;1
195803;27.4;1
195804;44;1
195805;63.4;1
195806;86.7;1
195807;51.4;1
195808;140.8;1
195809;116.9;1
195810;50.1;1
195811;42;1
195812;79.9;1
195901;63.1;1
195902;1.7;1
195903;52.4;1
195904;45.3;1
195905;9.9;1
195906;54.8;1
195907;23.3;1
195908;45;1
195909;5.1;1
195910;59.1;1
195911;47.8;1
195912;69.4;1
196001;46;1
196002;38.5;1
196003;53.3;1
196004;14.5;1
196005;37.6;1
196006;44;1
196007;68.9;1
196008;82.1;1
196009;38.1;1
196010;121.6;1
196011;76.2;1
196012;54.9;1
196101;99.6;1
196102;73.8;1
196103;5.8;1
196104;58.8;1
196105;42.9;1
196106;58.4;1
196107;88;1
196108;16.3;1
196109;51.6;1
196110;81.5;1
196111;38;1
196112;87.8;1
196201;77.9;1
196202;33;1
196203;50.7;1
196204;41.3;1
196205;45.4;1
196206;15.9;1
196207;59.4;1
196208;59.6;1
196209;51.2;1
196210;34.2;1
196211;61.8;1
196212;49.1;1
196301;13.3;1
196302;3.7;1
196303;60.3;1
196304;52.8;1
196305;72.8;1
196306;84;1
196307;12;1
196308;107.7;1
196309;50.6;1
196310;68.6;1
196311;113.4;1
196312;9.3;1
196401;27.2;1
196402;40.7;1
196403;63.2;1
196404;28.8;1
196405;19.1;1
196406;60;1
196407;12.7;1
196408;15;1
196409;32.1;1
196410;88.2;1
196411;66.9;1
196412;54.8;1
196501;70;1
196502;10.6;1
196503;56.2;1
196504;48.3;1
196505;82.4;1
196506;46.3;1
196507;76.2;1
196508;39.4;1
196509;94.7;1
196510;22.3;1
196511;87.5;1
196512;153.4;1
196601;39.2;1
196602;44.1;1
196603;30.6;1
196604;86.4;1
196605;46.7;1
196606;74.3;1
196607;104.8;1
196608;60.1;1
196609;16.7;1
196610;104.8;1
196611;92.9;1
196612;157.2;1
196701;23.1;1
196702;36.9;1
196703;44.2;1
196704;15.9;1
196705;75.5;1
196706;33.4;1
196707;21.7;1
196708;56.6;1
196709;87;1
196710;78.9;1
196711;51.2;1
196712;76.7;1
196801;51.1;1
196802;55.7;1
196803;40.1;1
196804;26.7;1
196805;43;1
196806;77;1
196807;83.1;1
196808;52.3;1
196809;119;1
196810;36.8;1
196811;26.1;1
196812;32.7;1
196901;30.8;1
196902;35.3;1
196903;57.2;1
196904;32.9;1
196905;83.9;1
196906;93.6;1
196907;59.8;1
196908;43.7;1
196909;5.6;1
196910;4.2;1
196911;87.3;1
196912;46.6;1
197001;54.2;1
197002;110;1
197003;48.1;1
197004;73.8;1
197005;39.6;1
197006;61.1;1
197007;64.2;1
197008;55.4;1
197009;44.1;1
197010;31.4;1
197011;46.3;1
197012;25.4;1
197101;48.9;1
197102;41.6;1
197103;25.9;1
197104;25.6;1
197105;36.3;1
197106;94.9;1
197107;43.9;1
197108;86.4;1
197109;22.6;1
197110;16.6;1
197111;66.2;1
197112;2.2;1
197201;71.1;1
197202;48.8;1
197203;38.2;1
197204;50.6;1
197205;65;1
197206;50;1
197207;57.6;1
197208;33;1
197209;68.4;1
197210;9.7;1
197211;115.2;1
197212;40.7;1
197301;26.6;1
197302;47.9;1
197303;9.5;1
197304;60.7;1
197305;91.1;1
197306;34.9;1
197307;20.2;1
197308;44.6;1
197309;81.8;1
197310;76.4;1
197311;45.9;1
197312;40;1
197401;59.6;1
197402;54.1;1
197403;46;1
197404;21.5;1
197405;35.8;1
197406;95.5;1
197407;54.1;1
197408;50.7;1
197409;119.8;1
197410;106;1
197411;96.9;1
197412;80.9;1
197501;70.7;1
197502;25.5;1
197503;55;1
197504;42.5;1
197505;37.5;1
197506;38.3;1
197507;35;1
197508;63.4;1
197509;90.3;1
197510;10;1
197511;77;1
197512;12.5;1
197601;20.8;1
197602;30.3;1
197603;28.7;1
197604;10.2;1
197605;22.3;1
197606;0.8;1
197607;28.9;1
197608;4;1
197609;57.9;1
197610;65.6;1
197611;50.9;1
197612;48.4;1
197701;64.5;1
197702;56.6;1
197703;52.2;1
197704;37.6;1
197705;76.3;1
197706;67.1;1
197707;53.3;1
197708;30.8;1
197709;21.8;1
197710;63.4;1
197711;80.5;1
197712;46.2;1
197801;59.4;1
197802;42.1;1
197803;89.8;1
197804;82;1
197805;49.8;1
197806;60.2;1
197807;50.3;1
197808;33.5;1
197809;56.4;1
197810;5.7;1
197811;19.1;1
197812;80.9;1
197901;35.8;1
197902;43.4;1
197903;101.8;1
197904;56.2;1
197905;59.9;1
197906;49;1
197907;10.2;1
197908;62;1
197909;16;1
197910;58.7;1
197911;96.9;1
197912;102.5;1
198001;31.9;1
198002;62.7;1
198003;73.7;1
198004;19.7;1
198005;37.5;1
198006;79.9;1
198007;114.4;1
198008;55.9;1
198009;26.1;1
198010;76.4;1
198011;68;1
198012;86.1;1
198101;84.6;1
198102;28.7;1
198103;67.6;1
198104;36.4;1
198105;102.6;1
198106;58.3;1
198107;48.2;1
198108;17.4;1
198109;82;1
198110;160.2;1
198111;36.4;1
198112;102.6;1
198201;55.3;1
198202;19.2;1
198203;48.6;1
198204;36.6;1
198205;107.8;1
198206;73.7;1
198207;33.7;1
198208;108.9;1
198209;46.5;1
198210;79.2;1
198211;73.2;1
198212;107.8;1
198301;72;1
198302;75.8;1
198303;55.4;1
198304;66.5;1
198305;85;1
198306;32.6;1
198307;34.3;1
198308;20.9;1
198309;59.4;1
198310;41.9;1
198311;49.1;1
198312;48.8;1
198401;113.5;1
198402;45.2;1
198403;48.9;1
198404;27.1;1
198405;87.2;1
198406;39.2;1
198407;68.8;1
198408;67.1;1
198409;109.4;1
198410;64.7;1
198411;90.4;1
198412;47.8;1
198501;39.8;1
198502;18.7;1
198503;57.3;1
198504;47.8;1
198505;75.7;1
198506;83.5;1
198507;65.2;1
198508;60.8;1
198509;21.7;1
198510;14.6;1
198511;56;1
198512;30.9;1
198601;72.6;1
198602;7;1
198603;101.8;1
198604;72.8;1
198605;36.5;1
198606;19.9;1
198607;26.4;1
198608;75.2;1
198609;59.5;1
198610;98.1;1
198611;55.9;1
198612;90.4;1
198701;42;1
198702;55.4;1
198703;64.5;1
198704;43.6;1
198705;62.3;1
198706;102.5;1
198707;66.7;1
198708;71;1
198709;54;1
198710;122;1
198711;67;1
198712;25.6;1
198801;109;1
198802;58.2;1
198803;79.7;1
198804;13.4;1
198805;67.1;1
198806;22.2;1
198807;106.3;1
198808;56.1;1
198809;44.5;1
198810;73.1;1
198811;40.3;1
198812;58.8;1
198901;26.3;1
198902;57;1
198903;73.5;1
198904;92.6;1
198905;10.2;1
198906;60.5;1
198907;18;1
198908;18.5;1
198909;32.1;1
198910;46.2;1
198911;48;1
198912;55.5;1
199001;53.3;1
199002;116.6;1
199003;12.1;1
199004;70.2;1
199005;3.2;1
199006;72.8;1
199007;15.4;1
199008;15.9;1
199009;26.1;1
199010;79.4;1
199011;72.6;1
199012;78.1;1
199101;66.3;1
199102;19.1;1
199103;48.7;1
199104;43.4;1
199105;23.7;1
199106;66.3;1
199107;65.7;1
199108;5.5;1
