# DONNEES MENSUELLES HOMOGENEISEES de RR : Cumul mensuel des hauteurs de précipitation (en mm et 1/10) 
# NUM_POSTE= 80630001
# NOM_USUEL= POIX-DE-PICARDIE
# LATITUDE (°) = 49.778
# LONGITUDE(°)= 1.98
# ALTITUDE (m) = 107
# NUM_SERIE= MRR080630001
# Amplitude minimale détectable de la série = 0.07
# Période homogénéisée : 195501 201412
# Date(s) de rupture(s) d'homogénéité : 197701
#     Periode homogénéisée  195501 201412  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195501;57.7;1
195502;81.2;1
195503;16.9;1
195504;13.4;1
195505;101.4;1
195506;60.6;1
195507;46.3;1
195508;15.1;1
195509;65.3;1
195510;41.9;1
195511;10.1;1
195512;144.1;1
195601;64.2;1
195602;24.8;1
195603;3.7;1
195604;48.9;1
195605;7.8;1
195606;62.6;1
195607;55.9;1
195608;140;1
195609;55.6;1
195610;45.3;1
195611;52.4;1
195612;27;1
195701;24.6;1
195702;164.4;1
195703;17.3;1
195704;29.4;1
195705;41.2;1
195706;110.3;1
195707;66.6;1
195708;75.8;1
195709;112.3;1
195710;12.5;1
195711;32.9;1
195712;44.1;1
195801;114.5;1
195802;118.2;1
195803;92.9;1
195804;41.1;1
195805;82.1;1
195806;131.2;1
195807;45.3;1
195808;79.5;1
195809;57.6;1
195810;63.3;1
195811;43.6;1
195812;73.9;1
195901;115.5;1
195902;1.3;1
195903;51;1
195904;90.9;1
195905;42.1;1
195906;49.8;1
195907;33.1;1
195908;20.9;1
195909;7.7;1
195910;38;1
195911;46.3;1
195912;94.7;1
196001;45.6;1
196002;51.9;1
196003;97.7;1
196004;25.3;1
196005;65.6;1
196006;40;1
196007;66.8;1
196008;88.3;1
196009;59.5;1
196010;143.2;1
196011;100.8;1
196012;61;1
196101;110.3;1
196102;74.1;1
196103;10.2;1
196104;51.4;1
196105;36.1;1
196106;31.9;1
196107;92.4;1
196108;10.3;1
196109;51.5;1
196110;103.4;1
196111;78.8;1
196112;93.9;1
196201;72.5;1
196202;37.7;1
196203;54.2;1
196204;50;1
196205;50.1;1
196206;19.1;1
196207;89.1;1
196208;40.9;1
196209;66.3;1
196210;51.1;1
196211;106.9;1
196212;58.4;1
196301;16.3;1
196302;8.9;1
196303;55.8;1
196304;40.9;1
196305;51.7;1
196306;73.5;1
196307;9.8;1
196308;92.5;1
196309;59.9;1
196310;52.1;1
196311;135.2;1
196312;8.7;1
196401;29.8;1
196402;38.2;1
196403;51.5;1
196404;42;1
196405;24.2;1
196406;84.8;1
196407;31;1
196408;40.2;1
196409;39.6;1
196410;131.1;1
196411;74.1;1
196412;59.6;1
196501;125.3;1
196502;8.5;1
196503;43.6;1
196504;28.4;1
196505;47.1;1
196506;99.1;1
196507;62.3;1
196508;31.1;1
196509;93.4;1
196510;27.3;1
196511;113.8;1
196512;203.5;1
196601;57.4;1
196602;71.7;1
196603;30.2;1
196604;68.2;1
196605;57.2;1
196606;55.3;1
196607;110.3;1
196608;110.5;1
196609;16.3;1
196610;145.6;1
196611;139.9;1
196612;157;1
196701;32.3;1
196702;41;1
196703;44;1
196704;32.1;1
196705;94.4;1
196706;43.8;1
196707;54.8;1
196708;54.5;1
196709;83.5;1
196710;119.9;1
196711;56.9;1
196712;116.1;1
