# DONNEES MENSUELLES HOMOGENEISEES de RR : Cumul mensuel des hauteurs de précipitation (en mm et 1/10) 
# NUM_POSTE= 83050007
# NOM_USUEL= DRAGUIGNAN_SAPC
# LATITUDE (°) = 43.526
# LONGITUDE(°)= 6.453
# ALTITUDE (m) = 173
# NUM_SERIE= MRR083050007
# Amplitude minimale détectable de la série = 0.12
# Période homogénéisée : 195001 201612
# Date(s) de rupture(s) d'homogénéité : 195212 199212 200812
#     Periode homogénéisée  195001 201612  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195001;1.9;1
195002;120.4;1
195003;46.4;1
195004;53;1
195005;18.4;1
195006;15.3;1
195007;9.5;1
195008;44.7;1
195009;44;1
195010;119;1
195011;137.7;1
195012;82.1;1
195101;92.8;1
195102;96.2;1
195103;86;1
195104;9.5;1
195105;78.7;1
195106;48.3;1
195107;2;1
195108;33.7;1
195109;31.9;1
195110;157.1;1
195111;366.1;1
195112;18.8;1
195201;33.4;1
195202;0.2;1
195203;27.5;1
195204;163.7;1
195205;87.4;1
195206;7.7;1
195207;20.7;1
195208;37.4;1
195209;107.7;1
195210;14;1
195211;49.8;1
195212;67.3;1
195301;41.4;1
195302;35.4;1
195303;5.9;1
195304;27.5;1
195305;60.1;1
195306;140.5;1
195307;54.7;1
195308;1.7;1
195309;87.9;1
195310;221.2;1
195311;6.1;1
195312;58.4;1
195401;74.2;1
195402;84.3;1
195403;107.3;1
195404;90.3;1
195405;132.6;1
195406;22.1;1
195407;39.3;1
195408;21.5;1
195409;18;1
195410;76.7;1
195411;143.8;1
195412;118.7;1
195501;183.6;1
195502;60.8;1
195503;24.3;1
195504;0;1
195505;7.4;1
195506;63.6;1
195507;9.9;1
195508;39.7;1
195509;24.8;1
195510;78.8;1
195511;133.7;1
195512;42.1;1
195601;69.2;1
195602;87;1
195603;220.3;1
195604;133.5;1
195605;25.3;1
195606;122.6;1
195607;40.7;1
195608;4;1
195609;76.5;1
195610;15.1;1
195611;60.2;1
195612;72;1
195701;62.7;1
195702;92;1
195703;39.3;1
195704;127.5;1
195705;72.1;1
195706;175.7;1
195707;15.9;1
195708;21.8;1
195709;4;1
195710;71.1;1
195711;206.6;1
195712;226.5;1
195801;19.9;1
195802;15.9;1
195803;66.5;1
195804;79.4;1
195805;13.9;1
195806;57.6;1
195807;32.8;1
195808;12.9;1
195809;59.6;1
195810;82.4;1
195811;101.3;1
195812;258.2;1
195901;3;1
195902;40.6;1
195903;56.3;1
195904;91.4;1
195905;124.1;1
195906;50.6;1
195907;27.8;1
195908;33.8;1
195909;70.9;1
195910;212.5;1
195911;207.4;1
195912;248.4;1
196001;36.9;1
196002;93.3;1
196003;166.3;1
196004;68.4;1
196005;30.2;1
196006;29.8;1
196007;8.9;1
196008;79.4;1
196009;165.3;1
196010;282;1
196011;161.8;1
196012;170.2;1
196101;46.8;1
196102;13.3;1
196103;0;1
196104;103.1;1
196105;75;1
196106;47.7;1
196107;41.7;1
196108;2.1;1
196109;122.5;1
196110;203.5;1
196111;249.8;1
196112;44.8;1
196201;47.8;1
196202;81.4;1
196203;56.6;1
196204;25.7;1
196205;39.6;1
196206;54.4;1
196207;6.3;1
196208;0.6;1
196209;40.3;1
196210;78.6;1
196211;149.1;1
196212;46.9;1
196301;74.3;1
196302;74;1
196303;44.3;1
196304;128.3;1
196305;9.2;1
196306;88.7;1
196307;17.1;1
196308;41.6;1
196309;188.6;1
196310;72.1;1
196311;195.9;1
196312;86.5;1
196401;63.3;1
196402;122.2;1
196403;88.1;1
196404;75.7;1
196405;28.3;1
196406;55.7;1
196407;3.8;1
196408;5.3;1
196409;35.6;1
196410;66.5;1
196411;45.4;1
196412;64.6;1
196501;59.5;1
196502;18.8;1
196503;103.3;1
196504;33.7;1
196505;15.6;1
196506;58.1;1
196507;42.5;1
196508;103.8;1
196509;112.9;1
196510;103.8;1
196511;88.6;1
196512;96.5;1
196601;80.3;1
196602;202.1;1
196603;4;1
196604;91.7;1
196605;18.9;1
196606;97;1
196607;20.4;1
196608;22.3;1
196609;121.2;1
196610;99.3;1
196611;175.3;1
196612;25.8;1
196701;9.4;1
196702;53.6;1
196703;13.9;1
196704;19.4;1
196705;20.4;1
196706;15.9;1
196707;0;1
196708;22.8;1
196709;25.8;1
196710;13.9;1
196711;89.2;1
196712;13.4;1
196801;0;1
196802;128.8;1
196803;25.2;1
196804;50.1;1
196805;51.7;1
196806;54.8;1
196807;1.5;1
196808;35.8;1
196809;134.6;1
196810;86.1;1
196811;92.4;1
196812;76.6;1
196901;112.9;1
196902;83.4;1
196903;119.2;1
196904;18.4;1
196905;68;1
196906;30.5;1
196907;62.8;1
196908;20;1
196909;131.4;1
196910;3.3;1
196911;122;1
196912;103.8;1
197001;132.6;1
197002;25.6;1
197003;85.5;1
197004;7.3;1
197005;26.8;1
197006;28.9;1
197007;0;1
197008;6.5;1
197009;8.4;1
197010;156.7;1
197011;70.5;1
197012;113.2;1
197101;92.9;1
197102;13.9;1
197103;82.6;1
197104;154.4;1
197105;143;1
197106;41.7;1
197107;6.8;1
197108;16.9;1
197109;31.8;1
197110;1.5;1
197111;167.3;1
197112;60.1;1
197201;82.9;1
197202;253.7;1
197203;95.3;1
197204;59.9;1
197205;39;1
197206;118.3;1
197207;9.5;1
197208;16.1;1
197209;81.8;1
197210;221.1;1
