# DONNEES MENSUELLES HOMOGENEISEES de RR : Cumul mensuel des hauteurs de précipitation (en mm et 1/10) 
# NUM_POSTE= 83080001
# NOM_USUEL= MONS
# LATITUDE (°) = 43.694
# LONGITUDE(°)= 6.71
# ALTITUDE (m) = 796
# NUM_SERIE= MRR083080001
# Amplitude minimale détectable de la série = 0.11
# Période homogénéisée : 195001 201512
# Date(s) de rupture(s) d'homogénéité : Aucune rupture d'homogénéité
#     Periode homogénéisée  195001 201512  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195001;18.8;1
195002;121.9;1
195003;42.5;1
195004;50;1
195005;130.6;1
195006;29.8;1
195007;0.8;1
195008;40.3;1
195009;122.4;1
195010;74;1
195011;255.8;1
195012;119.9;1
195101;143.8;1
195102;151.7;1
195103;141.9;1
195104;56.3;1
195105;183.6;1
195106;103.6;1
195107;58.6;1
195108;39.2;1
195109;59.7;1
195110;214.1;1
195111;432.2;1
195112;50;1
195201;66.9;1
195202;4;1
195203;71.8;1
195204;232;1
195205;150.4;1
195206;16.6;1
195207;9;1
195208;121.3;1
195209;131.3;1
195210;52.9;1
195211;64.9;1
195212;102.7;1
195301;27.3;1
195302;16.7;1
195303;2.1;1
195304;41.2;1
195305;54.9;1
195306;126;1
195307;80.5;1
195308;61;1
195309;234.3;1
195310;271;1
195311;12;1
195312;49.4;1
195401;64.1;1
195402;73.2;1
195403;93.7;1
195404;112.3;1
195405;122.9;1
195406;26.9;1
195407;50.9;1
195408;39.6;1
195409;14.7;1
195410;111.8;1
195411;163.1;1
195412;240.7;1
195501;152.5;1
195502;118.1;1
195503;56.7;1
195504;13.5;1
195505;6.5;1
195506;137.8;1
195507;56.8;1
195508;49.3;1
195509;50.2;1
195510;148.6;1
195511;130;1
195512;56.4;1
195601;66.2;1
195602;30.7;1
195603;198.5;1
195604;201.9;1
195605;23.4;1
195606;73.2;1
195607;43.7;1
195608;22.4;1
195609;88.8;1
195610;28.4;1
195611;65.6;1
195612;42.6;1
195701;91.6;1
195702;112.1;1
195703;101;1
195704;134.5;1
195705;105.1;1
195706;183.4;1
195707;10.7;1
195708;26.1;1
195709;6.2;1
195710;56.9;1
195711;218.2;1
195712;281.4;1
195801;21.6;1
195802;36.5;1
195803;107.2;1
195804;106.6;1
195805;19.2;1
195806;91.7;1
195807;26.4;1
195808;31.3;1
195809;114.2;1
195810;86.8;1
195811;62.8;1
195812;317.9;1
195901;11.3;1
195902;23.5;1
195903;86.8;1
195904;138;1
195905;121.5;1
195906;54.1;1
195907;23;1
195908;61.8;1
195909;99.8;1
195910;240.6;1
195911;212.7;1
195912;219.7;1
196001;119.7;1
196002;118.5;1
196003;215.3;1
196004;77;1
196005;36.7;1
196006;100.9;1
196007;54.9;1
196008;58.9;1
196009;242.8;1
196010;394.5;1
196011;236.9;1
196012;193.2;1
196101;111.1;1
196102;26.5;1
196103;2.6;1
196104;105.9;1
196105;123.2;1
196106;97.3;1
196107;1.5;1
196108;4.1;1
196109;84.1;1
196110;197.3;1
196111;243;1
196112;58.1;1
196201;51.4;1
196202;67.8;1
196203;110.7;1
196204;61.8;1
196205;76.7;1
196206;135.1;1
196207;5;1
196208;0.5;1
196209;25.7;1
196210;81.7;1
196211;189.8;1
196212;65.1;1
196301;122;1
196302;106;1
196303;52.5;1
196304;135.8;1
196305;19.3;1
196306;141.1;1
196307;35.2;1
196308;60.7;1
196309;86.4;1
196310;70.1;1
196311;268.8;1
196312;90.2;1
196401;23.6;1
196402;203.4;1
196403;149.8;1
196404;88.8;1
196405;59.1;1
196406;58.6;1
196407;10.8;1
196408;26.4;1
196409;34.4;1
196410;56.5;1
196411;41.7;1
196412;94.1;1
196501;59.8;1
196502;29.8;1
196503;96.3;1
196504;19.7;1
196505;42.9;1
196506;41.8;1
196507;44.6;1
196508;105;1
196509;252.7;1
196510;54.8;1
196511;109.7;1
196512;64.8;1
196601;49;1
196602;178;1
196603;3.4;1
196604;133.1;1
196605;39.3;1
196606;29.8;1
196607;16.5;1
196608;58.7;1
196609;87.5;1
196610;223.7;1
196611;248.6;1
196612;53.3;1
196701;25.3;1
196702;42.4;1
196703;43;1
196704;23.1;1
196705;54.4;1
196706;84.5;1
196707;13.3;1
196708;21.5;1
196709;23.4;1
196710;25.3;1
