# DONNEES MENSUELLES HOMOGENEISEES de RR : Cumul mensuel des hauteurs de précipitation (en mm et 1/10) 
# NUM_POSTE= 88075005
# NOM_USUEL= LA_BRESSE_SAPC
# LATITUDE (°) = 48.008
# LONGITUDE(°)= 6.942
# ALTITUDE (m) = 772
# NUM_SERIE= MRR088075005
# Amplitude minimale détectable de la série = 0.06
# Période homogénéisée : 195001 201912
# Date(s) de rupture(s) d'homogénéité : 195512
#     Periode homogénéisée  195001 201912  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195001;75.8;1
195002;345.8;1
195003;25.4;1
195004;190.4;1
195005;97.7;1
195006;92.9;1
195007;120.3;1
195008;143.3;1
195009;178.5;1
195010;59.7;1
195011;483.1;1
195012;143.4;1
195101;222.5;1
195102;166.3;1
195103;237.8;1
195104;124.9;1
195105;137.4;1
195106;275.3;1
195107;79.6;1
195108;136.5;1
195109;103.5;1
195110;44;1
195111;330.6;1
195112;135.8;1
195201;240.2;1
195202;114.5;1
195203;291;1
195204;44.4;1
195205;61.4;1
195206;87.7;1
195207;54.2;1
195208;101.8;1
195209;300.7;1
195210;380.1;1
195211;398.1;1
195212;248.7;1
195301;35.1;1
195302;142.3;1
195303;6.9;1
195304;95.9;1
195305;72.7;1
195306;236.4;1
195307;169.8;1
195308;55.9;1
195309;90.8;1
195310;34.1;1
195311;29.4;1
195312;51.8;1
195401;178.9;1
195402;90;1
195403;72.4;1
195404;115.5;1
195405;92.3;1
195406;67.1;1
195407;106.8;1
195408;262.9;1
195409;256.4;1
195410;152.8;1
195411;131.6;1
195412;332.8;1
195501;297.7;1
195502;203.5;1
195503;88.2;1
195504;25.5;1
195505;162.7;1
195506;206.7;1
195507;114.8;1
195508;56.7;1
195509;109.7;1
195510;70.1;1
195511;28.1;1
195512;297.6;1
195601;223.6;1
195602;34.5;1
195603;173.9;1
195604;137.4;1
195605;126.6;1
195606;131.3;1
195607;252.7;1
195608;252.7;1
195609;143.8;1
195610;225.9;1
195611;162;1
195612;89.5;1
195701;111.6;1
195702;356.8;1
195703;147.5;1
195704;49.1;1
195705;75;1
195706;209.8;1
195707;218.9;1
195708;160.2;1
195709;224.8;1
195710;33.5;1
195711;42.8;1
195712;96.2;1
195801;164.6;1
195802;453.2;1
195803;86.6;1
195804;102.2;1
195805;174;1
195806;164.7;1
195807;123.8;1
195808;196.5;1
195809;142.1;1
195810;180.9;1
195811;90;1
195812;268.4;1
195901;325.2;1
195902;25.5;1
195903;119.7;1
195904;198.5;1
195905;30.1;1
195906;200.6;1
195907;87.2;1
195908;81.9;1
195909;7.2;1
195910;84.7;1
195911;71.1;1
195912;263.7;1
196001;173.1;1
196002;230.8;1
196003;98.3;1
196004;45.6;1
196005;112.3;1
196006;199.2;1
196007;159.9;1
196008;240.4;1
196009;156.9;1
196010;222.6;1
196011;223.4;1
