# DONNEES MENSUELLES HOMOGENEISEES de RR : Cumul mensuel des hauteurs de précipitation (en mm et 1/10) 
# NUM_POSTE= 88393003
# NOM_USUEL= ROLLAINVILLE
# LATITUDE (°) = 48.359
# LONGITUDE(°)= 5.717
# ALTITUDE (m) = 372
# NUM_SERIE= MRR088393003
# Amplitude minimale détectable de la série = 0.06
# Période homogénéisée : 195001 201412
# Date(s) de rupture(s) d'homogénéité : 200612
#     Periode homogénéisée  195001 201412  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195001;43.3;1
195002;122.8;1
195003;13.6;1
195004;95;1
195005;87.1;1
195006;65.3;1
195007;45.5;1
195008;76.8;1
195009;77.9;1
195010;12.6;1
195011;131.5;1
195012;103.6;1
195101;74.6;1
195102;65.1;1
195103;119.1;1
195104;57.4;1
195105;85.1;1
195106;109.3;1
195107;40;1
195108;71.1;1
195109;56.8;1
195110;26.9;1
195111;102.5;1
195112;53.4;1
195201;130.7;1
195202;59.2;1
195203;133.7;1
195204;19.9;1
195205;41.1;1
195206;42.9;1
195207;28.4;1
195208;60.5;1
195209;99.7;1
195210;113.8;1
195211;133.4;1
195212;103.2;1
195301;15.2;1
195302;51.2;1
195303;5.9;1
195304;47.9;1
195305;36.7;1
195306;169.4;1
195307;78.2;1
195308;21.5;1
195309;52.6;1
195310;32.8;1
195311;10.7;1
195312;16.3;1
195401;42.8;1
195402;46.6;1
195403;33.2;1
195404;26.7;1
195405;37.9;1
195406;33.5;1
195407;41.8;1
195408;119.9;1
195409;95.1;1
195410;78.6;1
195411;41;1
195412;84.4;1
195501;148.5;1
195502;91.8;1
195503;41.3;1
195504;5;1
195505;68.3;1
195506;65.5;1
195507;70;1
195508;35;1
195509;46.6;1
195510;48.8;1
195511;22.5;1
195512;94.9;1
195601;92.4;1
195602;13.1;1
195603;32.7;1
195604;59.3;1
195605;61.5;1
195606;75;1
195607;64.8;1
195608;94.7;1
195609;73;1
195610;56;1
195611;46.5;1
195612;25.7;1
195701;35.5;1
195702;110.1;1
195703;47.2;1
195704;30.9;1
195705;26.7;1
195706;82.4;1
195707;87.3;1
195708;58.8;1
195709;65.8;1
195710;38.6;1
195711;29.1;1
195712;42.5;1
195801;108.9;1
195802;157.8;1
195803;32.4;1
195804;51;1
195805;125.2;1
195806;52.8;1
195807;31.8;1
195808;84.9;1
195809;58.4;1
195810;42.7;1
195811;59.6;1
195812;123.1;1
195901;152.6;1
195902;0;1
195903;58.8;1
195904;55.5;1
195905;19.9;1
195906;64.6;1
195907;17.2;1
195908;63.1;1
195909;16.9;1
195910;31.1;1
195911;54;1
195912;97.9;1
196001;61.7;1
196002;87.2;1
196003;32.2;1
196004;23.3;1
196005;50.8;1
196006;82.4;1
196007;83.2;1
196008;148.2;1
196009;63.1;1
196010;98.4;1
196011;75.9;1
196012;60.9;1
196101;102.7;1
196102;69.6;1
196103;11.9;1
196104;52.9;1
196105;51.5;1
196106;72.4;1
196107;69.2;1
196108;43.2;1
196109;51.2;1
196110;124.6;1
196111;71.7;1
196112;95.3;1
196201;113.8;1
196202;62.2;1
196203;80.4;1
196204;78.3;1
196205;100.6;1
196206;0.2;1
196207;44.8;1
196208;26.3;1
196209;57.9;1
196210;18.6;1
196211;33;1
196212;65.3;1
196301;35.6;1
196302;29.5;1
196303;73;1
196304;34.1;1
196305;52.1;1
196306;134.7;1
196307;59;1
196308;122.7;1
196309;30.3;1
196310;33.5;1
196311;111.2;1
196312;8.8;1
196401;33.9;1
196402;31.3;1
196403;72.5;1
196404;36;1
196405;22.6;1
196406;30.9;1
196407;23;1
196408;54.5;1
196409;98.9;1
196410;64.5;1
196411;75.8;1
196412;37.1;1
196501;138.6;1
196502;17;1
196503;112.1;1
196504;81.1;1
196505;78.9;1
196506;48;1
196507;87.4;1
196508;48.8;1
196509;169.2;1
196510;2;1
196511;110.3;1
196512;194.2;1
196601;80.2;1
196602;78.8;1
196603;59.5;1
196604;60.6;1
196605;53;1
196606;51.7;1
196607;65;1
196608;69.5;1
196609;39.2;1
196610;48.3;1
196611;63.6;1
196612;205.6;1
196701;56.5;1
196702;56.4;1
196703;66.6;1
196704;33;1
196705;96.6;1
196706;43.7;1
196707;82;1
196708;80.6;1
196709;131;1
196710;90.4;1
196711;71.7;1
196712;122.6;1
196801;131.5;1
196802;60.9;1
196803;41.9;1
196804;56.1;1
196805;53.3;1
196806;67.4;1
196807;60.2;1
196808;131.4;1
196809;99.3;1
196810;34.4;1
196811;42.1;1
196812;65.2;1
196901;31.4;1
196902;60.3;1
196903;74.6;1
196904;86.4;1
196905;88.1;1
196906;98.5;1
196907;15.7;1
196908;45.6;1
196909;27.6;1
196910;0.8;1
196911;107;1
196912;64.5;1
197001;72.7;1
197002;216.4;1
197003;58.4;1
197004;90;1
197005;68.9;1
197006;112.4;1
197007;57.4;1
197008;34.8;1
197009;54.2;1
197010;74.3;1
197011;48.2;1
197012;46.9;1
197101;36.6;1
197102;25.1;1
197103;31;1
197104;10.3;1
197105;57.1;1
197106;97;1
197107;57.9;1
197108;105;1
197109;17.3;1
197110;24.6;1
197111;87;1
197112;14.4;1
197201;35.8;1
197202;38.9;1
197203;32.5;1
197204;57.2;1
197205;75.4;1
197206;54.4;1
197207;59.3;1
197208;60;1
197209;13.3;1
197210;14.1;1
197211;159;1
197212;26.6;1
197301;38.7;1
197302;57.9;1
197303;11.1;1
197304;38.2;1
197305;71.6;1
197306;22.4;1
197307;86.6;1
197308;56.2;1
197309;51;1
197310;38.5;1
197311;80;1
197312;78.8;1
197401;48.3;1
197402;57;1
197403;81;1
197404;6.1;1
197405;52.6;1
197406;88.3;1
197407;68.6;1
197408;30.8;1
197409;114.7;1
197410;171.3;1
197411;102;1
197412;92;1
197501;92.4;1
