# DONNEES MENSUELLES HOMOGENEISEES de RR : Cumul mensuel des hauteurs de précipitation (en mm et 1/10) 
# NUM_POSTE= 89173001
# NOM_USUEL= FONTAINES
# LATITUDE (°) = 47.691
# LONGITUDE(°)= 3.26
# ALTITUDE (m) = 320
# NUM_SERIE= MRR089173001
# Amplitude minimale détectable de la série = 0.07
# Période homogénéisée : 195101 201412
# Date(s) de rupture(s) d'homogénéité : 195512 197708
#     Periode homogénéisée  195101 201412  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195101;60.3;1
195102;70.5;1
195103;71.9;1
195104;92.5;1
195105;85.2;1
195106;214.5;1
195107;25.3;1
195108;87.1;1
195109;94.1;1
195110;17;1
195111;124.2;1
195112;42.9;1
195201;105.3;1
195202;70.2;1
195203;99.1;1
195204;2.2;1
195205;72.1;1
195206;22.6;1
195207;40.8;1
195208;72.3;1
195209;114.3;1
195210;130.9;1
195211;108.9;1
195212;120.9;1
195301;16.9;1
195302;50.5;1
195303;1.4;1
195304;91.8;1
195305;54.7;1
195306;107;1
195307;78.7;1
195308;19.8;1
195309;51.3;1
195310;41;1
195311;26.8;1
195312;17.6;1
195401;55.5;1
195402;69.3;1
195403;48.1;1
195404;18.8;1
195405;47.6;1
195406;66.1;1
195407;39.9;1
195408;137.4;1
195409;49.1;1
195410;52.3;1
195411;71.6;1
195412;117.6;1
195501;200.6;1
195502;120.4;1
195503;72.5;1
195504;0;1
195505;66.8;1
195506;78;1
195507;10.8;1
195508;28.2;1
195509;33.9;1
195510;55.1;1
195511;8.6;1
195512;143.5;1
195601;72.2;1
195602;19.1;1
195603;23.2;1
195604;91.8;1
195605;82;1
195606;71.4;1
195607;87.1;1
195608;103.2;1
195609;81.3;1
195610;84.5;1
195611;35.6;1
195612;77.4;1
195701;44.5;1
195702;144.9;1
195703;24.3;1
195704;20.9;1
195705;14.4;1
195706;143.8;1
195707;108;1
195708;115.4;1
195709;76.2;1
195710;51.2;1
195711;36.5;1
195712;38.2;1
195801;113;1
195802;157.8;1
195803;43.4;1
195804;61.3;1
195805;158.5;1
195806;125.8;1
195807;244.4;1
195808;58.7;1
195809;71.6;1
195810;88.3;1
195811;81.3;1
195812;93.6;1
195901;126.9;1
195902;0;1
195903;75.1;1
195904;103.1;1
195905;21.1;1
195906;34.5;1
195907;1;1
195908;0.3;1
195909;14.4;1
195910;60.8;1
195911;57;1
195912;108;1
196001;49.5;1
196002;56.7;1
