# DONNEES MENSUELLES HOMOGENEISEES de RR : Cumul mensuel des hauteurs de précipitation (en mm et 1/10) 
# NUM_POSTE= 2320001
# NOM_USUEL= ST QUENTIN
# LATITUDE (°) = 49.818
# LONGITUDE(°)= 3.206
# ALTITUDE (m) = 98
# NUM_SERIE= MRR102320001
# Amplitude minimale détectable de la série = 0.07
# Période homogénéisée : 195501 201712
# Date(s) de rupture(s) d'homogénéité : 198112
#     Periode homogénéisée  195501 201712  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195501;45.3;1
195502;67.9;1
195503;7.5;1
195504;20.1;1
195505;91.5;1
195506;47.7;1
195507;32.5;1
195508;31.4;1
195509;46.3;1
195510;27.3;1
195511;28.3;1
195512;88.4;1
195601;69.5;1
195602;20.1;1
195603;21;1
195604;40.8;1
195605;21.8;1
195606;71.2;1
195607;48.8;1
195608;57.2;1
195609;114.8;1
195610;61.9;1
195611;48.5;1
195612;41.1;1
195701;33.3;1
195702;113.2;1
195703;35.4;1
195704;27.4;1
195705;34.3;1
195706;94.9;1
195707;53.9;1
195708;56.4;1
195709;101.8;1
195710;28.3;1
195711;26.5;1
195712;45.8;1
195801;47.5;1
195802;86.8;1
195803;20.6;1
195804;31.6;1
195805;50;1
195806;98.1;1
195807;105.7;1
195808;121.2;1
195809;91.5;1
195810;41.3;1
195811;46.5;1
195812;67.4;1
195901;64.2;1
195902;2.3;1
195903;62.6;1
195904;57.1;1
195905;14.1;1
195906;42.4;1
195907;11.1;1
195908;24.7;1
195909;12.2;1
195910;57.5;1
195911;47.1;1
195912;59;1
196001;38.8;1
196002;37.6;1
196003;50;1
196004;14.8;1
196005;33.1;1
196006;48.9;1
196007;104.7;1
196008;86.6;1
196009;50.7;1
196010;107.1;1
196011;67.7;1
196012;55.5;1
196101;95.8;1
196102;69;1
196103;9.1;1
196104;83;1
196105;43.2;1
196106;39.9;1
196107;77.3;1
196108;11.1;1
196109;70;1
196110;85.7;1
196111;58.7;1
196112;74.7;1
196201;60.6;1
196202;46.6;1
196203;68.9;1
196204;51.4;1
196205;47.4;1
196206;22.9;1
196207;49.3;1
196208;73.5;1
