# DONNEES MENSUELLES HOMOGENEISEES de RR : Cumul mensuel des hauteurs de précipitation (en mm et 1/10) 
# NUM_POSTE= 3100001
# NOM_USUEL= DIOU
# LATITUDE (°) = 46.542
# LONGITUDE(°)= 3.707
# ALTITUDE (m) = 220
# NUM_SERIE= MRR103100001
# Amplitude minimale détectable de la série = 0.07
# Période homogénéisée : 195101 201612
# Date(s) de rupture(s) d'homogénéité : 196212 196412
#     Periode homogénéisée  195101 201612  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195101;37.3;1
195102;61.4;1
195103;59.9;1
195104;39.1;1
195105;134.4;1
195106;126.4;1
195107;33.7;1
195108;96;1
195109;57.8;1
195110;32.7;1
195111;120.5;1
195112;49.7;1
195201;80.9;1
195202;50.2;1
195203;95.5;1
195204;28.4;1
195205;48.6;1
195206;54.2;1
195207;12;1
195208;76.3;1
195209;101.9;1
195210;180.8;1
195211;92.3;1
195212;104.6;1
195301;12;1
195302;33.8;1
195303;1.9;1
195304;54.8;1
195305;35.2;1
195306;86.4;1
195307;120.1;1
195308;22.2;1
195309;99.4;1
195310;78.2;1
195311;22.4;1
195312;38.6;1
195401;45.6;1
195402;60.9;1
195403;65;1
195404;30.2;1
195405;60.3;1
195406;68.5;1
195407;31;1
195408;153.4;1
195409;81.9;1
195410;59.2;1
195411;50.1;1
195412;57.6;1
195501;103.9;1
195502;102.1;1
195503;51.9;1
195504;0.9;1
195505;57.8;1
195506;57.9;1
195507;75.2;1
195508;42.9;1
195509;54.2;1
195510;9.5;1
195511;30.6;1
195512;81.9;1
195601;70.4;1
195602;10.1;1
195603;27.4;1
195604;62.5;1
195605;86.6;1
195606;52.4;1
195607;129.2;1
195608;95.3;1
195609;117.4;1
195610;54.2;1
195611;32.3;1
195612;43.6;1
195701;35.6;1
195702;94.8;1
195703;29.3;1
195704;22.2;1
195705;32.1;1
195706;91.5;1
195707;51.9;1
195708;49.9;1
195709;40.1;1
195710;39;1
195711;31.5;1
195712;79.1;1
195801;81;1
195802;58;1
195803;71.5;1
195804;51.8;1
195805;114.2;1
195806;87.1;1
195807;42.8;1
195808;92.1;1
195809;98.3;1
195810;53.8;1
195811;64.3;1
195812;84.7;1
195901;66.5;1
195902;2.4;1
195903;61;1
195904;81.4;1
195905;44.3;1
195906;56.6;1
195907;5.2;1
195908;28.3;1
195909;16.1;1
195910;79.9;1
195911;53.4;1
195912;75.6;1
196001;58.1;1
196002;45.5;1
196003;64.4;1
196004;21;1
196005;54.6;1
196006;105.7;1
196007;83.2;1
196008;148.5;1
196009;54.3;1
196010;116.3;1
196011;51.2;1
196012;58.7;1
196101;58.6;1
196102;50.1;1
196103;3.2;1
196104;63.9;1
196105;77.1;1
196106;39;1
196107;63.5;1
196108;58.4;1
196109;37.7;1
196110;77.2;1
196111;58.8;1
196112;67.9;1
196201;97.8;1
196202;50;1
196203;97.6;1
196204;74;1
196205;81.2;1
196206;5.1;1
196207;51.9;1
196208;12.2;1
196209;43.7;1
196210;25.2;1
196211;66.6;1
196212;88.2;1
196301;52.7;1
196302;49.8;1
196303;93.5;1
196304;43.8;1
196305;70.5;1
196306;66.3;1
196307;26;1
196308;141.1;1
196309;33;1
196310;31.1;1
196311;78.2;1
196312;8.7;1
196401;20.6;1
196402;20.1;1
196403;62.6;1
196404;63;1
196405;100;1
196406;16.6;1
196407;18.7;1
196408;57.1;1
196409;31.6;1
196410;35.3;1
196411;26.7;1
196412;47.7;1
196501;76.2;1
196502;7.4;1
196503;70.1;1
196504;84.4;1
196505;121.6;1
196506;52.9;1
196507;74.8;1
196508;58.6;1
196509;204.7;1
196510;18.3;1
196511;109.4;1
196512;111.1;1
196601;66.5;1
196602;67.2;1
196603;36.6;1
196604;90.5;1
196605;65.8;1
196606;73.4;1
196607;58.1;1
196608;81.1;1
196609;20.2;1
196610;73.3;1
196611;85.1;1
196612;74.1;1
196701;44.3;1
196702;39.4;1
196703;51.5;1
196704;19.3;1
196705;100.7;1
196706;69.3;1
196707;29.5;1
196708;115.6;1
196709;137;1
196710;64.8;1
196711;84.3;1
196712;43.8;1
196801;94.4;1
196802;48.4;1
196803;30.9;1
196804;70.1;1
196805;122.4;1
196806;66.5;1
196807;62.4;1
196808;172.1;1
196809;190.6;1
196810;33.1;1
196811;42.8;1
196812;104.8;1
196901;45.4;1
196902;47.1;1
196903;82.4;1
196904;102.4;1
196905;100;1
196906;83.6;1
196907;26.7;1
196908;107;1
196909;81.1;1
196910;4.8;1
196911;91.5;1
196912;59.1;1
197001;75.9;1
197002;137.2;1
197003;71.2;1
197004;68.2;1
197005;45.7;1
197006;110.3;1
197007;116.1;1
197008;69.1;1
197009;52.1;1
197010;112.2;1
197011;51.5;1
197012;48.3;1
197101;87.1;1
197102;16.3;1
197103;46.5;1
197104;20.7;1
197105;74.2;1
197106;76.6;1
197107;44.3;1
197108;134.9;1
197109;16.8;1
197110;29.9;1
197111;72.4;1
197112;23.4;1
197201;63.6;1
197202;57;1
197203;34.8;1
197204;22;1
197205;32.4;1
197206;58.2;1
197207;63.2;1
197208;121.6;1
197209;29.5;1
197210;62.3;1
197211;112.7;1
197212;40.1;1
197301;54.1;1
197302;40.6;1
197303;8.8;1
197304;27.4;1
197305;54.7;1
197306;46.5;1
197307;74.9;1
197308;49.9;1
197309;55.7;1
197310;63.2;1
197311;33.4;1
197312;108.2;1
197401;29.6;1
197402;40.5;1
197403;45.3;1
197404;46.8;1
197405;81.9;1
197406;79.7;1
197407;41.3;1
197408;112.4;1
197409;165.5;1
197410;144.2;1
197411;78.2;1
197412;22.5;1
197501;42.9;1
197502;16.2;1
197503;55.5;1
197504;31.5;1
197505;86.1;1
197506;41.9;1
197507;41.4;1
197508;67.1;1
197509;124.4;1
197510;48.3;1
197511;120.2;1
197512;45.6;1
197601;27.6;1
197602;49.4;1
197603;8.8;1
197604;22.3;1
197605;70.7;1
197606;4.5;1
197607;58.6;1
197608;79.6;1
197609;148.5;1
197610;94.1;1
197611;115.9;1
197612;90;1
197701;78.8;1
197702;98.7;1
197703;84.3;1
197704;36.2;1
197705;192.1;1
197706;139.4;1
197707;108.2;1
197708;155.6;1
197709;9.2;1
197710;92.4;1
197711;43.3;1
197712;58.4;1
197801;55.2;1
197802;82.4;1
197803;82.2;1
197804;67.7;1
197805;76.8;1
197806;25.1;1
197807;49.5;1
197808;29.8;1
197809;30.5;1
197810;15.1;1
197811;6.7;1
197812;82;1
197901;71;1
197902;82.2;1
197903;85.8;1
197904;65;1
197905;136;1
197906;57.5;1
197907;9.6;1
197908;176.4;1
197909;55.3;1
197910;151.8;1
197911;43.9;1
197912;81.2;1
198001;57.2;1
198002;70.9;1
198003;76.4;1
198004;32.5;1
198005;99.5;1
198006;76.9;1
198007;67;1
198008;43.2;1
198009;48.2;1
198010;99.6;1
198011;69.5;1
198012;62.8;1
198101;95.8;1
198102;30.5;1
198103;92.2;1
198104;11.6;1
198105;127.2;1
198106;108.7;1
198107;39.4;1
198108;51;1
198109;118.4;1
198110;83.6;1
198111;41.3;1
198112;112.8;1
198201;62.8;1
198202;7.9;1
198203;77.2;1
198204;21;1
198205;54.7;1
198206;71.9;1
198207;49.8;1
198208;75.8;1
198209;93.7;1
198210;70.4;1
198211;66.9;1
198212;127.8;1
198301;32.2;1
198302;70.2;1
198303;32.9;1
198304;140.1;1
198305;159.4;1
198306;36.6;1
198307;38.7;1
198308;141.1;1
198309;80.1;1
198310;64.9;1
198311;32.7;1
198312;41.7;1
198401;96.8;1
198402;42.1;1
198403;32.3;1
198404;12.4;1
198405;101;1
198406;55.1;1
198407;36.9;1
198408;119.7;1
198409;123.1;1
198410;85.7;1
198411;95.8;1
198412;80.6;1
198501;43.6;1
198502;67;1
198503;37.5;1
198504;65.8;1
198505;118.6;1
198506;82.3;1
198507;36.1;1
198508;31;1
198509;5;1
198510;25.7;1
198511;52.5;1
198512;81.5;1
198601;75.7;1
198602;58.3;1
198603;53;1
198604;152.3;1
198605;113.5;1
198606;29.3;1
198607;48.5;1
198608;100.9;1
198609;99;1
198610;61.2;1
198611;43.4;1
198612;89;1
198701;40.1;1
198702;60.1;1
198703;42.7;1
198704;46;1
198705;75.2;1
198706;150;1
198707;100.3;1
198708;35.5;1
198709;96;1
198710;69.5;1
198711;68.5;1
198712;64.8;1
198801;113.8;1
198802;74.5;1
198803;99.1;1
198804;27.5;1
198805;169.8;1
198806;52;1
198807;90.1;1
198808;17.8;1
198809;81.5;1
198810;126.2;1
198811;41;1
198812;43;1
198901;18.7;1
198902;36.5;1
198903;42.8;1
198904;147.7;1
198905;55.5;1
198906;28.5;1
198907;35.5;1
198908;40.8;1
198909;61;1
198910;27.5;1
198911;56.2;1
198912;56;1
199001;50.3;1
199002;84.5;1
199003;30.5;1
199004;55.2;1
199005;83.3;1
199006;135.8;1
199007;29.3;1
199008;73.2;1
199009;22.2;1
199010;129.5;1
199011;65.9;1
199012;52;1
199101;36.8;1
199102;48.2;1
199103;32.4;1
199104;47.1;1
199105;13.2;1
199106;52.3;1
199107;50.8;1
199108;66.5;1
199109;79.6;1
199110;82.6;1
199111;87.5;1
199112;36.5;1
199201;18.5;1
199202;33;1
199203;66.5;1
199204;46.5;1
199205;37;1
199206;82.5;1
199207;73;1
199208;111.5;1
199209;63;1
199210;115.5;1
199211;125.5;1
199212;51.5;1
199301;33;1
199302;10;1
199303;13;1
199304;92.5;1
199305;88.5;1
199306;112.5;1
199307;50.5;1
199308;13;1
199309;148;1
199310;119.5;1
199311;33;1
199312;104.5;1
199401;90;1
199402;81;1
199403;44;1
199404;93.5;1
199405;130.5;1
199406;94;1
199407;51.5;1
199408;65;1
199409;136.5;1
199410;90;1
199411;71;1
199412;60.5;1
199501;95.5;1
199502;115.2;1
199503;70.5;1
199504;62;1
199505;76;1
199506;34;1
199507;31.2;1
199508;15.5;1
199509;86.5;1
199510;27.5;1
199511;47.5;1
199512;97.5;1
199601;72;1
199602;72.5;1
199603;29.5;1
199604;31;1
199605;142.5;1
199606;28;1
199607;89;1
199608;47;1
199609;36;1
199610;40.5;1
199611;181.5;1
199612;73.2;1
199701;36.5;1
199702;40;1
199703;9;1
199704;32;1
199705;108.2;1
199706;111;1
199707;53;1
199708;65;1
199709;41.5;1
199710;41.5;1
199711;94.5;1
199712;76.5;1
199801;66;1
199802;25.5;1
199803;44;1
199804;188.5;1
199805;27.5;1
199806;51.5;1
199807;27.6;1
199808;23;1
199809;88.8;1
199810;101.5;1
199811;65.5;1
199812;44;1
199901;89;1
199902;104;1
199903;37;1
199904;75;1
199905;87.5;1
199906;56.5;1
199907;61.5;1
199908;69.1;1
199909;102.5;1
199910;65;1
199911;49.7;1
199912;112.4;1
200001;21.8;1
200002;83.7;1
200003;37.2;1
200004;59.8;1
200005;116;1
200006;70;1
200007;86.6;1
200008;65;1
200009;82;1
200010;82.2;1
200011;113.4;1
200012;30;1
200101;65.3;1
200102;34.6;1
200103;113.3;1
200104;108;1
200105;118;1
200106;51.5;1
200107;88.5;1
200108;75;1
200109;65.5;1
200110;114.8;1
200111;58.5;1
200112;22;1
200201;31.3;1
200202;61;1
200203;15.5;1
200204;18;1
200205;58;1
200206;74.5;1
200207;47;1
200208;130.5;1
200209;83.5;1
200210;90.6;1
200211;126.5;1
200212;94;1
200301;60;1
200302;45;1
200303;23;1
200304;38.8;1
200305;41;1
200306;39.5;1
200307;26;1
200308;27;1
200309;44.5;1
200310;110.5;1
200311;76;1
200312;99;1
200401;144;1
200402;21;1
200403;50;1
200404;97.5;1
200405;58;1
200406;31;1
200407;92.5;1
200408;133.5;1
200409;20.5;1
200410;172.5;1
200411;105;1
200412;47.5;1
200501;62.5;1
200502;48;1
200503;53;1
200504;132;1
200505;55.7;1
200506;23.8;1
200507;72.3;1
200508;19.3;1
200509;39;1
200510;51.3;1
200511;98.2;1
200512;53.7;1
200601;34.7;1
200602;58.8;1
200603;118;1
200604;78;1
200605;80;1
200606;55;1
200607;56.6;1
200608;154;1
200609;70;1
200610;56.5;1
200611;98;1
200612;39;1
200701;76;1
200702;78.5;1
200703;101.9;1
200704;28.5;1
200705;88;1
200706;118.5;1
200707;161.5;1
200708;142.5;1
200709;78.5;1
200710;14;1
200711;46.5;1
200712;37;1
200801;74;1
200802;25.7;1
200803;90;1
200804;87.3;1
200805;104;1
200806;51;1
200807;83;1
200808;80.3;1
200809;47.5;1
200810;124;1
200811;82.5;1
200812;57.5;1
200901;37;1
200902;20.5;1
200903;36.5;1
200904;78.5;1
200905;64;1
200906;101;1
200907;59.5;1
200908;53.5;1
200909;37.5;1
200910;47;1
200911;89.5;1
200912;78.6;1
201001;46.9;1
201002;92;1
201003;56.5;1
201004;28;1
201005;105.1;1
201006;129.5;1
201007;113.5;1
201008;30.5;1
201009;84;1
201010;63.5;1
201011;88.2;1
201012;97.1;1
201101;30;1
201102;39.5;1
201103;50;1
201104;10;1
201105;49;1
201106;35;1
201107;111.5;1
201108;56.5;1
201109;36;1
201110;51;1
201111;59;1
201112;136;1
201201;57;1
201202;12.5;1
201203;25.5;1
201204;84.5;1
201205;87.5;1
201206;105.5;1
201207;55;1
201208;73;1
201209;45;1
201210;104;1
201211;61;1
201212;126;1
201301;89.5;1
201302;60;1
201303;60;1
201304;125.5;1
201305;173.5;1
201306;37;1
201307;87.5;1
201308;71;1
201309;72.5;1
201310;70;1
201311;105.5;1
201312;32;1
201401;97.5;1
201402;76.5;1
201403;31.5;1
201404;32;1
201405;76.6;1
201406;52;1
201407;177;1
201408;104.5;1
201409;40;1
201410;96.5;1
201411;124.5;1
201412;81;1
201501;74.8;1
201502;38.5;1
201503;32.5;1
201504;57.7;1
201505;44.4;1
201506;95.5;1
201507;10;1
201508;114.2;1
201509;108.7;1
201510;43.4;1
201511;47.4;1
201512;30.3;1
201601;110.8;1
201602;91.9;1
201603;58.7;1
201604;113;1
201605;154.4;1
201606;77.3;1
201607;16.4;1
201608;55;1
201609;33.3;1
201610;78;1
201611;122.7;1
201612;22.5;1
201701;39.3;0
201702;54;0
201703;75.9;0
201704;41.4;0
201705;129.1;0
201706;88;0
201707;48.5;0
201708;88.6;0
201709;45.7;0
201710;24.4;0
201711;102;0
201712;104.2;0
201801;151.9;0
201802;43.9;0
201803;92;0
201804;65.2;0
201805;93.4;0
201806;64.9;0
201807;25.3;0
201808;54.9;0
201809;14.2;0
201810;50.4;0
201811;56.5;0
201812;47.6;0
201901;57.2;0
201902;9.8;0
