# DONNEES MENSUELLES HOMOGENEISEES de RR : Cumul mensuel des hauteurs de précipitation (en mm et 1/10) 
# NUM_POSTE= 3204001
# NOM_USUEL= PARAY-SOUS-BRIAILLES
# LATITUDE (°) = 46.284
# LONGITUDE(°)= 3.338
# ALTITUDE (m) = 250
# NUM_SERIE= MRR103204001
# Amplitude minimale détectable de la série = 0.07
# Période homogénéisée : 195101 201612
# Date(s) de rupture(s) d'homogénéité : Aucune rupture d'homogénéité
#     Periode homogénéisée  195101 201612  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195101;25;1
195102;69.4;1
195103;43.1;1
195104;41.6;1
195105;133.9;1
195106;118;1
195107;53;1
195108;91.7;1
195109;67.1;1
195110;25.1;1
195111;90;1
195112;34.1;1
195201;68.6;1
195202;47.4;1
195203;102.1;1
195204;22.5;1
195205;62.7;1
195206;49.6;1
195207;16.1;1
195208;80.1;1
195209;88;1
195210;132.6;1
195211;110.9;1
195212;82.5;1
195301;4.3;1
195302;16.1;1
195303;3.2;1
195304;59.3;1
195305;30.5;1
195306;97;1
195307;90.1;1
195308;21.4;1
195309;83.6;1
195310;67.7;1
195311;18.2;1
195312;22.7;1
195401;29.7;1
195402;34.8;1
195403;47.7;1
195404;27.9;1
195405;49.7;1
195406;89.7;1
195407;41.2;1
195408;114;1
195409;64.4;1
195410;42.9;1
195411;39.4;1
195412;37.8;1
195501;89.6;1
195502;86.3;1
195503;24.3;1
195504;0.6;1
195505;39.6;1
195506;72.1;1
195507;123.4;1
195508;66.2;1
195509;25.5;1
195510;13.7;1
195511;38.2;1
195512;57.2;1
195601;52.8;1
195602;13;1
195603;20.5;1
195604;44.9;1
195605;97.3;1
195606;52.3;1
195607;119.1;1
195608;94.8;1
195609;121.1;1
195610;44.9;1
195611;30.4;1
195612;35.4;1
195701;25;1
195702;59.9;1
195703;14.7;1
195704;19.3;1
195705;35.6;1
195706;94.4;1
195707;46.8;1
195708;22.5;1
195709;41.2;1
195710;21.9;1
195711;29.8;1
195712;71.4;1
195801;62.7;1
195802;33.7;1
195803;56.4;1
195804;35.9;1
195805;133.9;1
195806;93;1
195807;61.4;1
195808;89.3;1
195809;93.2;1
195810;51.1;1
195811;69.4;1
195812;62.6;1
195901;56;1
195902;3.5;1
195903;109.4;1
195904;63.9;1
195905;49;1
195906;108.8;1
195907;10.8;1
195908;27.3;1
195909;43;1
195910;95.6;1
195911;50.6;1
195912;48;1
196001;63.5;1
196002;49.2;1
196003;73.6;1
196004;15.9;1
196005;38.1;1
196006;69.3;1
196007;42.8;1
196008;174.2;1
196009;51.8;1
196010;142.5;1
196011;35;1
196012;51.2;1
196101;57.6;1
196102;35.8;1
196103;4.7;1
196104;63.8;1
196105;84;1
196106;57.8;1
196107;42.6;1
196108;81.7;1
196109;36.1;1
196110;76.1;1
196111;46.8;1
196112;57.8;1
196201;82;1
196202;28;1
196203;57.8;1
196204;57.3;1
196205;79.7;1
196206;6.7;1
196207;85.4;1
196208;16.1;1
196209;66.6;1
196210;28.8;1
196211;51.1;1
196212;48.7;1
196301;34.8;1
196302;44.8;1
196303;67.8;1
196304;53.5;1
196305;65.8;1
196306;91.8;1
196307;35.4;1
196308;168.2;1
196309;24;1
196310;30.7;1
196311;55.9;1
196312;20.4;1
196401;14.9;1
196402;30.1;1
196403;58;1
196404;66.4;1
196405;78.2;1
196406;42.4;1
196407;29.3;1
196408;50.3;1
196409;35.1;1
196410;34.3;1
196411;40.8;1
196412;41.2;1
196501;88.7;1
196502;19.7;1
196503;64.1;1
196504;65.4;1
196505;141.5;1
196506;88;1
196507;136;1
196508;46;1
196509;252.6;1
196510;28;1
196511;78.3;1
196512;131;1
196601;66;1
196602;61.8;1
196603;47.7;1
196604;95.8;1
196605;70;1
196606;102.7;1
196607;49.7;1
196608;80.5;1
196609;16.2;1
196610;89.8;1
196611;51.6;1
196612;62.6;1
196701;37.3;1
196702;32.9;1
196703;39.6;1
196704;5.7;1
196705;65.1;1
196706;46.3;1
196707;45.1;1
196708;116.4;1
196709;97.5;1
196710;47;1
196711;72.5;1
196712;37.7;1
196801;65.9;1
196802;46;1
196803;16.3;1
196804;59.8;1
196805;142.5;1
196806;45.8;1
196807;81.6;1
196808;96.1;1
196809;169;1
196810;45.5;1
